6k1/2R3b1/6p1/6P1/1B3P2/4K3/8/3r4 b - -,g7b2
r2q1rk1/1bp1bppp/p1np4/1pnBp3/4P3/2PP1N2/PP1N1PPP/R1BQR1K1 w - -,d1e2
3k4/r5bp/2B3p1/p3p3/1p2KP2/1P6/2R3PP/8 w - -,f4e5
2n1k3/p1n3pp/1p2pp2/8/PPbNPPP1/8/1B3KBP/8 w - -,g4g5
8/pk6/1b6/8/2K4R/7P/6r1/8 b - -,g2c2
6k1/1R6/3r4/8/1P4PK/8/8/8 b - -,d6e6
8/6pk/6N1/3Q1p1p/4p2P/6P1/5PK1/r1q5 w - -,g6f8
r4rk1/1p3pb1/1pp1p3/4n1B1/1PP5/6P1/P3BP2/R3R1K1 w - -,a2a4
2rq1rk1/5pbp/6p1/1p1p1p2/3P1P2/1BN4R/1nP2QPP/1R4K1 b - -,b5b4
8/5k2/2R3p1/4pp1p/7P/2P2KP1/2r2P2/8 b - -,f7g7
1k5r/1pn3p1/p7/P2p1B2/2n2p1P/1NP5/1P3PP1/4R1K1 b - -,h8h4
7r/1bk2p2/pp2p1p1/2q1P3/P1Pp1PPP/1B1P2K1/3Q1R2/8 b - -,c5e7
3r2k1/ppp1np1p/2q3p1/2N5/8/1P2P2P/PQ3PP1/2R3K1 w - -,b2e5
1r3rk1/p2b1p2/2np1bpp/1qp1p3/4P3/1BPP1N2/1PQN1PPP/R3R1K1 b - -,f8c8
8/8/6k1/4r3/5K2/6N1/8/8 b - -,e5a5
2kr1b1r/1p3npp/p1p2p2/2P1n3/3qN1P1/Q5BP/P1P3B1/1R3R1K w - -,g4g5
2kr2r1/1pqbnp2/p3p2P/3pP3/2n2P2/P1NQ4/2P3P1/1RB1KB1R b K -,g8g6
2r1kb1r/1p3p2/p1qpbn1p/4p3/4P1pP/2NQ2B1/PPPN1PP1/1R3RK1 b k -,f8e7
r1b1k1nr/p1p2ppp/2pp1q2/2b5/4P3/2N2Q2/PPP2PPP/R1B1KB1R w KQkq -,f3g3
r2qr1k1/pbpp1pp1/1pnb1n1p/4p3/2BPP2B/2P2N2/P2N1PPP/R2QR1K1 w - -,d2f1
r1bq2kr/1pp2pb1/3p1np1/p1nPp1B1/2P1P1P1/2N2QNP/PP6/R3KB1R w KQ -,f1e2
rnbqk2r/ppp1pnbp/3p2p1/5p2/3P4/1P3NP1/PBP1PPBP/RN1QK2R w KQkq -,b1d2
2kr1b1r/ppqn1ppp/2p1pn2/5b2/3P4/1BN2N2/PPPBQPPP/2KR3R w - -,g2g3
r2q1rk1/pb1n1pp1/4p2p/2pnP1N1/1p1P4/1Q3NP1/PP3PBP/R2R2K1 w - -,g5e4
5r2/7k/1p1R1rp1/p1n1p1q1/P1P1b2p/1PQ2P1P/4N1BK/3R4 b - -,e4f3
2rq1rk1/5pbp/p1npp1p1/2p5/np2PP2/2PP1QPP/PP1B2B1/2RNR1K1 b - -,a6a5
r7/2p5/1p2p3/1P2bkPp/1BP2n1P/P4K2/5N2/3R4 w - -,d1d7
r3brk1/ppq3pp/2nbp3/3p4/3Pn2B/3B1N2/PP2NPPP/2RQR1K1 w - -,e2g3
2rr2k1/1q1nbpp1/pp5p/2pp4/Q7/P2PP1P1/1P3PBP/2RRB1K1 w - -,b2b4
8/8/4Kpk1/8/5p1p/5P1B/6P1/8 b - -,g6g5
8/R7/1r2p1p1/pP5p/1k5P/1P4P1/5P2/4K3 w - -,e1d2
r2q1rk1/1p1bnpbp/p1npp1p1/2p5/P1B1PPP1/2NP1N2/1PP4P/R1B1QRK1 b - g3,d6d5
rnb4r/pppp2kp/5q2/3QB3/8/8/PPP3PP/RN5K b - -,h8f8
1r2k2r/2pq2pp/1pn5/1Q1p1p2/2pP1b2/P5PB/1Pb1PP1P/R3NRK1 b k -,b8a8
3r2k1/2q2pb1/pn6/5pPB/1pp4P/8/PPP3Q1/1KBR4 b - -,d8d1
r2q1rk1/pp3ppp/2npbb2/4p3/4P3/1NN5/PPP1BPPP/R2Q1RK1 w - -,c3d5
r1b1rbk1/1pq3pp/2pp1p2/p1n3n1/2PNPB2/1PN4P/P1Q1BPP1/3RR1K1 w - -,e2f1
2r1b1rk/4qppn/4p1np/1p2P2Q/1P1N4/2P4R/3B2PP/1B2R2K b - -,c8a8
8/7p/6p1/2p3k1/1p6/3B1KPP/2P5/4b3 w - -,g3g4
1r2k2r/p3qp2/bn2p2p/3pP1p1/P1pP4/NnP1QN2/R1B2PPP/5RK1 w k -,f1b1
r3q1k1/p4nbp/2p2pp1/3p1b2/N2P4/BP3N1P/P2Q1PP1/R5K1 b - -,e8c8
r2qr1k1/pp2nppp/n1pb4/3p4/3P4/P1NQP1B1/1P2NPPP/R4RK1 b - -,a6c7
8/2R4p/1P2k1p1/5p2/brN2P2/6P1/7P/6K1 w - -,b6b7
3rrn2/1p4k1/1qbp1pp1/p4P1p/1pP1P2P/1P1N2P1/P2R2BK/Q4R2 b - -,b6e3
5r1k/6pp/2N1b3/1p2p3/3pn3/1P2B1P1/P4PP1/3R2K1 w - -,e3c1
3qr2r/8/1p3bkp/pNpBp1p1/P3PpP1/2BP1N1P/1P2RP1K/6R1 w - -,b5a3
8/4nk1N/4p1p1/2Q1P3/1p5P/2q3PK/8/8 w - -,h7g5
3r2k1/5ppp/4p3/p2n4/P7/B1qrPPQ1/5P1P/R1R3K1 b - -,c3b3
8/p4pk1/1p1bp1p1/1P1p4/P2P4/1B2P1P1/2Q2Pq1/4K3 w - -,c2d1
3r1rk1/pbq2pbp/1p4pB/n2Pp3/2p1P3/2PB4/P2QNPPP/2RR2K1 w - -,d3c2
3n1r1k/r5pp/pq1p1b1n/2pB4/R2PPP2/2P3Q1/4N1PP/R5BK b - -,d8c6
2K1k3/1R3p2/2P1p1p1/4P2p/5P1P/1r4P1/8/8 b - -,b3g3
2br2k1/pp2rp1p/2p1p1p1/8/3P1P2/1B2P3/PP4PP/2RR2K1 w - -,c1c5
5k2/p7/3n1PBp/1p6/2p1pp1P/P7/1P2K3/8 b - -,a7a5
8/p6p/8/2R1pp2/P1P5/4k1P1/3r2K1/8 w - -,g2h3
5r1k/p1p5/3p3p/8/2P5/2P1P1R1/r7/2K3R1 w - -,c1b1
2r3k1/4qpp1/1rp1p2p/3nP3/1pRPN2P/pP1Q2P1/P4P2/K1R5 w - -,c4c5
2r1r1k1/5qb1/2p5/1p1n1pp1/p2P1p1p/P2R3P/1PPN1PPB/3QR1K1 w - -,e1e8
6k1/3np3/p1q1prPQ/1p4N1/4RB2/1Pb5/P4PP1/6K1 b - -,d7f8
8/4pk1p/b1rp2p1/p1r2p2/8/1P2PP1P/PN1R1KP1/3R4 w - -,b2d3
2qr2k1/1b2bppp/4p3/1p1pP3/3NnP2/3B3Q/1PP3PP/4RR1K b - -,g7g6
8/8/4k1p1/1p1r4/p7/P1Bb2KP/1PR3P1/8 w - -,c2f2
r2qk2r/pp1n1pbp/2p1pp2/5b2/3P4/5NP1/PPP2PBP/R1BQ1RK1 w kq -,c2c4
r2r2k1/1p3pb1/4pnp1/p2p3p/2PP1P2/1P2NKPP/PB2R3/2R5 b - -,a5a4
8/6pk/5p1p/2B5/1Pq1p1bP/2P1K1P1/3Q4/8 b - -,g4f3
3rr1k1/1pq1bp1p/p1pp1Bp1/P3n3/4P3/2N4P/1PPQBPP1/R2R2K1 b - -,e7f6
3k1n2/1p2q3/r2p1Rb1/p3p2p/2PpP2P/1P1P2P1/P2BQ1BK/8 b - -,e7f6
8/2p5/p1pb2p1/P4p2/1PP1bPkP/2B1K3/4N2P/8 b - -,g4h4
2R5/4P3/8/1p1N2k1/6p1/8/P4K1p/4r3 w - -,c8h8
r2q1rk1/1b2bppp/pp1p1n2/3Np3/P1B1P3/1N1Q4/1PP2PPP/R3K2R b KQ -,f6d5
3rrbk1/2pq1pp1/p1n2n1p/1p2p3/8/2PP1NNP/bPBBQPP1/R3R1K1 b - -,d7e6
6k1/1b4pp/4p3/1pPrP3/pP1P4/6P1/2N1K2P/R7 b - -,d5d8
r2n3r/1pp1bpk1/4b1p1/3pP1p1/p2P3q/P3Q3/2B2PPP/R1BR1NK1 w - -,e3c3
6nk/1bB1b1pp/p4p2/3r4/P3N3/3r1PN1/6PP/R3R1K1 b - -,f6f5
8/7R/k1p5/2P5/PP6/3r4/3K4/8 w - -,d2e2
r2q1rkn/pp1b1ppp/2n1p3/3pP2P/1b1P4/N4N2/PP2BPP1/R1BQ1K1R w - -,e2d3
r2q1rk1/ppn1ppbp/1npp2p1/4P3/2PP1Pb1/1PN1BN1P/P3B1P1/2RQ1RK1 b - -,g4f3
r1b1k2r/4pp1p/p1pP2p1/3n4/N7/1P6/PbPN1PPP/R3K2R w KQkq -,a4b2
2rr2k1/pb2bpqp/1pn3p1/3N4/1P3P2/P3B2P/3NQ1P1/1BRR2K1 b - -,d8d5
8/1p1k4/3P2p1/1rP2p1p/1p1R3P/P4KP1/8/8 w - -,a3b4
2r1k2r/1p2bp2/p1qp1n2/P3pPp1/R5p1/2N1BP1P/1PPQ2K1/3R4 w k -,h3g4
8/8/p1r4p/3k4/2p4R/3K4/P7/8 w - -,d3c3
r3r1k1/1pp1qnbp/pn2bpp1/8/P3P3/2N1BN2/1PQ1BPPP/R2R2K1 w - -,f3d4
