8/6pp/4Q1k1/p7/P7/bBP5/7q/Kb6 b - -,g6h5:g6g5
r2q1rk1/1p2bpp1/2n2n1p/2p2b2/1PPpp3/3P2P1/2NBPPBP/1R1QNRK1 b - -,b7b6
r2qnrk1/pb1nbppp/1p1p4/2pPp3/2P5/1PN2NP1/P1Q1PPBP/R1BR2K1 w - -,e2e4
8/4k3/8/8/2b1K1P1/p1N1P3/8/8 b - -,e7f6
2r1r1k1/p2b1pbp/1p2p1p1/4B3/3P4/1B6/PP3PPP/3RR1K1 b - -,d7c6
3rr1k1/pp2qpn1/2pn2p1/6Np/3P3P/2QB4/PP3PP1/K1R4R b - -,g7e6
1rbq1rk1/pp3pbp/2n2npB/2ppp3/4P3/2PP1NPP/PP1QNPB1/R3K2R w KQ -,h6g7
r4rk1/p5p1/2p4p/1p1nBp1P/3Pp3/1P2P3/1P2KPP1/3R3R b - -,a7a5
r2r2k1/1b2qpp1/pp3n1p/8/2pR4/P1N1PP2/1P1Q1BPP/5RK1 b - -,b6b5
1k1r4/pp1q3p/8/2P5/5p2/2P4P/PP1pQPP1/3R3K w - -,h1g1
3r4/2k2p2/ppb1p1p1/2q1P3/P1Pp1PPP/1B1P2K1/3Q4/3R4 b - -,c6b7
5rk1/5p1p/p2p2p1/1p1P2QP/2r5/2P4q/PP4R1/5RK1 b - -,c4h4
1r1q2k1/p5b1/bnp2rpp/N1p1p3/3pPp1P/1P1P1B2/PBPQ1PP1/K2R3R w - -,d1g1
6k1/5p1p/3n2p1/r2r4/2p5/PB1pPPP1/3R3P/2R3K1 w - -,b3a2
r2qk2r/1b1nppbp/pp1p1np1/2p5/P2PP3/2NBBN1P/1PP2PP1/R2Q1RK1 w kq c6,d1e2
1r3rk1/Q3ppbp/6p1/2pBnb2/2P2B2/2N3P1/Pq2PP1P/R4RK1 w - -,a1c1
rq2nbk1/ppN2r2/3p2n1/N2Pp1pp/QP2Pp2/5P2/4BBPP/2R2RK1 b - -,f7c7
r3r1k1/pp1n1pp1/8/P1pP2Bb/2P1p3/2P3P1/5P2/R2R1BK1 w - -,d1b1
R7/5p2/6p1/2k5/4P2K/8/p4P1P/r7 w - -,e4e5
8/6k1/4Q2p/R7/2P1bqp1/1P6/6P1/7K w - -,a5a7
r1b1k2r/pp4pp/1qn1p3/2b2pN1/2P1p3/6P1/PP2PPBP/R1BQ1RK1 w kq f6,a1b1
r1bq1rk1/pp1n1ppp/2pb1n2/8/2PNp3/2N1P3/PB1PBPPP/R2QK2R w KQ -,d1c2
8/kpp3r1/p2bBn2/8/3P3R/1P3K2/1P1B4/8 w - -,d2e3
1r6/1n2k1p1/3bp2p/1R1p1p2/P2P3P/2B2PP1/1P3PK1/8 b - -,e7d7
2r2r1k/1p2b1pp/1p1q4/p4p2/Pn1Pp3/1QN1P1P1/1P3P1P/2R1RBK1 b - -,h7h5
2krrb2/p7/b1p2p2/2ppp2p/2P4P/1PNP1NP1/P4P2/2KRR3 w - -,c1b2
2r1r1k1/1b1nqppp/p2bp3/2pp4/N1P1n3/1P2PN1P/PB2BPP1/Q1RR2K1 b - -,f7f5
3r2k1/1p2ppbp/1pn1b1p1/2P5/r2Pn2N/1N6/PB2BPPP/R2R2K1 b - -,b6c5
rnb2rk1/1p2p1bp/2p3p1/1P1q1p2/p2Pn3/2NQ1NP1/P3PPBP/R1B2RK1 b - -,e4c3
2r1n3/p4pkp/6p1/R1pN1b2/2P4P/P5P1/5PB1/7K b - -,e8d6
2br2k1/1p2pp1p/1qp1nnp1/2N5/3P4/1P1NP1P1/1Q3PBP/R5K1 b - -,e6c7
2r2k2/2q2p1p/5Bp1/p1p1P3/2B2R2/8/5PPP/3R1K2 w - -,f6g5
r5k1/6pp/1B2b3/4Pp2/pbp2P2/2N3P1/1P1K3P/3R4 b - -,a4a3
2k3r1/2p4p/p1p5/3b4/2Q4N/8/1P4PP/R6K b - -,d5c4
r4rk1/3qb1pp/2p1pn2/2Pp1p1b/1PpP1P2/2N3P1/1Q1BP1BP/R4RK1 b - -,d7b7
r3k2r/ppp1nppp/1bnpbq2/8/2P1P3/1NN1B3/PP2QPPP/R3KB1R w KQkq -,e3b6
8/p2r4/4pk2/1PP5/3PK3/8/8/5R2 b - -,f6e7
r1bq1r2/1p2ppbk/2p3pp/3n4/p1BP4/4PNBP/PP2QPP1/2RR2K1 w - -,a2a3
rn1qnrk1/2p1bppp/p2p4/1p1Pp3/3P4/2P2N1P/PP3PP1/RNBQR1K1 b - -,f7f6
5k2/p7/2BPP1K1/7p/7b/6p1/P7/8 b - -,h4e7
r1bq1rk1/pp2n1b1/2np2pp/4pp2/NPP5/3P1NP1/4PPBP/1RBQ1RK1 b - -,c8e6
rn2q2k/bb4pp/2pp1r2/p4p1N/3Nn3/1P2P1P1/PB3PBP/2RQ1RK1 b - -,a7d4
r7/P3q1pk/2R4p/5Q2/3P4/R3b2P/1r4P1/7K b - -,g7g6
3rn3/1p1r1pk1/pqbp2p1/P3p2p/1PP1P2P/2NR1PP1/1Q6/3R1B1K b - -,b6a7
r1rb1q1k/5p1p/2p1n1p1/1p1bP3/p2PN1N1/P6P/1PB2PP1/2QRR1K1 w - -,e4f6
4rrk1/1p6/p4bp1/P2R3p/4pPp1/2P1B2P/1P2K3/3R4 w - -,h3g4
rn3rk1/pp2ppbp/2p1bnp1/7q/2NP3P/1P3NP1/PB2PPB1/R2Q1RK1 b - h3,e6d5
rnbqk2r/1p2nppp/4p3/p1bpP3/8/P2B1N2/1PP2PPP/RNBQ1RK1 b kq -,e7g6
r3kbr1/1b3p2/p3p3/1pp1B1p1/7p/1P1P1N2/1PP2PPP/R4RK1 w q -,f3d2
1rb2rk1/2q2pbp/pnn1p1p1/P7/1p6/1N3Q2/RPP2PPP/2B1RBK1 w - -,a5b6
8/4Qpp1/2p1p1k1/3q3p/1P5P/6P1/5P1K/8 b - -,d5f5
r2q3k/pb3rpp/3pnP2/1pp1p3/4PBNP/3P1B2/PPP2P1K/R2Q2R1 b - -,e6f4
r1b2rk1/pp2ppbp/1qp2np1/8/3P1B2/2PB1N2/PPQ2PPP/R4RK1 b - -,c6c5
r1bqkb1r/pp1n1ppp/2n1p3/1NppP3/2PP1P2/5N2/3B2PP/1RQ1KB1R b Kkq c3,a7a6
r2q1rk1/pp2bppp/4n3/3pB3/4n3/4PN2/PP3PPP/RN1Q1RK1 b - -,a8c8
3r3k/3r2pp/p1qpnp2/1p2p3/4P3/1PPRQP2/P3N1PP/3R1K2 w - -,e3c1
1k3r1r/1pp1n3/p2b4/8/3PB1R1/1P4p1/1P1B1P2/4R1K1 w - -,f2g3
rn1q1rk1/5pbp/b2ppnp1/2pP4/2B1P3/5N2/PP1NQPPP/R1B1K2R w KQ -,d5e6
7k/1p2b2p/1p2Np2/n2B1Pp1/3N1P2/3K3r/PP6/8 w - -,d3e4
5n2/pp2k3/2p3p1/2P2rPp/3R3P/1P1N4/P2K4/8 b - -,b7b6
r5k1/pp2b1pp/5p2/r7/8/4B1P1/PP2PP1P/2R2RK1 w - -,c1c7
r3r2k/p2b1p1p/1p3q2/2pP2p1/2P1Pn2/P2N1PB1/3QB2P/2R3bK w - -,c1g1
1R6/p6p/6pk/3p4/3P1P2/3n3b/P3r2P/1R5K b - -,d3f4
8/3q1k2/7p/2p3pP/4Qp2/P7/1PP5/1K1R4 b - -,d7d1
r2rqnk1/p4ppp/2pQ4/4P3/5P2/1P3NP1/P6P/3RK2R w K -,d6c5
5r2/4nrk1/4q1p1/p1p1pP1p/PpPn4/1P4PP/2P2RB1/3Q1RNK b - -,f7f5
8/8/p2r2p1/3pp3/2k5/P6R/5P1P/5K2 b - -,d6b6
r6r/3q1pbk/1p2p3/p2pP2Q/2pP1P2/2P5/PP3R2/R1B3K1 b - -,h7g8
1r1q1rk1/2pbppbp/p1np1np1/1p1N4/2PP1B2/5NP1/PP1QPPBP/2R2RK1 b - -,b5b4:b5c4
r1bq1rk1/p4ppp/1pn1pb2/2pn4/4N3/5NP1/PPPPQPBP/R1BR2K1 w - -,c2c4
2b2rk1/2q1bppp/pB1p1n2/4p3/4P3/2P2B2/2P1QPPP/RR4K1 b - -,c7c3
r1bqk2r/p3p1bP/2p2n2/3pp3/8/2N1B3/PPP3PP/R2QKB1R w KQkq -,e3g5
rnbq1rk1/p1p2ppp/1p1bpn2/3p4/2PP4/P1NBP3/1P2NPPP/R1BQK2R w KQ -,e3e4
7k/p1q1p2p/1p2b1p1/3pP3/1P6/2Q2PP1/PB5P/6K1 b - -,c7d7
r1bqnrk1/1pp2pbp/2np2p1/p3p3/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -,c3d5
r2q1r2/pp1b1pbk/2p2n2/3pp1p1/2B1P1Pn/P2P1P2/1PPQ1N1N/R4RK1 w - -,d2g5
1r3rk1/p3b1pp/2p1n3/2p1pp2/2N5/2NPBPPb/PP2P2P/2R1R1K1 w - -,b2b3
r2q1rk1/5bp1/1pp4p/3p2P1/1Q3Pn1/2PB4/P2B3P/4RRK1 w - -,f4f5
r2r2k1/1p2npbp/2p1q1p1/1P6/4P3/2B5/2Q1BPPP/2R1K2R b K -,a8a2
rn1q1rk1/pb2bppp/1p1ppB2/8/2PQ4/2N2NP1/PP2PPBP/R4RK1 b - -,e7f6
2rq4/Q4kb1/2P3pp/4r2n/3p4/6P1/PP1B1P1P/R2R2K1 b - -,d8e7
r4rk1/p3pp1p/bnp3p1/2p5/4P3/P1P1BN1P/2P2PP1/1R1R2K1 b - -,b6a4
2b1r2k/6p1/2P4p/qP2nP2/4P2P/1Q1p2P1/3R2K1/4R3 w - -,e1d1
