8/1P6/7k/2R5/5r2/2K4p/1P6/8 b - -,f4f3
B7/8/4p3/2r3p1/6K1/4kPP1/8/8 b - -,e3f2
8/R7/5r2/3p1k2/3P4/3NP1b1/4K3/8 b - -,g3d6
2rr2k1/1b1nbp1p/p2qpnp1/1p1p4/3N4/PP1PPNP1/1B1Q1PBP/2R2RK1 w - -,b3b4
r2q2k1/2pn1rb1/3p2n1/NN1Pp3/2P1P1p1/5pP1/5B1P/R2QR1K1 b - -,d7c5
r1bq1rk1/p3p2p/2p3p1/2p1b3/3p4/1P1PP2P/PBPN2P1/R2QR1K1 w - -,d2c4
1b2r1k1/1p3r2/p3b1Bp/3p2p1/1P1B3q/P1R1Pp1P/5PP1/2R2QK1 w - -,g6f7
rn1qkb1r/ppp2ppp/4pn2/8/2PP2b1/5N2/PP2BPPP/RNBQ1RK1 b kq -,f8e7
2r3k1/1pR1ppb1/1R1q2pp/8/8/4BP1P/5P2/2Q3K1 b - -,c8c7
rn1qk2r/p1p1bppp/bp2pn2/8/4P3/5NP1/PPP1QPBP/RNB1K2R w KQkq -,c2c4
6k1/pp3rp1/4Q2p/8/P3P3/3rNbPK/1P1q3P/4R3 b - -,d2e1
r6k/1p5p/2pp2p1/p7/2P2r2/P1P4P/6B1/4R2K w - -,g2f1
r4rk1/pb1n2pp/3pp3/2p2pq1/1PP5/P3PP2/1B1QB1PP/3R1RK1 b - -,a8d8
3bk3/2p5/3p4/1P1Pp2p/4P1P1/5K2/3B4/8 b - -,h5g4
2r2rk1/p5pp/4p3/PP6/2R1n1P1/1N3p2/3BP2P/2R1K3 b - -,f3f2
rn1qk1nr/pp2ppbp/6p1/3p4/6b1/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,g4f3
r2r4/1K4pk/1R5p/pPP4P/6P1/8/8/8 b - -,a8b8
6k1/p2q2p1/Pr2p2p/1PQbPp2/2pP4/4P3/2P2RPP/1R4K1 w - -,c2c3
rnbqk2r/ppp1bppp/8/3Pp3/2P1P1n1/P1N4N/1P4PP/R1BQKB1R b KQkq -,a7a5
5rk1/ppp2p2/nq4bp/1N6/1PQ5/P4B1P/6P1/4R2K b - -,f8d8
r1bqk1nr/pp2pp1p/3p2p1/n1pP4/2P5/2P1PN2/P4PPP/R1BQKB1R w KQkq -,f1d3
r4rk1/6p1/p3q2p/1b1pPp1Q/1Pp5/2P1B2P/R4PP1/R5K1 w - f6,e5f6
3rrbk1/1p3n1p/p1pp1pp1/7P/2P1P3/BP3PP1/P2R1NK1/3R4 b - -,f8e7
2r3k1/5pbp/R5p1/1pPr4/8/P3B3/5PPP/2R3K1 b - -,g7b2
2kr3r/pppqbppp/2npb3/6N1/5B2/1PP5/P1PQ1PPP/2KR1B1R b - -,e7g5
rnbqkb1r/pp3ppp/2p1p3/3n4/2B5/2N2Q2/PPPP1PPP/R1B1K1NR w KQkq -,d2d4:g1e2
rnbqk2r/1pp2ppp/p1n1p3/P7/Qbp5/6P1/1PNPPPBP/RNB2RK1 b kq -,b4a5
r1q2kr1/1p1nppb1/p2p3p/B2P1b2/5P2/1N2Q3/PPPR2BP/2K1R3 b - -,g7f6
r4rk1/4bppp/ppqppn2/8/1PP5/P4NP1/1B2PP1P/R2Q1RK1 w - -,a1c1
1R1q1r2/p5kp/b2pp1p1/2p2p2/2PnP3/3P2PP/P2Q1PB1/3N1RK1 b - -,d8b8
3r1qk1/pp4p1/2b2R1p/3N4/1PpQ1N2/P6P/5PP1/6K1 b - -,g7f6
5rk1/Qb3ppp/2pq4/1p1p4/3P4/6P1/4PPBP/2R3K1 b - -,d6d7
r2r2k1/p1pn1pp1/1p2p2p/7q/2BP4/1Q2PP2/PP3P1P/R4R1K w - -,b3d1
r2qr1k1/pb1n1pbp/1pp2np1/3p4/1P1P4/2N1PNP1/PB3PBP/R2QR1K1 b - -,d8e7
r1bqkb1r/pp3ppp/4p3/3p4/3P4/6P1/PPQNPPP1/R3KB1R b KQkq -,c8d7
r1bq1rk1/1ppnppbp/p2p1np1/8/2PPP3/2N1BP2/PP1QN1PP/R3KB1R b KQ -,c7c6:c7c5:a8b8:e7e5
8/8/2B2k1p/4P3/5P2/p4K2/P6P/2b5 b - -,f6f5
2rqr1k1/pp3pp1/2nb3p/2p5/3pBNb1/2P3P1/PPQBPP1P/3RR1K1 b - -,d8e7
6k1/pp1b1p1p/6p1/2rP4/8/2B5/PK3PPP/3R4 b - -,c5b5
r7/p2bqr1k/1p1p1npp/PPpP1p2/2P1pP1P/2Q1P1PB/1B3R2/3R2K1 b - -,f6h5
1bb3r1/p4k2/1p3pr1/2p2ppp/P6P/1PBPR1P1/2P1R2K/8 w - -,e3e7
5rk1/r4p2/1N1R1Pn1/1bN1p2p/pp2P3/8/PPPR3P/2K5 w - h6,d6d8
2R3k1/p3rppp/5n2/8/6n1/1B2P1P1/PB3P1P/6K1 b - -,e7e8
8/5kp1/1p6/2p2PPp/Pp1pPK2/1P6/1NP1b3/8 w - h6,g5g6
3r4/4rk2/p1b1pqpp/1p1pRp2/3P4/2P3QP/PPB2PP1/4R1K1 w - -,c2d3
r1bqk2r/pp1p1ppp/4p3/4n3/1bB5/P1N5/1P1BQPPP/R3K2R b KQkq -,e5c4
2k5/1pbr2p1/p1p5/5p2/P7/1R2BK2/2P2P1r/4R3 w - -,e1e2
8/8/8/1p4R1/8/r7/2K2p2/5k2 w - -,c2d2
r1bqkbnr/pp2pppp/2n5/3pP3/1p6/P7/2PP1PPP/RNBQKBNR w KQkq -,d2d4
8/5k2/8/R6P/6K1/6P1/6r1/8 b - -,f7g7
8/R7/5k1p/5p2/4pP1P/6K1/6P1/5r2 w - -,a7a6
r2q1rk1/pp2ppbp/6p1/3N4/1Pp1P3/P2n2PP/3PQP2/1RB2RK1 b - -,e7e6
8/5k1p/8/p2K4/2PR4/2r3PP/P7/8 b - -,c3g3
8/8/8/5pp1/r4k1p/7P/4RKP1/8 b - -,a4a3
2r3k1/R4pp1/8/1B5p/P2B1P1n/4P3/6bP/4K3 w - -,b5d7
b3R3/7Q/k3p3/1p1p4/pP3p2/P1P1q3/1KN3r1/8 b - -,a8b7
rn1q1rk1/4ppbp/pn1p2p1/2pP4/NpP1P3/4B3/PP2BPPP/2RQ1RK1 w - -,a4b6
3rr3/1q2ppkp/5np1/p1p5/PpPP2PQ/4P2P/1P1N4/R4RK1 w - -,d4d5
3r3r/p1pk2pp/4pn2/8/3b4/2N3PP/PP3P2/R1B2RK1 w - -,c3b5
r2qr1k1/1bppbppp/p1n2n2/1p2p1B1/P3P3/1B1P1N2/1PP2PPP/RN1QR1K1 b - -,d7d6
2r2r1k/p1Q4p/1p3p1q/5P2/P7/6R1/1P6/1K4R1 w - -,c7a7
1b2rr1k/1ppq2p1/2n4p/pNPp4/3P1pPn/PP3B1P/1B1Q1P1K/R3R3 w - -,f3e2
r1bqk2r/pp1nppbp/2p3p1/2p5/4P3/2NP1N1P/PPP2PP1/R1BQK2R w KQkq -,c1e3:e1g1
r4rk1/ppp3b1/7p/2PP4/4ppb1/8/PP2NKPP/1R3B1R w - -,h2h3
4rnk1/pb3pp1/1p5p/3pP2q/1P3P2/P1rQ2P1/5N1P/RB1R3K w - -,g3g4
8/p3r3/2P2k2/2p1b1p1/2P3p1/3B1pPr/PP3P2/R3R1K1 b - -,e7e8
2r1k2r/1pqbbpp1/2n1p1n1/p2pP3/1P6/P1P2NP1/1B1NQPB1/R3R1K1 b k -,h8h5
4q1k1/1p3p1p/p5p1/6P1/P1n1P3/6PB/2N5/3r1QK1 w - -,f1d1
2q5/2r2kp1/p1P1b3/3n1pPp/1p1NpP2/1P2B1P1/P1P1Q3/3R2K1 b - -,g7g6
6k1/pp1rpp2/q1p1n1pp/2Q5/4P3/P5P1/5P1P/1R3BK1 w - -,c5e3
8/5pk1/4b3/8/2p4p/5p1P/1P6/5BK1 b - -,g7f6
2r3k1/2rbq1p1/p3p2p/1p1pPp2/3NnQ1P/P1P3P1/1P2BP1K/2R3R1 b - -,c8f8
r1bqr1k1/pppnbppp/4pn2/6B1/2pP4/2NBPN2/PP3PPP/2RQK2R w K -,d3c4
1r1qr1k1/3b1pb1/p2p2pp/P1pP3n/4PPn1/1p4P1/1P1BN1BP/R2QNRK1 b - -,d7b5
r1bq1rk1/pp3pbp/3p2p1/2pnp3/2PnP3/3PB1P1/PP2NPBP/R2Q1RK1 w - -,c4d5
3r2r1/p4q2/1p2b1pk/3pPpRp/2pP1P1P/2P2B2/PPQ5/6RK b - -,f7d7
r2q1rk1/1p1n1pp1/2n1b2p/p1bpP3/5B2/P1NB1N1P/1P3PP1/R2Q1RK1 b - -,f7f6
r1bq1rk1/p3nppp/1Pn1p3/1N1pP3/5P2/8/PPPQ2PP/R3KBNR b KQ -,d8b6
2r3k1/1p2ppbp/p7/P7/2rNbP1p/8/1PPR1BPP/2K1R3 b - -,f7f5
rnbqkb1r/ppp1pppp/5n2/3pP3/8/3P4/PPP2PPP/RNBQKBNR b KQkq -,f6d7
2r2rk1/p2p1pp1/1pn4p/3B4/8/P5P1/1P1qPP1P/3R1RK1 w - -,d1d2
rnbqk2r/ppp2ppp/4pn2/4P3/1bpP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,f6d5
r1bqkb1r/pp2pppp/2n5/3pB2n/3P4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,f7f6
r3k2r/1p4pp/1ppBbp2/8/P7/8/1PP2PPP/R4RK1 w kq -,f1e1
r1b1k2r/1p1p1ppp/1qn1pn2/8/p1P5/2b3P1/PP1NPPBP/R1BQ1RK1 w kq -,b2c3
