8/5k2/4b2p/3Q2p1/1P6/2P3Bq/P6P/2K5 w - -,d5f3
r1bqr1k1/ppp2pbp/6p1/3pP3/5Q2/3B4/PPPB1PPP/4RRK1 w - -,f4g3
r3kb1r/1b1p1ppp/pqn1p3/2pnP3/PpP5/5NP1/1P1PQPBP/RNBR2K1 b kq -,d5e7
4rbk1/p6p/1p3pp1/8/5P2/2PRB3/PP3KP1/5N1r b - -,g6g5
r3k2r/3n1ppp/2p1p3/p2qP3/Pb1P4/2pBP1N1/2Q3PP/1R2K2R w Kkq -,e1g1
r1bq1rk1/bp3pp1/p1np1n1p/4p3/1PP1P3/P1NB4/2N2PPP/R1BQ1RK1 w - -,a1b1
8/4r3/6k1/6n1/8/8/K4pB1/5R2 b - -,e7e2
r4rk1/p3bpp1/1q2pn1p/1b6/1P1P3B/P4N2/BQ3PPP/2R1R1K1 b - -,b6b7
r4rk1/1ppn1pbp/3p2p1/p1qP4/3pPP1P/PP1P2P1/1B4BK/R2Q1R2 b - -,c5b5
2rqk1nr/pp2bppp/2npb3/4p3/2P1P3/2NB4/PP3PPP/RNBQ1RK1 b k -,e7g5
r1bq1rk1/1p3pbp/2pQ2p1/8/8/6P1/PP2PPBP/R1BR2K1 b - -,c8e6
3R2k1/2q2ppp/n4n2/p1p2Q2/PpN2N2/1P2P3/5PPP/6K1 b - -,c7d8
1kr3r1/1pq1bp1p/p1bppp2/P3n3/3QP3/1NN5/1PP2PPP/R1R2B1K b - -,f6f5
8/p2q4/4k1Q1/2pp1ppP/4r3/8/PP3PP1/2R3K1 b - -,e6e5
r1b1k2r/pp1n1pb1/2p2qpp/3p4/1P1P4/2NBPN2/P4PPP/2RQK2R b Kkq b3,a7a6
2rbr1k1/1p3ppp/2np2b1/pq4P1/4P3/P2P1N1P/1BQ5/2KR1B1R w - -,c1b1
4r3/1r1qnpkp/1pn3p1/pQ1p4/P2P4/B1P2NP1/5PKP/1R2R3 b - -,e8d8
r4rk1/p2b1ppp/1qp1p1n1/3pP3/1P1Q4/2P5/P2NBPPP/R4RK1 b - -,f7f6
8/8/1p1k1p2/p2ppB1p/1P3PPP/P3Pb2/8/4K3 w - -,g4g5
r1b2rk1/2q2ppp/p1p1p3/1p4Pn/1b2P3/2N1BP2/PPPQ3P/2KR1B1R w - -,f3f4
r4rk1/Q5bp/4bpn1/8/4P3/4B1P1/Pq3PBP/1R3RK1 b - -,b2e5
r2qr1k1/ppp3pp/1b3p2/1P1n4/3P2Q1/1PP1p3/3B1PPP/RN2K2R w KQ -,f2e3
8/8/3k2p1/5p2/2Pn1K1P/5P2/8/8 w - -,f4g5
1r2kb1r/2Qb1ppp/4p3/p2pP3/3q4/8/5PPP/R1BB1RK1 b k -,b8c8
rnbq1rk1/pp1pppbp/2p2np1/8/2PP4/2N2NP1/PP2PPBP/R1BQK2R b KQ d3,d7d6:d7d5
4r1k1/ppq1rppp/2b5/3p3P/3P2P1/P1PpPP2/3B1K2/1R2RQ2 b - -,c7h2
rn1qkbnr/1b2pppp/p2p4/1pp5/4P3/2N3P1/PPPPNPBP/R1BQK2R w KQkq -,d2d4:e1g1:d2d3
8/1p2rkp1/3R3p/8/8/8/PP3KPP/8 b - -,e7c7
r4rk1/p2qp2p/1n3pp1/1pp1B3/7Q/1P1P1R2/P1P3PP/R6K w - -,e5b2
3r3k/1p3p1p/p4N2/5b2/3P4/5n1P/PP2KP2/R7 w - -,e2f3
r4rk1/1bqnbppp/pp1ppn2/8/2P1P3/N1N1BP2/PP1QB1PP/2RR2K1 b - -,a8c8
4rrk1/6p1/1b2p1q1/p2pP2p/QppP1PB1/5NKP/PP6/3R1R2 b - -,b6d8
2k3r1/3b1p2/pq1B3p/2pP4/2P5/1P4P1/P4PB1/3RR1K1 w - -,d6f4
r3k1nr/3q1b1p/p1n1pp2/1p1p2P1/B2P3p/4PN2/PP1N1P2/R2QK2R w KQkq -,a4c2
1r3rk1/p6p/4pp2/n2p1p2/3P1P2/1P2P1P1/2RNR2P/7K b - -,f8f7
2r4k/pp1q2rp/1n2pQ2/3pP3/8/BP4RR/P4PPP/6K1 b - -,h8g8
r1r3k1/1p2bppp/p1n1bn2/q2p2B1/2PP4/P1N1P1P1/3N1PBP/R1Q2RK1 b - -,d5c4
r3r3/pp2ppkp/2pq2p1/3n1bN1/3P3P/1B6/PPPQ1PP1/3RR1K1 b - -,h7h6
5k2/4bppp/p7/1p6/4N3/5KP1/PPr1PP1P/R7 w - -,a1b1
rnbq1rk1/4ppb1/pp1p2pp/2pPn3/P1P1PB2/2NB2N1/1P3PPP/R2Q1RK1 b - -,e5d3
7r/3k1r1p/7R/pp1p1p2/3q2nQ/3P3P/6B1/5R1K b - -,a5a4
r2qk1nr/ppp3pp/2nbbp2/3pp3/Q3P3/2PP1N2/PP1N1PPP/R1B1KB1R w KQkq -,f1e2
r4rk1/pp4pp/2n5/3b1pq1/4p3/P1Q4P/1PP1BPPN/R4RK1 w - -,e2c4
3rr3/pp4k1/2p2bp1/3n1p1p/3p4/PN1P1NP1/1PR1PP1P/4R1K1 w - -,b3d4
r3r1k1/p4ppp/6n1/q1p5/2b1B3/2P1B1P1/P1QR1P1P/4R1K1 b - -,a8d8
rn1qkbnr/1p2pppp/p1p3b1/8/P2P4/5NN1/1PP2PPP/R1BQKB1R b KQkq -,g8f6
r1q2rk1/3Qb1pp/p1p1ppn1/1p6/4P3/1PN1B3/1P3PPP/R2R2K1 w - -,f2f4
8/2B2k2/8/p1p5/1pP5/1n5P/4K3/8 w - -,e2d3
4Rrk1/p2b2q1/1p1p4/n1pP3p/2Pp4/1P1N2bP/P5B1/3QRNK1 b - -,f8e8
r2qnrk1/1p1nbppp/2p1p3/p2pP2b/3P4/1NP1BNP1/PP3PBP/R2QR1K1 b - -,e8c7:a5a4
4qb1k/7p/3pP1p1/4p3/8/4rQP1/5PK1/R7 w - -,f2e3
rnbq1rk1/pp2ppbp/5np1/2pp4/3P1P2/2P1PN2/PP2B1PP/RNBQ1RK1 b - -,b7b6
r2q1rk1/4bppp/bnp1p3/p2p2P1/3QP2P/1P4N1/PBP2PB1/R3K2R b KQ -,e7b4
5r2/7p/3p2k1/4p2R/1PB3P1/4n3/P4r2/2R3K1 b - -,f2g2
6k1/7p/1P4p1/1rPR1p2/5P2/2r5/4KR2/8 w - -,f2f3
3rr1k1/1p3pbp/p1p1p1p1/R7/1PNPPP2/2P2K2/5P1P/2R5 w - -,h2h4
6k1/pb1rqrpp/1pp1p3/5p2/PPPP1R1P/2Q1P1R1/1B4P1/6K1 b - h3,f7f6
r1bq1rk1/1pp2pp1/3p3p/p1bPp3/3nP3/P2P1N2/1P2BPPP/R1BQ1RK1 w - -,f3d4
r1bqk2r/ppp3pp/2np1n2/1Bb1p3/4P3/2PQ1N2/PP3PPP/RNB2RK1 w kq -,b2b4
3R4/p5bp/1p1N2k1/5p2/2n1bB2/2P5/P4K2/8 b - -,e4d5
5rk1/5pb1/p2p2pp/8/2PpP1P1/3P1Q1R/3q2NP/1r3R1K b - -,b1f1
8/2p3pk/p4p1p/P1N5/2b1PP2/7P/6P1/6K1 b - -,h7g6
r2q1rk1/5p1p/p2p2p1/1ppPn2n/4P3/P1N1Q2P/1P2BPPK/2R1R3 b - -,d8h4
r1bqkb1r/pp2nppp/2np4/2p1p3/2P5/1P2P1P1/PB1P1PBP/RN1QK1NR b KQkq -,g7g6
2r2k1r/ppqnbpp1/2n1p1p1/3p4/Q2P2P1/2N1P2P/PP1BBP2/R4K1R w - -,f1g2
6k1/pp3p1p/3q2pb/7r/Q4P2/2B5/PP2r1PP/R4R1K b - -,d6d5
1r1q1rk1/3bppbp/p1np1np1/1p6/4P3/P1N1B2P/BPPQNPP1/R3K2R w KQ -,e3h6
r4rk1/ppq1bppp/2npbn2/2p1p1B1/P1B1P3/2PP1N2/1P1N1PPP/R2QR1K1 b - a3,f8d8
r1b2rk1/pp1nqpbp/2pp1np1/8/2PpP3/2N1BN2/PPQ1BPPP/3R1RK1 w - -,f3d4
4rrk1/p1p3pp/2p2p2/Q1Ppq3/8/3P2P1/PP3PP1/4RRK1 b - -,e5b2
4r1k1/pp3p1p/1q1n1np1/5p2/3R4/1NP3PP/PPB2P2/5QK1 b - -,f6e4
r2q1rk1/1b1nbppp/p3pn2/1p2R1B1/3N4/2NB4/PPPQ1PPP/3R2K1 w - -,g5f6
b3r1k1/6b1/p2pp2p/6p1/1qp1P3/4QNP1/P1P3P1/3RR1K1 w - -,c2c3
8/1p5r/2p2k1p/8/3PPPB1/5K2/PP6/8 b - -,h6h5
8/6pp/3Bp3/pK2n3/4k3/6P1/P6P/8 w - -,d6f8
r2q1rk1/2p2ppp/pbnp4/1p2p3/4P3/2PPNNPn/PP3P2/R1BQ1RK1 w - -,g1g2
rq3rk1/pp1n1ppp/2pbp3/7b/2PPN3/1Q3N1P/PP3PP1/R1B1R1K1 b - -,d6c7
r3k2r/pp1n1pp1/2pbp1p1/5q2/2PPp3/PP2P1P1/3BQP1P/R3KB1R b KQkq -,f5f3
r2qrbk1/5ppn/p1bp3p/1p2p3/4P1N1/1BP3NP/PP3PP1/R2QR1K1 b - -,h7g5
7r/8/4n1R1/3pk3/Ppb5/5PKP/P2R2P1/8 w - -,d2b2
r5k1/5p2/1pqNr1pp/1Pp1n3/8/6QP/P4PP1/2RR2K1 b - -,c6d7
2kr3r/pp1nb1p1/3p2p1/2pP4/6q1/3RB2P/PPP2PB1/2K1R3 w - -,h3g4
1r6/3R4/5r2/4p1b1/pN2P2k/2P3p1/1P2B3/R3K3 w Q -,d7h7
r1q2rk1/2pbbppp/p2p2n1/3P4/PpPNNP2/8/1P4PP/R1BQR1K1 b - c3,f8e8
2kr3r/1pp2bpn/p1pq4/5PPp/4P3/3PB3/PPP4Q/RN3RK1 b - -,g7g6
1r6/2bbnk1p/p2pp3/2p2pp1/8/BB4P1/P3NP1P/2R3K1 w - g6,f2f4
