3r4/8/6p1/PR3pkp/4p3/1P2P2K/8/8 b - -,d8d3
8/8/8/4ppk1/7p/5K2/3N1PP1/8 b - -,g5g6
5rk1/r1bn2pp/p1p2q2/2Pppp2/P2Pn3/2N1PNP1/2QB1P1P/1R3RK1 w - -,c3e2
r1b2rk1/p3pp1p/2p3p1/3n1qN1/3b1P2/3P4/PPP1B1PP/R1BQ1RK1 w - -,g1h1
r2q2k1/4rp2/p2p2p1/P1pP4/1pB5/2bQ2P1/R1P2P1P/3R2K1 b - -,d8c8
r4rk1/pp1nppbp/2p2np1/q7/2PP1B2/2NQ1N1P/PP3PP1/3RR1K1 b - -,e7e6
8/pp3kpp/2pQ1b2/3p4/5PP1/8/P3qNKP/8 b - -,h7h6
8/8/8/4K3/P7/4P1k1/8/7b b - -,h1a8
4rnk1/ppq2pp1/2p2np1/2Pp4/1P1P4/3B1NP1/P1Q2PP1/4R1K1 w - -,e1e8
r1bqr1k1/2p3bp/1p4pn/p1pPpp2/2P1P3/2N1BP2/PP2B1PP/R2Q1RK1 w - -,d1d2
6k1/5p2/1R4p1/3r3p/6P1/4P2P/5PK1/8 b - -,h5g4
2r5/pq4kp/6p1/8/3Pp3/1P6/P2Q2PP/5RK1 w - -,d2g5
r2q1rk1/1pp1n1pp/p1pb4/4p2b/4P3/1QP1BN1P/PP1N1PP1/R4RK1 b - -,g8h8
4r1k1/5pbp/3p1np1/2nP4/Q1p1PP2/2NqB1PP/1P5K/4RB2 w - -,a4e8
8/ppk2pp1/2p1r1p1/2n5/8/5BP1/PPPR1P1P/2K5 b - -,e6f6:e6e1
2r2rk1/pp4p1/2n1bq1p/3pn3/8/1P3NN1/P2QBPPP/2R2RK1 b - -,f8d8
5r2/2pkb1rp/p3p3/1p1p4/3P3P/2P1P3/PP2BP2/3R1K1R b - -,f8g8
r3kbnr/1bqp1ppp/p1n1p3/8/1P1NPP2/2N1B3/1PP1B1PP/R2QK2R b KQkq -,f8b4
r2r2k1/ppq1bppp/2p2n2/8/3P1P2/7Q/PPBB2PP/R4RK1 b - -,c7d7
r1bq1rk1/p1p3b1/1pPp3p/3Ppnp1/1PN1B3/2N5/P4PPP/R2Q1RK1 b - -,f5d4
2r4k/3q2bp/1pn1p1p1/2p5/p1P1Q3/P2P2P1/1P3P1P/R1B2RK1 b - -,c8f8
3r2k1/1p3ppp/p1qrp3/8/P1P1n3/1P5P/1Q1RNPP1/3R2K1 w - -,d2d6
8/5k2/6R1/5pK1/5P2/r5P1/8/8 w - -,g6f6
2b4B/1Nk1b3/p1p2pr1/4p1p1/4P3/1P6/P1P2PPP/3RR1K1 b - -,c7b7
2R1Q3/2r4p/3r2k1/p1qP2p1/RpP5/4P2p/5P2/6K1 b - -,g6h6
2r3k1/pR2p2p/5pp1/8/6P1/3PQ2b/4PP1P/q5NK b - -,c8c1
8/5pk1/8/2R3Kp/1r5P/6P1/8/8 b - -,b4g4
r2b2k1/5rpp/3p4/B1pPp3/2P4P/RP4P1/5PK1/R7 b - -,d8f6
5r1k/1pQ3bp/6p1/1q2Pp2/4pNn1/6P1/2R3B1/5R1K b - -,g7e5
2b3r1/1p2bkq1/p1p3p1/3pPpN1/5P2/3BP1Q1/P1PK2R1/8 b - -,f7f8
r2r2k1/p4ppp/5n2/1Npbq3/4p3/1P2P3/P1Q1BPPP/R4RK1 b - -,a7a6
2r3k1/pp1b1p2/1q5p/2rPp1p1/4P3/2N5/PP2QPPP/R1R3K1 w - -,e2d2
2r3k1/5pp1/1q2p3/7p/3R4/3Q2P1/PpP4P/1K6 b - -,e6e5
6rr/5p2/1p1pbkp1/p6p/2P2K1P/PP1B1P2/3R2P1/4R3 b - -,g6g5
r1b1r1k1/4qpp1/p1np3p/1p6/3pP1n1/5N2/PPN2PPP/R2QRBK1 w - -,c2d4
3k4/4p3/3p1p2/2pP1Pp1/1p2P1Nr/1P5P/2P1b2K/R7 w - -,h2g3
r2r1k2/pp1b1pb1/1n1p1npp/3P4/5B2/2NB4/PP2NPPP/3RR1K1 b - -,d7e8
3b4/7r/p3k3/1p1p1p2/1PrB1P2/P3P3/6K1/2R3R1 w - -,g2f3
r1bq1rk1/1p2bppp/n1p1pn2/p2p2B1/P1PP4/2N1PN2/1P2BPPP/R2Q1RK1 w - -,d1b3:f3e5
1r1q1rk1/3b1pbp/p2p1np1/n1pPp3/2P1P3/6P1/PBQN1PBP/R2N1RK1 w - e6,b2c3
8/5kp1/7p/8/5Q2/3P3P/6PK/4q3 b - -,f7e6
r4rk1/1b1n1pbp/p2p1np1/qp1Pp3/1P2P3/P1N1B2P/3NBPP1/R2Q1RK1 b - b3,a5d8
8/p4kn1/1pr2p2/3p3p/3P1Np1/3K2P1/PP3PBP/8 w - -,g2d5
2r1k1r1/pb6/1p1np3/5p2/PR3P2/2p5/2P3PP/2B1KB1R w K f6,c1a3
8/3k2p1/1p3p1p/p1p5/P7/4P2P/1PK2PP1/8 b - a3,d7c6
rn1qk2r/pb1pbppp/1p2pn2/2p5/3P4/2P2NP1/PP2PPBP/RNBQR1K1 b kq -,d7d5
r1bqr1k1/pp3pbp/2p2pn1/8/2PP4/P3BN2/3QB1PP/R4RK1 w - -,a1e1
r1b2rk1/pp1n1ppp/1qpbpn2/3p4/2PP4/1P3NP1/PBQ1PPBP/RN3RK1 b - d3,b6c7
r1bq1rk1/1pp2ppp/2n5/p2p2b1/2N1P1n1/2P1BN2/PPQ2PPP/2KR1B1R b - -,g5e3
r1bq1rk1/ppp2ppp/2np1n2/1Bb1p1B1/4P3/2PP1N2/PP3PPP/RN1QK2R w KQ -,b1d2
3r2k1/5pnp/3Pq1p1/p7/1pP1PN2/1P6/1P4QP/3R2K1 b - -,e6e5
2bq1rk1/p4ppp/1n2pn2/2b5/8/2N2NP1/Pr1BPPBP/R2Q1RK1 b - -,c8b7
rn1qkb1r/ppp1ppp1/5n1p/3p1b2/3P1B2/2N5/PPP1PPPP/R2QKBNR w KQkq -,e2e3
r3k2r/2p2p2/p1pqpp2/3p3p/8/1P1PP3/P1P2PPP/R2Q1RK1 w q -,d1f3
3r2k1/1bp1bp1p/p1n5/3rP1p1/1p3B2/2P2N2/PP2NPPP/R4RK1 w - g6,f3g5
3r4/4kp2/1p1ppr2/p3q3/P1PR3Q/1P2P1P1/5PB1/6K1 b - -,e7d7
5rk1/1pp1r3/p2p1np1/2P4p/1P1RP1p1/2N2P1P/1P4P1/3R2K1 b - -,d6c5
r3nrk1/1p4b1/p2pq1pp/2p1Bp2/P7/2N1P2P/1P1QBPP1/3R1RK1 b - -,e6e5
rn1qnrk1/4ppbp/b2p2p1/1BpP4/P3P3/N1N2P2/1P4PP/R1BQK2R w KQ -,e1g1
2r3k1/p4p1p/2Rp1pp1/1p6/4P3/1P3P2/PP1R2PP/1K6 b - -,c8c6
8/p2k4/p7/n7/5PP1/8/3pK2P/8 w - -,h2h4
rn2kb1r/pp1q1ppp/3p1n2/4p3/4P3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,b8c6
r3k2r/4p2p/p1nq1B2/3p4/2p5/2P2N2/PPb2PP1/R2QK2R w KQkq -,d1c2
8/ppp1p1kp/5bp1/3Pr3/3pB3/1P2Q1P1/P1P4P/5R1K b - -,d4e3
r2qkbnr/pp3p1p/2n1p1p1/1B1p4/3P4/2N2Q1P/PPP2PP1/R1B2RK1 b kq -,f8g7
1r2r1k1/p1q2pp1/2pb1n1p/8/8/2NP1Q1P/PPP2PP1/R1B2RK1 w - -,a1b1
8/8/3pk3/1R2p3/1Pr5/4K1P1/2PR3P/3r4 b - -,d1e1
r2q2k1/p4pbp/1p2p1p1/3bN3/3n4/3B3Q/PP3PPP/R2R2K1 w - -,h3e3
8/8/8/8/6bP/6k1/8/3rRK2 b - -,d1d2
1r4k1/5ppp/Q4n2/8/3q4/5PPB/5P1P/5RK1 w - -,a6a1
r2qr1k1/1b1nbppp/pp1ppn2/2p5/2P5/1PNPPNP1/PB2QPBP/R2R2K1 b - -,d8c7
r5k1/pp1bPpb1/1q4p1/2p1p3/8/2NP3P/PP3QP1/R4RK1 b - -,f7f5
3rr2k/6p1/p2Q1N2/3P3p/6pP/2N1Pn2/PP1p1q2/1K1R4 w - -,d6f4
r1q2rk1/3nbppp/bpp1pn2/p1Pp4/1P1P1B2/P1NBPN1P/5PP1/R2Q1RK1 b - -,c8b7
r3k2r/1p1nq1pp/2p2n2/p3p3/PbQPP3/2N2N2/1P4PP/R1B2RK1 w kq -,c1g5
6k1/ppq2p2/2p1r3/2P4Q/1P3r1P/6N1/P2RP1K1/8 b - -,e6g6
r3k2r/1ppq2pp/p1npbp2/8/2P5/4B3/PPPQ1PPP/2KR1B1R b kq -,e8c8
R7/3KP1kr/8/7p/7P/8/8/8 b - -,g7f6
8/8/2p5/1p1b4/1P3kpN/P1R4P/4r1P1/6K1 b - -,f4g5
r1bq1rk1/1p3pbp/p2p1np1/n1pPp3/2P1P1P1/2N1BP2/PP5P/R1NQKB1R w KQ -,h2h4
3B4/8/8/1p4pk/7p/Pb6/7K/8 b - -,b3d5
2r1r1k1/pp1n2pp/Pq2p1p1/3pP1N1/1b1P4/5Q2/1P3PPP/R1B2RK1 b - -,e8e7
r2q1rk1/ppp3bp/1n1p2p1/5b2/2Pp4/2N1BP2/PP1Q2PP/2KR1B1R w - -,e3d4
