8/3k3p/pK6/1p2p3/2R5/b5P1/P2B3P/8 b - -,b5c4
rnb2rk1/pppp2pp/4p3/5p2/2PP1B2/P4PPN/1PQ1P2q/R3KB2 b Q -,g7g5
rnbqkb1r/5ppp/p1p1p3/1p2n3/2pP4/P1N1P1B1/1P3PPP/R2QKB1R w KQkq -,g3e5
5r1k/1qpQN1pp/p4p2/1p3P2/1Pb5/P2R2NP/6PK/8 b - -,c4d3
r2q1rk1/1b1nbppp/pp1pp3/4n3/2P1P3/NQN1BP2/PP2B1PP/R4RK1 w - -,f1d1
rnbqk2r/pp1p1ppp/4pn2/2p5/2PP4/6P1/PP1QPP1P/RN2KBNR w KQkq c6,f1g2
3rrnk1/pp2bppp/1qp1b3/3n4/1P1PN3/P2Q2N1/2BB1PPP/R4RK1 b - b3,d5c7
2kr3r/1pnb1ppp/3q1b2/3p4/P2N4/2P1B3/4BPPP/R2Q1RK1 w - -,d1b3
3r1rk1/1p3ppb/p1p1pn1p/P1Pp4/3PP3/2N2PP1/1P1R2BP/4R1K1 b - -,d8d7
8/4kpp1/2p3p1/3p2Pn/N1pP1bKP/P4r2/1PR2P2/2B5 b - -,f3d3
1r2r3/4Rb1p/1k3p1b/NP6/1P3P2/8/7P/4RBK1 b - -,e8e7
r4k2/1p3rpp/p1p1b3/2RpPp2/PP1P1P2/4P3/6BP/1R4K1 b - -,f7d7
3r2k1/p4p1p/1qp1b1p1/3r4/8/QP1B1P2/P1P3PP/2KR3R w - -,d1e1
r4rk1/1pqb1ppp/p1n1p3/3pP3/3N1PP1/3B4/PPPQ3P/2KR3R w - -,d4c6
rn2k2r/pp3ppp/1qp1pn2/8/1b1PN3/4Q2P/PPPB1PP1/2KR1B1R b kq -,f6e4
5rk1/5p2/r2p3p/1R2b1p1/1p6/1B4P1/2P2P1P/3R2K1 w - -,b5b4
r1bqk2r/ppp2ppp/2n5/3np3/1bB2P2/2NP4/PPP3PP/R1BQK1NR w KQkq -,c4d5
2rq1rk1/pp3pp1/1npbb2p/3pB3/3P4/2NBP2P/PPQ2PP1/R4RK1 w - -,f2f4
8/3R3p/r5p1/3b1p2/3k1P2/4p1P1/7P/3BK3 w - -,d1b3
4b3/1pk5/p1p2p2/K1Pp1n1p/1P1P3P/P4P2/5B2/5B2 b - -,e8d7
1r4k1/2nq2r1/2p1p3/pp1nP3/4BpP1/PP3Q2/1BR2PK1/7R w - -,h1h6
r2q1rk1/pb2bppp/1pn1pn2/4N3/P1pP4/1P6/1B1NBPPP/R2Q1RK1 w - -,e5c6
2r3k1/1p1bq1pp/p1p1p1p1/2PpPr2/PP1P3P/R2Q1NP1/5P2/5RK1 w - -,f3h2
r4k2/1b3p1p/p3p1p1/8/1P6/1B2P2P/PP4P1/3R2K1 w - -,d1d7
1b6/6k1/1p1P1p2/2p2K2/P1N1P3/8/8/8 b - -,g7f7
r3r1k1/pp2qppp/2nb1n2/3p4/6b1/1P3NP1/PB1NPPBP/1Q1RR1K1 b - -,f6e4
2b2rk1/2p5/1pPp3p/3P2P1/3KP1n1/2P5/2N5/2B3R1 b - -,h6h5
2rn4/pQ4rk/4R1p1/1N3p1p/8/8/PP3P1P/4R1K1 b - -,d8b7
r3r1k1/1b3pp1/p4q2/1ppPp2p/4P3/P7/1P1Q1PPP/RB2R1K1 w - -,b1a2
2b3k1/6pp/p4p2/1p1pN3/3P4/8/PP3PPP/6K1 w - -,e5c6
3r3k/3b1p1p/B3p1p1/2b1p3/4P3/P1R2P1P/6P1/7K w - -,c3c5
2r3k1/p3pp2/8/2PPp3/6p1/4Q1P1/P1q3KP/5R2 w - -,f1f2
8/1p1r1k1p/p1p2pp1/bnPp4/3P2P1/1PPB4/3B1PKP/3R4 w - -,b3b4
r3r1k1/ppnq1bbn/3p1pp1/2pP4/2P1N3/3BBN1P/PP1Q1KP1/3RR3 w - -,d2c2
5rk1/2r5/1RpN2p1/p1np3p/P3p3/7P/4BbP1/2NK1R2 w - -,d6e8
1q1rr1k1/1p3ppp/p2b2b1/3P4/1P2p3/P2nB1N1/3QBPPP/2R1R1K1 w - -,e2d3
8/k1p2q2/1pQ5/p6p/P7/4KP2/8/8 w - h6,c6e4
2r3k1/3bpr1p/1qnp1npQ/p7/1pPNP1P1/1P3P1N/P3B3/3RK2R w K -,d4c6
2r2rk1/p2pppbp/1pq2np1/8/2P5/1PNQ1PP1/P3P1KP/R1B2R2 w - -,c1b2
1r2kb1r/3b1pp1/p3pn1p/q2pn3/N2NP1P1/QP2BP2/P1P4P/1K1R1B1R w k -,a3b2
r1bqk2r/pp3pbp/3ppnp1/1N6/2B1P3/Q2P4/PPP2PPP/R1B1K2R b KQkq -,g7f8
3r1r2/p2nppkp/2bp2p1/1pq1P3/5P2/1BN3QP/PPP3PK/4RR2 b - -,b5b4
r2qkb1r/pp1npppp/2p2n2/5b2/P1pP4/2N2N1P/1P2PPP1/R1BQKB1R w KQkq -,c1f4
R1b1k1nr/3pppbp/2p3p1/8/1qP1P3/5N2/3N1PPP/2BQK2R b Kkq -,b4b7
6k1/6pp/8/R3p3/8/P4PP1/4r1PK/8 w - -,a5a4
7k/2R1p2p/3p2p1/4b3/4R3/6P1/4PrBK/r7 w - -,c7e7
1rbq4/2n1rpbk/p2p1npp/1ppP4/2P5/PPNBBN1P/2Q2PP1/1R2R1K1 b - -,h7g8
r5k1/1p3p1p/2n3p1/1R6/B2bR3/5P2/P1Nr1P1P/6K1 w - -,a4b3
6k1/3q1p1p/1b1P2p1/1p1Q4/2p5/4r2n/1P4P1/4RR1K b - -,h3f2
r4r2/1p2qpk1/p1p1nnp1/3p3p/PP2PP1P/2PPB3/6B1/R3QR1K b - -,d5e4
r1b1k3/1p3prp/p3p3/8/5P2/1PpB4/P1P2KPP/R6R b q -,f7f5
8/5p2/2b1kP1R/p5p1/P1K1P3/8/7P/8 b - -,e6e5
r2qk2r/1b1nbp1p/1pn1p3/p1ppP1p1/8/P1PP1NPP/1P1N1PB1/R1BQR1K1 b kq -,h7h5
r7/1R2pk2/2pbn3/8/1P4P1/4PP2/P1R3KP/8 w - -,b4b5
r1bqr1k1/ppp2ppp/2n2n2/8/2Pp1NP1/7P/PPP2PB1/R1BQ1RK1 b - -,a7a5
5k2/6p1/p3n2p/2ppB3/6Pb/1BP4P/PP4K1/8 b - -,c5c4
r3r1k1/pp3ppp/2p5/2P1p1q1/2B1P1b1/PNQ2n2/1P1R1PPP/R4K2 b - -,f3d2
1r4k1/4pp1p/3p2p1/3P4/2R1Q2P/p1q2P2/P1P3P1/2KR4 b - -,b8b1
2r3k1/1r4pp/1Q1Pb2q/2n2p2/3Bp3/P3P1P1/1P4BP/R3R1K1 w - -,b6a5
r1b2bk1/4qn1p/2p3pP/ppn1p1P1/2P1Pp2/PP1B1N2/1BQ2P2/2KR2R1 w - b6,c4b5
5rk1/pp3ppp/1qpr1b2/5Q2/3P4/1P2PB1P/P5P1/2R2RK1 b - -,f8e8
2n5/7p/PBp2b2/3kp1p1/2p3P1/2Pp2P1/1P3P2/4RK2 w - -,b6e3
1br1k2r/pb1pqppp/1pn1pn2/2p5/2PP4/PP1BPN2/1B1N1PPP/2RQK2R w Kk -,d3b1
r4rk1/pp1qb3/1n5p/2pP1ppb/2P2p1P/2NQ4/PPBB2P1/R4RK1 b - -,e7f6
3r2k1/ppn1bp2/2n1b1p1/2p1p2p/4PP1N/2P1N1P1/PP3K1P/R1B2B2 w - -,f4f5
r4rk1/pp4p1/2p1bn1p/7n/3P4/2NQ2Pq/PP3N1P/R2B1RK1 b - -,e6f5
r1bqr1k1/1pp2pbp/6p1/p1pPp3/2P1P1n1/2N2NP1/PPQ2PBP/3R1RK1 b - -,f7f5
r5k1/5ppp/4bb2/1Pp5/1pN1P3/1P3P2/r2RNKPP/7R w - -,h1c1
2r1kb1r/1b1n1ppp/p2p4/q3p1P1/1p1BPP2/3B4/PPPQN2P/R4RK1 w k -,d4e3
2r1rbk1/5p1p/b2p1np1/q1p1n3/P3P3/2N1B1PP/1NQR1PB1/3R2K1 w - -,e3g5
2kr2nr/1b4pp/1p6/8/N1Bn1B2/bP6/P1P2PPP/RK2R3 b - -,b7g2
1k5r/pp3pp1/4pbb1/1P5p/2R4P/6N1/P3BPP1/6K1 b - -,h8c8
8/k7/P4R2/7P/5K2/8/8/6r1 b - -,g1g2
r2r2k1/ppq1bpp1/1nb1pn1p/8/3P3B/P1NB1N2/1P2QPPP/2RR2K1 b - -,c7f4
3N1k2/7p/1r2p1n1/4P3/1p2RP2/5K1P/1P6/8 w - -,e4c4
7k/1pb1q1pp/r7/3B4/1P2pr2/2Q4P/P3PP2/3R1RK1 b - -,a6h6
q4rk1/1r1nbp1p/4p1p1/pb1pP3/N4P2/P3B2P/1P1Q2P1/1RRB2K1 w - -,e3d4
r2q1rk1/pp2bppp/2n2n2/2pp4/3P2b1/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,f8e8:a7a6
8/2k5/2P5/pB3p1p/2K1pPp1/6P1/7P/8 b - -,c7d6
r2qr1k1/pp1n1p1p/3p4/2p1bp2/1nP1P3/1PNQ3P/P2BBPP1/R4RK1 w - -,d3f3
r1b1kb1r/pp3p1p/4pp1n/2Pp4/2n5/1N5N/PPP2PPP/R1B1KB1R w KQkq -,h3f4
r1bq1rk1/4bp2/pnp2npB/1p2PR2/P1pPB1Q1/2N3PN/1P5P/R5K1 w - -,e5f6
8/8/8/3p1Qb1/P2Pp3/1P2k1P1/3q2bK/8 w - -,f5g5
r1q1r1k1/pb1n1pbp/1p3np1/2p1p3/5B2/2P1PB1P/PP1N1PP1/R2QRNK1 w - -,f4g3
