8/8/8/pp3k2/7K/6Pp/PP3P2/8 w - -,h4h3
6k1/1p4pp/p1p1np2/P7/3n4/3NN1PP/1P3P2/6K1 w - -,e3c4
6k1/4np2/4pbp1/8/3PQP2/2q2NPK/8/3R4 w - -,e4d3
4r1k1/p2n1p1p/3q2p1/1ppP4/5P2/1P4PP/P5B1/2RQ2K1 w - -,d1d2
1r4k1/3Q1p1p/3p2p1/3P4/3bP2P/1P6/3N1PP1/q4NK1 b - -,a1e1
8/4Q3/6k1/8/6PK/8/8/3q4 w - -,e7e8:e7e6
6k1/pb3rpp/4P3/1ppN4/2P1p3/8/P1P3PP/4R1K1 b - -,f7f8
r4rk1/pb1nq1pp/1pPb4/4pp2/2P1p3/1P2P3/PBQNBPPP/R3R1K1 b - -,b7c6
r4r2/5pkp/3pb1p1/4p1qn/1pP1P3/1BbPNQ1P/1B3PP1/1R1R2K1 b - -,h5f4
r3r1k1/pppq1ppp/8/n5N1/2P2p2/3P4/P1P1QPPP/R4RK1 w - -,e2h5
8/8/2RP1pkp/R2K1b2/5P2/7P/2r5/8 b - -,c2d2
5rk1/p3q2p/bppn4/3p1r2/3P1N2/1P3PP1/P2QP1BP/R3R1K1 w - -,e2e4
1r3rk1/1pb2pp1/2p1p2p/2QqP3/5B2/4P2P/PP3PP1/2R2RK1 b - -,d5a2
r1b1k1nr/pppp1ppp/2n2q2/2b2N2/8/2N5/PPP1PPPP/R1BQKB1R w KQkq -,f5e3
8/6p1/5pk1/Rp1b3p/p2B1K1P/2P3P1/5P2/4r3 w - -,d4e3
8/RR3pp1/3r1rk1/5P1p/3NK3/4P1P1/P5P1/8 b - -,g6g5
r3k3/p2b2pp/5n2/8/p1BB4/8/PP2KPPP/3R4 b - -,a8c8
r3k3/pp1b2pr/2p1p1n1/b1PpPp1p/1q1P3P/1P1B1NP1/1BQ2P2/R4K1R w q -,a1a4
rnb1kbnr/pp3ppp/3q4/2p5/2Pp4/5N2/PPQNPPPP/R1B1KB1R w KQkq -,d2e4
3r2k1/1n2q3/p2ppr1p/1pp3pP/2P2PP1/1P2Q2N/P3P1K1/3R1R2 b - -,g5f4
rr4k1/1pq1bppp/p2pbn2/4p3/2P5/2PQB1P1/PR1NPPBP/1R4K1 b - -,e5e4
8/2n5/8/1k4p1/3N2K1/1p6/1P6/8 b - -,b5c4
4r1k1/p2n1rpp/2p5/3pBb2/q1pP1P1P/P1P3Q1/R1P1B1P1/3KR3 b - -,d7f6
r1b1rbk1/p4p2/1pNp1q1p/2nP2p1/6Q1/2N1B3/PP3PPP/3RR1K1 w - -,g4h5
2b5/5Npp/pk2p3/1n1p4/3P4/3BPP2/1p3KPP/8 w - -,e3e4
r1b1k2r/3nbp2/pq2p1p1/npppP1Np/3P1P2/2P1B1PB/PPQ1N2P/R4RK1 b kq -,a5c4
r1b2rk1/2q1bppp/p3p3/2pnP3/N1B5/1P6/P3QPPP/R1B2RK1 w - -,f2f4
r1b1r1k1/1pqnbppp/4pn2/pPp5/2P1N3/3PBNP1/P3QPBP/R4RK1 w - -,a1d1
8/5R2/7p/3Pk1p1/3rp3/8/6PP/6K1 w - g6,f7h7
2kr1b1r/pp2q1p1/2n2p1p/2pBp3/4P3/P1PPB2P/1P3QP1/R4RK1 b - -,e7c7
r4k1r/ppp1nppp/4bn2/1N6/4pq2/P7/1PP1BPPP/R1B1K2R w KQ -,c1f4
8/8/1p6/pP1n1kpp/3P4/1P1K2B1/7P/8 w - -,g3e1
6k1/p4pp1/2R2b1p/3p4/1r1P4/4B2P/P4PP1/6K1 w - -,c6a6
r2q1rk1/pbpn1ppp/1p1bp3/8/2PPn3/P2B1N2/1PQ2PPP/R1B2RK1 w - -,d3e4
2rr4/5k1p/3RpP2/2p1n3/p1p1P3/4B3/PP5P/1K3R2 w - -,d6d8
r1b3k1/pp4pp/n1pbp3/3p3q/1P1Q4/2P2r2/PBB2PPP/R3R1K1 w - -,g2f3
8/2P3k1/p2K2p1/6Np/6b1/8/P4R2/2r5 w - -,f2f4
2R5/r4p2/8/1kpQ4/1p6/1Pq2P1P/6PK/8 b - -,c3d4
r2q1r1k/pb2b1pp/1p3n2/2nP4/2P5/2NB1P2/PP2Q1PP/R1B2RK1 b - -,c5d3
5k2/2R5/1n1KB3/p6p/P2P4/8/3r4/8 w - -,d4d5
rnbqkb1r/pp3ppp/3p1p2/2pP4/8/2P5/PP2PPPP/RN1QKBNR b KQkq -,g7g6
3r4/p5k1/1p3p2/1Bq2Pp1/P1p2r2/4Q3/2P3P1/4R1K1 b - -,c5e3
8/8/1R2kp2/1K4p1/PP5p/7r/8/8 b - -,e6f5
7r/5pRP/4p3/2p1P1K1/p1Pp1P2/3P4/1k6/8 w - -,g5h6
r1bq1rk1/3nb3/pp2p2p/2p1Pp2/2P2Pp1/2N3P1/PB1PQ2P/R3NRK1 w - -,a2a4
5rk1/5p2/ppr3n1/4PQ2/1P4p1/P2Nq1P1/5R1K/5R2 w - -,d3f4
2r2rk1/1p1q1pp1/1B5p/pn3Pb1/4Q3/P2P3P/1PR3B1/5RK1 w - -,c2c8
3r1r2/pq2n1bk/1p4pp/5p2/3p1PP1/6NP/PPPQ3K/4RRB1 b - -,d8d7
r5k1/p2q1ppp/1p2r3/P1p1p3/1nQ5/3P2P1/PB2PP1P/1RR3K1 b - -,b4c6
2bb1nk1/1p3ppp/p3p3/7P/2N5/1P4P1/PBP2PB1/6K1 b - -,d8c7
rn1q1rk1/1pp1bppp/4p3/pNPpP2b/PB1P4/1P3N1P/4BPP1/R2Q1RK1 b - -,a5b4
1kr4r/1pqb1pp1/p6p/N2p4/5P2/3B2P1/1bP2Q1P/1KR4R w - -,b1b2
r1n2rk1/pp3pb1/2p1q3/P2n1p1p/7P/2NBB3/1P1Q1PP1/2R2K1R w - -,c3d5
8/6pk/7p/2q2R2/p6P/6P1/1P3R1K/8 b - -,c5e3
4q1k1/8/5Qp1/1P1p3p/4p2P/4P1P1/5PK1/8 b - -,e8b5
1r2k2r/2p1n1q1/p1ppb1pp/8/4P3/1PN1QN2/P1P3PP/4RRK1 w k -,e4e5
1k1r1b1r/1ppN1ppp/pq6/n2np3/Q2P2B1/2P1B3/PP3PPP/R4RK1 b - -,d8d7
q4rk1/1r2bppp/p7/1P2nP2/P1p3P1/2P1P2P/4Q1K1/1RB2R2 w - -,e3e4
6k1/1b3p1p/p2rp1p1/8/Pq1bP3/1BN5/1PQ2PPP/2R3K1 w - -,c3a2
r3r1k1/4qppp/1Rp5/8/3PN3/4PnP1/2QN1P1P/5K2 b - -,a8a1
rqb2rk1/4bp1p/p1nppnp1/1p6/4PPP1/1NNBBQ2/PPP4P/4RRK1 w - -,g4g5
1r2qrk1/p1nbb1pp/5p2/1pp2P2/3nN3/3PN3/PP1BP1BP/2RQ1RK1 b - -,e8h5
rr6/3k1pp1/2p1pn1p/7P/q2Pb1P1/B6R/BPP1QP2/K2R4 w - -,d1c1
6k1/3b2b1/p3p3/2r1P3/1P1N2p1/2N1P1P1/P2K4/8 w - -,b4c5
8/8/8/4bkpp/R7/1r4P1/4NK2/8 b - -,b3b2
5r1k/2pbbqpp/1p3p2/1n1Pp3/1PN4P/1Q2P1P1/3N1PB1/R5K1 b - -,f8d8
1b1rr1k1/1P2qpp1/5n2/5b2/2Q1p2p/P1N1P1P1/1P2BP1P/R1BR2K1 b - -,f6g4
2rr2k1/pp3ppp/1N2p3/1qb1P3/3BpP2/1PP1Q1P1/P6P/R1R3K1 b - -,b5b6
q2bk2r/1b1n1ppp/3Qp3/3p4/1p1N4/3P2P1/1P2PPBP/2B2RK1 b k -,d8e7
rnbqk1nr/pp2ppbp/3p2p1/2p5/5P2/2N1PN2/PPPP2PP/R1BQKB1R w KQkq -,b2b3
2r2bk1/4rp2/1B1p2p1/5nPp/pPB2P2/2R5/P5KP/2R5 b - -,c8b8
2rr2k1/1b2qppp/p3pn2/1p6/8/bP2PN2/PB2QPPP/1B1R1RK1 w - -,d1d8
r3k2r/1bqn1pbp/p5p1/3np3/2p1N3/PN1BB2Q/1P3PPP/R4R1K w kq -,d3c4
3rk2r/1bq1bppp/ppnppn2/8/2P1P3/PPN1QN1P/1B1RBPP1/R5K1 b k -,c6a5
1r1qkb1r/p2b1pp1/4p2p/n2p3P/3P4/2N2QR1/PP3PP1/R1BBK3 w Qk -,f3f4
1r1r4/1p3pkB/p1n1b3/2q5/4QP2/2P5/P1P3PP/1R3RK1 w - -,g1h1
8/2q2p1k/6p1/1pQ4p/1P5P/4KPP1/8/8 b - -,c7g3
8/p4p1p/6p1/1p2k3/2p1P3/P2r1P1P/1P2R1P1/2K5 b - -,g6g5
r1bq1rk1/pppnppbp/2np2p1/8/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 b - -,e7e5
8/p2q1kp1/1p2pp1p/7P/P1Q1P3/1P4P1/5PK1/8 b - a3,a7a5
R7/2r2p2/5k2/2P5/1p1K2P1/p2B3P/1rP5/8 w - -,h3h4
r1bqk2r/pp2n3/2p2p2/3p1Ppp/3P4/P1NBPQ2/1PP2P1P/2KR3R b kq -,d8c7
