8/6kp/6p1/4p1P1/4N2P/1n6/5K2/8 w - -,e4f6
8/8/1p1k4/3Pp1p1/2b1P1B1/P5K1/8/8 w - -,g4f3
8/4kP2/b3P3/3p1p1r/1pp5/8/2K5/8 b - -,h5h8
2kr3r/ppp3p1/5p2/3P3p/2n2B2/P2R4/2P2PPP/R5K1 b - -,h8e8
5rk1/3q2r1/1p2b3/p1p1n3/3pPp1p/1P1P1P2/P1R3BK/3QN2R w - -,h1g1
r3kb1r/pp1n1pp1/2p1b3/2q5/4B2p/1P2N1P1/2QPPP1P/R1B2RK1 w kq -,e4f5
1qbrr1k1/p3nppp/1p1b1n2/1Pp1pN2/2PpP3/P2P2P1/1B1N1PBP/2RQ1RK1 w - -,f5d6
r5k1/1p1B2b1/n1pP1rp1/p1p1P1p1/2P2p2/2N5/PP6/1K1R4 w - -,e5f6
2q3k1/5p2/4pQp1/4P2p/1p5P/1P6/P5P1/7K w - h6,h1h2
6k1/4b3/4n2p/3r1pp1/4p3/1P2B1P1/3N1P1P/R4K2 w - g6,a1a6
r2q1rk1/1b1nppb1/p2p1np1/1p4Np/3BP1PP/2N2P2/PPPQ4/1K1R1B1R b - g3,h5g4
4r1k1/6r1/7R/4b1p1/2bPP2p/8/P3N1PP/4R1K1 w - -,d4e5
2R2b2/5p2/5k1p/8/1p4PP/2pK4/P7/8 b - -,f6g7
7r/1pqk1Ppp/p7/2rp2N1/3Q1P2/8/PP4PP/1K5R b - -,h8c8
r1q1kb1r/pp3ppp/2n1p3/4n3/Q2Np3/2P1B3/PP2BPPP/R4RK1 b kq -,a7a6
1rrb2k1/3qn1p1/R3p2p/1p2Pp1Q/2pp4/1P1P2P1/2PB1PBP/4R1K1 b - -,b8b6
8/5p2/7k/7p/1R3K1P/1P4P1/P1r5/8 b - -,c2a2
8/pp1b1Rkp/8/3p4/5rP1/P2B3P/5P2/3K3R b - -,g7f7
r1bqk1nr/p4ppp/2p1p3/4P3/1bPp4/P1NB4/1P3PPP/R1BQK2R b KQkq -,b4a5
1r2k2r/pp1qppb1/3pb1pn/2p4p/2P1PP2/2NP2PP/PP1BQ1BK/R4R2 b k -,a7a6
3r3r/ppk1npp1/2p1b2p/3p2N1/2PR4/1P2P3/P3BPPP/2KR4 w - -,g5e6
R7/2n2ppk/7p/p1r5/P3p3/4P1PP/5P2/5BK1 w - -,a8a7
rnb1kb1r/p2pqppp/8/1ppP4/4n3/6P1/PP2QP1P/RNB1KBNR w KQkq -,f1g2
6r1/4b3/4Ppr1/1p1k2P1/1P1p4/2p2RB1/P4K2/4R3 w - -,g5f6
8/8/8/2k3P1/6r1/R7/3p4/3K4 b - -,c5b4
5b2/6P1/4k3/2p5/2PpNK2/3P4/8/8 b - -,f8g7
r4rk1/1p3p1p/2pb2p1/1q1n1p2/pP1P4/P3P1P1/2Q1NPBP/R1R3K1 w - -,c2c4
2r2k2/7p/4PPbP/1N4p1/8/p7/P6r/K2RR3 b - -,c8c2
3r1rk1/pp6/2ppbb2/7p/1PP1PQpq/5n2/PBR1BNPP/5R1K w - -,g2f3
r7/pp2bp2/2p2pk1/5Rp1/1P1B2P1/8/1PP2P1P/6K1 b - -,a8d8
2kr2nr/ppp1bqp1/2p1b3/4Pp2/1P1P1P1p/2P5/P3B1PP/RNBQ1RK1 w - -,c1e3
4k2r/pp3ppp/2n1pn2/qN1r4/1b4b1/1Q3N2/PP2BPPP/R1B2RK1 w k -,e2c4
2R5/1k1K4/3B4/1r6/8/8/8/8 w - -,d6c5
5rk1/4nqp1/p6p/3p2p1/3P2P1/P1N2r1P/1P1R1PQ1/3R2K1 w - -,d1e1
6k1/4npp1/p6p/1p1P4/1qP2Qb1/6P1/1B5P/5BK1 w - -,d5d6
r2r2k1/pp2ppbp/q5p1/3n4/1P6/1QN1P3/P3NPPP/1R3RK1 b - -,d5c3
r2r2k1/p4pPp/2p1pq2/8/4p1P1/2P1b3/PP2Q3/R3K2R w KQ -,e2e3
br4k1/q2npp2/pN1p2pp/P1n5/2Q1PPP1/7P/2P1N1BK/1R6 w - -,c4b4
2qrr3/p3ppkp/1pNn1b1n/2pP2p1/6P1/N1P1Q2P/PP3P1B/3RR1K1 b - -,h6g4
r3k2r/pp2qppp/1np1b3/3p4/3P3P/2N1PB2/PPQ2PP1/R3K2R w KQkq -,a2a4
r1r3k1/pb2q1pp/1p2pp2/3p4/1nPPn3/NP1NP1P1/4QPBP/R1R3K1 b - -,b4d3
r1bq1r1k/pp3ppp/2nbn3/2pNp3/2BP4/1PP2Q2/PB2NPPP/R3R1K1 b - d3,f7f5
RR6/2k1K3/2r1p3/5b2/8/8/8/8 w - -,b8b3
8/8/3k4/1R3K2/1P6/2P5/1n6/8 b - -,b2d1
2kr1q1r/1bpn1p1p/p3p1p1/1p2P2P/2pP4/5P1N/PPPQ2P1/1KRN3R w - -,a2a4
5bk1/6p1/1p2pn2/p2p1q1p/Pn1P1B1P/1PN3P1/4QP2/4N1K1 b - -,b4c6
2r4r/6k1/b3p3/6p1/1p1pB1P1/1Pq4N/P4bK1/3Q3R w - -,h3f2
r1bq1rk1/1p2ppbp/p1n2np1/8/2P5/N1N3P1/P2BPPBP/1R1Q1RK1 b - -,f6d7
3r2k1/pb3qpp/1p1r1b2/1P1p4/1N2p3/PQ4PB/4PP1P/2R1R1K1 b - -,f6d4
R3kb1r/1bqp1pp1/2n1p3/1pp1P2p/4NPn1/3P2P1/1PP1N1BP/2BQ1RK1 b kq -,b7a8
2r2rk1/p2n1pp1/1ppqpnp1/6N1/3P3P/2P3P1/PP3PB1/R2QR1K1 w - -,d1a4
r3kbnr/2q2ppp/p7/1p1Pp3/3N4/5Q2/PPP2PPP/R3R1K1 w kq -,d5d6
rnbq1rk1/5pp1/p2p1n1p/1ppP4/7B/2PBP3/P4PPP/2RQK1NR w K b6,g1e2
r1b3n1/2q2pk1/p2p2p1/1p1Pp1Br/2p1P2N/2P3QP/PP3P1K/R3R3 w - -,e1g1
2R2b2/1r4k1/3qp1R1/3p1p1P/1p1P1Q2/8/1P1B1PPK/r7 b - -,g7f7
2r2rk1/2qbppbp/p2p1np1/1p1P4/2nNP3/2NQ2PP/PP3PB1/R1BR2K1 w - -,c3e2
rnb2rk1/ppq2pbp/2pp1np1/4p3/3PP3/P1NBBN1P/1PP2PP1/R2Q1RK1 w - e6,f1e1
6k1/1R5p/5pp1/p1r5/5P2/3K2P1/P6P/8 b - -,c5h5
r1bqk2r/pp1pp1bp/2n2np1/1Bp2p2/4P2P/3P1N2/PPPN1PP1/R1BQK2R w KQkq -,c2c3
8/6p1/4K2p/N7/2P1n3/3k2PP/1P6/8 w - -,b2b4
8/3b1pkp/p5p1/2RB4/8/r7/5PP1/6K1 w - -,c5c7
r7/PP6/8/7p/8/4K2k/8/8 b - -,a8a7
r3r3/1p3k1p/p3p2p/P1Pp4/8/8/5PPP/4RRK1 b - -,a8c8
Q7/4rppk/2R2b2/3Bp2p/4P2P/3q2P1/5PK1/8 w - -,a8c8
8/2Rn1rp1/1pQ2pk1/3r3p/4q2P/4P1B1/5PP1/5RK1 b - -,f7e7
2r3k1/1bq2ppp/p2b4/1ppP4/2p1N1P1/Pn2B2P/1PQ2PB1/3R2K1 b - -,c8d8
3r1bk1/6p1/7p/3Ppn2/N1P5/4B2P/4KP2/1R6 b - -,d8a8
2r2rk1/p5pp/4b3/1qp1Np2/5P1P/P7/1PQ2P2/1K4RR w - -,c2c3
2r1kbnr/pp1qp1pp/5p2/7b/1p6/3PBNPP/P1P2PB1/R2Q1RK1 w k -,e3a7
5rk1/7p/1Q4p1/1p3qb1/p1b1p1P1/P2nBP1P/1P2R3/5RK1 b - g3,g5e3
8/5pP1/2bk1P2/pp6/7r/3BbP2/2P5/6K1 w - -,g1f1
8/7k/p2p2p1/1p1q3p/1P2p3/P1b2r1P/1BR3QP/6K1 w - -,g2e2
2r1k2r/p3bpp1/q3p1b1/1N1pP3/P1pN1RP1/2R4P/5P2/2Q3K1 b k -,a6b6
r4rk1/1pp2ppp/pbnpqn2/4p1B1/4P3/1PPP1NN1/1P3PPP/R2Q1RK1 w - -,f3h4
4k2r/pp1bppbp/3p1np1/8/4P1PP/2P1BN2/P1P5/1K1R1B1R b k -,d7g4
rnb2k1r/pp3pp1/4p2p/q2pP3/2pP4/P1P5/2PB1PPP/R2QKB1R b KQ -,b8c6
3n4/5r2/3p1p1k/2pP1bp1/1pP1q1Np/1P5P/1Q2R1P1/6K1 b - -,h6g6
2kr4/pp4pp/5p2/4p3/6P1/2PbPN1P/PP6/4K2R w - -,h1h2
r3kb1r/pR3ppp/2p2n2/2P1pb2/3P4/1PN2p2/1P3PPP/2B1KB1R w Kkq e6,c1e3
3r4/p5k1/2p1bp2/6p1/2NP1b2/1P6/P3BKP1/3R4 b - -,g5g4
r1bk3r/ppp3pp/5p2/2P2n2/3PqP2/PQ2nN1P/1B4K1/4RB1R w - -,g2f2
r4rk1/1pnbqpbp/pn1p2pB/2pP3P/P3P3/2NB1P2/1P1QN1P1/R3K2R b KQ a3,f8e8
2kr3r/pb2q1b1/1p1pp1pp/2p2p2/2PP1P1P/5NP1/PP1QBP1R/2KR4 w - -,d4c5
5rk1/4R3/6pp/P1R5/3n1PK1/8/8/8 b - -,d4f5
