8/5p2/8/4Kpp1/6k1/6r1/8/5R2 b - -,g3e3
r1bq1rk1/p3ppbp/1pn3p1/8/3P4/1QP1BN2/P3BPPP/R4RK1 b - -,c8b7:c6a5
1r1r2k1/pp4b1/3qbp1p/2pN2pB/2PpP2P/3Q1P2/PP4P1/1R3RK1 b - -,b7b5
3r4/2Q2pkp/R3pbp1/P7/1p1Pq3/1N4P1/1P3P1P/6K1 b - -,f6d4
8/1r5k/p2n2BP/2pP2p1/5p2/P1N2P2/1P1R4/2K5 b - -,h7g6
3r1r1k/3Rb2p/2p1npp1/1p2p3/p3P3/P1P2PP1/1PN2B1P/3R3K b - -,h8g8
1r6/3k4/6p1/2P2p1p/1Q2pP1P/3r4/4K3/8 w - -,b4b8
8/6pk/rN5p/5p2/3p4/3R1KP1/7r/1R6 w - -,b6c4
8/5kpp/N1b5/3p1p2/3Pp3/8/PP3PPP/6K1 b - -,g7g5
8/1p2kp2/1pp3r1/5p2/5P1p/PPR4P/5KP1/8 b - -,e7d6
2r1rnk1/p3qppp/bpp1pn2/4P3/1PP5/3P2P1/PBQ2PBP/2RR2K1 w - -,e5f6
r1b2rk1/p3ppbp/2pp2p1/q7/2n1PP2/1RN4P/P2BB1P1/3Q1RK1 w - -,e2c4
3qrbk1/5p1p/Q2p2p1/2pP4/Nr2nB2/5BPb/1P2PP2/R2R2K1 w - -,f4d2
5r2/1Q6/p2k1p2/2N5/8/1P5P/6PK/q7 w - -,b7b6
2r3k1/1b1n1ppp/pq2p3/1p6/1P2N3/4P3/P3QPPP/1B3RK1 w - -,f1d1
1b1r3r/pp2kp2/2p1bn1p/4n1p1/3NP3/2N3B1/PPP1B1PP/2KR1R2 w - -,h2h4
8/5p2/p1bk1P2/1p4Pp/1P2p1r1/P3K2R/4N3/8 w - -,h3h5
r2qb3/p1k1bQ1R/2p3B1/1p1nP3/2pP4/P1P3P1/5P2/R3K3 w Q -,f7e8
3r2r1/pp2k3/5n2/4pP2/2p1P3/7Q/PP6/5K1R w - -,h3a3
rnbqkb1r/pp2pppp/3p1n2/8/3PP3/8/PP3PPP/RNBQKBNR w KQkq -,b1c3
r1q2rk1/1p2pp1p/1np3p1/pP2P3/1n2QP2/B1N1P3/P3K1PP/R2R4 b - -,c8g4
r2q1rk1/1p1bbppp/p3p3/2p5/2BP4/2P1P1B1/P3QPPP/2RR2K1 b - -,b7b5
6k1/1p2R2p/2p3p1/2n2p2/5P2/6P1/r3P1BP/4K3 w - -,h2h3
b1r1k2r/p4ppp/4p3/1p1pP3/3Q1Pq1/4B3/PPP4P/R4R1K w k -,f1f2
rq3rk1/5pb1/3p1npp/p1nPp3/1p2P1PB/4NP2/PP2QN1P/2R2RK1 w - -,e3c4
8/6p1/1k2p3/1P2P2p/2BK1Pb1/6P1/7P/8 w - -,c4d3
1r1r2k1/1p3p1p/2nq1ppP/p2b4/3P4/4P3/PR1QBPPN/1R4K1 b - -,d6f8
1k6/7R/2K5/p7/P2P4/8/7P/8 b - -,b8a8
2Q3r1/K3k3/R6p/4p3/1r6/5b2/P4p1P/1BR5 b - -,g8c8
r2r2k1/1q3pbp/p1nppnp1/1p6/2P2N2/1P2N1P1/PB2PP1P/2RRQ1K1 w - -,f4d3
r4rk1/6pp/3qp3/p4p2/8/2Q2B2/PP3BP1/R4K2 b - -,a8c8
2rr2k1/ppq1bpp1/4p1n1/2P5/3Pp3/1P1Q2PP/PB6/R3RNK1 w - -,d3e4
r1bq1rk1/4bppp/p3p3/1p2P3/2nPN3/1P3N2/P2B1PPP/2RQ1RK1 b - -,c4d2
r2q1r2/pp3pk1/2npb1pp/2pNp2n/4P3/P2P1N1P/1PPQBPP1/R4RK1 b - -,e6d5
8/8/8/5p2/4k3/8/4BK2/r3N3 w - -,e2d3
r5k1/p2n1ppp/b1p2n2/8/Pb2P3/1N3P2/1PpN1KPP/R1Br1BR1 b - -,b4c5
4rrk1/2p2qb1/3Pp1pp/8/2Qn3P/2N1B1P1/1Pn1RPB1/4R1K1 b - -,d4e2
r2q1rk1/pbpn2pp/1p1pp3/5p2/2PPn3/4PN2/PP2BPPP/2RQBRK1 w - f6,d4d5
6k1/4b2p/p5p1/1pnPp3/2p1P2q/2N2r1P/1PPB1PK1/R4R2 w - -,g2f3
8/4k1N1/7p/4KP1P/8/8/n4P2/8 b - -,a2b4
1r2qk2/1pnb4/p7/P2pN1p1/2p5/2N3Q1/1PP3PP/R5K1 b - -,f8e7
rn2kbnr/1bqp1ppp/p3p3/8/Pp1NP3/4BB2/1PP2PPP/RN1Q1RK1 b kq -,g8e7
r4rk1/ppp1qp2/1n2p1pp/4P3/b2P4/2PQ1PN1/P5PP/RB3RK1 b - -,e7a3
8/3R3P/8/8/8/PK2k1P1/1P1p4/2r5 b - -,c1h1
7r/1p2k1b1/p2np2p/2p1pP1R/P1B1P1N1/1P4P1/2P5/2K5 w - -,f5e6
rnb1k2r/ppp2pb1/3ppq1p/6p1/2BPP3/2N5/PPPQ1PPP/R3K1NR w KQkq -,g1e2
4r2k/p4pb1/Npn3pp/8/4P2B/1P5P/P5P1/3R2K1 w - -,d1d7
r3k2r/p3bpp1/2p1pn1p/5b2/2P4B/1B6/PP3PPP/RN1R2K1 w kq -,b3a4
6k1/6p1/6p1/1PR1K1P1/8/5r2/8/8 w - -,e5d6
2rr2k1/pp2qppp/8/3p4/3bb3/1P2P1NP/P4PP1/2RQ1RK1 w - -,d1d4
5rrk/3q3p/1pp1bpn1/p1p1p1p1/P3P3/1P1PQ2P/2P1NPPN/R5RK w - -,a1f1
r3r1k1/p2b1ppp/5n2/3pq3/8/3B1Q1P/PP1RNPP1/4R1K1 b - -,a8b8
7r/1p1b1kp1/p6q/3PpPb1/2N1P3/5R1B/1P4QK/8 b - -,f7f6
r1bq1r1k/bpp3p1/p1np3p/8/4N2n/2P2N1P/P1B2PPK/R1BQ1R2 w - -,e4g5
r2q1rk1/1p2bppp/p1npbn2/8/4PB2/1NN5/PPP1B1PP/R2Q1R1K b - -,b7b5:a8c8:d6d5
8/b1p1r2k/p1Pp2pp/P7/1qB5/7P/2Q2PPK/3R4 w - -,c4a2
8/1p2pbk1/p2q1pp1/4n3/P1P5/1PN1Q2P/4B1PK/8 w - -,g2g3
r6r/p5Qp/1p1kp3/3p1p2/3P4/7P/PP3PP1/6K1 w - -,b2b4
r1b1qrk1/ppp2pbp/6p1/4p2n/4P3/3B1N1P/PPPQ1PPB/3R1RK1 b - -,f7f5
5k2/pb2bp2/4p3/1p2P1p1/3KP3/1B3PB1/P5P1/8 b - -,f8e8
4r2k/2n2p1p/p1P3p1/4p3/P7/6PP/4PPB1/3R2K1 w - -,d1d7
r1b2k2/ppp1np1p/8/4NPB1/6P1/8/PPP4P/4R1K1 w - -,e5f7
8/8/p5kp/5p2/2b3PP/B4P2/2pb1K2/2N5 b - h3,f5f4
b1q5/p3b1k1/8/Np1n4/1P1N4/P1nP2p1/2Q1P1B1/2B3K1 b - -,c3e2
6k1/2rq1p1p/1Qb1p1pb/3pP3/p2P2P1/2PB2BP/1P3K2/4R3 w - -,e1b1
r1r3k1/3n1p1p/2ppbqpb/n7/2PPPp2/3B1N1P/2QBN1P1/R3R1K1 b - -,f6d8
r2q1rk1/1ppb2bp/1n1p1pp1/p2Pp3/2P1P1P1/1PN1BQ1P/1P3P2/R3KBR1 b Q -,d8e7
r2q1rk1/bp4pp/p1n3n1/3p4/5p2/1N1Q1N1P/PPP2PPB/R4RK1 b - -,c6e5
6k1/R1p2p2/1p2n3/1Nr3pp/2P5/3K2P1/1P3P2/8 w - -,b2b4
8/8/8/4R3/6k1/3n4/6K1/1r6 w - -,e5e4
3q2k1/5ppp/5n2/8/p7/Q4P1P/6PK/8 b - -,d8b8
1rN2rk1/1p3pbp/p1np2p1/6B1/8/5N2/P3BPPP/1R1R2K1 b - -,f8c8
4rk2/1b6/8/1p1P1q2/pPpR4/P3ppQ1/7P/2R3K1 b - -,f3f2
3r1rk1/ppq2ppp/3bnn2/3p4/3p4/1P3NPP/PBP2PB1/R2Q1RK1 w - -,f3d4
r3n3/8/1pR3P1/3pk3/5p2/1P3N2/6P1/7K b - -,e5e4
r1br2k1/1p4pp/4p3/p1q1npb1/2P1P3/P3P1P1/1PQB2BP/1R2NRK1 w - -,g1h1
3r2k1/p5pp/2pbpn2/1r6/P7/4PN2/3B1PPP/R2R2K1 b - -,b5d5
8/3r4/3Pk3/p1P1pp2/2K2P1r/1P2B3/P2R3p/8 w - -,d2h2
r1b1k2r/pp2nppp/2n5/2B5/1qB5/8/P2N1PPP/2RQK2R b Kkq -,b4a5
br3rk1/p4qpp/P2p4/2pP1p2/5R2/4P2P/1B1R1PP1/Q5K1 b - -,b8b4
2b2r1k/6bp/5P1q/4p3/P7/2Qp4/1P1R2PP/5RBK b - -,g7f6
r1b1kb1r/pp2pp1p/1B4p1/2q5/8/2N5/PPQ1PPPP/R3KB1R b KQkq -,a7b6
rq2k2r/pb1pbppp/1pn1p3/7n/1PP1P3/P1N1BN2/3Q1PPP/R3KB1R b KQkq -,e8g8
3rr1k1/5p1p/2bpq1p1/p5Pn/3RPP2/2N2Q1P/PPP2B2/2K1R3 b - -,f7f5
8/p5k1/7p/2p2r2/2p4K/P1P4P/8/4R3 w - -,e1e4
1rr1bk2/4ppbp/pp1p2p1/2nN4/2P1P3/1P2BP2/P3B1PP/2RRK3 w - -,b3b4
6k1/7p/2pr2p1/1B1b1p2/1P2p2P/4P3/5PP1/3R2K1 w - -,b5c6
8/1kp2pp1/7p/1p2P3/4P1P1/pP1K3P/7r/5R2 w - -,f1f7
4k3/5ppp/1p6/p2p4/P1rNn3/2n1PP2/6PP/R3B1K1 b - -,e4c5
8/7p/p5p1/1p2k3/1P2P3/Pb2K1PB/7P/8 b - -,b3c2
