8/7p/P2R1pk1/8/r2p4/8/5K2/8 w - -,a6a7
r4r1k/p4pRp/2p2P2/1p2PQ2/n1P5/R3PN2/1q3P1P/3K4 b - -,a8d8
3rr1k1/ppq2p1p/2p2np1/8/3Nn3/1PP3PP/P3QPB1/4RRK1 w - -,e2c2
1rr3k1/3n1ppp/pp1bpnq1/8/P1PP4/1Q2BN2/1P3PPP/RN3RK1 b - -,e6e5
r4qrk/pppb2bp/5n2/3PppBn/2P5/1PN3PP/P2QN1BK/4RR2 w - -,d5d6
8/r1k4p/P7/2K5/2R3P1/8/P7/8 b - -,a7a8
6rr/3qbpk1/b1p1p1p1/pnPpP2p/1p1P3P/5NPN/PP1Q1P2/RB2R1K1 b - -,g8a8
r2n3k/2R5/4b2P/3pPp2/1B5P/P3P3/3Q1K2/8 w - -,e3e4
1r4k1/2r1ppb1/bn1p2p1/q1pP3p/Pp2PN1P/1Q1PBPP1/2R1B2K/2R5 b - -,a5a4
8/8/6k1/8/6P1/1r3R2/6K1/8 b - -,b3f3
4r3/1p2ppk1/1r1p2p1/3Pn2p/1qP3P1/1P5R/4BP1P/2Q1R1K1 b - -,f7f6
r3r1k1/2p2pp1/p2nbq1p/1p1p4/3P4/1PPB1N2/P1Q2PPP/2R1R1K1 w - -,c2d2
8/1p3n1p/6k1/2B5/6N1/1P4P1/r4PKP/8 w - -,g4e3
r2qkb1r/1b3ppp/p1n1pn2/8/Pp1P4/1B3NN1/1P3PPP/R1BQ1RK1 b kq -,f8e7
rnb2rk1/2qpbppp/pp2pn2/2p5/2P5/1PN2NP1/PB1PPPBP/2RQ1RK1 b - -,c8b7
R7/3k1p1p/6p1/8/4P3/4bP2/2p1K1PP/3n4 w - -,a8a1
rnb1kb1r/pp1p1ppp/4pn2/2q5/2P5/2N1P3/PP3PPP/R1BQKBNR w KQkq -,c1d2
r1bbk2r/pp3p1p/2p1p3/6p1/2P2B2/2P3P1/P3PPBP/R3K2R w KQkq -,f4e3
r3qr1k/p5pp/1p1p1b2/2n2Q2/2P5/4N1P1/PP1R1P1P/R1B3K1 w - -,f5c2
r2q1rk1/1p1nppbp/p1p3p1/8/3P2b1/1PB1PN2/P3BPPP/2RQ1RK1 b - -,f8e8
5r2/2RP1pkp/2p3p1/2Ppp3/5Q2/p3P1P1/Pq3PKP/8 w - -,f4f3
5rk1/pr1bb1p1/p2p3p/4pP2/7P/2B2P2/PPPKN1P1/4R2R b - -,d7f5
1rb1k3/pp3ppp/2p5/8/2P5/2P1PP2/P3BK1P/1R6 b - -,c8e6
r3k2r/pbpnqp2/1p1pp3/6pp/2PPn3/2P1PNBP/P1Q1BPP1/R4RK1 w kq -,f3d2
6r1/8/1p1n1b1p/p1pP1k2/P1P1pp2/1RBn4/4NPP1/5RK1 b - -,d6c4
rr5k/p1q1ppb1/1pp1bNp1/P3P2p/1PPR1B2/3P3P/3Q1PP1/R5K1 b - -,b8d8
r2qkb1r/1b1n1ppp/p1p1pn2/1p6/P2P4/1N2PN2/1P2BPPP/R1BQ1RK1 b kq -,f8d6
r2qr1k1/6pp/2p2pn1/ppn1p3/2PpPP2/1P1P2PP/P4QB1/2BR1RK1 w - -,h3h4
8/3rkp2/1pr1p2p/p2p1p2/3P4/1PP3P1/1P1K1P1P/R3R3 b - -,c6c8
8/7p/1p1k1pp1/nPbB4/6P1/5P2/2N1K2P/8 w - -,d5g8
3r2k1/q4p1p/1n2p1p1/1P6/3r1P2/2RB1QP1/2P3KP/1R6 w - -,c3c6
r2r2k1/pp2bppp/n1p1p3/4N3/3P4/1P2P3/1PnBKPPP/R1R5 w - -,c1c2
r3k2r/5p1p/5p2/p1qPn2Q/PpN5/6P1/1P3P1P/2R2RK1 b kq -,c5d5
8/5pk1/2R2p1r/4p3/8/2P4P/6P1/5rK1 w - -,g1f1
Rrk5/1rb5/R2p2p1/3Pp2p/KP3p2/3P1P1P/3B2P1/8 b - -,g6g5
r1bqk2r/1p3ppp/2n2n2/p3p3/1bPp4/3P1NP1/1BN1PPBP/R2Q1RK1 b kq -,b4d6
r1b1r1k1/1p3pbp/1q4p1/1Npnn3/2P1P3/1P2B1PP/4NPBK/1Q3R2 w - -,e4d5
6k1/p4pp1/1p5p/3Q4/3P4/2P1K3/P2N2nq/8 w - -,e3f3
1rbq1rk1/4ppbp/3p2p1/1pn5/1Q6/PPN3P1/1B2PPBP/R4RK1 w - -,f1b1
2r2k1b/3b4/5p2/B3pNp1/1p2B1P1/1P6/P4P2/1K6 b - -,c8b8
r2q1rk1/pb1n1pp1/1p2p2p/8/3PPQ2/3B1N2/P4PPP/2R2RK1 w - -,h2h3
3r2k1/5p1p/p1p3p1/2P1n3/1P2P3/P1p3P1/3rP1BP/2R1R1K1 b - -,c3c2
r3k2r/pp1nppbb/2p3pp/3n4/2NP3P/1P4N1/1PP1BPP1/R1B1K2R w KQkq -,c2c3
Q7/1k6/2p1p2p/1p2p1pn/4P3/2r1qP1P/6PK/R7 b - -,b7c7
2r3k1/p2nppq1/1pbp1np1/6Qp/4P2P/2N2P2/PPP1B1P1/R3K2R w KQ -,a2a4
1qr2rk1/4ppbp/p1npbnp1/1P6/4P2Q/2N2N1P/PP1BBPP1/2RR2K1 b - -,a6b5
r1bqk2r/pp1nbpp1/3ppn1p/2p5/3PPP1B/2PB4/PP1N2PP/R2QK1NR b KQkq -,c5d4
r3kbnr/pp2pppp/2n5/2pq4/6b1/5NP1/PPPP1PBP/RNBQ1RK1 b kq -,d5h5
r1b1kb1r/p1qn1ppp/2n1p3/1p1pP3/NPpP1P2/2P1BN2/P3B1PP/R2QK2R w KQkq b6,a4c5
r1bqkb1r/ppp2ppp/2np1n2/4p3/2P5/2N1PN2/PP1PBPPP/R1BQK2R b KQkq -,g7g6
2r3k1/3R2pp/1pr5/1p1p4/8/8/PPP3P1/2K2R2 w - -,f1f2
r5k1/pR3ppp/P3p3/2r5/8/5PP1/R4K1P/8 b - -,c5c6
1r1q1rk1/1pn1ppbp/p1bp2p1/3Nn3/P1PN1P2/1P4PP/1B1QP1B1/R2R2K1 b - f3,e5d7
4r3/1pk5/p1p2rp1/P1Np1p1p/1P1K1P1P/3BP3/8/6R1 w - -,d3e2
8/p3r1k1/P4p2/3K2p1/6P1/1Q4bP/8/8 b - -,g3e5
8/1pp5/1b4p1/pP1P2kP/P3p3/6BP/3K1P2/8 b - -,g6h5
8/6p1/4ppk1/3pP2p/1r1P2PP/4KP2/3R4/1b1B4 b - -,g6h6
r7/3b1k1p/4p1pP/1n1pPp2/pBpP1P2/2P3P1/2PK1N2/R7 w - -,b4c5
6kQ/8/7p/3b4/8/5Pq1/8/7K b - -,g8f7
1rbqk2r/1pp2pp1/p3pb1p/4N3/3P1P2/3BQ3/PPP3P1/2KR3R w k -,g2g4
1q1r2k1/1p3pp1/rpp1pn1p/5b2/2PP4/PQ2B1P1/1P3P1P/2RR1BK1 b - -,f5e4
r4kr1/ppp1bp2/5n1p/1P2Pqp1/n4p2/PBN2QP1/1BP4P/3RR1K1 b - -,e7c5
8/1p6/2p2k2/3n1pp1/3P4/4BKP1/rP1R1P2/8 w - -,d2e2
8/pp6/7K/6PP/PP6/5k2/8/7r w - -,g5g6
r5k1/2p3pp/p1p5/4PP2/4n2B/2PR3P/P5K1/8 b - -,h7h6
8/8/5p2/R4k2/5r2/2K3R1/5n2/8 b - -,f5e6
1r2r1k1/q3bppp/p1p1p1n1/2PpP3/3B3P/4Q1P1/PPPN1P2/4RRK1 w - -,f2f4
r1b2rk1/pp2bppp/1qn1p2n/3pP3/1P1P4/P1N2N2/5PPP/R1BQKB1R w KQ -,f1d3
1r2r1k1/pbqnbpp1/1p1ppn1p/8/P1NP4/2PB1NB1/1P3PPP/R2QR1K1 w - -,h2h3
2rq1rk1/1p2bppp/p1b1pn2/n2pN1B1/3P4/2NBP2P/PP2QPP1/2R2RK1 w - -,c3b1
r7/2p3pp/1p2kp2/pP2p3/P1n1P3/1NP2PP1/4K2P/2R5 w - -,e2d3
2Q3k1/1p3pp1/p1n2q1p/3B4/2Pb4/6PP/P2N1P2/6K1 b - -,g8h7
2rr2k1/p4pp1/4b2p/2Rp4/3Q4/1P2P3/P5PP/5B1K b - -,c8c5
r2qr1k1/pb3pp1/1p1b1n1p/3pN3/2pP1P2/2N1P1P1/PPQ3P1/1B1R1RK1 b - f3,a7a6
8/2R5/4b3/4kp1P/2pp4/5B2/7r/4K3 b - -,e5f4
rnbqkb1r/pp3ppp/2pp1n2/4p3/2PP4/2N3P1/PP2PPBP/R1BQK1NR b KQkq d3,b8d7:f8e7
1n1q1r1k/5p1p/n1r2Pp1/p2Np1P1/P3P2P/1Q6/1P6/1K1R3R b - -,c6d6
1r1r2k1/5pp1/p1qP1b2/8/4p3/1P5P/P1Q1R1P1/1KNR4 b - -,c6b6
1r1q1rk1/p2bppbp/2Np1np1/1p6/4P1PP/2N1BP2/PPPQ4/2KR1B1R b - -,d7c6
2r5/6pp/Nk6/1P3PPP/4P3/2bB3R/1r6/3K4 b - -,c3d2
5rk1/pp3p1p/2r1p2p/q2pP3/b2P4/2NK1N2/3Q1PPP/5B1R b - -,f8c8
7k/1p1Rn1p1/7p/4p2b/4Pp1N/2P5/5rP1/2K5 b - -,f2f1
r2r2k1/1pb2p2/p3p1np/8/3N2pP/2PR2P1/PP3P2/3RN1K1 b - -,g6e5
