8/p7/8/p1N1p2k/P3P1p1/1P6/6K1/4b3 b - -,h5h4
r2q1rk1/1bpn1pb1/p2pp1pp/1p6/1n1PP3/PBN1BP2/2P3PP/RN1Q1RK1 b - -,b4c6
2q5/8/8/3R4/4PR1P/2k3P1/5P1K/8 w - -,h2g2
r3r1k1/1p3ppp/pbn1bq2/8/4Q3/1NP2N2/PP3PPP/3BRRK1 b - -,g7g6
r7/ppq3kp/4bpp1/4pn2/B7/2P1NQ2/PP3PPP/5RK1 w - -,e3f5
rn1qk2r/1p2bppp/p2pb3/3Pp3/8/1N2BP2/PPP3PP/R2QKB1R b KQkq -,e6f5
r2qr1k1/ppp2ppp/1nn2b2/3P1b2/3P4/2N1BN1P/PP1QBPP1/R4RK1 b - -,b6d5
1rr2bk1/3n1p1p/p3q1p1/1p2p3/4P3/1P2BP2/3QBNPP/2N2RK1 w - -,f3f4
1r4k1/3b1nbp/pq1p2p1/2pP1p2/8/2B3P1/1P1NPPBP/Q3R1K1 w - -,d2c4
r4rk1/4q1p1/3p3p/4pp2/2P1bP2/2B5/3Q2PP/4RRK1 w - f6,f4e5
2kr3r/2p3pp/p2b2q1/1p1p4/3Pb3/1B6/PPP1Q1PP/RNB2RK1 w - -,b1c3
rn1q1rk1/pbp1bppp/1p3n2/3p4/5B2/2NP1NP1/PP2PPBP/R2Q1RK1 b - -,c7c6
6k1/5p2/3p2pp/3P4/2N1n3/1Kb1B3/8/rB5R b - -,e4g3
8/2r2kpp/8/p1p1R3/2Pp4/1P5P/P4PP1/6K1 w - a6,g1f1
8/1p3p1k/3p2p1/1P1P4/1n2p1pP/1NK1P1P1/3Qq3/R7 b - -,e2b5
2r2rk1/bb3pp1/p1n1pq1p/1ppp4/3P4/N1PQ1NP1/PP1RBP1P/4R1K1 b - -,c5d4
rnbq1rk1/pp2nppp/2pb4/3p4/3P4/3B1N1P/PPP2PP1/RNBQR1K1 b - -,e7g6
6k1/p1qb1rp1/1r5B/2pQ1n2/8/5N1P/P4PP1/3RR1K1 w - -,f3g5
r1r2bk1/pN2qp1p/2b2np1/1p2p3/1P2P3/P3BP2/6PP/R2QRBK1 w - -,b7a5
r2q1rk1/1p3ppp/p1nbpn2/3p4/3P4/2NBP2Q/PP1B1PPP/2R2RK1 b - -,g7g6
7k/p1p5/1p2b2p/2p2p2/P1P4p/1P3NP1/2P4K/8 w - -,f3h4
8/5p1p/1n4p1/8/2Pk4/2R5/5PPP/5K2 w - -,c4c5
1r6/6k1/p2p2p1/3R4/2p5/P1P4P/1P3RPK/4r3 b - -,b8b6
3r2k1/1b2rpp1/pqn2n1p/1p1pp3/1P1P4/P1N1PNP1/2R1QPBP/2R3K1 w - -,d4e5
8/p2k1p2/2p1pbp1/3r3p/2pP1P1P/PrP3B1/1PR1K1P1/3R4 w - -,g3f2
8/2B1pk1p/1p4p1/r2P4/3bp3/8/P1R2PPP/5K2 w - -,c2c4
5rk1/6r1/4p1pp/p2bPpP1/1ppP1P1q/2P4P/P4R1K/2QB1R2 w - -,d1f3
r1br2k1/ppp1ppbp/nQ4p1/8/3P4/2N1P3/PP2BPPP/R1B2RK1 b - -,a7b6
8/p7/2k4P/1p2p3/bRn5/8/2Pr2P1/K1R5 b - -,d2g2
q1r3k1/1p1b2bp/3p2p1/r2Ppp2/4P3/2N1BPP1/PQ4BP/n4RK1 w - -,f1a1
8/p4R2/1kp2p1p/4r2P/1PPK2P1/P7/8/8 b - -,e5g5
8/p2r3p/4k3/1PK3p1/P7/7R/7P/8 b - -,d7c7
3rb1k1/p4qpp/1pn5/5p2/1P2r3/P1RN1Q2/4NPPP/5RK1 b - -,f7e7
2r1b2k/7p/R5p1/7P/2P2P2/p2r4/B4RPK/8 b - -,h8g7
2r3k1/5pp1/3ppb1B/3n4/1q1P2QP/6P1/1P3PN1/R5K1 b - -,b4d4
r3r3/5bk1/p1p2p1p/PpNp1Pp1/1P1P2P1/4PP2/4RK2/4R3 b - -,a8a7
3b4/1p1n1pk1/2p1b1p1/p3p2p/N1P1P3/1P2BBP1/P4P1P/6K1 w - -,a4c5
r1bq1rk1/1p2bppp/p1np1n2/2pNp3/2B1P3/P1PP1N2/1P3PPP/R1BQK2R w KQ -,b2b4
r3k2r/p4pb1/1qp1p1p1/5n1p/4NQb1/5N2/PP2B1PP/R1B1K2R w KQkq -,e4d6
r2r2k1/p1n1ppbp/qp2b3/4P1pN/3B2P1/1PN2Q1P/1PPR4/3R2K1 w - -,c3e4
r2n2rk/1pqn1p1p/p2p2p1/2pPp3/2P1P2P/2NQB3/PP3PP1/R3R1K1 b - -,f7f6
8/8/1p2p3/p2p2k1/P2P4/1P1bPPKp/8/R1Nr4 b - -,d3f5
rn1qnrk1/pb3p1p/1p1p2pP/2p1p1P1/2P5/1PQ2N2/PB1PPP2/R3KB1R w KQ -,f1g2
3r4/4kp2/6pp/p7/3nPPPP/PP1R4/1P6/1K6 b - -,e7e6
4r3/2r3k1/1pNRpn1p/p5p1/4P3/R3KPPP/PP6/8 w - a6,a3d3
8/2pr4/p5k1/2K1p1pp/P3Pp2/1PB2P1P/2P3RN/3r4 b - -,g6f6
r2qr1k1/pp1b1pb1/1n1p1np1/8/4P3/2N1BN2/PP2B1PP/R2Q1R1K w - -,f3g5
2q1rrk1/1p2bpp1/p3n2p/PP2p3/2P5/4B3/3NQPPP/R2R2K1 w - -,d2e4
8/5Npk/7p/2p2P2/2PbR1P1/5K2/1r6/8 b - -,b2b3
2r2rk1/p2q2pp/bpp1p3/5p2/2PP4/6P1/P2QPPBP/R1R3K1 b - -,f8d8
8/8/7p/p2knpp1/p7/1PP1K2P/1N4P1/8 w - -,b2a4
5rk1/pp4qp/2p3p1/8/2P1Q3/1P4P1/P4P1P/4R1K1 w - -,h2h4
r1b1k2r/pp1pp1Bp/n5p1/1N6/2B3n1/4QN2/P4PPP/4K2R b Kkq -,g4e3
4r1k1/1brn1pbp/pq1p2p1/1p1Pp1BP/4Pn2/1BP2NN1/1P1Q1PP1/R3R1K1 w - -,a1d1
2r3k1/R4p2/p4Ppp/8/b7/2PB1P2/2P2K1P/8 w - -,a7a6
kr1r4/p3q1p1/1np1p2p/7P/5PQ1/1PN3P1/P1KB4/3R4 w - -,g4f3
6k1/2r1qp1p/1n1p1npB/p3p3/1pB1P3/1P3P2/1P1Q2PP/R5K1 w - -,a1a5
8/7k/8/2RP4/1P6/1KPbP3/8/q7 b - -,a1b1
rn3rk1/p3qpp1/b3pn1p/2p5/Q6B/P4N2/1P2PPPP/2R1KB1R w K -,f3e5
r1b2bk1/pp1rqppp/2p1p3/4B3/2P3Q1/1B1R3P/PP3PP1/3R2K1 b - -,b7b6
1r3rk1/p1pn1qbp/2ppp1p1/6B1/4P3/2N4Q/PPP2PPP/1R3RK1 w - -,g5h6
3q1rk1/5ppp/2bbp3/1p2B3/3P4/1BPQ4/5PPP/R5K1 w - -,d3g3
2b2r2/5nkp/pRp2pp1/2N1p3/P1N5/3PP1P1/5P1P/6K1 b - -,f7g5
6k1/4b3/2B4P/p4RPK/P7/8/3r4/8 b - -,d2h2
4rk1r/p2p1ppp/2n5/3q4/2p1n3/1N3P2/PPQ3PP/R1B1R1K1 w - -,e1e4
6k1/7p/p5p1/3Pp3/Rpp4b/7P/1PPBqPK1/5R2 b - -,e2d2
R7/4r1p1/1kPb1pP1/5P2/3pB3/3P4/4K3/8 b - -,e7c7
r1r3k1/1p3p1p/p1nqp1p1/2Rp4/3P4/3BP3/PP2QPPP/2R3K1 w - -,b2b4
r3r1k1/3n1ppp/p2p1q2/1ppP4/8/P1P2N1P/1P1Q1PP1/3RK2R w K -,e1f1
r1b2rk1/1p3pnp/p2p1n2/2pPpp2/P1P1P2N/2N1q1P1/1P4BP/R2Q1R1K w - -,e4f5
r2qrnk1/pb2bppp/1p3n2/1BppNp2/3P1B2/2P1P2Q/PP1N2PP/R4RK1 b - -,g7g6
3rr1k1/ppb2p2/2pp1qb1/4p1pp/4Pn2/1BPPN2P/PP1R1PPB/3QR1K1 b - -,g8g7
r1bq1rk1/pp1pppbp/2n2np1/8/2B1P3/1NN1BP2/PPP3PP/R2Q1RK1 b - -,d7d6
1r1q1rk1/3bppbp/p2p2p1/1P6/3nPP2/1PN3P1/P2BQ1BP/2R2R1K w - -,e2f2
r1bqk1nr/1p3pbp/p3p1p1/3pP3/3P3P/2N5/PPB2PP1/R1BQK2R b KQkq h3,h7h5
1r3rk1/p1nq1pbp/bp1p1np1/2pPP1B1/P1N2P2/2N5/1P2B1PP/R2Q1RK1 b - -,a6c4
r2r4/1q2p1kp/5bp1/3P1p2/PPpn4/2N1BPP1/R5KP/1R3Q2 w - -,e3d4
1k6/pb1q4/1p2p2p/4P1pP/2Pp1rP1/PP6/2N5/1K1QR3 b - -,b7f3
3r2k1/p6p/4q1p1/3p1pb1/1Pp2P2/2P5/P3P1Q1/3R1K2 w - -,g2g5
8/Pk6/6BP/8/8/5b2/1b2pK2/8 b - -,b2d4
8/6R1/2n1kp1p/r3p3/7P/4NP2/4K1P1/8 b - -,c6d4
4r1k1/1bp2ppp/p1qprn2/1pb5/4PB2/P1NB1Q1P/1PP2PP1/4RRK1 w - -,f4g5
rn1qkb1r/pp2pp1p/3p1np1/1b2P3/3Q1P2/2N5/PPP3PP/R1B1K1NR w KQkq -,e5f6
r2q1rk1/ppp3bn/3p2p1/3PpnPp/1PQ5/3P3P/P2BNPB1/1R3RK1 w - -,h3h4
