6k1/7p/3p2p1/8/4P3/4R3/3r3P/7K w - -,e3f3
1B2rbk1/1qp2pp1/p4n1p/1P2p3/P3B3/2N4P/2QN1P2/1R1R2Kb b - -,h1e4
7r/1k4r1/1p2p3/1B3p1P/P4RPK/5b2/8/2R5 w - -,c1e1
1rbq1rk1/4ppbp/3p2p1/2pPnP2/2P4N/3P2P1/3B2BP/R2Q1RK1 b - -,b8b2
r2qk2r/pp1bbppp/2n1p3/1B1pP3/3P4/5N1P/PP1n1PP1/R1BQR1K1 w kq -,c1d2
3r2k1/5pp1/p1qBp2p/2P5/3Q4/2NR3P/Pr3PP1/6K1 b - -,f7f6
r1b1rnk1/ppp1q1bn/3p2pp/3Pp3/2P1Pp2/3B1P1P/PPQN1BPN/R3R1K1 b - -,g7f6
8/r4pk1/1pB4p/2b3p1/P1P3P1/1R6/5P1P/5K2 b - -,a7c7
r2r2k1/pp1qbppp/2n1p1b1/4P3/3P2Q1/3BRN2/P2B1PPP/R5K1 w - -,d2c3
5qk1/p1r2pbp/1p2pBp1/2p1P2P/2PnB1P1/P3Q3/1P3PK1/7R b - -,c7d7
3r3k/7p/1p6/4RP2/1P5p/1B6/6P1/3q2K1 w - -,b3d1
1rb2rk1/p2p1ppp/3Npn2/1pq5/5Q2/2P2B2/PP3PPP/R2R2K1 w - -,d6e8
8/5k2/p7/P1B4K/1P3PP1/8/4b3/8 w - -,f4f5
4r1k1/p4ppp/2p2n2/2q1np2/8/PBB4P/1PP2PP1/R4QK1 w - -,c3e5
r1b1k2r/4ppbp/1qp3p1/3pP1B1/p2P4/2N5/PP1Q1PPP/R4RK1 w kq -,a1c1
r4r1k/p5pp/2p3nq/P3p3/1PB1P1b1/3K2Q1/1B5P/3R2NR b - -,a8d8
2r3k1/p1r2pp1/1ppq1nbp/3p4/NP5Q/P1RPPBP1/5P1P/2R3K1 w - -,f3g2
3Q4/5k1p/3p4/2p5/7P/2P5/P3q1P1/6rK w - -,h1g1
r4r1k/1pq3pp/p1pb1n2/4pP2/4P3/2N1B3/PP2Q1PP/3R1RK1 b - -,d6b4
r1bq1rk1/pppn1pp1/3b1n1p/4N3/2BP4/7P/PP3PP1/RNBQ1RK1 w - -,c1f4
2rr2k1/p2b1pp1/q2p1b1p/4pP2/3NP2P/2B2Q2/PPP5/1K1R3R w - -,d4e2
k1qr3r/pp2npp1/2p1p1p1/4Q3/2PP3P/P5P1/1PB2P2/1K1R3R b - -,h8g8
3r4/1p3p1B/p1kqb3/6Q1/1P1p2P1/P6P/6P1/4R2K w - -,h7d3
1R6/8/8/8/5kP1/5P1K/r7/8 b - -,f4f3
r1br2k1/1p2bppp/1q2nn2/pNppN3/B2P4/P3PP2/1P4PP/1RBQ1RK1 b - -,c8d7
8/2n5/2P2kp1/7p/7P/5B2/5P2/6K1 w - -,g1g2
3R4/1p6/p1p4p/2Pk1p2/3P1K2/2r4P/P7/8 b - -,d5c4
rnbqkb1r/pp1n1ppp/4p3/2p1P3/2BP4/2N5/PP3PPP/R1BQK1NR w KQkq c6,g1f3:f2f4
r1r3k1/5pb1/5p2/4p3/p1P1PnQ1/5NP1/1PB2P1P/5K2 b - -,f4e6
8/1ppk1pb1/r1n1p1pp/r2b4/p2P1BPP/P3PN2/1PR2PB1/2R3K1 b - -,a6b6
r2qr1k1/1b2p1bp/3p1pp1/1p1N4/2nBP2Q/P1Pn2PP/1P2NPB1/R4RK1 b - -,e7e5
1br5/2q2p1k/pppBr1pp/8/2P5/1P5P/P2R2B1/3R1QK1 b - -,e6d6
8/6pp/8/4p3/K2n3P/3R1kP1/8/8 b - -,f3e2
r2q1rk1/pp2b1pp/2n1b3/3p1p2/3PnB2/P1N1PN1P/1PQ2P2/R3KBR1 b Q -,a8c8
8/P1k5/3RK3/2P5/8/8/8/4r3 w - -,e6d5
r3rbk1/2qn1ppp/ppbp1n2/3Np3/1PP1P3/4B3/P1QNBPPP/2R2RK1 b - -,c7b7
rnbq1rk1/pp2ppbp/3p1np1/2p5/4P3/2PP1N1P/PP2BPP1/RNBQ1RK1 b - -,b8c6:e7e6
rn3rk1/pppq1ppp/3b1p2/5b2/2pP4/3BPN2/PP3PPP/RN1Q1RK1 w - -,d3c4
5rk1/6p1/7p/2q2P2/2np1BP1/p2Q3P/P3R1K1/8 b - -,g7g5
3r4/8/5P2/1k4Pp/7P/2RpNK2/8/2b5 b - -,c1e3
8/8/3B4/2p5/ppP1k2P/1n6/1K6/8 b - -,e4d4
1Q6/4r1kp/2p3p1/2q1p3/2P1R3/r6P/6PK/5B2 w - -,b8d8
2r1k2r/Qpqnbppp/p2p4/3Pp3/1PP5/4BN2/P4PPP/R2R2K1 b k b3,e8g8
r1bq1rk1/1p1nbppp/p2ppn2/8/2BNP3/2N3Q1/PPP2PPP/R1BR2K1 b - -,d7e5
r2q1rk1/pbpnbpp1/1p2pn1p/3p4/2PP3B/P1N1PN2/1P3PPP/2RQKB1R w K -,c4d5
r2qkb1r/1p2npp1/p1n1p2p/4P3/2Q4B/5N2/PP3PPP/RN3RK1 b kq -,d8d5
r5k1/5ppp/8/2b2N1P/2r1Pn1R/2P2P2/8/1K1R4 b - -,c4c3
5r2/8/8/1p5k/pP5P/P1p1p3/5p2/2R2K2 b - -,e3e2
r3r1k1/3b1pbp/2Pp2p1/7n/3QP1n1/2N5/5PPP/1RB1RBK1 b - -,g7d4
5rk1/p1Q2ppp/4p3/3p1q2/8/1P3P1P/P5P1/R3RK2 b - -,d5d4
r1b1k1nr/1pp1q1bp/6p1/2P2p2/1pBnp2N/3P2P1/PB1Q1P1P/RN3RK1 b kq -,e7c5
8/8/5p2/8/2p4p/2P2qk1/3Q4/6K1 b - -,h4h3
r4r2/pp1q1pkp/4b3/3p4/P7/6Q1/1PP2PPP/R3R1K1 b - -,g7h8
rqbR4/5pbk/p3r1pp/Ppp1PP2/8/2P3P1/1PQ3BP/4R1K1 b - -,e6e5
r1b1kb1r/pp3pp1/1q2p2p/2npP3/2p5/2P1P1B1/PPQN1PPP/R3KB1R b KQkq -,c8d7
2r2rk1/1pq2ppp/p1np4/3Qp1b1/4P3/2P3P1/PPN2PBP/R4RK1 w - -,h2h4
rnb1kb1r/pp2pppp/1qp5/3p2Bn/3P4/4PN2/PPP2PPP/RNQ1KB1R b KQkq -,h7h6
3r3k/1pn1brpq/p1p1p2p/P3P1p1/3PQ3/2B1NPP1/1P4KP/3R1R2 b - -,c7d5
r6k/p1p2rp1/1p2N1qp/n3R3/Q4P2/2P3P1/P5KP/3R4 w - -,h2h4
8/2k3p1/4p2p/2Pbp3/8/4K1P1/2P1B2P/8 b - -,d5c6
8/8/5R1P/2p5/7r/3K1p2/5k2/8 b - -,h4d4
r1r1b1k1/2q1p1b1/5nPp/1p1PN3/1pp1PB1Q/8/P5PP/2R2R1K b - -,c7b6
rn1qk1nr/pb1pbppp/1p2p3/1BpP4/4P3/P1N2N2/1PP2PPP/R1BQ1RK1 w kq -,f3e5
1r1b1rk1/p4ppp/1p2pn2/1N2n3/1Pq2B2/6P1/P3PPBP/R2Q1RK1 w - -,f4e5
7q/ppk2p1r/2p5/3p2P1/P2bbPQN/5RK1/8/3R4 b - -,d4c5
r4rk1/p1q1ppbp/2p1b1p1/8/Q4B2/2P3P1/P3PPBP/R4RK1 b - -,g7e5
1r4k1/6pp/1prbpp2/p2p4/3P1P2/1RP1P2P/2RN2P1/6K1 w - -,c2a2
2rr2k1/3b1p1p/1q3np1/p1ppn3/8/1PQ1P1P1/P2NNPBP/2RR2K1 b - -,d7g4
8/6PK/8/p7/8/8/1k6/8 b - -,a5a4
8/4b1pk/p3qnp1/4p3/3p4/3Q1P2/P5NP/2R3K1 b - -,e6a2
r2r2k1/5p1p/2pp2p1/pp5n/1P2P3/P1N3PP/2P2P2/3RRK2 b - -,g8f8
rnbqkbnr/pp1ppppp/8/8/4P3/2N5/PP3PPP/R1BQKBNR b KQkq -,g8f6:b8c6:a7a6:e7e6:d7d6
8/8/4k3/6p1/3K2P1/8/8/8 w - -,d4e4
r4r1k/1bp3pp/p2qp1n1/1p6/3PN1n1/P4N1P/BP3PP1/2RQR1K1 b - -,d6f4
8/5p2/5k2/p4r2/PpB2nQ1/1P3P2/2K2P2/8 w - -,c4f7
r5k1/1r3pp1/1pR1pn1p/p2qN3/P1QP4/8/1P3PPP/3R2K1 w - -,c6c8
r2q1rk1/1p1n1ppp/3p4/p2Pp1b1/Pn4P1/1N2BQ1P/1PP2P2/1K1R1B1R w - -,h3h4
1r2kb1r/2q2pp1/2bppn1p/pp6/3QPPP1/P1N1BB2/1PP4P/2KR3R w k -,h1e1
2kr3r/ppqb1p2/2n4p/3pP1pN/6n1/2PB1N2/PP3PPP/R2QR1K1 b - -,c6e5
r1bq1rk1/pp2ppbp/5np1/2pPp3/2P1P3/2N5/PP2BPPP/R1BQ1RK1 b - -,b7b6:f6e8
r4rk1/pp2ppbp/3p2p1/2nP4/2n2P2/1PP3PP/P3N1BK/R4RB1 b - -,c4b6
rnbqr1k1/pp2p1bp/2pp2p1/5p2/2PP1PnP/1PN1PN2/PB1Q2P1/R3KB1R b KQ -,d8c7
r2qk2r/pppnp1b1/4b1pp/5p2/3P1B2/2P1PN2/PP1N2PP/R2Q1RK1 w kq -,d1e1
4rrk1/pp4p1/1bppqn1p/4p2n/1PP3b1/2NP2P1/P2Q1PBP/1RB1NRK1 w - -,a2a4
