4NK2/8/6k1/6Pp/7P/1b6/8/8 w - -,e8c7
2k5/pp4p1/2p1r3/3p2Pp/1P4n1/P1N1Prq1/3QR1P1/5K1R w - -,g2f3
1r2r1k1/5qb1/2n1pp2/p1Np3p/P2P2p1/2P4P/QP3PP1/3RR1NK b - -,g7f8
6k1/7p/5Rp1/p7/P7/1r4P1/5P1P/6K1 w - -,f6a6
r1r3k1/p4pp1/1npqbn1p/2Qp4/Np1P4/1N1BP3/PP3PPP/R3K2R b KQ -,d6c5
2r3k1/2r2p1p/1nB1p1p1/p2pP3/Pb1B1PP1/3q3P/1PR3Q1/2R3K1 w - -,c6b5
r1b1kb1r/1pq2pp1/p1nppn1p/8/3NP1P1/1PN4P/P1P2PB1/R1BQ1RK1 b kq -,f8e7
r3qrk1/pbpn1pbp/1p3np1/4p3/2P5/4PN1P/PPQNBPPB/R4RK1 b - -,e8e7
8/1p2kp2/2bppp1r/p4Prp/2P1P2R/3B4/PP3RPP/1K6 w - a6,g2g3
5b2/p3k3/2R5/1p4K1/8/8/P7/8 w - -,c6a6
1R6/3b3p/1P2k2P/3p1p1B/3P1P2/4n1P1/1r6/4K3 b - -,e3g4
r5k1/p7/n1p5/6N1/5R2/8/5PPP/5K2 b - -,a6c5
1n4k1/2q1bp1p/1pP1p1p1/3p4/1N1P1P2/3N2P1/2Q2PKP/8 b - -,g8g7
1r2q1k1/2p2pPp/p2p2p1/8/1p3Pb1/8/PPPQ1B2/1N1R2K1 w - -,d1e1
8/2B5/2b1B3/5p2/pK4p1/4k1Pp/7P/8 w - -,e6f5
1r1r4/2p3k1/1n3ppp/1bb1p3/p1P1P2B/5P1P/BPKN2P1/3RR3 b - -,b5e8
2r2rk1/1p1qp1bp/1B1pNn2/5p2/1PP5/5P2/3QB1PP/2R2RK1 b - -,d7e6
5k2/pp5R/2q5/3Q4/3P1p2/2P2K1P/1r6/8 w - -,d5c6
r3kb1r/pp3ppp/2n1p3/q7/4Q3/2P2P2/P2PBP1P/R1B1K1R1 b Qkq -,g7g6
1r1qr1k1/QNp2pp1/3n3p/8/2P5/1R4P1/P4P1P/2B2BK1 b - -,d6b7
8/3b4/1p1knP1K/3p4/2PPp3/1P6/4B3/8 b - -,d7e8
r1b1k1nr/pp3ppp/8/3qP3/1b6/8/PP3PPP/RNBQKB1R w KQkq -,b1c3
r1bq1rk1/4ppbp/pnpp2p1/3N4/3P1B2/P3PN1P/BP3PP1/R2Q1RK1 b - -,c6d5
r1bqk2r/p3bppp/2pp1n2/4p3/4P3/3B4/PPP1NPPP/R1BQ1RK1 w kq -,e2g3
2r2rk1/1p3pbp/p1n1p1p1/3p4/3PnB1P/N2BPP2/PP3P2/2R2RK1 b - -,e4d2
r4rk1/pp1bpn1p/3p2pq/2pP4/2P1NN2/1P2QP1P/P5P1/3RR1K1 b - -,f7e5
6n1/p7/1p1p1kp1/2pP4/2P1BPK1/8/PP6/8 w - -,g4f3
8/pp2r1p1/6k1/2R1p1n1/2P5/P3P3/1P6/2K2R2 b - -,g5e4
r1b2r1k/p4pp1/2pbp3/q7/1n1P4/pP1BP3/3BQPPP/R3K1NR b KQ -,b4d3
r1b1kb1r/pp2pp1p/2n3p1/2p2q2/3P3B/2P1PQ2/P4PPP/R3KBNR w KQkq -,f1b5
3r2k1/1r3pbp/4p1p1/pp6/2pPR3/P1P4P/NP3PP1/4R1K1 w - -,f2f4
2kr4/pp4pp/2p3b1/8/2nB4/P1P2PN1/5KPP/R7 b - -,d8d7
8/p4p2/1p3k1p/3p4/2bK1PB1/P1P3P1/7P/8 b - -,f6e7
6k1/p3R2p/1p4p1/1Pp3K1/3p3P/r7/8/8 b - h3,a3g3
7r/1p2kpp1/p2bp1n1/7p/3NPP2/1P2B1P1/1P2K2P/2R5 b - -,h8d8
r1bqkbnr/pp3ppp/2np4/2p1p3/5P2/3P1NP1/PPP1P1BP/RNBQK2R b KQkq -,g7g6
r2q1r2/p3k1p1/1bpp3p/8/4n1b1/2P2N2/PP2QPPP/RNB2RK1 b - -,d6d5
4rk2/3b4/p6n/1p1ppp1P/6BN/2r4P/P1P5/2K1RR2 b - -,e8c8
r7/5r2/Pp2b1k1/4P1p1/2p5/R2p3P/8/1B1R2K1 w - -,b1d3
3r4/8/6p1/1Pp3P1/R4PP1/2Pk4/KP6/4r2B b - -,e1h1
r1b3k1/pp3ppp/2n5/1N4P1/3N4/3P1P2/nP5P/2K2B1R w - -,c1d2
2r2nk1/4q1b1/3p2p1/3Pnp2/1p1B1N2/1P5P/4BQP1/R6K w - -,e2f1
rn1q1rk1/4b1pp/3pb3/4pp2/P1NpP3/BQ3N2/1P3PPP/R3R1K1 w - -,e4f5
r5r1/1pq2pkp/2p1n1b1/p3pN2/4Pb2/2P2Q2/PPB2PP1/R1B1R1K1 b - -,g7h8
8/p6r/5kn1/2p2pP1/2b5/P1N3P1/5KBP/7R b - -,f6g5
5k2/5p1p/pq2b1p1/8/2pn4/P6P/1PB2PP1/1NKRR3 w - -,d1d4
r6k/1p2K3/1P1P1Qp1/2p2pp1/4P2q/5R2/8/8 b - -,h8h7
1r1q2k1/3n1pb1/R2N2pp/2pP4/4P3/6P1/1P2QPKP/2B5 b - -,d7b6
4k3/5pb1/6pp/P2Rp3/4P3/5P2/r2BK1PP/8 w - -,e2d3
2r1r1k1/1b6/p2ppqpQ/8/1PP1nP2/3B1R2/1N5P/5R1K w - -,f1g1
r1q2rk1/p2b1p2/5bp1/R2Pp2p/2p5/2P1PPB1/2Q1N1PP/5RK1 w - -,c2a2
r2rq1k1/pp2b1pp/n3Pp2/2pp1P2/7N/2P1B3/PPQ3PP/R4RK1 b - -,d5d4
6k1/pp4p1/8/2qp1P2/7P/2Pp2bR/6P1/RNB1Q2K b - -,g3e1
4r1k1/pq4pp/1p3p2/6n1/3BP1Q1/1P4P1/P4P1P/2R3K1 b - -,g5e4
r1b2rk1/ppqnnpb1/3p2pp/2pPp3/P1N1P3/2P2N1P/1P3PP1/R1BQRBK1 b - -,f7f5
4rr1k/2Rb2qp/p2p2p1/3Pp3/4PpnP/5PP1/P1Q3B1/3NR1K1 b - -,g4f6
r2qk2r/pp1n1pbp/3p2p1/4p3/3pPP2/8/PPPPN1PP/R1BQ1RK1 w kq -,d2d3
r1b2rk1/1pq3p1/p1nBp2p/3p4/N2Pn3/3B1N2/PP3PPP/R2Q1RK1 b - -,e4d6
4r3/p1pr1bpk/3q1p1p/2p2P2/2P5/1P3QNR/P5PP/5RK1 b - -,d6d4
1r3r2/p1n1p2k/3p2pb/1Pp2p1n/P7/4BNPB/4PP1K/3R1R2 w - -,f3g5
8/6k1/4R3/6K1/p4PP1/r7/8/8 w - -,e6e7
2rq2k1/5pp1/1pn4p/p1R5/P3PB2/7P/1P2p1P1/R2Q2K1 w - -,d1d8
rn1qk2r/ppp1ppbp/1n4p1/8/3PP1b1/1QN2N2/PP2BPPP/R1B1K2R b KQkq -,g4f3
r4r1k/4q1pp/bp1p4/p2Ppp2/1P2nP2/PB1QP3/1BR3PP/5RK1 w - -,b3c4
3r1rk1/pp3pp1/1q2p2p/2n4P/2PQ2P1/5N2/PP3P2/1K1R3R w - -,d4e3
r3k2r/ppqnbppp/2p1pn2/6B1/3P2b1/2N2N2/PPPQBPPP/R3R1K1 w kq -,f3e5
3R4/p4pkp/6p1/2p2r2/8/1P4PP/P1Q2PK1/4q3 b - -,e1e7
3kr3/p1p3p1/1pnr1pb1/3p2p1/3P4/P1P2P2/1P2RKPP/2N1RN2 w - -,e2e8
8/p4Qpk/1p5p/4Np2/3qbP2/P6P/1P4PK/8 b - -,d4f2
r2r4/7k/3b1p1p/nppPp1pP/1p2P1P1/1P2NP2/P7/1KR3BR w - c6,d5c6
8/p1p4p/3p1pk1/1r1Pn3/1P4P1/2B3KP/8/5R2 w - -,f1d1
3r4/4Rpk1/1R4pp/r7/1p5P/5NP1/n4PK1/8 b - -,a5f5
r1b2rk1/pp3pp1/1np4p/4q3/3N4/1B2P3/PPQ2PPP/2R2RK1 b - -,c8d7
2krr2b/3b1p2/3P1p1p/4pP1N/1p1N4/1R4P1/1PP4P/1K1R4 w - -,d4e2
2kr1b1r/p2q4/2p2Q1p/1p1p1b2/8/1BN5/PPPK1PPP/4R2R w - -,e1e5
1qbr4/p4k2/3p1pp1/2pN4/1pPn3P/1P4P1/PQ3PB1/3R2K1 w - -,d1d4
8/1p3k1p/2ppq3/p4p2/P1P2P1P/1P1Q2PK/8/8 w - -,d3c3
8/1r5k/1P3ppp/4p3/2NbP3/1p2B2P/5PP1/2K5 b - -,g6g5
8/p1k3p1/3b1PN1/3p2PN/1p1P4/1Pn5/P2K4/8 b - -,g7f6
8/5p2/8/1B4p1/3k1b2/5P1P/4N1K1/1b6 b - -,d4e5
8/1p3p1p/4pk2/1P4p1/P3R1P1/4K3/4PP1r/8 w - -,a4a5
3q4/5rkp/3p1p2/1p1PpPP1/3pP1Q1/8/2PP2P1/R5K1 b - -,f6g5
8/2r2p2/6pk/1nNK4/1P5p/7P/2R3P1/8 w - -,c2d2
