8/1p6/1B6/1K3b2/8/P7/5p2/5k2 b - -,f5d3
5k2/1p3p2/5n2/p1r1nP1p/Pb6/1B2R2P/1P4P1/5R1K w - h6,f1d1
r4rk1/1p1nb1pp/1q2p1b1/p1p1Pp2/2P5/1P1NR1P1/PB2QPBP/5RK1 w - -,d3f4
r4bk1/2q1rpp1/p1bp1n1p/n3p3/P3P3/2P2N1P/2BN1PP1/R1BQR1K1 b - -,d6d5
1r1r4/1pn2bk1/pN1p3p/1P2bPp1/P1P1B3/4BP2/2R2K2/6R1 b - -,g7f6
r2qr1kb/1p2pp1p/3p1P2/p2N2PQ/3nPR2/1P6/1PP4P/R5K1 b - -,d4e6
r1b2rk1/pp2nppp/2n2q2/3p4/Q2N4/1N4P1/PP2PPBP/R4RK1 b - -,c8d7
4rb1k/5b1p/pnp5/2p1pN2/2Pp4/1P1P3P/P4PP1/R3R1K1 w - -,a1d1
r4rk1/pppq1p2/2np1bpp/4pb2/1PP5/2NP1NP1/P3PPBP/1R1QR1K1 w - -,b4b5
1rk5/2b2ppp/p1B3b1/4p3/6P1/2B1P3/PP3P1P/2R3K1 b - -,f7f6
8/1P2r3/2B5/2P5/1K1np3/6p1/5k2/R7 w - -,a1a2
rn1qkb1r/ppp1pppp/5n2/3p4/2PP2b1/4PN2/PP3PPP/RNBQKB1R b KQkq c3,d5c4:c7c6:e7e6:g4f3
8/5p1k/pB5p/P2b2p1/r4n2/8/5PPP/3B1RK1 b - -,a4a2
4r1k1/p6p/3P2p1/8/2R5/6qP/P1p3PK/8 w - -,h2g3
1k6/8/1p1q1p2/6p1/8/2Q3RP/6P1/3r2K1 w - -,g1f2
3k4/7R/3Bp3/3bP2p/5P2/4K3/7r/8 b - -,h5h4
3qbk2/1p6/p1p1p3/2P1N3/PP1PPPR1/2KQ4/rr6/6R1 b - -,b2c2
1k6/1pp3R1/1p1q1p2/3p4/1P1Pr2P/P7/1KPQ1P2/8 b - -,e4h4
8/5k1p/2R5/8/8/2P4K/2r3P1/8 w - -,g2g3
3q1r2/1pr3kp/3P1pp1/4n3/1P1Q1P2/6PB/3N3P/R5K1 b - f3,e5f7
r1b1kb1r/p2pq1pp/1pn1p3/2pnP3/8/3B1N2/PPP2PPP/RNBQ1RK1 w kq -,b1d2
r5k1/4qp1p/p2n2p1/1p1P4/2pBpP2/2P4P/PP3QP1/3R3K w - -,d4c5:d4e5
4r1k1/1q3p1p/3pr1pb/p7/1pR5/PQ1RPNPP/1P2P1K1/8 w - -,a3b4
8/5k2/2K3p1/6P1/5R1P/8/8/3r4 b - -,f7g7
3bqrk1/p4pp1/R6p/1r6/3P2B1/3Q2P1/4PP1P/3R2K1 b - -,d8b6
r3r1k1/1p3p1p/p2q1p2/P1bp4/Rn6/1Q3N2/1P3PPP/3R1BK1 b - -,a8d8
7k/4q3/8/5P1P/6K1/6Q1/8/8 b - -,e7e4
8/5k2/7R/4P3/p3K3/6P1/1r6/8 b - -,a4a3
1nkr3r/pppqbp2/1nb1p2p/4P1pN/3P4/PBN1B3/1P2QPPP/2RR2K1 b - -,b6d5
r2q1rk1/pb2npbp/1p1p2p1/2p5/P2nPP2/2NPN3/1PP3BP/R1BQ1RK1 b - -,f7f5
1k1r3r/1p2R3/p2q1p1n/2pp3B/3P3P/2P2Q2/PP3P2/2K1R3 w - c6,e1e3
3rr1k1/6pp/p1p1pp2/PpPq4/1P1P4/2Q2P2/5P1P/3R1RK1 b - -,d5g5
6k1/3n1p2/2p1p2p/q7/2P1BRP1/2P1B2P/3K4/8 b - -,d7e5
3k4/1p6/1K4p1/1BPb1p1p/5P1P/6P1/8/8 b - -,d5e4
r1b1kb1r/pp2pNpp/3p4/8/4P3/2N2n2/PPP2PPP/R3K2R w KQkq -,g2f3
8/8/1r3k1p/4b1pP/6P1/3B4/6K1/2R5 b - -,e5f4
rnbq1rk1/p3ppbp/2pp1np1/8/1p1PP2P/2N1BP2/PPPQ2P1/2KR1BNR w - -,c3e2
6k1/2q1b1p1/1pPpPr1p/pP1Q1B2/R7/6P1/1PP4P/6K1 w - -,a4f4
rnbqk2r/p1p2ppp/1p2pn2/3p4/2PP4/P4N2/1P1QPPPP/R1B1KB1R w KQkq d6,e2e3
3rr1k1/pp2bppb/4p2p/1Pp5/P1N1P1q1/BQP3P1/5P1P/R3R1K1 w - -,c4e5
8/6k1/3K4/5P2/4N3/4n3/8/8 w - -,f5f6
rnbq1rk1/1p2bpp1/p1p2n1p/3p4/3P1B2/2NBPN2/PP3PPP/2RQK2R w K -,h2h3
8/1bp5/1p1pk1rp/5p2/1PPB4/4PP1P/5K2/R7 b - -,e6d7
3r4/4k1p1/1p2q2p/2p1n3/2Q5/2P4P/4R1P1/R5K1 w - -,c4e6
2r3k1/3b2pp/1p2prnq/pPnp4/P1P5/7N/2BNQPPP/R1R3K1 w - -,e2e3
3qrbk1/1r3p1p/p2npnp1/1P1pN3/3P4/1QP1N2P/1P3PPB/3RR1K1 b - -,a6b5
8/pQ5p/5k2/8/8/PP1pq2P/6P1/5K2 w - -,b7c6
8/1p5p/pr4pk/4p3/4P3/5P1P/1PR3P1/7K b - -,h6g5
4r1k1/2r1pp1p/3p2p1/p1nP4/1pPR4/1P1B1PP1/P6P/2R3K1 w - -,d3c2
8/R7/5k2/2pr3p/4pP1P/4P3/P3K3/8 w - -,a7a4
8/p4k2/1p3b2/3p1npp/P2P1p2/1PB1rP1P/3K2P1/2N3R1 w - -,c1e2
r3r3/p3Pp1k/1p3P1p/2p3p1/P2pN3/3Pn2P/1PP5/R5RK w - -,c2c3
2b1r1k1/5pp1/2Nq1n1p/8/2BP4/P4Q2/1r3PPP/2R2RK1 w - -,c6e5
5k2/6P1/4KP2/8/6Pn/8/8/8 b - -,f8g8
2kr3r/ppp1np1p/4p3/1P3qp1/2PPnbb1/1N3N2/PB2BPPP/R2Q1RK1 w - -,c4c5
2rq1rk1/p2nbp2/bpp1p2p/6p1/2pPP1n1/1PN1B1P1/P1QN1PBP/R2R2K1 w - -,b3c4
8/6k1/r5Pp/5p2/pR6/P3K3/1P4P1/8 b - -,g7g6
3r4/P6k/7p/4b1p1/2R2p2/4B1PP/5P2/6K1 w - -,g3f4
3r1rk1/pp3pp1/7p/8/2p1p1P1/4R3/P1P3R1/7K b - -,f8e8
2r2rk1/pp1qppbp/5np1/3p1n2/8/1PP2N2/PB1N1PPP/2R1QRK1 w - -,f3d4
8/8/6k1/2b1r2p/2P5/8/4r1PP/R2R3K w - -,d1f1
r1r3k1/pp5p/3p1Q2/q5Pp/8/P4P2/1PP5/1K1R1B2 w - -,f1h3
8/6pp/8/8/1n5P/1P3k2/pK1p4/3N4 w - -,b2a1
4rb1k/1q4rp/1p3p2/2pRpP2/2P5/4B3/P2RQ1PP/7K b - -,g7g8
r3rk2/1pq2p2/2p4Q/p3p3/P3P3/3R3P/NPP2PP1/4b1K1 b - -,f8e7
r1bq1rk1/3n1pbp/p2p1np1/1p1pp3/2P1P3/2N1BP2/PP1QN1PP/1K1R1B1R w - -,c3d5
1r1qr3/3n1pkp/2bp2p1/Pp2p3/4P3/5N2/1P1N1PPP/R2QR1K1 w - -,b2b4
4R3/8/8/7K/6PP/4k3/8/3rq3 b - -,e3f4
1r6/2R2pk1/6p1/1p3p1p/1P6/P5P1/6PK/8 b - -,b8b6
1rbr2k1/3q1ppB/3P4/ppn4p/4p2P/1P3QP1/2P1NP2/3RR1K1 b - -,g8h7
8/p2rpk1p/1p3np1/7q/1P6/P1N1QP2/1P2R2P/6K1 w - -,e3e6
3q1nk1/5pp1/p3p2p/1p1nP3/4Q1N1/P4P1P/1PB3PK/8 b - -,d8g5
r4k2/1r3pbp/2qp2p1/2pN4/p1P1P3/Rp1P3P/1P1Q1PP1/R5K1 w - -,g1h1
r1bq1rk1/pp2nppp/2p2n2/3pp1B1/1b2P2N/1BNP4/PPP2PPP/R2Q1RK1 b - -,d8d6:a7a5
2r2rk1/5p2/p2qpn2/1B1p2p1/3P3p/1QN1PP2/1P3KPP/2R4R b - -,a6b5
2rqkb1r/3n1ppp/p2Pb3/Q7/4P3/1N5P/PPP3P1/2KR1B1R w k -,a5a4
r1b2rk1/p1q2pbp/3p1np1/2p3B1/2PpP2P/1Q3P2/PP2N1P1/RN2K2R w KQ -,b3d3
8/8/4k3/3p3p/2bP3B/3nNpP1/8/6K1 w - -,g3g4
8/8/3p2p1/4bnkp/4K3/R6P/8/8 b - -,g5h4
2r3r1/pp2p2k/7p/5N2/3Bnp2/P1PP3P/8/1K3R2 b - -,e4c3
