8/6k1/6q1/1P2K1p1/2P2pQ1/7P/8/8 w - -,g4d7
r2qk2r/1b3ppp/pp2pn2/2ppQ3/3P4/2PBP2P/PP1N1PP1/R3K2R w KQkq -,g2g4
1r6/4k1bp/3p1pp1/1P1p2P1/3P3P/5N2/5P2/1R3K2 w - -,f1e2
r1b2rk1/1pq1bppp/p2p1n2/2p1n3/4P3/1PP2N2/PB3PPP/RN1QRBK1 w - -,c3c4
r5rk/3B2np/3p1b2/n2Pp3/4Pp2/1qBQ1N2/5PP1/2R1N1K1 b - -,b3b7
8/p4p2/4b1pp/p7/2k1KP2/6P1/P3N2P/8 w - -,e4e5
2b1r1k1/2qn1pp1/7p/3P4/1pP1p3/4Q2P/3R1PP1/1B2N1K1 w - -,d2d4
rnb2rk1/ppq1bppp/4pn2/2P5/2p5/N4NP1/PPQ1PPBP/R1B2RK1 b - -,c7c5
r1rq2k1/3nbppp/p3p3/P1p5/1p1Pb3/1N2P3/1P1NQPPP/2R2RK1 w - -,d2e4
8/2k2rp1/p1p5/2P5/PP5p/2K1R2P/8/8 b - -,g7g5
rn1qkb1r/1b3ppp/p2p1n2/1p2p3/3NPPP1/3BB3/PPPN3P/R2QK2R w KQkq -,f4e5
8/3n4/p1p1pk1N/8/6P1/7P/PPPK4/8 w - -,d2e3
8/8/4p1n1/4kppp/8/3BK1PP/5P2/8 w - -,d3e2
r1b2rk1/1p2bppp/p1n5/P2p4/8/1N2B3/1PP1BPPP/R3K2R w KQ -,e1g1
4b1rr/2qk2pp/pb2p1pP/1p1pP1Q1/5P2/1N1B4/PPP4R/1K5R w - -,h6g7
2r3k1/2P2rpp/8/3N2b1/PB6/8/2B3K1/4R3 b - -,g5h4
r2q1r1k/2p3bp/pp2P3/1n1QB1pn/4Pp2/3N1P2/PP2B1PP/2R2RK1 b - -,d8e7
4r1k1/1p1b1pp1/5n1p/1npp1P2/q2P1BPP/P2B1P2/4NQK1/R7 w - -,d4c5
r4rk1/pp1q2b1/3p3p/2pP1pp1/3BP1b1/1Q1P2P1/PP1N2BP/R4RK1 b - -,g7d4
8/1p2Qpk1/2p3p1/7p/2P1PP1P/1Pq5/3RK3/7r w - -,e7e5
1r3rk1/1bp1q1pp/3pp3/pPn2p2/4n3/4QNP1/PB2PPBP/2RR2K1 w - -,f3d4
r4rk1/2q2pbp/ppn3p1/2nbp3/P1N5/N1P1B2P/1PB1QPP1/R2R2K1 b - -,d5e6
4r3/6p1/2kn1p1p/4P3/r1P2P2/2B5/2PNR2P/2K5 b - -,d6c4
r2qk2r/pppnbppp/3p1n2/4p3/2BPP3/5N1P/PPP2PP1/R1BQK2R w KQkq -,e1g1
r3kb1r/1ppqppp1/p1np1n2/5bNp/2PP4/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,h5h4
8/7k/3p3b/2p2n1p/2q1pP2/1r2B2P/1P1R4/1K1N2Q1 b - -,b3d3
r1b1k2r/pp2ppbp/1npq2p1/8/3PP3/4BN2/PPQ1BPPP/R3K2R b KQkq -,c8g4
r7/1p2ppkp/3p1bp1/3P4/1q2PPB1/1P6/2Q3PP/5R1K b - -,a8a3
r3k2r/1b1n1ppp/pq2p3/1pbpP2P/3B1P2/2N5/PPPQ2P1/1K1R1B1R w kq -,c3e2
4q1k1/5pbp/2b1pNp1/2PpP1P1/3P1Q1P/3B4/pr3P2/R5K1 b - -,g7f6
r3r1k1/1ppbqpb1/n2p2p1/p1n4p/2PNPP2/PPN3PP/2Q2B1K/3RRB2 b - -,c7c6
2r2bk1/6p1/p3r2p/1p1NBp1Q/2pP4/8/P4qPP/R6K w - -,d5f4
r5k1/4bppp/p3b3/1p2P3/2p5/3r1N1P/PP3PP1/R1B2RK1 w - -,c1f4
1nq2nk1/1p1rbpp1/1B2p2p/P1p1PP1P/2P5/P4B2/2Q3PN/5RK1 b - -,e7g5
3r4/pkp1N3/1p1n3r/8/4pPbP/6P1/PPPR1P2/2K1R3 b - -,c7c6
8/8/pr1pk1p1/4pp1p/p3P2P/P1P1KPP1/1PR5/8 w - -,c2d2
1n4k1/5p2/p1pp1qpQ/1p2N3/3r2b1/P5P1/1P3PBP/R5K1 w - -,e5g4
r3k2r/pp1nbppp/2p1pn2/2Pp4/3P4/1bNBPN2/1P3PPP/R1B1K2R w KQkq -,f3d2
r1b1r1k1/1p2qpb1/2ppnn1p/p2Pp1p1/2P1P3/2N1B1PP/PPQ2PB1/3RRNK1 b - -,e6c5
2rq1rk1/4n1b1/1n2b2p/3ppp2/1P4p1/1QN3P1/1B1NPPBP/R4RK1 w - -,c3a4
8/8/R2b3r/3p1k2/3P4/3NP3/4K3/8 w - -,d3f2
1q1b1rk1/1p1b1pp1/p2N1nnp/P7/5pP1/2PQ3P/2P2B2/3RRBK1 b - -,g6e7
k4rqr/2np4/1p1Np3/p1p1P2p/P1Pn2p1/8/1P1B1PPP/R3QRK1 w - -,d2a5
7k/p1b1rp1p/6p1/1r4P1/2N3K1/1P3RP1/1P1R4/8 b - -,h8g7
1r1rn1k1/1bq2pp1/1p1pn3/pP2p1Qp/P1P1P2P/BN3PP1/3R4/3R1BK1 w - -,g5e3
8/5pkp/1n4p1/3Qp1q1/1P3P2/P5PP/7K/5R2 b - f3,g5g3
2R5/r4b1R/p2k2p1/1p1p1p2/8/4PP2/P4KP1/8 w - -,h7h8
r3r1k1/ppb4p/2p1b3/4pp1n/1PP5/P3NPP1/3NB2P/3R1K1R w - -,e3f5
r1qr1k2/ppb1nbp1/3p1p2/3PpNP1/6Q1/2P1B3/PPB2PP1/3RR1K1 b - -,g7g6
r2r2k1/1pqn1ppp/2pb1n2/p2pp2b/4P2N/2PP2PP/PPQN1PB1/R1B1R1K1 w - -,d2f1
8/5pk1/7p/5K2/4PPPP/8/1R6/7r b - -,h1h4
2Rn2k1/q2rbp1p/pp1p2p1/3P2N1/PP1P3Q/3B3P/5PP1/6K1 b - -,h7h5
r1bqk2r/pp2ppbp/1nn3p1/1B6/3P3Q/2N2N2/PP3PPP/R1B1K2R b KQkq d3,e8g8
r1r3k1/4bpp1/p3p1p1/1p6/4P3/1QP1B1qP/P5P1/1K1R1B1R b - -,g3e3
1r3k2/5ppp/p1pp1b2/4n3/8/1PN5/P1PB1PPP/4RK2 w - -,c3e4
rnbqkb1r/ppp1pppp/5P2/8/3p4/2N5/PPPP1PPP/R1BQKBNR b KQkq -,d4c3
r2qkb1r/1b1n1ppp/p1Pp1n2/4p3/Pp2P3/2N3P1/1PP1NPBP/R1BQ1RK1 b kq -,b7c6
r1bqkb1r/pp2pp2/2n3pp/1QPp2Bn/8/N1P2P2/PP2P1PP/3RKBNR w Kkq -,g5h4
r1bq1rk1/1ppn1pbp/3p2p1/3Pp3/1PP1Pn2/2N1B3/2B1NPPP/1R1Q1RK1 b - -,f7f5
1rbq1rk1/pp2npbp/2np2p1/2p1p3/4P3/N1PP2P1/PP2QPBP/R1B1NRK1 w - -,f2f4
1k6/2p4p/p4p2/1p4pn/4P3/NP3P1P/2Pq4/5Q1K w - -,h1g1
4rqrk/p4p2/1p3P1p/2pbP1pQ/3p4/1P1B3P/P1P4K/3R2R1 w - -,d1e1
2k4r/6pp/P1p1q3/1p4r1/3Bb3/2Q4P/1P4P1/R4R1K w - -,f1f2
6k1/5pp1/1pq5/2p5/3r4/P1Q2RPp/1P3P1P/4K3 b - -,c6e4
2rqk2r/4nppp/p2pb3/1p2p3/4P3/1P3N1P/P1P1NPP1/R2Q1RK1 w k b6,a1c1
1k5r/1pp3pp/1N1rqp2/pP6/P7/5QP1/5P1P/2RR2K1 b - -,d6b6
1r1r2k1/5p1p/1b2pq2/1B2n1p1/4P3/B1P3PP/4QPK1/1R3R2 b - -,h7h6
8/8/1kp5/p3p3/4P1NP/5nP1/2n2K2/8 b - -,c2d4
3R4/ppk1b1pp/2n2p2/4p3/8/2P2NB1/PP2KPPP/8 b - -,e7d8
rn3rk1/1p3pbp/1q1pp1p1/p2pP3/P2P1P2/2P5/1P2Q1PP/R1B1NRK1 w - -,e1d3
3r2k1/5ppp/5n2/8/8/3q1PPB/5PKP/Q3R3 b - -,h7h6
8/pp2kpp1/2p1p2p/2P5/P7/1PR3P1/1r3P1P/4KB2 w - -,f1d3
5rr1/pk1qn1p1/1p1Qp2p/3pP2P/b2PpB1N/P1P3P1/R1PK1P2/7R b - -,f8c8
r3k2r/p1q1npp1/1pn1p2p/2ppP2P/b2P1B2/P1PB1N2/2P2PP1/R2Q1RK1 b kq -,c5d4
2rq1rk1/1b1nnpb1/p2pp1p1/1pp3Pp/3PPP1P/P1N1B3/1PPQN1B1/R4RK1 w - -,a1d1
r5k1/2p2ppp/P1n2b2/2B5/3P4/5N2/5PPP/R5K1 b - -,f6e7
2r2r1k/1bq1b2p/pp4p1/2pN1pP1/P1B2P2/6Q1/1PP2R1P/3R2K1 b - -,b7d5
r1bq1rk1/1p1nppbp/p2p2p1/2p5/P3P3/2PP1Q1P/1PB2PP1/RNB1R1K1 b - -,a8b8
1q1r2k1/3rbppp/ppbppn2/8/2PRP3/1PN3PP/PB2QPB1/3R2K1 b - -,b6b5
rn1q1rk1/pp2ppbp/2p3p1/5n2/4N3/5QPP/PPPP1PB1/R1B2RK1 w - -,c2c3
2rr2k1/5pp1/p1p1p1b1/P7/3B4/4R2P/1P3PB1/R5K1 b - -,d8d4
2r1r2k/1p1q2p1/p2b1p1p/3PnN2/4Q3/1P6/PB3PP1/R3R1K1 w - -,f5d6
rn1k1bnr/pp3ppp/2p1b3/4p3/2P5/2N3P1/PP2PP1P/R1B1KBNR w KQ -,b2b3
4nbk1/pp1q3p/2p2p2/7N/3PQB2/2P5/PP4P1/6K1 b - -,f8e7
