8/p1R2qk1/6p1/8/5Bp1/8/5P2/2K5 b - -,f7c7
r2b3r/p4p2/1p1Bb2p/3pP2k/3P2pP/2R2NP1/P4PK1/4R3 w - -,f3g1
2kr3r/ppqnn3/2p1pb1p/P2p1bp1/3P4/1NPN4/1P2BPPP/R1BQ1RK1 b - -,f5d3
3R4/1N2k3/p4rp1/4n3/1P6/P7/6K1/8 b - -,f6b6
r7/1pr4p/p1p1bkp1/2Pp1p2/PP1R3P/3BP1P1/2R2P2/5K2 b - -,a6a5
6k1/p2p3p/3P2p1/2p1rpR1/6P1/8/PP3P1P/6K1 w - -,g4f5
8/8/1pNk4/8/K1P1n3/4P3/PP6/8 w - -,a4b5
3rqrk1/pp3pb1/7p/3B1b2/8/P4N2/1P1Q1PPP/2RR2K1 w - -,d2f4
5rk1/1p4rp/p2pPp2/3P1P2/P1p3P1/2Nb2KR/1P6/R7 w - -,g3f4
2N5/pK6/8/6k1/P7/8/5b2/8 b - -,a7a5
4k3/8/4K3/5Pb1/3B4/8/8/8 w - -,d4c3
1r2qr1k/p3b3/2p1pnQp/3p4/8/3B3P/PPP2PP1/3N1RK1 w - -,g6h6
r1b2rk1/p4ppp/1p2pn2/2pq4/1PQ5/P1P1PN2/5PPP/R1B2RK1 w - -,c4d5
4rrk1/1ppq2p1/p1nppn1p/8/3PP3/4RNNP/PP3PP1/R2Q2K1 w - -,a1c1
r4rk1/1b1n2B1/pp1q2pp/2pP1p2/P3p3/1P2PN2/2Q1BPPP/3R1RK1 b - -,g8g7
3r2k1/R6p/4p1pB/p3P3/1p3PK1/7P/P5P1/4b3 b - -,d8d2
r1b1r1k1/pp3ppp/2p1nq2/2P1p3/4P3/P1QB4/1P1N1PPP/R4RK1 w - -,f1d1
r1k1r3/p5p1/2p2p2/5P2/2R2BP1/8/6K1/3R4 b - -,e8e2
8/1Q6/6nk/2p1q2p/8/P3N1PK/8/8 w - -,b7f3
1r6/5p2/2p1k3/P2pp1p1/1P2P3/2P2P2/2K3P1/3R4 w - -,d1h1
2r2r2/4bpk1/pq1pb1p1/4p3/1B2PPp1/6P1/PPPQ2BP/R4R1K b - -,f8h8
8/p4qbk/7p/1Q2n1p1/6P1/P4P2/1P4P1/1K1R4 w - -,b5e2
r1bqk2r/ppp2pb1/3pPnpp/2n5/3NP2B/2N2P2/PPPQB1PP/R3K2R b KQkq -,c5e6
rn1q1rk1/pp2ppbp/6p1/2p2b2/2P5/2BP1NP1/P1Q1PPBP/R3K2R b KQ -,g7c3
8/1p4kp/p2P4/2P1pq2/2n3NQ/6P1/5P1K/8 w - -,d6d7
2r3b1/p3k2p/1p1N2p1/3p4/3K1P2/1P4P1/P6P/8 w - -,d6c8
8/2b3pp/1p1nkp2/4p3/6P1/BNP5/rP3P1P/3R2K1 w - -,a3d6
1r4k1/q4b1p/6p1/3p4/PPp1p3/2Q1P2P/R4PP1/1R4K1 w - -,c3d4
r5k1/p4p1p/1p4n1/1P6/3NR3/2P3P1/5P2/6K1 w - -,f2f4
rn3rk1/pb2qpbp/1pp2np1/4p3/2P1P3/2N1BN1P/PPQ1BPP1/R2R2K1 w - -,d1d2
r2r1b1k/4p3/7p/p1pqPNp1/P3R2P/5P2/6P1/2Q1R1K1 b - -,d5f7
4r1k1/4q1p1/pb1pp3/1p4pQ/1P2P3/2P3PB/P5K1/5R2 w - -,h5g6
8/5p1k/2q3p1/2r1p2p/1Qp4P/P3P1P1/5P2/2R3K1 w - -,b4c3
1r1q1r2/1bpnnpbk/3p2pp/8/Np1NP3/1P2B1PP/P2Q1PB1/2RR2K1 b - -,f8e8
1nrr2k1/1q3ppp/p2bp3/1p6/1P1R4/P3PN2/1B2QPPP/R5K1 b - -,d6f8
8/1n3N2/1p4p1/p2k4/P4K1P/8/1P4P1/8 b - -,b7c5
r1b1q2k/p2n2bp/2p2p2/2p1pP2/N1Pp3N/1P1P4/P4QPP/2B1R1K1 b - -,e8h5
r4rk1/pb1n1pp1/1pp1pn1p/4N3/2PPB3/qPN5/P1Q2PPP/R3R1K1 b - -,a3d6
7k/8/3p1rp1/2q1b2p/2P5/6P1/3RQPNP/6K1 b - -,h8g7
2r1k2r/2q1ppbp/p5p1/1p1PnbP1/3N4/Q1P5/PP1N2P1/2KR1B1R b - -,e5c4
4k3/1R1b3p/5p2/3N3p/1p1P1P1P/5P2/r4K2/8 w - -,f2g3
6k1/pR6/r7/3N3p/2PB4/1P1K4/8/1r6 b - -,b1d1
r2qr1k1/3b1pbp/2np2p1/p1p5/1p1P4/2PQ1NPP/PP3PB1/RN2R1K1 w - -,e1e8
3R4/ppp3rk/7P/4p3/4Pr2/2P5/PP3b2/2K2N2 w - -,h6g7
5r2/7p/4p1k1/1p1p2p1/2pP2P1/P3P1RP/1PK5/8 w - -,c2c3
r2qnrk1/pppb1ppp/6n1/3Pp3/4P3/2N1N1P1/PP3PBP/2RQ1RK1 w - -,c3a4
2r2r2/1p1nppkp/2bp2p1/pBq5/P3P3/2N2P2/1PPQ1RPP/R6K b - -,d7e5
r5k1/1b4p1/2prpp1p/1p6/1P1P3P/P3RNP1/5P2/R5K1 w - -,a1e1
8/5k1p/8/2pK2P1/8/2R3P1/2P4r/8 b - -,f7g6
3r4/1pp5/3r1bk1/p7/P1p5/6P1/NPPBR1K1/3R4 w - -,a2c3
r1b2rk1/pp1nq1pp/2pbp3/3p1p2/2PPn3/1PN1PNP1/PBQ2PBP/R3K2R w KQ -,c4c5
3qk3/1p1rbpp1/4b1r1/p3Pp2/1n1p1P2/1P1P2N1/P2R1QNP/B1R3K1 b - -,d7d5
1r1q1rk1/2n1ppbp/p7/2p1pR2/N1Pn3Q/2P4P/2B3P1/R1B3K1 w - -,c3d4
8/5k2/5bp1/1r6/R4PP1/4BK2/8/8 b - -,b5b7
2r3k1/Q4ppp/6b1/8/B3q3/3p4/PP3PPP/3R2K1 w - -,a4b3
1qrr2k1/p2n1ppp/bpP1pb2/8/P7/1P3NP1/2QN1PBP/R1R3K1 b - -,d7c5
r5k1/1pqb1pp1/5b1p/2Pp4/1P1P4/3QBN2/5PPP/3R2K1 w - -,b4b5
1R6/1p2pk2/3ppbpp/2r5/2P1PP2/6PP/4B3/7K b - -,c5c7
3q1k1r/pp1nppbp/2r2np1/2p5/8/2N3P1/PPPPQP1P/R1B1KB1R w KQ -,d2d3
r2r1k2/p3p2p/2p1Qp1P/q5pR/1p2P3/8/PPPR2P1/1K6 w - -,d2d8
r2qk2r/ppp1nppp/2nb4/3p3b/3P3P/2PBBN2/PP3PP1/RN1QK2R w KQkq -,b1d2
1q1r2k1/r4pp1/ppnpbn1p/8/2P1Pp2/1NN1Q3/PP1RB1PP/3R2K1 w - -,e3f4
1bq2rk1/pb1n1ppp/1p1N4/8/4p3/1P2P3/PB2BPPP/1Q1R2K1 b - -,b8d6
1rq1r1k1/2p2pp1/2p5/p1N1p2n/Pb2P2p/1N1P1PPb/1PQ2B1P/2RR2K1 w - -,d3d4
2r1k1r1/ppqb1p2/n3p3/3pPn2/5P2/P1pQ4/2P1NBPP/R3KBR1 b Q -,c7a5
r3q1k1/1p2rp1p/2pRn1p1/2P2b2/1PB5/p3BN1P/Pb3PP1/2QR2K1 w - -,c1d2
5rk1/5p1p/P5p1/3Rp3/2Q1P3/6P1/p4PKP/4q3 w - -,c4a2
rn1qkb1r/pp3ppp/2p1pn2/5b2/3P1B2/2N2NP1/PPP2PBP/R2QK2R w KQkq -,e1g1
r1bqr1k1/1pn1ppbp/p2p1np1/2pP4/P1P1PB2/1PN2N2/4BPPP/R2Q1RK1 b - a3,a8b8
rnbqk2r/ppp2ppp/3p1n2/2bPp3/2P5/2N5/PP2PPPP/R1BQKBNR w KQkq -,e2e4
5k2/4n3/4p1p1/5p2/5P1P/2R2KP1/8/8 w - -,c3c7
r4rk1/p2q1pbp/1p2b1p1/2p1p3/P1NnP3/1P1PB1P1/2PQ1RBP/5RK1 w - -,c4b2
4r1k1/pb1q2pp/p7/2Bpp2P/1P3n2/2P3Q1/P5P1/4RRK1 w - -,e1e5
1rq3k1/p1p3n1/1pQ5/4pp1p/1P6/2NP2P1/P1P2PK1/R7 b - -,c8e6
r4k2/1p1R4/5p2/p4P2/P1P5/1P1R3K/1r6/8 w - -,d7b7
6k1/pp2ppbp/5np1/3p4/PP1Pn3/1Q2PN2/3NBPq1/2B1K3 w - -,e1d1
r2q1Bk1/1b2pp1p/1p4p1/p2p1P2/2B1n3/P1P5/2P1Q1PP/R4R1K b - -,d8f8
r1r3k1/1p2ppbp/2q3p1/p1n1P3/Pn1p1PP1/1b1P4/1P1NQ1BP/R1BRN1K1 b - -,b3d1
r1b2rk1/1pb3qp/p1p1p3/2PpPp2/1P2n3/P2BPpP1/1BQN3P/R3R1K1 w - -,d2f3
r5k1/1p3rp1/1q2p2p/p6Q/1nPB4/1P4P1/P4bKP/3R1R2 b - -,b6c6
q4bk1/3np2p/r1Np1pp1/2nP4/1R2P3/2B1N1PP/5PK1/1Q6 b - -,a6a2
3r2k1/2q2pp1/1pp1pb1p/p2r4/P1N1Q3/1P1P2P1/2P2P1P/1R3RK1 w - -,e4e1
r1b4r/3p1p1p/pB2p3/1p1knB2/8/8/PPP2PPP/R3K2R w KQ -,e1c1
