8/5b2/2p5/1kP1K3/3PB3/P7/8/8 w - -,e5d6
8/8/6p1/4k3/1p5p/1B2K1PP/8/8 w - -,g3g4
r4rk1/Q3Rpbp/2R3p1/3p1q2/3Pn3/4B1PP/5PB1/6K1 w - -,a7d7
rnr1N1k1/pb1p1pp1/1p2p1p1/8/2P1P3/5P2/PP2B1PP/1K1R3R w - -,e8d6
r1bqkb1r/p4ppp/2p2n2/4p3/2Pp4/2N3P1/PP2PPBP/R1BQK2R w KQkq -,g2c6
6k1/pp3pp1/2r1p1bp/7r/3P4/1P6/1BPR1PPP/4R1K1 w - -,c2c4
r1b1k2r/2qn1ppp/p2ppn2/2b5/4PP2/2PBB3/P1N1N1PP/1R1Q1RK1 b kq f3,e8g8
5k2/R4p2/3p2p1/4r2p/7P/5KP1/5P2/8 b - -,f8e8
8/6p1/1k3p1p/5P1P/2PP2r1/3K4/4R3/8 b - -,g4f4
2r5/p4pk1/4p2p/q4p2/4n3/1P2QNP1/P3RP1P/6K1 b - -,c8d8
8/8/3p1kpp/3P1p2/5PP1/3RP2P/r3K3/8 w - -,e2f3
r5k1/pp3pp1/1b1p1n1p/3n1N2/1P2r3/4P1B1/4NPPP/3R1RK1 w - -,b4b5
r4rk1/p3qppp/1pbb1n2/3p4/2pP4/1PB1P2P/P1B1NPP1/R2Q1RK1 b - -,b6b5
5k2/B3pp1p/2p1n3/6p1/8/P7/1PP3PP/3K4 w - -,b2b4
8/r5p1/Ppk1ppp1/8/1K1P3P/R4PP1/8/8 b - -,b6b5
1k1r3r/pppq2pp/3b1p1n/n7/2PN4/1QN1P3/PB3PPP/1R3RK1 w - -,b3c2
2k2N2/p1p5/1p2p2Q/3pP2p/2nPq2P/P1P5/6P1/5RK1 w - -,h6e6
5N2/7R/p2p1k2/2pPb3/2p5/P7/1r6/6K1 b - -,c4c3
r1k2b1r/ppp1n1p1/7p/2Nbp3/8/6P1/PPPBP1BP/R3K2R w KQ -,g2h3
r1q2rk1/pbpn1ppp/1p2p3/8/4B3/1PbP2P1/P1PN1P1P/1RBQR1K1 w - -,c1b2
7r/2r1kpp1/Qp2p2p/2bnN3/8/P7/1P3PqP/K1BR3R w - -,h1g1
8/7r/p2B4/3kP1K1/1P6/8/8/8 w - -,g5f5
8/2k1r1pp/p1n2p2/1p6/8/P2R1N1P/1P4P1/5K2 b - -,a6a5
2r3k1/4qbpp/8/Q1p1B3/p4P2/6PP/6BK/8 b - -,c5c4
7Q/8/6K1/8/8/6k1/5p2/8 b - -,f2f1q
2krr3/1ppq1pp1/p1npbb1p/8/Q4B2/2PB1N2/PPP2PPP/2KRR3 w - -,d3e4
1rbq1rk1/4ppbp/3p1np1/nppP4/4PB2/2NQ1NP1/PP3PBP/R3R1K1 b - e3,b5b4
2kr3r/pp5p/4pp1P/2q1b1p1/4B3/5P2/PPP1QP2/1K1R2R1 w - -,c2c3
3rr1k1/1p3pbp/1p3np1/3P4/4pB2/6PB/PP3P1P/3RN1K1 w - -,d5d6
r2r2k1/4qpn1/1pp3p1/p1b1p2p/4P2N/2P1NQP1/PP3P1P/3RRbK1 w - -,g1f1
3r4/2k1q3/1p3r1p/p1p4Q/P1Pp4/1P2p3/2P1R1P1/3R2K1 w - a6,h5g4
5rk1/1b2bpp1/pq1ppn1p/1p6/2r1P2B/P1N2P2/1PPQN1PP/4RR1K w - -,h4f2
r2q1rk1/1b1n2p1/p1p1p2p/1pb2p2/3P4/3BPN2/PPQ2PPP/2R2RK1 w - -,d4c5
4r3/8/p4R2/1p3n2/3p2k1/PP2pn1N/2P5/3NK3 w - -,e1e2
3r2k1/p1qrbpp1/1pn1pn1p/1Q6/2PP4/5NP1/PB3P1P/3RRBK1 w - -,b2c3
r2qk2r/3bbp2/p1n1p1pp/1p1pP3/1P1P1PP1/P1N1B3/6BP/2RQ1RK1 b kq f3,h6h5
r3r1k1/3n1pp1/3p1n1q/1RpP1P2/p3P2p/2N4P/P3Q1PB/1R4K1 w - -,b1f1
3b4/1p6/4k1p1/p1p1pp2/P3P3/1PPK2pP/3N1P2/8 w - -,f2g3
2rq2k1/5nbp/2r3p1/2Bb4/pp1P4/1N4NP/PPPQ1P2/1K1RR3 w - -,b3c1
8/4k2p/2Rbp3/1P3p2/8/r4PP1/3B3P/4K3 w - -,e1e2
8/p3n2k/1pn1qbpp/2pNpp2/4P3/1PPQ1NP1/PB3P1P/6K1 b - -,e7d5
2rq1rk1/4bp1p/p5p1/1pp3P1/4P1bP/P1PP4/5P2/R1BQK1R1 w Q -,g1g4
4r1k1/5p2/5B1p/5p2/3R4/3n3P/6P1/6K1 b - -,e8e1
5k2/3b1rbQ/p2p2p1/3Pn3/4P1P1/1p3N2/qP2B3/2K2R1R b - -,a2a1
2b5/7k/2n2K1P/P7/8/8/8/8 w - -,f6f7
r1bq1rk1/1pp3bp/3p2p1/p1nPppBn/2P1P3/PPN2N2/2Q1BPPP/R4RK1 b - -,d8e8
2r5/pp3rpk/2pB2np/P4q2/2P5/3R1PQ1/2P2P1P/3R3K b - -,f5a5
4r1k1/2p3p1/R3bp2/7q/1P1QP3/P2P1P2/5K2/8 b - -,h5h2
2brnrk1/ppq1bppp/4p3/4N1BQ/2B4R/8/PPP2PPP/4R1K1 b - -,h7h6
r1br2k1/2q1bppp/p3p3/1p2P3/P2BpPP1/2P5/1P2BQ1P/R4RK1 b - -,c8d7
3r1r1k/pp5p/n1np1q2/5p2/5N2/1B2P1PP/PP5K/2RQ1R2 w - -,f4e6
8/7p/N2kp1p1/1p2p3/4K1P1/P7/1P1n3P/8 w - -,e4d3
3k4/8/6r1/2KP4/8/7R/8/8 w - -,h3a3
3rrbk1/pp3qp1/2n1pn1p/8/3pP3/2N3PP/PPQ2PB1/2BRR1K1 w - -,e4e5
2q2rk1/4ppb1/4bnp1/1r5p/1p1pPP2/1P1N2PP/1RPB2BK/2Q2R2 b - -,e6d7
3r1rk1/ppqnbppp/4p3/2p2b2/3PP3/6PP/PP1BQPB1/RN1R2K1 b - -,f5g6
r2q1rk1/pbb2ppp/1p3n2/2pp4/8/2PBPN1P/PPQ2PP1/R1B1R1K1 w - -,f3g5
2rq1rk1/1p1nbpp1/p2p3p/P2Pp3/8/1N1QBP2/1PP3PP/R2R2K1 w - -,c2c4
r2q1rk1/pb3ppp/2p2n2/1p6/3NP1n1/2N3P1/PPQ1BP2/R1B2RK1 b - -,d8d4
2r4k/4b2p/2P1q3/4p1P1/1p2N3/rN3P2/P1R2QP1/6K1 w - -,f2b6
1r1q1rk1/pp1bppbp/2npn1p1/8/P1PNP3/2N1B1PP/1P3PB1/R2Q1RK1 w - -,d4e2
5r1k/6bp/1p1q2p1/p3p3/P1B5/1PQ4P/5PP1/4R1K1 b - -,e5e4
r6r/1p1nq1kp/p1pp1p2/4pQp1/1P2P1P1/2PPP2P/1P3R2/R4NK1 b - -,h7h5
r1b2rk1/pp1nq2p/3p1bp1/2pP1pBn/8/2N2NPP/PP2PPB1/R2Q1RK1 w - -,g5f6
r3k1r1/p1pbqp2/1p1p1n1p/n2Pp1p1/2P1P3/1BPN1PP1/P4B1P/R2QR1K1 b q -,e8f8
2r2rk1/pp3p1p/4p2p/q2pP3/b2P4/2NK1N2/5PPP/2Q2B1R b - -,c8c6
r1b2rk1/pp2ppbp/2n3p1/8/2qN4/4BB2/PPPQ1PPP/R3K2R w KQ -,b2b3
r4rk1/p1q2pbp/bpn1p3/2pp1p2/3P4/1BP1PN1P/PP1N1PP1/R2Q2KR w - -,b3c2
7k/8/3rN1Rp/pp5P/1n6/6P1/5PK1/8 b - -,d6a6
2r2rk1/1pq1p2p/4Pnp1/pP4Q1/8/7P/1P4P1/1B2RR1K w - -,h3h4
1r4k1/p2b2p1/1p2p2p/3pP3/2rB1P2/P1P1R1P1/6P1/1R4K1 b - -,g7g6
1R6/4p1k1/3p4/2nP1K2/1p2B3/2b5/8/8 b - -,b4b3
k3br2/p2R2p1/q3p3/3p3p/3B3P/1P1PQ3/P4PP1/1KR5 b - -,e8d7
rn1qk2r/pp2bp2/2p1p1p1/3pPnBp/3P3P/3Q1N2/PPP1NPP1/R3K2R w KQkq -,e2g3
r3k3/p1pqnp2/Qp2pBpr/n2pP2p/P2P1N1P/2P5/2P2PP1/R3K2R b KQq -,d7c6
r2q1nk1/3bbp2/rp1p4/1NnPp1p1/1RP1P2p/4B2P/2B2PP1/1RQ2NK1 w - -,b5c3
r1bqkb1r/pp2pppp/1nn5/8/8/1BN2N2/PP1P1PPP/R1BQK2R b KQkq -,g7g6
1r2rbk1/ppq2ppp/2p5/4pb2/2P5/1QBP2P1/P3PPBP/1R3RK1 w - -,a2a4
1r3rk1/p3ppbp/3p4/3N3p/1nP1P3/1P2B1P1/P4PK1/2R4R b - -,b4a2
r2qk2r/pp1n1ppp/4pn2/2bp4/8/1P1B1PP1/PBPN1P1P/R2Q1RK1 b kq -,e8g8
1k6/pp5p/3bN1q1/3p4/1P1P4/2PK1B2/P4PP1/3RR3 w - -,d3d2
8/1pk2p2/4p3/PR2P3/1p1Pp1p1/6P1/4KP2/1r6 w - -,e2e3
2k1r3/pp4pp/2n2p2/8/8/5N2/PP4PP/2Rr1K2 w - -,c1d1
