8/5pk1/7p/2nN2P1/5PK1/8/7P/8 b - -,c5d7
6k1/ppp2pb1/4r1p1/8/3P3R/3Q1P2/qP3P2/2K4R w - -,d3a3
3r2k1/1p2bpp1/p3p2p/4P2Q/1q1N3P/8/5PP1/3R2K1 w - -,d4c2
4r2k/7p/2N5/2p1p3/4K3/R1pP2PP/8/2r5 b - -,c1e1
3rr1k1/1p3qpp/p1b1p3/2p2p2/2P2P2/1P1PR1N1/PQ4PP/4R1K1 w - -,b2e5
r2qkb1r/pp4pp/2p2n2/1B1p1b2/3Q4/2N5/PPP2PPP/R1B1K2R w KQkq -,e1g1
r1b3k1/pp2rppp/2nq1n2/8/N2p3N/P2Q2P1/1P2PPBP/2RR2K1 b - -,c8g4
4rrk1/pR4p1/2p4p/P1Pq4/3p1P2/B2PnNPn/7P/2Q2R1K b - -,h3g5
8/8/1p1R2k1/5p2/6p1/6K1/5P1P/1r6 b - -,g6g5
5bk1/1b3p1p/4q1p1/2pp4/1p3NP1/1P2P2P/2R2PB1/3R2K1 b - -,e6a6
r3r1k1/p1p2ppp/1bQ5/4n3/P2BP3/1N3PPq/7P/1R1R2K1 w - -,c6c3
7k/1p4p1/p6p/8/8/1B1n2B1/3pK3/8 b - -,d3c1
8/8/3k1p2/5pp1/7P/6P1/5K2/8 w - -,f2e3
2rq1rk1/1p1bppbp/p1np1np1/3P4/4P3/1PP2N1P/2B2PP1/RNBQR1K1 b - -,c6b8
1r6/3R2pk/6bp/4p3/1p2p3/1Bq2PPP/Q2N2K1/8 w - -,d2e4
8/1pk2p1Q/2pn4/4q1b1/3N4/2P5/KPN5/8 w - -,h7d3
8/6k1/5p2/R7/4P1K1/5P2/8/6r1 w - -,g4f4
r1b1k2r/2q1bppp/p1npp3/1pn3P1/4PP2/1NNB4/PPPBQ2P/2KR3R w kq -,d1e1
6n1/3q2kp/2b2p2/1p2pP2/1Pp1P1NP/2P1QBK1/8/8 b - -,d7d6
r2r2k1/1p3p2/4bq1p/ppb1p1p1/Q1PnP3/P4NP1/1R3PP1/1N1BR1K1 w - -,c4b5
8/P3n2R/1K1k2p1/4pp2/1PB5/8/4P3/r7 w - -,h7e7
4k3/6p1/3P3p/8/4bN1P/pK2p3/8/8 w - -,b3a3
8/5K2/6p1/6Pp/4k3/6P1/8/8 b - -,e4f5
8/1p5k/p2q2p1/3p1r1p/1P1Pp1bP/P1r3P1/R2Q1PBK/R7 b - -,c3d3
r2q1rk1/1b2ppb1/p2p1npp/1p1n2N1/3P4/1BP3B1/PP1NQPPP/R3R1K1 w - -,g5e4
rnq1k2r/pp1bppbp/2pp1np1/8/2P1P3/2NP2PP/PP2NPB1/R1BQK2R w KQkq -,c1g5
r3rqk1/pp3pp1/2pb1n1p/8/2P3b1/1N2B1P1/PPQ2PBP/R2R2K1 w - -,d1d4
2r2rk1/1b2ppb1/pp1q1npp/3P4/P2P4/1QNB4/1P2NPPP/2R1R1K1 w - -,d3c4
8/r4k2/8/3RKP2/4P3/8/8/8 w - -,f5f6
1n6/2p2kp1/p3p2p/np2p3/1N2P3/1P3P2/PBPK2PP/8 b - -,a5c6
5b2/pp5k/2p1p3/4Pp2/1P2pPp1/P2rP1P1/1B2RK2/8 b - -,b7b6
r1b2rk1/pp3ppp/2p1p3/4N1q1/2PP1n2/1B6/PP2QPPP/2RR2K1 w - -,e2f1
r3k2r/p1qnbp2/1pn1p1pp/3pP2P/2pP2Q1/2P2N2/PP3PP1/R1B1NRK1 b kq -,e8c8
r1bq1r1k/ppp3pp/2np1n2/1BbNp1B1/4P3/5N2/PPP2PPP/R2Q1RK1 w - -,f3h4:h2h3:b5c4
2r1r1k1/pp1qnpp1/1b2p2p/1P1pP1N1/1B1P4/P2R4/5PPP/3QR1K1 w - -,d1h5
b1r3k1/2r3bp/p1Np2p1/2BP4/7q/R1N2Q1P/1P4PK/3R4 b - -,d6c5
r1r3k1/3b1ppp/2n1p3/qp6/2RPP3/5N2/3Q1PPP/3BK2R w K -,d2a5
3r3k/7p/1p4p1/p3bp2/P3p3/1b2P2P/1PN2PP1/3R2K1 w - -,d1d8
rn1q1rk1/pp1bbppp/5n2/1BPp4/8/5N2/PPPNQPPP/R1B1K2R w KQ -,e1g1:d2b3
8/2n2k1p/p1b2bp1/P7/3p1N2/5P2/6PP/2B2K2 w - -,f1e1
8/1p3bN1/2p4p/P1k3p1/8/2K3P1/7P/8 b - -,c5b5
r4k2/1b1q1p2/pp4pp/2pPRn2/P1B1Q3/1PN3P1/5PP1/6K1 w - -,e4f4
rn1qk2r/pb3ppp/1ppbpn2/3p4/Q1PP4/2N1PN2/PP2BPPP/R1B2RK1 b kq -,b8d7
r2qr1k1/1b1nbppp/pp1ppn2/P7/2PNP3/2N1BP2/1P1QB1PP/R4RK1 b - -,d6d5
r7/5Q2/3kpp1p/2P5/5P2/7P/pr4P1/6K1 b - -,d6c6
5r2/4ppk1/3p2p1/3Pn3/1p2P3/6P1/4K1BP/R7 b - -,f8c8
r4rk1/1p3pp1/1p2n1p1/2bN1PPn/7P/4B2B/PP3K2/3R2R1 b - -,a8a2
5rk1/p2bpp1p/1p1q2p1/8/4R3/P2P2P1/4PPBP/2Q3K1 w - -,e4c4
6k1/p3q1p1/1bp3pp/1p2p3/1P2Q3/2P3P1/Pr3rBP/R3R2K w - -,e4c6
2r2rk1/1p1nbpp1/1qp1p2p/3nP3/p2P4/P2QNN2/1P1B1PPP/2RR2K1 w - -,c1c2
r5k1/5ppp/1p2pP2/3bP1PP/1p1Bp3/1P6/r1P3B1/1K1R3R w - -,d4b2
2r3k1/5p2/2pQ2p1/p3Rq1p/P6P/1P4P1/5PK1/8 b - -,f5c2
r1bq1rk1/pp1n1pbp/4pnp1/3p4/3P4/P1N1PN1P/1P2BPP1/R1BQK2R w KQ -,e1g1
4n3/7p/2q2npk/2N2p2/3N4/4P1PP/5P2/6K1 w - -,d4c6
2r2r1k/5p1P/4p3/4P3/P1BP2R1/8/1P6/K5R1 w - -,c4d3
r2q1rk1/pp3ppp/2nbbn2/3p4/8/2NQPN2/PP2BPPP/R1B2RK1 w - -,c3b5
8/8/2k1p3/2P2pBp/1n1PpP2/4P3/3K4/8 w - -,d2c3
8/3Q3p/pp2pqpk/8/5P2/PP2P2P/6P1/6K1 w - -,d7d4
rn1q1rk1/pb3ppp/1p2pn2/8/2BP4/2P2N2/P3QPPP/R1BR2K1 b - -,d8c7
8/3rk1bp/pp2npp1/4p3/PPp4P/2P1P1B1/2N1KPP1/3R4 b - -,b6b5
4rbk1/1prbqp2/pN1p1n1p/P2P2p1/1P2PP2/1B2Q1NP/6P1/1R2R1K1 b - f3,g5g4
2r2rk1/1p2bppp/4pn2/1p1p4/3RP3/2P2R2/PPN2PPP/7K w - -,e4d5
r5k1/3p1ppp/2b1nn2/8/Nr1p4/1P3PP1/P1B1N1P1/2RR2K1 b - -,c6a4
4k2r/ppp2pp1/2p5/4Pb2/7p/2N4P/PPPR1PP1/6K1 w - -,c3d1
r1br3k/pp1n1pp1/5q2/8/3pB3/5N2/PPQ2PPP/3R1RK1 b - -,d7f8
8/7b/rkp3qp/1pRp2p1/1P1P4/5P1P/1K4P1/2Q1B3 w - -,e1g3
5R2/8/8/7p/6nP/6PK/r3k3/8 w - -,f8f5
2r4k/pb3nqp/1p2p3/3p1p2/8/1P3N2/P3PPBQ/3R1K2 b - -,b7a6
2r4k/1p1R2b1/7p/P3p3/1P2Q3/5P2/6PK/2q1B3 b - -,c8g8
3b4/8/p3p1pp/1k3p2/3P1P1P/1P2B1P1/1K6/8 b - -,d8a5
8/4n1k1/2p3p1/ppN1P2p/8/3B4/PPP2PPP/1K6 w - -,d3e4
r1bq1rk1/pp2bppp/2pp1n2/4n3/4P3/2P1BN1P/PPBNQPP1/R3K2R w KQ -,f3d4
5b1k/pp6/4Q2p/8/1P1q4/P3p3/6PK/8 b - -,d4d6
8/8/2bn4/4p1p1/3kP1P1/4NP2/5K2/8 b - -,d4d3
5rk1/p2n1ppp/1q2p3/r2bP3/2p2P2/2P3P1/2QN2BP/R4R1K w - -,g2d5
r3rnk1/1pq3b1/2pp2pp/1P2pp1n/2P5/1NNP2Pb/1B1QPP1P/R3R1KB w - f6,b2a3
r4r2/p1qn1pp1/1p2pk2/8/1P5Q/2P5/P4PP1/2KR3R b - -,g7g5
1R6/6p1/2k5/2p1P3/1p6/4K3/bP4PP/8 b - -,c6d5
r1bq1rk1/ppp3p1/2n1pb1p/8/2pP4/P2BBN2/1PQ2PPP/2KR3R w - -,d3c4
r2qr1k1/ppp2pp1/3p2np/4p2n/2PPP3/P1PB1PPb/4NB1P/R2QR1K1 b - -,d8f6
3rr3/p4k2/3Pbp2/1pPQ4/4pP2/8/PP5P/5R1K w - -,d5h5
r4rk1/1bq2pbp/p7/1p2pQ2/4p3/PPN4P/1P3BP1/R4RK1 b - -,c7c8
r2qk2r/1bpn1pb1/p2ppnp1/6Np/PpBPP2P/4B3/1PPQNPP1/R3K2R w KQkq -,c4e6:f2f3
