8/2p4p/p7/1p3k2/1Pn2P2/P4K2/5P2/7R w - -,h1h7
1rr3k1/5p1p/8/1p6/7R/2Pb1B2/5PP1/R5K1 w - -,a1a3
1r5r/pq1k2p1/3pn3/4p1P1/5n1Q/2P3R1/5P1P/4RK2 w - -,h4g4
r2qr1k1/1p2p1bp/2p3p1/p4p2/P1NPn3/BP1QP1P1/5PKP/2R1R3 w - -,f2f3
6k1/p1b2br1/1pPn1q1p/1P1p1pp1/P2P1P2/3BP1PP/2K4R/2Q3R1 b - -,f7h5
3k4/8/ppBP1rpp/2n1B3/P2b4/7P/6PK/4R3 b - -,d4e5
8/1p6/p4k2/P2p2pp/1P1Prp2/3KP2P/6P1/5R2 w - -,e3f4
k3r2r/1p3p2/p1bR1P2/6P1/4PQ2/8/qPP2N1p/3R3K w - -,g5g6
rn1q1rk1/pbpp2pp/1p3n2/4p3/1bP1p3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -,c1g5
r3k2r/1p4pp/p1p1p3/3pp3/1b1BP2n/1BNP4/PPP2PPP/R4RK1 b kq -,e5d4
2B1k3/1p2r3/1P2n2p/5Rp1/6P1/8/8/5K2 w - -,f5f6
rn3rk1/1bp1qpbp/1p4pB/p3p2n/2B1P3/1N3N2/PPPQ1PPP/3RR1K1 b - -,g8h8
r3rk2/1p2bpp1/2p4p/2P5/1R1p3P/P2B2P1/R3PPK1/8 w - -,b4b7
4qkr1/1pp1r1bR/3n2R1/2pPp1P1/2P1Pp2/pPN5/P2N1PQ1/2K5 w - -,g6e6
r2q1rk1/1p1bppb1/p2p3p/2pP2pn/2P1P3/2N4P/PP1QBPPB/R4RK1 b - -,h5f6
8/5b2/5N2/2n1pPp1/4P1P1/1pk1K3/4B3/8 b - -,b3b2
r4rk1/pp2qpp1/2p4p/3p4/3P2b1/1QPBP3/P4PPP/R4RK1 w - -,a1e1
r1b2rk1/1pqn1pb1/p2p2pp/2pPp3/1PP1PN2/P2BB2P/2QN1PP1/2R2RK1 b - -,e5f4
r2r2k1/pp5p/3p2p1/3P2P1/P4pB1/3KbP2/1PP5/R6R b - a3,g8g7
5rk1/1p3ppp/p2Bp3/1b2P3/3P1q2/P1Q5/1P1N1PPP/4K2R b K -,f8d8
2r4k/6pp/pq1n1b1r/1p1P4/5Q1P/1N1B4/PPP5/1K4RR w - -,g1e1
5k2/3K1p2/3P2p1/3Nb3/7p/6r1/8/3R4 w - -,d7c6
r1bq1rk1/1p1pp1bp/p3nnp1/8/2P5/N1N3B1/PP1QBPPP/R4RK1 b - -,d7d6
2r3k1/4p1bp/pBPn1pp1/P7/2p5/4PN1P/5PP1/2R3K1 w - -,c6c7
r5k1/2n4p/p1n1q1p1/2p1NrB1/P3Q3/2P4P/5PP1/R3R1K1 w - -,e5c6
1q4k1/6pp/2p3n1/1bPp1P2/1P1P2P1/R6P/3B2B1/6K1 b - -,g6f4
8/5pk1/6pp/2PQK3/8/4q2P/6P1/8 w - -,e5d6
r3r1k1/1ppnqp2/3p3p/p2Ppbp1/2P1P3/PP4BP/3NRPP1/R1Q3K1 b - -,f5g6
7r/pk1rq1p1/1pn4p/3pPP1P/2nP1BP1/P2Q1R1K/P7/4R3 w - -,f4g3
1r3rk1/p2B1ppp/bpP2n2/2q1Q3/2P1p3/1P4P1/PB5P/2RR2K1 w - -,e5c5
2r1nrk1/2b1q1pp/pp1pp3/2n2p2/2P4Q/1PN1PN2/PB3PPP/2RR2K1 b - -,e7f7
r1bk3r/1pNp1pp1/4pn2/4P2p/1P6/3Bq2P/P1P3P1/R2Q1R1K b - -,f6g4
4rrk1/1bqn1pbp/pp2p1p1/2ppP3/2nP1B1P/2PB1NP1/RP3P1N/3QR1K1 w - -,h4h5
8/B5p1/1p5p/bPpk4/P7/6PP/5P2/5K2 w - -,a7b8
2r1nrk1/p1qb3p/p5p1/3Ppp2/2p5/Q1N1P2P/PP1N1PP1/R4RK1 b - -,c7d6
3k4/1p1bp2r/1p1b3p/3P1pp1/P7/1PBB1P1P/6P1/1K2R3 b - -,h7f7
r2q1rk1/1b1pbppp/ppn1p3/8/2P1B3/1PN3P1/PB3P1P/R2QR1K1 w - -,d1d3
2k1r3/ppb3p1/n3p2p/2p5/2Pr1pB1/P1B5/1P3PPP/R2R2K1 b - -,d4d1
r3r1k1/3bbp1p/5np1/q2p4/1p1N4/1P1BPP2/PQ3BPP/3R1R1K w - -,d3b1
1r3rk1/2qbppnp/3p2p1/1pp5/2P5/1P1PP1P1/Q3NPBP/RR4K1 b - -,f8c8
r4rk1/ppqn1pp1/3bpn1p/8/2pP2P1/2P2N1P/PP2NP2/R1BQK2R w KQ -,h1g1
r6r/pp1b2k1/5p1p/3p3B/2pP1P1N/2P5/P1Q3P1/4K3 b - -,d7e8
r2q1rk1/2p1bppp/p2p4/np2p2b/3PP3/2P1nN2/PPB2PPP/R2QRNK1 w - -,f1e3
8/8/R1rk4/8/8/1K6/8/B7 w - -,a6a4
3qk2r/3bppb1/3p1np1/n1p4p/2P1P3/3PB1PP/3QNPB1/1N2K2R b Kk -,e8g8
8/6p1/3k3p/1p1n1p2/3P1P2/1B1K2P1/7P/8 b - -,d5f6
r5k1/5p2/p3pp2/1p2P1BP/1b1R4/8/PPr5/1K5R b - -,c2c4
rn1qkb1r/pbp1pppp/1p6/3n4/3P4/2N2N2/PPQ1PPPP/R1B1KB1R b KQkq -,g7g6
rnbq1rk1/ppp2pbp/3p2p1/5p2/2PP4/2N1P1P1/PP2NP1P/R2QKB1R b KQ -,b8d7:h7h5
r1bqk2r/pp1nbpp1/2pp1n1p/4p3/4P3/1BNP1N2/PPP2PPP/R1BQ1RK1 w kq -,f3e1
4r3/p5bk/PpQ4p/1Np2p2/R7/2P1q3/1P5K/6R1 b - -,g7e5
2r1n1k1/4qpbp/p2p2p1/1p2P3/1PbP1P2/P1N1B2P/3Q2B1/2R3K1 w - -,c3d5
5rk1/1qb2pp1/2p1p1bp/1pPpn3/1P1Pn3/1Q1NP2P/4BPP1/B4RK1 w - -,d3e5
6r1/p1k5/4p1r1/1P2R3/2P5/3R2P1/6K1/8 b - -,g6g4
8/5ppp/p7/P1k5/1Rb2PP1/4n2P/5K2/8 w - -,b4b7
3r2k1/1rp2pb1/2nq2pp/1p6/3pP3/2P1B1PP/2Q1BP2/1R1R2K1 w - -,b1b5
1r3k2/2n1b1p1/2n2p1p/1pp1pP2/4P1PP/2P1BK2/1P1N4/R4B2 b - -,c5c4
r1b1kbnr/1pqp1ppp/p1n1p3/8/3NP3/2NQ4/PPP2PPP/R1B1KB1R w KQkq -,d4c6
8/R7/5kpp/5p2/4p3/1P4PP/5r2/2K5 w - -,h3h4
8/5p2/4p1k1/1p2P3/1p1P2p1/1P1RK3/4R1P1/1q6 w - -,e3d2
r4rk1/p1n1ppbp/1p1q1np1/3pN3/3P1P2/1PP5/P2NQ1PP/R1B2RK1 b - -,f6d7
rnbqnrk1/pp2ppbp/3p2p1/2P1P3/5P2/2N1BN2/PPP3PP/R2QKB1R b KQ -,b8c6
8/1R5p/p5pk/5p2/8/4P2P/r4PP1/5K2 w - -,g2g3
2bq2k1/p1r1r1pp/1p1n1b2/2pPpp2/2P5/P1NB1P2/1PQ1RBPP/4R1K1 w - -,f2g3
3b4/R3n2k/3p3p/1p1Pp1pP/1P2PrN1/P3QP2/2q1NK2/8 b - -,f4f7
r1bq1rk1/1pp1ppbp/p1np2p1/4P3/P2P1Pn1/2NB1N2/1PP3PP/R1BQK2R w KQ -,h2h3
1r3k2/1r3qb1/2p1p1p1/2P2pP1/bB1P1P2/4P1K1/BR3Q2/1R6 w - -,b4a5
r1b3k1/ppN3bp/3p1n1r/2PPp1q1/1PB1Pn1p/5P2/P4K1B/2RQNR2 b - -,f6e4
rnbqkb1r/pppn1p2/4p1p1/3pP2p/8/1P4Q1/PBPP1PPP/RN2KBNR w KQkq -,f2f4
4k3/4p3/1r4r1/p1pP2Pp/2P3bP/1P2R1K1/P4R2/8 b - -,g6g7
r5k1/pp2p1bp/6p1/2p1P3/2nP1N2/2P5/P5PP/2BR2K1 b - -,g7h6
2k1r3/1p1r2p1/PR1B1p1p/3B4/2P2P2/6PP/5K2/8 b - -,d7d6
5k2/7p/4P1p1/qBp2pb1/2P5/5KP1/7P/4N3 w - -,e1d3
4r1k1/1p1bpRb1/6p1/p2p2Np/P2q2PP/1BnQ4/2P5/2K4R w - -,g4h5
3rr1k1/1p4p1/q6p/pNpnPp2/P4P2/8/3B2QP/RR4K1 w - -,a1a3
1k1r1b1R/3nqp2/3p1p2/1p2p3/4P3/1N1RBP1B/1PP2P2/1K6 w - -,d3d5
r2r2k1/1b2bppp/ppn1pn2/8/P1BP1q2/2N2N2/1P2QPPP/2RRB1K1 w - -,e1d2
3k4/1p1n2p1/2p2pbp/P7/P3PP2/2N1K1P1/6BP/8 b - -,d7c5
r2qk1nr/1p2ppb1/p1bp2p1/2p4p/1P2P2P/P1N2N2/1BPPQPP1/R3K2R b KQkq -,e7e6
2b3k1/5pp1/1q2p2p/1pB1P3/1P2p3/4P3/4BPPP/R5K1 b - -,b6b8
4r3/2p2p1k/1q5p/p2r1P2/P3P1p1/1PQ3P1/4R1KP/2R5 w - -,c3c7
