1R6/1P3pk1/6P1/5P2/8/8/4K3/1r6 w - -,g6f7
rnbqkb1r/1p3ppp/2p1pn2/p2p4/P1PP1B2/2N1PN2/1P3PPP/R2QKB1R b KQkq -,f8e7
r3k2r/ppp2qpp/2n5/2Q1p3/2pp4/8/PPP2PPP/RNB1R1K1 w kq -,b1d2
rn1q1rk1/pp3nbp/4p1p1/2ppP1P1/3P2Q1/2N1B2P/PPP5/R3KB1R w KQ -,d4c5
2n5/6k1/3q2p1/2b1Q3/1p1p1P2/3P1B2/2P2BK1/8 b - -,d6e5
8/1r3p2/1P3k2/1R3P1p/2p1K3/6P1/8/8 w - h6,e4d4
8/5p2/2p3kp/p4Rp1/8/1PK3P1/2P1rP1P/8 w - -,g3g4
4bnk1/6bp/4ppp1/p7/1p1P1PP1/1P4B1/P2N2BP/6K1 b - -,f6f5
2r2r1k/pp3p1p/3p2pP/4q1P1/4P3/P1N5/1nP2Q2/2KR1R2 w - -,c1b2
3r3r/1p3ppp/p1k1p3/8/P1PPn3/4B3/5PPP/R3R1K1 w - -,f2f3
5r2/8/3k4/7R/8/5N2/5K2/8 b - -,f8e8
rnbqk1nr/1pp1ppbp/p2p2p1/8/2BPP3/2N2Q2/PPP2PPP/R1B1K1NR b KQkq -,e7e6
2b1n3/7p/3p1p2/k3pP1N/1pPpP2P/1P1P4/2K5/3B4 b - -,a5b6
r1bq1rk1/ppp1bppp/3p1n2/4n3/3NP3/1BN5/PPP1QPPP/R1B2RK1 b - -,c7c5
4r1k1/2q4p/r3pbp1/2Bp4/b1pP1P2/P3QB2/R5PP/1R4K1 b - -,a4b3
rnbqk1nr/pppp2pp/4p3/5p2/1bPP4/2N5/PP2PPPP/R1BQKBNR w KQkq f6,d1b3:g2g3:d1c2:g2g4
1k6/3K4/8/2P5/8/8/8/8 b - -,b8b7
r4rk1/p2q1p1p/1p2p1p1/2PpR3/3P3P/5Q2/PP3PP1/4R1K1 b - h3,b6c5
3q4/8/4p2p/1p2P1p1/3P2k1/Q4R2/1P1K3P/8 w - -,f3g3
r1b1kb1r/pp1nq2p/2n1ppp1/3pP3/3P1PQ1/3B4/PP1NN1PP/R1B1K2R w KQkq -,e1g1
2kr2r1/p5q1/1pnbp1N1/2pp1p1Q/3P2p1/2P1PPP1/PP3KP1/R4N1R w - -,f3f4
r2r2k1/pp1n1bbp/2p2pp1/8/2PPp2P/P3B1P1/1KP1BP2/3R2NR w - -,g1h3
r1bqk2r/p3bpp1/2p2n1p/3pp3/8/2N1B1P1/PPP1PPBP/R2Q1RK1 w kq -,e3d2
3b2k1/ppp5/4p1pp/4N3/4P3/P1N4P/1Pn2PP1/6K1 b - -,d8f6
r5k1/pp2rppp/8/1P2Pb2/3Rp1P1/8/P3BP1P/R5K1 b - g3,f5g6
3B4/bp3kp1/pnp1p1p1/4Pp2/1P1r1PP1/P6P/R5B1/5KN1 b - -,d4d8
2qr1bk1/pb3rpp/1p2p3/1B2Pp2/1P1BpP2/P1P5/3RQ1PP/5R1K b - -,a7a6
8/8/1p6/p1p4p/P1Pp2k1/1P1P2P1/4N1K1/3n4 b - -,d1e3:d1c3
2r2r1k/q3Nppp/p2p1P2/1p2p3/2n3P1/5NQP/P1b2bB1/3RR2K w - -,f6g7
8/R7/P5k1/2pr3p/2p3p1/2P2p1P/3r1PP1/R4K2 w - -,a7e7
3r1bk1/1p3pp1/pN5p/n1p1P3/8/5N2/PP3PPP/2R2K2 w - -,b6a4
3k3b/4p3/3n3B/1q1P3Q/8/7P/5PPK/8 b - -,b5c4
rn2kb1r/pp1n1ppp/2p1p1b1/3p4/2PP4/1PNNP2P/1P1B1PP1/R3KB1R b KQkq -,b8a6
r1bq1rk1/pp3ppp/n1p5/3p4/1P1P1b2/2PB1N1P/P2N1PP1/R2QR1K1 b - b3,a6c7
8/p4kpp/2p1p3/2P5/5K2/r3P3/7P/2R5 w - -,f4e4
2r5/5pk1/4p1p1/ppq4p/4B3/P6P/1P1R2P1/3R3K b - -,c8c7
4r1k1/1p4p1/2p5/1p3pqp/4P1n1/P1N2B1Q/1P2KP2/7R b - -,e8d8
r4r1k/p5pp/3P1q2/P2Q4/3Bpp2/3b4/1P3PPP/R2R2K1 b - -,f6g6
r1bq1rk1/1p2npbp/p2p2p1/n1pP4/B3P3/5N2/PP1N1PPP/1RBQ1RK1 w - c6,b2b4
3r2k1/4bpp1/5n2/N1p4q/8/4P1P1/P1Q2PB1/1R4K1 b - -,e7f8
2rq1rk1/p2nbppp/1pn1p3/2ppP3/3P1B2/2PQ1N2/PP2NPPP/2R2RK1 w - -,f4g3
6k1/5pp1/p1p1r2p/4B2q/4pPb1/P1P1Q3/1P4P1/4K1R1 b - -,f7f6
1rbq1rk1/p1n1ppbp/2np2p1/2p5/1pP1P3/3PB1PP/PP1N1PBN/1R1Q1RK1 b - -,c7e6
8/8/2kp4/K7/2P4r/1P6/3R4/8 b - -,h4h1
8/1r6/1P5R/8/8/4K2p/5p2/5k2 b - -,f1e1
rnb1kb1r/ppp2pp1/4pq1p/3p4/3PP3/5N2/PPP2PPP/RN1QKB1R w KQkq d6,e4e5:b1d2
r4rk1/pR4pp/4n2q/3pQ3/5RP1/3BP2P/P4K2/8 w - -,f4f8
r4rk1/1pb1qp1p/p4np1/1P3p2/2NP4/4P1P1/2Q1NPKP/1RR5 b - -,a6b5
r1rq2k1/3n1pp1/p2p1nbp/1p1Pp3/4P1PB/1Q3P1P/PP1N4/R3RBK1 w - -,e1c1
b5k1/4bppp/1np1pn2/3pN3/1P1P4/1NBBP3/5PPP/6K1 b - -,f6d7
5rk1/1bq1bppp/1p6/3pP3/8/1P2B3/4BPPP/Q4RK1 b - -,f8a8
rnb1k2r/1pq2ppp/p4n2/3P4/1b1p4/2NBBP2/PPPQ2PP/R3K2R w KQkq -,e3d4
r3r1bk/1p1nq1pp/2p5/p3p3/Pb1PP3/1N4P1/1PQB1RBP/5RK1 w - -,d4d5
6k1/4bp2/3p2p1/1p1Pp2p/nPp1P2P/2P2PP1/3QB1K1/1q1N4 b - -,g8h7
r1bqkb1r/pp4p1/2np2n1/2pNpp2/2P1P3/1P1P1NP1/PB3PB1/R2Q1RK1 w kq f6,e4f5
3qbrk1/rp2bppp/1Nn1p3/p1P5/3PpB2/P4N2/1PQ2PPP/R3K2R w KQ -,c2e4
b2r2k1/B4p1n/4n1p1/1Q5p/2p1P1q1/2N5/5PPP/1B3RK1 w - -,f2f3
2Rr2k1/pp3pb1/4p1bp/4P1p1/1P4B1/P4N1P/4RPP1/6K1 b - -,d8c8
r4rk1/7p/1P2qnp1/2p5/3bp3/4B1P1/4PNBP/1RQ3K1 b - -,a8b8
2r2rk1/Qp1qbppp/pB1p1n2/3Pp3/2P5/5N2/PP3PPP/2RR2K1 w - -,b6a5
rn1q1rk1/pppbppbp/5np1/8/2QP4/2N2N2/PP2PPPP/R1B1KB1R w KQ -,c1f4:e2e4
r1q2rk1/pb1nppbp/1p1p1np1/2p5/2P5/P1NP1NP1/1P1BPPBP/1RQ2RK1 b - -,f8e8
1r1q3k/p2b2p1/n1p4p/Pp2pP1B/8/8/1P1Q1PPP/2RR2K1 b - -,d8h4
2r2rk1/1b1n1pp1/pp3q1p/2Pp4/1P6/P1Q1PN2/4BPPP/2R2RK1 b - -,f6e7
8/8/2p5/Rp6/5k2/2P2P2/2r3PK/8 w - -,a5a3
3R4/p4bkp/1n6/4r1p1/2p5/2R3P1/PP2PK1P/8 w - -,b2b3
2b1k2r/2pp1ppp/1np1q3/4P3/1bP5/1P4P1/3NQPBP/B3K2R b Kkq -,e8g8
1qrr2k1/1b3pb1/p3pnp1/1p5p/2P2P2/1PN3QP/P2BR1P1/1BR4K w - -,c4b5
r2qr1k1/pp1n1p1p/4b3/2pp1pP1/2nP4/P1PBP1N1/R6P/2BQ1RK1 w - -,d3c4
8/8/7p/3pk1p1/5p2/2NK1P1P/5bP1/8 w - -,c3b5
3r2k1/pb4pp/8/5p2/1nPNn3/PP2BBP1/5P1P/3R2K1 b - -,b4a6
4r3/1b3p1k/pq2nnpp/1p2p3/2p1P2P/P1P2NN1/1PQ2PP1/3rRBK1 w - -,e1d1
2r2k2/p4ppp/b3pn2/2p5/Nrp1P3/6P1/PP1R1PBP/2R3K1 w - -,a4c3
1r1q1rk1/3nppbp/p4np1/2p5/2BPb3/1N2PN2/PB1Q1PPP/R3R1K1 b - -,a6a5
r1bq1rk1/ppp4p/2n1p3/3p4/Q1PPn3/P2BPP2/1P3P1B/R3K2R b KQ -,e4f6
r2r3k/1R2Q1pp/5p2/p7/8/q6P/5PP1/4R1K1 b - -,a3e7
r1bq1rk1/p4pbp/2p2np1/3n4/8/P1N1BN2/1P2BPPP/R2Q1RK1 w - -,c3d5
rn1q1rk1/1p3pbp/p2pbnp1/2p5/P3PP2/2N2N2/1PP1B1PP/R1BQK2R w KQ -,e1g1
1r1qr2k/1pp3b1/p2p1npn/P2Pp2p/NPP1Pp2/R2Q1B1P/3B1PP1/2R3K1 w - -,d3e2
r1bqk2r/pp1n1ppp/2pbpn2/3p4/2PP4/2NQ1NP1/PP2PPBP/R1B1K2R b KQkq -,e8g8
r4rk1/qp1nbp2/6p1/2Pp3n/pP2N2p/P6P/1B2N1P1/R2Q1RK1 w - -,d1d4
r4rk1/1p1q2pp/8/p1bN4/2P1p3/1P1p2P1/P4PQP/2RR2K1 w - -,d1d2
1k4r1/1ppb1q2/p1n5/5pp1/8/1PQ1B1PB/PKP2P2/3R4 w - -,h3f1
