6k1/7p/8/1Rb3PK/8/8/8/8 b - -,c5a3
rnbq1rk1/pp1p1pp1/5n1p/2p5/2P1p3/1NP3P1/P2PPPBP/R1BQ1RK1 b - -,d7d6
6k1/R3p2p/1p1q1bp1/1r6/5n2/4BP2/5Q1P/2R4K b - -,f4d5
2r2k2/pp3ppp/4n3/8/2B2P2/1P2P3/P3K2P/3R4 b - -,f8e7
8/1br4k/8/1p1pP2p/2p5/2P5/1P1Q3K/r7 w - -,d2g5
8/5r2/4p1k1/3p2pp/8/3nP3/3R1PBP/6K1 b - -,d3e5
3r4/1k6/6pb/1pp1Pp1p/p1p2P1P/P4NP1/1PK1R3/8 b - -,b7c7
2rq1r1k/pp6/3bp2p/4p3/2RpPpP1/5N1P/PP1Q1P1K/2R5 b - -,c8c4
8/b1r5/8/5R2/2P5/4p1k1/2K1B3/8 b - -,c7d7
5r2/3p4/1p1Npk2/2n3p1/p1P2p2/Pr3P1P/1P1R1KP1/3R4 w - -,f2e2
3k4/p1r2p2/1p2pbp1/5n1p/2P1BP1P/6PK/P2B4/2R5 w - -,d2e1
8/5kpp/8/Bp6/8/Pb6/8/6K1 b - -,g7g5
8/2b4p/2P2kp1/1P6/2B5/5KP1/8/8 b - -,f6e5
r3r2k/1bqnbppp/ppnpp3/6BB/P3PP2/1NN3Q1/1PP3PP/4RR1K b - -,g7g6
2r5/3kb2r/2b1p3/p1pqPp1Q/3p3P/P4PP1/3R4/B3R1K1 w - -,h5h7
2kr1b2/pp3p2/5P2/3p4/4q3/2B3Q1/PP2P3/2R1K3 b - -,c8d7
7k/1b1q2pp/pb3n2/1p3R2/1P3Q2/P4N2/1r4PP/3R3K w - -,f4b8
r4rk1/1p3q2/p1pp1p2/2b2B1p/2PnP1p1/1PQ1N1P1/P4PKP/R3R3 w - -,b3b4
r4rk1/1p3pbp/2b3p1/p1R1p1q1/8/1P2P3/P3BPPP/B2Q1RK1 w - -,g2g3
8/p1k3rp/1p5R/8/PP1K4/2P3P1/7P/8 w - -,c3c4
8/p1k1Kp1R/1pp1p3/3b4/8/P7/5r2/3R4 w - -,d1g1
R1n5/5k2/2BpR3/3Pbp1p/7P/1r4P1/4K3/8 b - -,b3b2
6k1/1p1n1pp1/3qr1p1/1B1p2P1/1p1P3P/5P2/PPQ2K2/7R w - -,h4h5
1Rrq3k/6b1/p5p1/4p2p/4p3/1Q6/5PPP/1R4K1 w - h6,b8c8
8/5r2/2k2p2/p1p1PPp1/3b2P1/1P1n1B2/6K1/2R5 b - -,c6b6
r4rk1/p1p2ppp/1pq1p3/3n4/4N3/1P1P1QP1/PRP2P1P/4R1K1 w - -,c2c4
8/2R3pk/5p2/7p/1r1N1P2/3K2P1/7n/8 b - -,h7g6
2kr3r/1pqbbpp1/p3p2p/2n1P3/3N4/1BN5/PPP1Q1PP/1K1RR3 w - -,b3d5
2r2r2/1b4k1/pq1p1pp1/1p1Pp3/6P1/P1N1n2P/1PP2RB1/R1Q3K1 w - -,c1d2
8/2k2pp1/4p2p/4P3/1p2B3/1PbK3P/6PB/8 w - -,d3c4
8/p3k3/p1r1p3/5p2/R1P2P2/4P3/P3KP2/8 b - -,e7d7
r1bqk2r/pp1nbppp/4pn2/2pp2B1/3P4/2PBPN2/PP1N1PPP/R2QK2R b KQkq -,b7b6:e8g8:c5c4
rnbq1rk1/p1p1bpp1/1p2pn1p/3p4/3P3B/3BPN2/PPPN1PPP/R2QK2R w KQ -,e1g1
r2qkbnr/1ppb1ppp/p1np4/1B2p3/8/PP2P3/1BPP1PPP/RN1QK1NR w KQkq -,b5f1
2br4/p5kp/nn3q2/Q1p2pp1/2PNp3/4P1P1/P2N1P1P/1R3BK1 w - -,d4b5
2r1r1k1/qp1n1pp1/2p3p1/p2n4/3Pp2P/1PB1P1P1/P2QBP2/2RR2K1 w - -,a2a4
r4rk1/ppqn1ppp/2p2n2/3p4/2PPpP2/PP2P3/1B1NQ1PP/R4RK1 w - -,a3a4
r2qkb1r/pp3ppp/2n1p3/1BnpPb2/3N4/2P5/PP3PPP/RNBQ1RK1 b kq -,d8b6
r3rbk1/1p3p1p/2p1bnp1/p3p3/P1P1P3/1P2B1P1/5PBP/2NR1RK1 w - -,c1d3
r1bqk2r/1pp2pp1/p1n2n1p/2bPp3/8/1B1P1N1P/PPP2PP1/R1BQKN1R b KQkq -,f6d5
rnbqk2r/pp2ppbp/6pn/2pp4/5P2/3PPN2/PPP1B1PP/RNBQK2R w KQkq c6,c2c3
r3r1k1/1p3ppp/p1pb4/3p3b/1P1Bn3/2P2NPP/1P2PPB1/R3R1K1 w - -,g3g4
rnbq1rk1/ppp1nppp/4p3/3p4/3PP3/P1PB4/2P2PPP/R1BQK1NR w KQ -,g1f3
6k1/p4p2/1prpp2p/3R2p1/2P1P3/1P6/P4PPP/5K2 w - -,d5d2
1r1qbbk1/1p2nr1p/pQ1p2p1/3Pp3/4P3/4B1N1/PPRKBPP1/2R5 b - -,d8b6
Q6k/2p3b1/3p3p/1P2p1p1/2P3q1/3P2P1/P2N1r1P/4R2K b - -,h8h7
r3k2r/1bq2ppp/p2bpn2/1p1Pn3/2p1P3/2N2N2/PPB1QPPP/R1B1R1K1 w kq -,d5e6
8/3n1k2/p1p3pp/b1p2p2/2Pp1P2/BP1P2P1/P1N1K2P/8 w - -,a3b2
8/3n4/2bP1pkP/p7/2K1N3/5P2/1B6/8 w - -,h6h7
r7/7p/bqr3pk/1B2Qp2/P2p4/1P6/1B3PPP/R5K1 w - -,b2d4
2rq1rk1/pbnnb1p1/1p2p2p/3pPp2/3P1B1P/2N2NP1/PP1Q1PB1/R1R3K1 w - -,g2f1
5r1k/6p1/2p4p/2P1P3/bP1qBP2/r1p4Q/6PP/2R2R1K b - -,d4e4
1qr1r3/Rb2k3/1p5p/1PnP4/4p2N/2B3PP/6BK/5Q2 w - -,f1f6
6k1/p4p2/3p1np1/1p1PP1Np/1P1R1P1P/P5P1/2r3K1/8 w - -,g2f1
8/2B1k3/5b2/5P1p/5P2/p4K1P/B1b5/8 b - -,c2f5
8/8/R3pkp1/4rp1p/4p3/1B2P1P1/3K1P2/8 b - -,g6g5
r4rk1/pp5p/3p2p1/4b3/2P1N3/q4B2/P5QP/2R2R1K w - -,c1b1
2r5/6p1/4n1kp/pp2P1b1/4P3/PPBK4/2N3PP/5R2 b - -,e6c5
1r6/6p1/1k1np2p/pp6/2p2PPP/P1P1PB2/4K3/R7 b - -,b6c5
3r4/2p2pk1/5npp/2r5/p3P3/R1PNRPP1/7P/6K1 b - -,c5a5
r4rk1/1pqb1n1p/3pp1pb/p7/P1P2N2/1P4P1/5PBP/1RBQ1RK1 b - -,a8e8
r1bqk2r/pp2npbp/2n1p1p1/2pP4/8/2N1PNP1/PP1P1PBP/R1BQ1RK1 b kq -,e6d5:e7d5
5rk1/1pr1ppbp/p4np1/8/3P4/NP2P1P1/1B3PKP/R2R4 w - -,a3c4
5k2/6p1/7p/1p1PK2P/p1b3P1/P4B2/1P6/8 b - -,f8e7
r4r1k/3qbppp/n3p2n/pp1pP3/3P1PP1/P2QBN1P/1P1N1K2/6RR b - -,b5b4
6k1/5p2/Q2b2p1/5n1p/3r1P1P/6P1/3p2K1/3N4 w - -,a6a8
2R5/8/r4kp1/5p1p/7P/6P1/5K2/8 w - -,c8b8
1rb2rk1/p4pbp/1q4p1/1p1QP3/8/2N3P1/PPP3BP/R4R1K b - -,c8b7
6r1/2q4k/1p1b3p/pPp2p1n/P1Pp1p2/3P1Nr1/3BPK2/1R3QR1 w - -,f3h4
r2r2k1/p3qppp/1p2p3/2nb4/3N4/4P3/PP3PPP/1BRQR1K1 w - -,d1g4
r5k1/4r1pp/4P3/PpN5/2b1R2P/P7/5PPK/4R3 b - -,a8a5
8/3knp2/1p2qp2/pB1p4/3P4/P1N2bP1/1PPQ4/2K5 b - -,d7d8
rn1qr1k1/pp3pbp/3pbnp1/2p5/P3PP2/2N1BN2/1PPQ2PP/R3KB1R b KQ -,e6g4
r3k2r/1bp1qppp/p1n2n2/1p1pP3/Q2P1P2/B1PB1N2/P5PP/R3K2R w KQkq -,a3e7
5n2/pb2r1kp/1p6/3p1Rp1/3P2P1/3B4/PP1KN3/8 w - -,f5g5
3r4/4kppp/p7/1p1b4/1P1N4/2P2P2/P2K2PP/7R b - -,g7g5
8/8/8/1N1nk3/5ppp/5PP1/5K2/8 w - -,g3f4
8/6kp/3R2p1/3Np3/1P2P1K1/r7/5bP1/8 b - -,h7h5
r2q1rk1/pb1nbppp/1p1ppn2/1B6/3P1B2/2P2N2/PP1N1PPP/R2QR1K1 w - -,d1e2
