8/5k2/1K1p1p1Q/3Pp2p/1q2P3/5P2/8/8 w - -,b6c6
r3q2k/6pp/3pBb2/1p1Pn3/1P1B4/2P4P/4Q2K/5R2 b - -,e8b8
5rk1/pbr1bpp1/2Nqp2p/1p6/3PB3/4PQP1/PP3PP1/2R2RK1 b - -,e7f6
8/6kp/8/p1R1PK2/2P5/8/8/r7 w - -,c5c7
8/8/2n2K1k/7p/7P/5P2/6N1/8 w - -,g2e3
2R1Q3/6Pq/p4K2/1p1bP3/1P6/Pk6/8/2B5 b - -,h7h4
7R/8/1p3r2/p2pkP2/Pr6/1PK1PR2/8/8 b - -,b4g4
5r1k/p6p/3p1n2/2pP3q/PpP1p2N/1P6/1Q6/1K4R1 w - -,h4g2
2rr2k1/p4pp1/2q1p2p/1p6/1bP5/1P1N2PP/P1Q2P2/3R1RK1 b - -,b4d6
8/4R3/8/6P1/p1p5/1pK1pk2/8/8 w - -,c3b2
2r2rk1/1b1p1ppp/pp2pnq1/3P4/1bPNP3/P2Q1N2/1P3PPP/R1B2RK1 b - -,b4d6
r1b1k2r/pp3ppp/4pn2/2qn4/7Q/P1N5/1PPB1PPP/3RKB1R w Kkq -,f1b5
r7/P6p/3p2p1/5p2/2k5/R5P1/2K2P1P/8 w - -,c2d2
8/7p/5P2/1k6/1P6/b3K2P/8/8 b - -,a3b4
8/7k/8/7p/8/6PP/7K/8 b - -,h7h6
2r1kb1r/1p1bnp1p/pq2p2p/3pP3/3P2Q1/2PB4/R2N1PPP/1N3R1K w k -,h2h4
2k2r1r/R7/6p1/2pB4/1P1p4/P3b3/3B2K1/1b6 b - -,e3d2
1r1q1rk1/1bp2pbp/3ppnp1/8/1p1PP3/1n4PP/PPQ1NPB1/R1B1R1K1 w - -,a2b3
2r3k1/p2q1bpp/1p3p2/2bp4/3BR3/2P2N2/PP1Q1PPP/R5K1 b - -,d5e4
2r5/pp1kbp1p/4p3/3pP3/2nP1P2/6N1/PPr2P1P/R1B1R1K1 w - -,b2b3
k7/Np1rpp2/3p3b/3R1q2/4pPn1/1Q4P1/PPP3R1/1K6 b - -,f5e6
2rq1rk1/pp2bpp1/3pbn1p/4p3/4P3/1P1B1P2/PBPNn1PP/R2Q1RK1 w - -,d1e2
2r2rk1/pp3ppp/4q3/2nR1N2/1P2p3/4P3/P1P1Q1PP/5RK1 b - -,c5a4
r2q1rk1/1p3pbp/p2P2p1/2p1Pb2/P2BN3/3B4/1P2Q1PP/R4R1K b - -,c5d4
3rrbk1/pb1q1ppn/1ppp4/3Pn3/2P1P3/2N1B2P/PP1NB2K/1Q1R2R1 b - -,c6c5
rnb1k2r/ppp2ppp/3b1n2/3P4/3P1p2/1B3N2/PPP3PP/RNB1K2R b KQkq -,e8g8
3b1r2/r2b2k1/3p2p1/pPpPp2p/R1P5/R2B1PP1/3N2K1/8 w - -,d2b3
r1bq1rk1/1pp1n1bp/3p1Np1/4ppB1/1PP5/3P1NP1/4PPBP/1R1Q1RK1 b - -,g7f6
2r1k1r1/3bbp2/p2ppn1p/qp2n1pP/3NP1P1/PB3P2/NPPRQ2B/2K3R1 b - -,a5b6
6r1/pp1r1b2/6p1/3Pkpp1/2PNp2n/P3N2R/3R4/6K1 b - -,g8c8
5k2/p4p2/6p1/8/PK1N1P2/2N3P1/6b1/4r3 w - -,c3b5
r3r1k1/1bq2p1p/1p4pB/pPpp4/P1Pb4/3P2P1/3Q1PBP/4RRK1 b - -,d5c4
8/2b5/8/5pk1/6p1/3R2P1/1r3N2/5K2 w - -,f2d1
r4rk1/4bppp/2Pp4/P3p3/Rn4P1/7P/2P2PB1/2B1R1K1 b - -,b4c2
r4rk1/5ppp/1n1nb2q/3N4/pp1PP1P1/1P3B1P/PK3Q2/1N1R1R2 b - -,e6d5
1qr3k1/1b1n1p1p/p4np1/1p1P4/5b2/PNN1Q2P/1P2B1P1/2R1R1K1 w - -,e3d4
2q3k1/1b4pp/4pp2/1prp4/p1n2P2/P1R1PN1P/5P2/2Q2BK1 w - -,f3d4
1r4k1/5pbp/3Np1p1/qpR1P3/5P2/1P2P2P/1B2BKb1/7R w - -,h1a1
r1bn1k1r/1p2qppp/p2Np2n/3pP2Q/3P4/2PB1N2/5PPP/R3K2R w KQ -,e1g1
7k/1q4p1/1P5p/7P/8/3Q4/5Kp1/8 w - -,d3d8
r6k/1p4p1/2p1np1p/p1q4P/2PQR3/PP3P2/6P1/5BK1 w - -,d4f2
q4rk1/r1p1bppp/p3p3/Bp6/1PRPb3/4QNP1/P3PPBP/R5K1 b - -,b5c4
6k1/6b1/6p1/7p/N2P3P/Pp3rp1/1Pr5/1K1R3R b - -,g3g2
2b2knr/4qppp/1p6/8/Bb6/4PN2/PP1B2PP/R2QK2R b KQ -,c8a6
rnbqkb1r/ppp3pp/4pn2/3p1p2/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq d6,c4d5:d2d4
2r3k1/3n1p1p/6p1/p2pP3/3P2p1/7q/P1r2R1P/1R2Q2K b - -,c2f2
2r1k2r/1bqpbppp/p3p3/1p4Pn/3QP3/4BP2/PPP1N2P/2KR1B1R w k -,d4d2
5k2/8/1pBr3p/3p2qP/1p4p1/1Pb3P1/P1Q2P2/3R2K1 w - -,c6b5
6k1/6bp/1q1pp1p1/3b4/4Q1P1/1N3P2/2P3K1/3R4 w - -,e4e2
2k3b1/8/2p3r1/b1P2p1p/N6P/4P3/1K3PP1/3R4 w - -,g2g3
r2qk2r/pppb1ppp/2n1p3/8/QnpP4/5NP1/PP2PPBP/RN3RK1 w kq -,a2a3
8/5pk1/2p1r1p1/1p2n2p/1PrR4/7P/6PK/1B1R4 w - -,h2g3
8/2N1k3/3p1np1/2pPp2p/1pK1P2P/5PP1/1P6/8 b - -,f6h7
r1b2rk1/1npq2bp/1p6/p2Pp1Bn/2P3p1/PPN5/2BQN2P/R4RK1 w - -,d2d3
r3r1k1/p1q2pp1/2pb1n1p/8/8/2NP1Q1P/PPP2PP1/R1B2RK1 b - -,a8b8
2r3k1/1p1b2p1/p1np1r1p/5p2/2PPP3/2N3PP/PP2P1B1/3R1RK1 b - -,c8e8
8/pp4k1/2p4p/4PpbP/N7/1P4P1/P1r2P2/1R4K1 b - -,g5c1
r4r2/2qbnpkp/n5p1/pp1Pp3/4P3/P5NP/1P1Q1PP1/RB2R1K1 w - -,d5d6
r2q1rk1/pp2bppp/2npbn2/2p5/4P3/2N2N2/PPP1BPPP/R1BQ1RK1 w - -,c1f4
6k1/6pp/p4p2/4pR2/3q4/6Q1/1Pr3PP/5K2 b - -,d4d1
r4bk1/6pp/4pp2/1q6/1pN2B2/1PnQ2P1/4PP1P/5RK1 b - -,e6e5
8/1R5p/4k1p1/8/1ppbp3/7P/1q3PK1/4R3 w - -,e1e4
3r4/p1QP2k1/1pn2p2/2p3p1/8/2P2B1P/3q2K1/5R2 w - -,f1f2
r4rk1/1p1b2pp/pqn1p3/3pPn2/5P2/5N2/PPNQ2PP/2KR1B1R w - -,g2g4
r1nr4/2knb1pp/1pp1bp2/p3p3/NPP1P3/P3BN1P/4BPP1/RR4K1 b - -,a5b4
5bk1/7p/1qp1b1p1/4p1P1/p1P1Pn1P/1P6/1PKQ4/3R1R2 w - -,d2c3
3r2k1/p5p1/2q1rb2/1p4pQ/2p1p3/2P1R1BP/PP3PP1/3R2K1 w - -,d1e1
2r1k2r/pq3ppp/1p1Ppb2/1N2nP2/6n1/2P3P1/PP5P/RNBQR1K1 w k -,f5e6
b2r4/4q1k1/p5p1/2p1ppP1/2P5/2N5/P4PP1/3RQ1K1 w - -,d1d8
3r1k2/1pp2p2/pb2qnpN/4p3/1P2P3/2P3QP/1P3PP1/R1B3K1 w - -,c1e3
r5k1/pp1nnppp/2rqp3/3p4/3P4/P1NQP3/1PRN1PPP/2R3K1 b - -,a8c8
1R6/8/2n5/2kp4/8/2K5/2P5/8 w - -,b8h8
8/1p3r2/1R1P4/4p3/4B3/k1p1K3/P1P5/8 b - -,a3a4
4rb1k/5p1p/ppqprPp1/n1pN2P1/P1P2P2/1P4BP/2QR3K/3R4 w - -,c2d3
3rrk2/q2n2p1/3p1p1p/1p1B4/1P3P2/2R3PP/3RP2K/2Q5 b - -,a7f2
2r3k1/p4pbp/6p1/8/5Bn1/8/nPP3PP/1K2NB1R b - -,a2b4
r1q3r1/3n1p1k/2p1p1pn/1p1pP1RP/pP1P1Q2/P1PN3B/5P2/6RK b - -,d7f8
r1bqkb1r/1p3ppp/p1nppn2/2p5/4PP2/2NP1N2/PPP1B1PP/R1BQ1RK1 b kq -,f8e7
6k1/5p1p/Rn4p1/2pPr3/2P5/4B2P/2K2PP1/8 b - -,b6c4
2rq1rk1/ppnbppbp/2n3p1/2p5/8/P1NP1NPP/1P1BPPB1/1R1Q1RK1 b - -,b7b6
5k2/2p3p1/3p3p/1b1n4/1p1PNN1P/5PP1/1P1R2K1/5r2 b - -,d5e3
6r1/8/1p1p3p/3PkP2/r1p1Pb2/5K1R/8/3R1B2 b - -,a4a3
