8/8/5kp1/r4p1p/7P/5BPN/5PK1/8 w - -,h3f4
rn1q1rk1/1p2bppp/p2pBn2/4p3/P3P3/2N2N2/1PP2PPP/R1BQ1RK1 b - -,f7e6
7k/4q2p/Q1p1rpp1/2p5/1r2P3/2R1bP2/P5PP/5RK1 w - -,c3e3
r1bqk1nr/pp2bppp/2n1p3/2pp4/2PP4/2NBPN2/PP3PPP/R1BQK2R b KQkq -,g8f6
r6r/pp2pkb1/1q1p2p1/2pPP1Bp/4NPn1/8/PPP1Q3/2KR1R2 b - -,c5c4
2k4r/pp6/2nB4/5pR1/7p/5P2/PP4P1/6K1 b - -,c8d7
1r6/4qpk1/3p2p1/2pPp3/8/3B2P1/2QN1PK1/8 w - -,d2c4
2kr1bnr/pp3ppp/2n5/2P2b2/1P1Np3/2P5/P2N1PPP/R1BK1B1R b - -,c6d4
r1b2rk1/ppp1qppp/2np4/4n3/1PP2B2/4PN2/P2QBPPP/R4RK1 b - b3,e5f3
1r2k1nr/3bp1bp/p1pp1ppn/q7/P2BPPP1/1BNQ3P/1PP5/2KR2NR b k -,c6c5
8/4k1p1/7p/4nQ1P/6P1/2q5/5P2/6K1 w - -,g1g2
1q1rk2r/pb2bp1p/1pnpp1p1/4P2n/5P2/PNNBB1Q1/1PP3PP/4RRK1 w k -,g3f2
r3qrk1/1pp3b1/3p3p/2nPpp2/p1P1Ppb1/P1N2NP1/1PB2PKP/1R1Q1R2 w - f6,h2h3
2k5/ppq1r3/2n3rp/3Rppp1/1PQ5/2P2N1P/P4PP1/3R2K1 b - b3,b7b6
4r3/p2kr3/1bp2Q1p/2q2P2/5R1B/3p3P/P5P1/R6K b - -,d3d2
3rr1k1/1q2b2p/4p1p1/2p5/2N1N3/3n2P1/PP2QP1P/1R1R2K1 b - -,d8d4
8/4b3/4P1p1/8/8/1p2NK2/pr5k/3R4 b - -,b2b1
rnbq1rk1/p4ppp/1p1bp3/2pp4/1PPP4/P3P1B1/3N1PPP/1R1QKB1R b K -,c5d4
r2qr1k1/p4pp1/2Qp3p/2nP4/1pP5/2bBPN2/4R1PP/5RK1 w - -,d3f5
r2qr1k1/1p4pp/8/5p2/2QnB3/P5P1/1B3P1P/2R3K1 b - -,g8h8
8/1k6/4p3/1PB1Pp2/5P2/5K2/3b4/8 b - -,d2c1
4r3/1p4pk/4p1Np/p2p3P/3P2P1/PP2P3/4b1K1/2R5 w - -,g2g3
4k3/8/4p3/PK2b3/8/5P2/5N1p/8 b - -,e8d7
r1bq1rk1/4n1pp/3p4/1p1P1p2/p3Pp2/P5P1/1P1Q2BP/R1N2RK1 w - -,f1f4
6k1/2pqpp1p/6pb/N7/3P4/4P1B1/2Q3PP/6K1 b - -,h6e3
2r3k1/6rp/R5p1/1p6/4N1P1/5P2/PPP1n3/2K4R w - -,c1b1
r5k1/p6p/2p2Q2/8/2P5/1P4KP/P7/3q4 w - -,f6e6
r1bq1rk1/pp3p1p/2n1pbp1/8/3PB3/P3B3/1PQ1NPPP/R2R2K1 b - -,c8d7
8/2Q2P2/1p3rp1/8/1k6/7K/5q2/8 w - -,c7e7
8/pN2k2p/6pb/4p2n/1P2N3/6P1/r6P/3R3K b - -,h5f6
1rbqk2r/pp1nppb1/2np2p1/2p3Pp/4PP2/2NPBN1P/PPP3B1/R2QK2R b KQk -,b7b5
r4rk1/1ppqnppp/1b2bn2/pP1p4/P1BPP3/5N2/3N1PPP/R1BQR1K1 w - -,e4e5
8/8/1pk1pp1p/8/PP1K2PP/8/8/8 b - -,c6d6
1r3rk1/3qbpp1/pB2b2p/Pn2PN2/1pp5/8/1PB1QPPP/R1R3K1 w - -,c1d1
r4r1k/pb3ppp/1q3n2/1pbPp3/4N3/1P4P1/PB3PBP/R2Q1RK1 b - -,f6e4
6rk/p1Q2p1p/1pn1q3/3p3P/3P4/P1PB4/2P2PP1/4RK2 b - -,e6f6
2rr1k2/6p1/p1q2b1p/3ppP2/2n5/1B3Q2/PP4PP/2RR3K b - -,e5e4
8/8/2R5/8/5r2/8/3p4/3k1K2 w - -,f1g2
r1b2rk1/pp1nbppp/1q2p3/3pP3/Q7/3BBN2/PP3PPP/1R3RK1 b - -,b6d8
r2qk2r/2p1npb1/p2p3p/1N1P2p1/1p2P1b1/1P3NB1/R4PPP/3Q1RK1 w kq -,b5d4
2qr1rk1/4ppbp/p1n3p1/1p6/2p1NB2/P3Q2P/1PP2PP1/3RR1K1 w - -,b2b3
8/5p1k/1p1Nb2p/8/pB4P1/5P2/5K2/8 w - -,d6b5
rnbqkb1r/pppp1p1p/5np1/4p3/4P3/6P1/PPPP1PBP/RNBQK1NR w KQkq e6,d2d4
8/8/p5p1/3k1p1p/4p3/rPb1P1P1/2R2PP1/3K1B2 b - -,a3b3
r7/1p6/3Pbq1k/4Np1p/3P1PpP/pR4N1/Bn1Q4/K7 w - -,d4d5
2r3k1/5ppp/p2p4/1pqP4/3b4/P7/2PQ1PPP/1R3RK1 b - -,g7g6
r5k1/pp1q2p1/8/4pp1Q/1b1pn3/1P6/1P3PPP/2BR1RK1 b - -,b4c5
rnbq2nr/pp2kppp/3pp3/1Np5/1bP5/6Q1/PP1PPPPP/R1B1KBNR w KQ -,a2a3
r1r3k1/p2bQppp/q3p3/8/4P3/P1P2P2/4NKPP/1R1R4 b - -,d7b5
r2q1rk1/ppp1b1np/3p1np1/2PPp3/4P3/2NNB1Pb/PP1QB2P/2R2RK1 w - -,f1f2
6k1/8/1b1p4/4pppp/2q1P3/5PPK/P5QP/B7 w - f6,g3g4
6k1/4pp1p/6p1/1r6/3p3P/3NnPP1/8/2R1K3 w - -,c1c8
2kr4/2p5/p2r4/P1NPpppp/2P5/5K1n/3R1P2/1R6 b - -,g5g4
r1b1k1nr/1pq2ppp/p1n1p3/2bpP3/8/2NB1N2/PPP2PPP/R1BQ1RK1 w kq -,f1e1
1r2b3/8/3p1k1R/p3p1p1/2PpP3/3P2K1/P7/3B4 b - -,f6e7
8/p7/1r4kp/4p3/4b1P1/3r3P/P4P1K/2Q5 w - -,c1c4
1rb2rk1/2qnbppp/2n1p3/1p1pP3/2p2P2/1PNP1NP1/1BP1Q1BP/R4RK1 w - -,d3d4
7r/1b3kpp/p2Bp1q1/2P1Pp2/1p1n1Q2/1P1r1P2/P5PP/2RR3K b - -,d3f3
2r3k1/2pb2b1/1p1p2p1/3Pq1p1/p3P1P1/3Q1PN1/PPR2K2/7B b - -,c8f8
5rk1/ppb1r3/1np2q1p/3p2pP/1P1P4/P2BP3/3B1PQ1/2R1K2R w K -,e1g1
r1bq1rk1/1p3p1p/p3pbp1/2np4/5B2/P1NB2Q1/1PP2PPP/R3R1K1 w - -,d3f1
6kq/8/1p2pBp1/pPn4p/4P2Q/1P3P2/P2r2PP/5B1K b - -,d2d1
8/pp1Rkpp1/4p2p/2p1P3/2P2P2/1P2K1P1/P6P/8 b - -,e7d7
r4rk1/bpp2pp1/p1npqn1p/4p3/PPN1P2B/1QPP1N2/5PPP/R3R1K1 w - -,b4b5
8/p7/1p5p/2p1k2R/8/1P4PK/1r5P/8 b - -,e5e4
8/p1r2p2/1p1pk3/1P2pp1p/2PP4/3KPPPP/8/2R5 b - -,f7f6
r4k2/6r1/ppR1p2p/3p1pp1/6P1/4qP1Q/PP2B2P/5R1K w - -,h3g2
r2q1rk1/1ppb1pbp/3p1np1/2nPp3/p1P1P1P1/P1N1B2P/1P1NBP2/R2QK2R w KQ -,h3h4
2br1rk1/p3bpp1/2nq3p/1p2p2P/2p5/R2PB1PN/PPP2PB1/R2Q2K1 w - -,d1c1
3rn1k1/1r2nppp/4p3/qpRp4/PN1P4/1P1Q4/N4PPP/2R3K1 b - -,d8b8
8/4k1p1/7p/8/3RP1P1/3P3P/r6r/3BK3 w - -,d1f3
r1r3k1/1b1p1pp1/p1n1pq1p/1p6/3P4/P1Q1PN2/1P2BPPP/R1R3K1 w - -,c3d2
8/1p1r4/p1pPk2p/2P2Rp1/PP4P1/3K3P/8/8 b - -,d7d8
r3r1k1/1b2bppp/pp1qnn2/3pN3/N2P4/PQ2B1P1/1P3PBP/2R2RK1 b - -,b6b5
8/8/3Npk1p/8/rp3n1P/1P6/B4P2/R5K1 b - -,a4a8
1k6/2r5/1q1p4/3Qp3/1P2Bp2/1KP5/8/8 b - -,c7c8
7K/5kRP/8/8/8/8/5r2/8 b - -,f7f8
r2r2k1/1p2qp1p/3pb1p1/p1p3P1/4P3/1N3P2/PPPQ3P/1K1RR3 b - -,b7b5
r1bq1rk1/pppn1pbp/2n3p1/4P3/4P3/Q1N1B3/PP2BPPP/3RK1NR b K -,d7e5
r2r1nk1/pBq1bppp/4p3/4P2P/1pPp1B2/6P1/PPQ2P2/R3RNK1 b - -,c7b7
8/8/6p1/4k1K1/p1pNb2P/P1P5/1P6/8 w - -,d4e2
2b5/6kp/q2p1Pp1/2pP4/3r1P2/2Q4P/6B1/5R1K b - -,g7f6
r1bqk2r/1p1n1pb1/p2p3p/2pP2p1/P1N5/2N1P1P1/1P3PP1/R2QKB1R b KQkq -,d7e5
8/5pp1/6p1/8/4B1kP/1K6/5P2/8 b - -,g4h4
4rrk1/p4qbp/1p1p2p1/2p1n3/2P5/1Q2B2P/PP3PP1/2R1RNK1 b - -,d6d5
