8/8/8/4p1k1/4P3/8/3K3R/5r2 w - -,d2e3
4Q3/5pbk/6pp/3PBq2/8/5N1n/1P4PK/8 b - -,h3g5
8/p5pk/2pr2q1/Pp2Qp2/5Pp1/2PPR3/6P1/5NK1 b - -,d6d5
r2qkb1r/pppnpppp/5nb1/3p4/7N/2PP2P1/PP1NPP1P/R1BQKB1R b KQkq -,e7e5
1rr2k2/1R5R/5p2/8/2p5/6KP/5PP1/8 b - -,b8b7
3k4/N4p2/1p4p1/2n3P1/8/1P6/PB2nP2/1K6 b - -,d8d7
8/1kn5/8/1P2pQ2/3q4/6P1/5P2/6K1 b - -,c7b5
8/4p3/8/8/3P2Pk/4K3/4B3/r7 w - -,e3f4
5rk1/pbqrbppp/1pn1pn2/2p5/2P5/2NPPNP1/PBQ2PBP/1R1R2K1 b - -,f8d8
2r5/5pkp/p2p1p2/1p1Nr3/1P6/P2BN2P/2P2K2/8 b - -,c8c6
8/p4p1p/1p1k2p1/1R6/P7/1P6/2r2PPP/5K2 w - -,f1e1
rqb2rk1/1p3pbp/p4np1/4p3/1nP5/2N1B3/PPN1BPPP/R2Q1RK1 b - -,b4c2
8/1R4p1/1p1r1k2/4pp1p/7P/2P1K1P1/1P3P2/8 b - -,d6c6
1k1r3r/pbq1p1b1/2pp1pn1/1p1P2pp/3NP3/1BP3P1/PP1NQRPP/5RK1 b - -,c7b6
r1bq1rk1/pp1n1pbp/2pp1np1/4p3/3PP3/2N3PP/PPP1NPB1/R1BQ1RK1 w - -,c1e3:a2a4
rn1qk2r/pbp1bp1p/1p2p3/3P1p2/2P5/P1N5/1P2NPPP/R2QKB1R b KQkq -,e7f6
8/3k4/p5p1/1p1P2Pp/1P2K2P/P7/8/8 w - -,e4e5
r2r2k1/p2bn1p1/1pnBp2p/q2pPp2/P1pP1P1N/2P4P/2PQB1P1/1R3RK1 b - -,d7e8
r7/4k2p/p3P1p1/8/P3RK1P/6P1/2r5/8 b - -,h7h6
8/p4r2/1p6/3kp2p/2n5/2P1B1P1/4K2P/R7 b - -,d5e4
r3rbk1/ppq2ppp/2p5/4pb2/2P5/1nBP2P1/P1Q1PPBP/1R3RK1 w - -,c2b3
1br2r1k/p5pp/1pB1bp2/1Pp5/2Np4/3P2P1/1P2PP1P/2R1R1K1 b - -,c8d8
8/2p4k/2p1p3/r2n2R1/1N4P1/P7/1K2R2P/3r4 w - -,g5h5
2rq1rk1/1p1b1pbp/1n1p2p1/2npp1P1/p1P1P2P/P1N1B3/1P1N1P2/R2QKBR1 w Q -,c4d5
8/6k1/6p1/5r2/6p1/8/4K3/2R5 w - -,c1c4
2r1r1k1/1p1b1pbp/p5p1/q2N2P1/4P3/7P/PPP3Q1/1K1R1B1R b - -,d7e6
3r4/1k6/4q3/p1Qp1p2/PpB1b3/1Pr3P1/2P4P/3R1RK1 w - -,c5a5
1r4k1/2n1qpbp/p2p2p1/2pPn3/1r2P3/2NBB2P/RP2QPP1/3R2K1 w - -,d3a6
2rq1rk1/p2bnpbp/2np2p1/1p1N4/3PP1P1/1P2B2P/P2QN1B1/2R2RK1 b - -,e7d5
r3rk2/ppp2ppp/3p2q1/4nb1n/4P3/2P1P2P/PP1N2PQ/2K1RB1R w - -,e4f5
r2qk2r/1bp1npb1/pp1pp1pp/8/P2PPBnP/2N2N2/1PPQ1PP1/R3RBK1 w kq -,f4g3
3q1rk1/4ppb1/2npb1pB/3N4/1pP1P3/6P1/3Q2BP/5RK1 w - -,h6g7
rn2k2r/pp3ppp/4pn2/q6b/1b1P4/1QN2N1P/PP2BPP1/R1B2RK1 b kq -,e8g8
8/7p/2R1p3/3nPk2/3P4/2p1BKP1/5P2/r7 b - -,h7h5
r1b1nnk1/4qp1p/2p2bp1/p1P1p3/PpB1P3/1Q1RBNNP/1P3PP1/6K1 w - -,g3f1
1r6/5p1k/6p1/pqN2b2/2pP1Q2/1P3p2/5K2/7R b - -,h7g7
2b1r1k1/5ppp/p1p5/2Bnq3/4p3/1Q4P1/PPP1B2P/2KR4 w - -,b3a3
8/8/5kp1/p1pR4/1b5p/5K1P/P6P/8 w - -,a2a4
r2n2k1/1r1b2p1/pP1qpp1p/P1Rp4/3P4/1N6/2Q2PPP/2R2BK1 w - -,c5c3
3q2k1/p4p1p/b3p1pQ/3p4/3P2NP/8/PP3PP1/6K1 w - -,h6f4
8/6p1/4p2p/kpp1b2P/2P3P1/1K2P3/5N2/8 w - -,f2d3
r5k1/p5r1/1p1P4/n1p2Qp1/4P2q/3NKP2/PP2B2p/2R3R1 w - -,g1h1
8/8/8/8/8/p7/K5k1/8 w - -,a2a3
8/1R3p2/1p1rpk2/6p1/1P2PnP1/4KP2/4B3/8 b - -,f4g6
4rrk1/1p3pp1/2pq1nnp/p2p4/P2P4/2PQ1NNP/1P3PP1/R3R1K1 w - -,e1e8
5k2/2p2r2/1p1p1b2/pP1N1rpp/P1P5/3R1PP1/6K1/7R b - -,f5e5
4r1k1/2B2ppp/1p6/pPb5/P1b5/3R3P/6P1/3R3K w - -,d3d8
2kr3r/pp1nbpQ1/2p1p2p/5q1P/3PN3/8/PPPB1PP1/2KR3R w - -,e4g3
5rk1/1b3pb1/pq1pp2p/6p1/1PpNPP2/3Q2P1/P1P3P1/3RR1K1 w - -,d3e3
r1bqkb1r/p2pnpp1/2p1p3/2p4p/4P2P/2NP1N2/PPP2PP1/R1BQK2R b KQkq -,d8c7
8/2r3bk/p5np/1pp1p2q/4P1N1/1P2N1P1/P4PQ1/4R1K1 w - -,g2f3
1r2r1k1/3q1pbp/p1np1np1/1pp1p3/1P2P3/P1PP1N2/5PPP/R1BQRBK1 b - -,a6a5
3r4/8/3p1kR1/pN1bpP2/K7/P7/1P6/8 b - -,f6f5
rn1qkb1r/pp2pppp/2p2n2/5b2/3P4/5B2/PPP2PPP/RNBQK1NR w KQkq -,g1e2
r1bqk2r/5pb1/2n1p1p1/1p1pP2p/p2p1P1P/P2P4/BPP1N1P1/R1B1QRK1 b kq -,f7f6
brnr2k1/p5pp/3ppq2/PPp2p2/2P2P2/B2BP3/5QPP/1R1R2K1 w - -,f2g3
r2qkb1r/pb1n1ppp/1p2pn2/2p5/2BP4/2N1PN2/PPQ2PPP/R1B2RK1 w kq -,c2e2:f1d1
8/8/8/4k1p1/4B2P/3p1PP1/3r4/5K2 b - -,g5h4
2r3k1/5p2/1p1r2p1/pR1P3p/8/8/PP1R1PP1/6K1 b - -,g8g7
8/6pp/p3k3/1p4K1/1P4P1/P3r3/5R1P/8 w - -,h2h4
1rbqr1k1/1pp2pbp/1n3np1/p2p2N1/P1PPp3/1PN1B1PP/3QPPB1/R2R2K1 w - -,c4c5
8/8/2b5/5k2/p6p/4K2P/1P2N3/8 b - -,c6g2
1r2k2r/3bn1b1/1qn1p1p1/ppp1Pp1p/3p1P2/P1PP2P1/1PN1N1BP/1RBQ1RK1 b k -,b5b4
r2q1rk1/pb1n1ppp/2pbp3/8/Pp1PB3/4PN2/1P3PPP/R1BQ1RK1 w - -,b2b3
8/5rbk/1N1R2p1/4p2p/3pP1nP/B2P2P1/5PK1/8 w - -,f2f4
r4k2/r1p2pp1/1pbpn2p/p1n5/2P1P3/PPN1BP2/6PP/1R1BR1K1 w - -,d1c2
r2r2k1/pp1nqppp/2p5/3pPb2/6n1/1P2P1P1/PB1N1PBP/R2Q1RK1 w - -,d1f3
2rr2k1/p4bb1/6p1/2q1p2p/1pP1Pp2/1P3B1P/1BQ2PP1/R2R2K1 w - -,a1a6
8/1k6/6R1/1p2r1p1/1P6/5K2/8/8 w - -,g6f6
2r2rk1/1p2q1pp/3p1b2/2nPpp2/PpB5/B4P2/4Q1PP/1RR4K w - -,b1b4
8/pp3p2/8/3pn1kP/5R2/4R1P1/5PK1/q7 w - -,f4b4
r1q2rk1/pp2p1bp/2bp2pn/2p2p2/2P1PP2/3PBNPP/PP1Q2B1/R4RK1 w - f6,e4e5
2k4r/1p3p2/p1q1pn1p/2P3p1/8/1B2b2P/PP2QPP1/3R3K w - -,e2e3
6n1/1p3p2/p5p1/b2pk2p/7P/1PP1KPP1/P1N1N3/8 w - -,e3d3
r3qr1k/pp5p/2nb2pP/2pbpn2/4N1N1/2PP2PB/P4P2/R1BQR1K1 b - -,e8d8
8/8/p6P/8/2k5/1R4PK/1p1r4/8 w - -,b3b7
r5k1/Q4pbp/3p2p1/2pq4/P4P2/5N2/bP4PP/2B2RK1 w - -,a7d7
1rr3k1/p4ppp/1q2p3/4n2n/Q2bP3/2N2P2/PP2BP1P/2BR1RK1 b - -,d4c3
6k1/3q1pp1/r6p/3pP3/2pP1QP1/1pP4P/1P3RK1/8 b - -,a6a1
4k3/1p3b2/8/2q1P3/p7/1PBQ3P/PK6/8 w - -,b3a4
8/4k3/8/3P4/3K1B2/1p1N4/1R6/3q4 w - -,d4c4
R7/5k2/8/pr3p2/5K2/8/8/8 b - -,f7e6
8/p3k3/1pp2rpp/5P2/2P4P/1P6/P4K2/5R2 w - -,f1e1
