8/5p2/1k6/8/PK3r2/2R2P2/8/8 w - -,b4b3
8/2p2k2/3p2p1/3P1p2/p1P2P1P/P7/1N1n1K2/8 b - -,d2b1
1rr1b1k1/p4ppp/q1pRp3/4n3/2p1P3/2N3P1/PP2QPBP/3R2K1 w - -,d6d2
r3k2r/pp2qpp1/2n2n1p/3p4/3P4/2N1PpPB/PP1Q3P/R4RK1 w kq -,f1f3
8/5pk1/R7/1P5r/2P3p1/1P6/3K4/8 b - -,g4g3
b2rr3/2q3kp/1p3pp1/p1p1pn2/P1P1N3/2QPPPP1/1R5P/4RBK1 w - -,g1f2
5rk1/pp1b2p1/2pb3p/3p4/1PnP3N/P5P1/6BP/2B1R1K1 b - -,g7g5
r3r1k1/p1qn1pp1/2pb1n2/1p1p1P1p/1P1P1B2/P1QB1PP1/4N2P/4RRK1 b - -,d6f4
2r1k2r/1p3ppp/p1n1bn2/q2p4/P2N4/RPN1P3/4BPPP/3Q1RK1 w k -,c3a2
r1bqkb1r/pp4pp/n1p2n2/3p1p2/3P4/3Q1N1P/PPP1PP2/RNB1KBR1 w Qkq -,a2a3
6k1/5p2/5P2/2n2PPP/4K3/8/8/8 w - -,e4d4
5krr/1pp2p2/p2p2nq/3Pp2p/1PP1PpbP/2R2NP1/P1B2P1K/2Q3R1 b - -,h6g7
8/4b3/8/2p2p2/p4P1p/2kq3P/3N3Q/3K4 w - -,d1e1
4k3/1R6/4K1p1/7p/7P/1p3P2/6P1/6r1 b - -,e8d8
8/5k2/r1p5/1pB2p1p/2n5/6PP/5PBK/3R4 b - -,f7f6
r1bqk1nr/1p1p1ppp/p1n5/2b1p3/4P3/5N2/PPP1BPPP/RNBQK2R w KQkq -,e1g1
6R1/P7/8/2K5/8/7p/4P2k/1r6 b - -,b1c1
r1bq1rk1/5ppp/2np1b2/p2Np3/1pP1P3/6P1/PPN2PBP/R2QK2R b KQ -,f6g5:c8e6:a8a7
1q3rk1/R2n2bp/1rbp4/4pp2/2Pp1P2/3P1NP1/4N1BP/3Q1R1K w - -,d1a1
8/8/p1p5/2Pp4/P1nPk3/2K5/8/2B5 b - -,c4e3
5rk1/5ppp/2b5/1p1PP3/8/2P5/r3Q1PP/3R1R1K b - -,a2e2
1r1r2k1/1bpq1pbp/p1n1p1p1/1p6/3PBB2/2P1QN1P/PP3PP1/3RR1K1 b - -,c6e7
r1bq1rk1/ppp1nppp/2n2b2/3p4/3P4/P1NBB3/1PPQNPPP/R4RK1 b - -,c8f5
8/1p2bppk/4p3/1p1pP2p/1n1P3P/1P4P1/3BKP2/4N3 w - -,d2b4
r4b1r/pp1kp1p1/2n1pnQp/q2p3P/2pP1B2/5NN1/PPP2PP1/2KR3R w - -,f3e5
r2q1rk1/pp2npbp/2p3p1/2Pp4/1PnB1P2/6P1/P3NPBP/R2Q1RK1 w - -,g2h3
8/K1k5/2p2p2/2Pp1n1p/3P1PbP/8/5B2/5B2 b - -,f5e7
2kr2r1/1p1n1pPp/p1p1b3/6q1/3NP3/PPQ2P1P/1B4P1/R4KR1 b - -,d7c5
4k1nr/1p1b1ppp/4p3/pPbpP3/8/P1N5/4BPPP/R4RK1 b k -,c5d4
rn1qr1k1/pp3ppp/3b1n2/3p2B1/3p4/2N2PPB/PP2P2P/R2Q1RK1 w - -,c3d5
2rqr1k1/pp1bppbp/2n3p1/1B6/P2P4/B1P2N1P/5PP1/R2QR1K1 w - -,d1b3
r2r2k1/pp1b4/4p1p1/6NP/2npN3/PP6/5P2/R3K2R b - -,c4a5
3q2k1/1p3r2/3p1nn1/3Pp3/4P1P1/2Q1B1p1/PP2B3/5RK1 w - -,c3e1
r6k/1p4p1/p6q/7P/6r1/P2Q4/KPB3P1/5R2 w - -,d3f5
3r2k1/p4pbp/6p1/1p1n4/4p3/1P1N2P1/P1RBPP1P/6K1 w - -,d3f4
4r1k1/1p3p2/p2p2p1/2pPBq1n/P1P5/2N2Q1P/1P4PK/5R2 b - -,f5e5
r1b2rk1/ppqn1pbp/2p2np1/4p3/4P3/2NBBN1P/PPP2PP1/R2Q1RK1 w - -,d3c4
r1bq1rk1/1p4pp/p3p3/1npp3Q/3b1P1P/1PN3P1/PBPP2B1/2K1R2R w - -,g2h3
1r4k1/3p1ppp/3Pbn2/1p2p3/rP2P3/P3PBP1/7P/RRN3K1 w - -,c1d3
r3r1k1/pppq1p2/2nb1n2/3p3p/3P2pP/P2QPPN1/1P1B1NP1/2KR3R w - -,g3f5
1rr3k1/2R2pb1/1p4p1/pN1P3p/1pN3b1/1P2P1P1/P6P/3R2K1 w - -,d1d2
4r1k1/p4pb1/1p1p2p1/2r4p/2PnB2P/3P2P1/P3NPK1/1R2R3 b - -,d4e2
r3k2r/pp2b1R1/2p1p2p/5q2/3B3P/8/PPP2PP1/R2Q1K2 b kq -,h8f8
rn1q1rk1/p1pp1pb1/1p2p1pp/8/2PP3P/2P2NP1/P3PPK1/R1BQ1R2 b - -,d7d6
1r2rbk1/1pqb3p/2p2np1/p1p1p3/P1P1P3/1PN3PP/2N2PB1/2RQR1K1 b - -,b8d8
2r2r1k/pp4b1/4Q2p/6p1/4P3/8/2q4P/3R2RK b - -,c2c4
4r1k1/3b1pp1/1q5p/p1rp4/2p1n3/Q3PN1P/PPR2PP1/3R1BK1 w - -,f3d4
1rbqk1nr/p3ppbp/2np2p1/1pp3B1/4P3/2NP2P1/PPP1NPBP/R2QK2R w KQk b6,d1c1
r4rk1/pbpnqpp1/1p2p2p/8/2BPP3/2P2N2/P3QPPP/R4RK1 b - -,d7f6
r1q1n1k1/4n1bp/p1p1ppp1/2Pp4/P2P1PP1/R1BN1P2/1Q3K1P/5B2 b - -,e8c7
4B3/n7/P7/6kp/6p1/6P1/5P2/5K2 b - -,h5h4
1r6/5kpp/3Kp3/2Pn4/3P2P1/1p6/1R5P/8 b - -,d5e3
r2q1rk1/ppp1bppp/8/3n4/2BP2b1/2P2N2/P2B1PPP/R2Q1RK1 b - -,c7c5
8/6R1/8/1p4P1/pr4Pk/5K2/8/8 w - -,g7g8
2rr2k1/1p2p1b1/1qpn2pp/p4b2/Pn1P4/1PN2NBP/1R2BPP1/2QR2K1 b - -,c6c5
2r1nrk1/1b1qbppp/p3p3/1p1pP3/2nP4/3Q1NP1/PP1N1P1P/RBB1R1K1 b - -,g7g6
7k/3b1p1p/1q2pp2/1p2P3/3r1P1Q/6r1/6PP/5R1K w - -,h2g3
7r/pp1kn3/1bn2pb1/1N4pp/PP1p4/3P1NP1/3B1PBP/2R2K2 w - -,f3e1
6k1/pp2qp2/6pp/8/1PBb4/5Q2/P2r1PPP/5RK1 b - -,d2b2
8/6k1/1R6/7p/5prP/8/7K/8 w - -,b6b7
r2qk2r/pb3ppp/1pnbpn2/2pp4/3P4/1P1BPN2/PBPNQPPP/2KR3R b kq -,e8g8
2r2rk1/1bqnbpp1/pn2p2p/2p1P3/2P1N3/P4N2/1BQ2PPP/3RRBK1 w - -,f1d3
5rk1/4nqbp/3p4/3Pp1p1/4P1P1/1P1BQ3/4KB1P/3N4 b - -,e7g6
r2q1r2/1p1nppkp/2bp2p1/p7/P3P3/1BNQ1P2/1PP3PP/R4RK1 w - -,d3d4
rn1qkb1r/pp1bpppp/8/1BpnN3/8/2N5/PPPP1PPP/R1BQK2R b KQkq -,d5f6
rr6/5pkp/3p4/pb2p2Q/6q1/PP4P1/3N1nBK/R3R3 w - -,e1e5
8/5k2/5p2/p1pPb1p1/P1P4p/7K/8/3R4 w - -,h3g4
r1b2rk1/pp3qp1/2n4p/3p4/5P2/1QbB4/PP2N1PP/R4RK1 w - -,e2c3
r1r1q1k1/1p1b2p1/p3ppnp/1PPp4/P2P4/1QR2N2/5PPP/4RBK1 w - -,c5c6
7B/8/3K4/3b1n2/4k3/8/8/8 w - -,d6c5
r4rk1/1p3ppp/p7/2b1nPP1/3qNB1P/3p4/PPP5/R2QRK2 w - -,f1g2
rnbqkb1r/5ppp/p3pn2/1pp5/3P4/1BN1PN2/PP3PPP/R1BQ1RK1 b kq -,c8b7:b8d7
rn2k2r/pp1bnppp/1q2p3/2b1P3/3p4/B2B1N2/P1PP1PPP/RN1Q1RK1 w kq -,a3c5
rr6/2p3bk/4p2p/p2p1ppP/2bP4/q1PNP3/3K1PPN/Q3R2R b - -,a3a1
1Q6/3q2kp/5p2/ppnP1p2/2p5/2P2B1P/6P1/7K b - -,c5e4
8/8/P2k2p1/5p1p/p2K1P1P/N5P1/8/5b2 b - -,f1a6
1qr2rk1/1bbn1ppp/pp1ppn2/8/2PNP3/2N1BP2/PP2B1PP/2RR2QK w - -,b2b4
1k3q1r/1p6/2p5/p1b5/P5p1/3N2P1/1PPR1PQp/7K b - -,c5b4
3q2k1/3b1pb1/1rnpp1p1/pR5p/2PpPP1P/P2P2PB/3B2N1/3Q2K1 b - -,b6a6
7k/p6p/4p3/4Pp2/1pPp1P2/1Pq2B2/2P1Q2P/4b1K1 w - -,f3c6
8/6p1/3k1b2/1P5P/3pKP2/1r1B2P1/2R5/8 b - f3,d6d7
1r4k1/2q2pbp/1r2p1p1/p1P1NnP1/P4P2/1P6/5QBP/1R3RK1 b - -,b6b3
rn3rk1/2q1pp1p/p5p1/1pPQb3/8/4B3/PP2BPPP/3RK2R b K -,b8c6
r4rk1/ppqbppbp/3p1npB/4n3/2B1P3/1NN4P/PPPQ1PP1/R4RK1 w - -,c4d3
5rk1/2rb3p/4p1p1/pp1p4/2nP1PP1/P5P1/1P6/1BBR2RK w - -,b2b3
r1b2rk1/2q1bppp/p2ppn2/1p2n1B1/3NP1PP/2NB1P2/PPPQ4/2KR3R w - -,c1b1
rn1qk2r/p3bppp/bp3n2/2pp4/3P4/1PN2NP1/P1QBPP1P/R3KB1R w KQkq c6,e2e3
3r4/4k3/1p4p1/p2Pb3/P4p2/1P2pP1P/4N1P1/3R2K1 w - -,g2g3
r2qr1k1/1b3pb1/1p2p1p1/p2p1P2/1n1P2P1/3BBN2/1PP4Q/1K1R3R b - -,e6f5
