6k1/4R2p/4pp2/pp1r4/8/1PP1K3/P6P/8 b - -,d5d1
2rq1rk1/pp1nbppp/6b1/1B1Q4/8/4BN1P/PP3PP1/3RR1K1 w - -,b5d7
1nB5/1P6/p2q1kpp/3p4/8/4Q1P1/P5KP/8 b - -,g6g5
rr2b2Q/2k2qp1/2p4p/p3P3/P1PN2P1/1P1P4/7P/1R3R1K b - -,f7g6
7R/8/1k1n1p2/2p1p3/4P3/qP3PP1/3Q2K1/8 b - -,d6b7
4r1rk/1bp4p/ppq1P3/5P2/P2p2N1/1P1R2N1/1RP1Q2P/6K1 b - -,g8g4
1r5r/1NR2p2/1p1P1kp1/4p3/4B3/5N2/6K1/8 w - -,e4d5
8/4k3/4r3/3Q4/3K4/8/8/8 w - -,d5c5
2br1rk1/p1q1npb1/1p1pp1pp/PP6/1BBpP3/3P4/2P1NPPP/RQ2R1K1 w - -,b1a2
3r4/1r2k3/Rp1p2p1/2pPp2p/2P4P/RPN1KPP1/2b5/8 w - h6,e3d2
2r1r1k1/1p2ppbp/p1np1np1/3N3q/P1P1P2B/1P1N1P2/6PP/1R1RQ2K w - -,g2g4
b1r2rk1/2q1bppp/pn1p1n2/Np2p3/4P3/P1N1BP2/1PP1BQPP/R2R3K b - -,f6d7
2k2r2/2rpqpQp/p5p1/2P5/3R4/4P1P1/P4P1P/3R2K1 b - -,e7c5
rn1q1rk1/pb3pbp/1p2p1p1/3P4/3Pn3/P1N2N2/1P1BBPPP/1R1QR1K1 b - -,e4c3
r1br2k1/ppp2pbp/3p2p1/8/2P3n1/2N3P1/PP2PPBP/R1B2RK1 w - -,c1g5
5n2/p1q3bk/2p3b1/N1Pp2pp/Q2P1p2/5B1P/P4PP1/4B1K1 w - -,e1c3
4r1k1/1p3p1p/p1r3p1/4p1B1/4P3/1P3P1P/P5P1/3R2K1 w - -,d1d7
r2qkb1r/pppn1ppp/3p1n2/4p3/5Pb1/4PN2/PPPPB1PP/RNBQ1RK1 w kq -,b2b3
r1bq1rk1/pppnbppp/3p1n2/8/2BNP3/8/PPP1QPPP/RNB2RK1 w - -,d4f5
r2qr1k1/pp2bppp/2n2n2/3p4/N2B2b1/4PNP1/PP3PBP/R2Q1RK1 b - -,a8c8
8/p1k5/2p2p2/2q4P/2P1Q3/3P4/P2bN1K1/8 w - -,e2g3
r4rk1/pp1n1ppp/2pp2b1/8/4PN2/1PqP1N2/1PP3PP/R4R1K w - -,b2c3
8/5p1k/6pp/1p6/2qP3P/2P1Q1P1/5P2/6K1 w - -,e3e7
8/4Rk2/2R5/1p5p/1P2PPr1/6P1/6K1/8 b - -,f7e7
2r3k1/p1rqbppp/bp1ppnn1/8/3PP3/PP3NNP/1BBQ1PP1/2R1R1K1 w - -,c2b1
r2q2kr/pp3pb1/2np2pp/8/Q2pPP2/3P2P1/PP1B2BP/R3K2R w KQ -,h2h4
4r1k1/pp3p1p/1q1n2p1/5p2/3Rn3/1NP3PP/PPB2P2/5QK1 w - -,d4b4
r4rk1/pp2b2p/4P1b1/q2R3p/8/1QN2N2/PP4PP/2K4R b - -,a5c7
r6r/1b2kppp/1R2pnn1/1B6/4PBPP/5P2/PPP5/2K4R b - -,g6f4
3q2k1/3Npr1p/2pn2p1/p2p4/3P2P1/1P2QP2/P4PK1/2R5 w - -,d7e5
5k2/1p1p1pp1/p4n2/2r4p/2PRp3/P3P2P/1P2BPP1/6K1 w - -,b2b4
2rr2k1/pb4pp/5p2/PP3n2/2pp1P2/BN3P2/6PP/R3R1K1 w - -,b3c5
3q2k1/pb3p1p/n2p2p1/3P4/2RNNr2/2Q4P/1P4P1/6K1 w - -,d4c6
8/8/n4k1p/8/4BPP1/5K1P/8/8 b - g3,a6c5
2bqr1k1/1p2pp1p/r1p3pb/8/P1Pp4/1Q1P1NP1/4PPBP/RR4K1 w - -,b3b2
n7/P7/3nkP2/8/6P1/1N1K3p/7B/8 b - -,d6f7
r4bk1/3n1p1p/r3p1p1/p1p1P1P1/NpN2P2/1PpP4/P1P1R1KP/3R4 w - -,e2e4
8/7k/7P/2r5/3pN3/5K2/3B4/8 b - -,c5c6
2b3k1/R5pp/1p1p3r/3Pp1q1/2P1Pp2/2PB1PnP/3B1Q1K/6R1 b - -,c8h3
r3qk1r/1p3p2/pN3p2/2b2b1p/7P/8/PPP3Q1/2KR1BR1 w - -,g2g7
rn1qkb1r/pb2pp1p/1p1p1np1/2p5/2P1P3/2NP1NP1/PP3P1P/R1BQKB1R w KQkq -,f1g2
r1b2rk1/pp3p1p/1q4p1/3p4/3Q4/1P2P1P1/P4PBP/R4RK1 b - -,b6d4
2r5/2q2kpp/b1r1p3/2npP2P/5P2/1P6/1P1RN1B1/1K1Q3R b - -,a6e2
rn3rk1/pbp2pp1/1p1p1q1p/4p3/3PP3/2PB1N1P/P1P1QPP1/R4RK1 w - -,f3h2
r4b1k/3Q2pp/3p3q/8/1P1B2RP/8/5PPK/8 w - -,b4b5
6k1/p5pp/8/3p4/3P4/1P5P/P4KP1/2r2N2 b - -,c1c2
2r2rk1/4bppp/pq2bn2/1p1Pp3/8/1N1B3P/PPPQNPP1/2RR2K1 b - -,e6d5
7r/3Pkpbp/p4pb1/4p3/2p1N3/P5N1/1P3PPP/3R2K1 w - -,e4d6
4r1k1/1bp1nppp/p4n2/RPP1r3/2PR3P/2N2P2/4BK2/2B5 b - -,a6b5
8/8/2R3p1/4k3/1p2p3/6P1/4BK2/1r6 b - -,b4b3
r1b2rk1/pp2bppp/1qnp4/3pP3/8/PN6/1PPBQPPP/2KR1B1R w - -,e5d6
rn1q1rk1/pp2bppp/2p1bn2/3pN3/3P1B2/P1NB4/1PP2PPP/R2QR1K1 b - -,b8d7
br3k2/3q1p1r/p1nN1Rp1/1pppP1Pp/3p3P/P2P2P1/1PPBQ2K/5R2 b - -,c6d8
r2q2k1/p4pbp/1p2r1p1/8/2pP4/1Q4P1/PB2PP1P/R3R1K1 w - -,b3c4
8/2r5/5pp1/5k1p/5NnP/6P1/4R1K1/8 b - -,c7c2
1r3k2/p4ppp/4p3/P7/4B3/6P1/R3bP1P/6K1 b - -,e2c4
r1bq1rk1/1p3pp1/p1nbpn1p/4B3/2BP4/2N2N2/PP3PPP/R2Q1RK1 w - -,d1e2
4r1k1/2q2pp1/2N5/1P2b3/3p3p/5QP1/1P3P1P/5RK1 w - -,f1e1
6k1/p1p1pq2/p5r1/2bPR3/7Q/P1P2N1P/1P4P1/7K w - -,e5g5
6k1/3b4/7p/5p2/3P1N2/6KP/3q4/2R2R2 b - -,d2d4
8/8/2p1kp2/1n2p3/1P4P1/1N2K3/8/8 b - -,e6d5
r1b1qrk1/p5bp/2ppnN2/4p1p1/2P1Pp2/3P1NP1/PB1Q1PBP/R2R2K1 b - -,f8f6
r1bqr1k1/1p2bp1p/1npp2p1/p1n5/P2NP3/BPN2Q1P/2P2PP1/R3RBK1 b - -,e7f8
2rr4/p3qk2/1p2ppp1/nP5p/2pPN3/Q1P2P2/P3R1PP/4R1K1 w - -,a3c1
r1bqk2r/pp1n1ppp/2pb1n2/3Pp3/8/1PN1PN2/PB1PBPPP/R2QK2R b KQkq -,f6d5
r1b1kb1r/1p1n1p1p/p3p1p1/3p2P1/P1NNBP2/4B2P/1PP5/R4RK1 w kq -,f4f5
2q3k1/1bN2ppp/3r4/2R5/Q2Pp3/4P1P1/P4P1P/6K1 b - -,g8f8
8/6k1/2b5/6P1/3rPK2/3N1B2/8/8 w - -,d3e5:d3c5
4r1k1/3q1p2/4r2p/3p2p1/2PPn3/Q3B2P/5PP1/2R2RK1 w - g6,a3a5
2r5/1q3pk1/2p1p1p1/1pPpP2p/1Pn2P2/2B1P1PP/Q3K3/R7 w - -,e2f3
2br2k1/2q2ppp/3Nnr2/p1p1p3/2B1P3/2P1QPPP/3R3K/3R4 w - -,d6b5
2rr4/p5kp/q1p1bpp1/3np3/2N5/1P4P1/PQ2PPBP/R2R2K1 w - -,d1d2
r3r1k1/pbqnbppp/1p2pn2/2P5/8/2P1BNN1/PPB1QPPP/R2R2K1 b - -,d7c5
8/r5kp/3p2P1/1RpPp1q1/PbP5/5QP1/2B2P2/6K1 b - -,h7g6
8/p3p1kB/3pP3/3P3R/P1pb2P1/8/1pK3P1/8 w - -,h7e4
2r2rk1/2qnbppp/p2p4/Np1Pp1Pn/8/4BP1B/PPPQ3P/2KR3R b - -,f7f5
rnb1k2r/ppp5/4p2p/3p1qp1/2PPN3/4bP2/PPQ1N1P1/1K1R1B1R w kq d6,c4d5
8/8/8/1k6/p7/8/1Bp1K3/1bRr4 b - -,d1d5
r3k2r/1ppq1ppp/p1nbpn2/8/2BP4/2N1PPB1/PP3P1P/2RQK2R w Kkq -,a2a3
7k/3bPqp1/3P3p/Q7/8/p4P2/7P/4R2K w - -,a5a3
