8/5nB1/p3k1p1/P7/5KPP/8/8/8 b - -,f7d6
8/8/1p3k2/3Pp1p1/2b1P3/P4BK1/8/8 b - -,c4b5
5qk1/7p/2r1p1p1/3p4/2pQ4/7P/PP2RPP1/6K1 w - -,d4e5
r1b3k1/1pqn1pbp/p2p2p1/2pP2B1/Pr4P1/5N1P/1PQ1PPB1/R4RK1 w - -,a1a2
5k2/4R3/6p1/8/5K1P/2r5/6P1/8 w - -,e7e5
2rq1rk1/pp2bppb/4pn1p/3p1P2/Pn2P2N/1P1P2P1/1B1N2BP/R2Q1RK1 w - -,e4e5
r2q1rk1/pp2bppp/2bp4/2pn4/4PP2/1N2BQ1P/PPP3P1/R4RK1 w - -,e4d5
b3r1k1/5pb1/pn4p1/Nq5p/1P6/P1pN2BP/Q4PP1/3R2K1 w - -,d3c5
5rn1/2qp1r1k/1p1b2p1/p1pPBp1p/P4P2/2Q1R1PP/1P2RPB1/6K1 b - -,c7b8
8/1p6/p1R5/P4kpp/8/4P1P1/1P2r1KP/8 w - -,g2f1
rnb1qrk1/ppp3pp/3p1n2/4ppB1/2PP4/P4P1N/1PQ1P1PP/2KR1B1R w - -,e2e3
8/3R4/4r1p1/3p1p1p/3k1K1P/6P1/5P2/8 w - -,f4f3
r2q1b2/pp3Q2/3k1p2/3ppb2/3n4/8/PP1N1PPP/R1B2RK1 b - -,d8e7
r3k2r/pp1q1ppp/2n1p1n1/3pP3/3P4/1PN2N2/P3QPPP/R4RK1 w kq -,c3a4
2b3k1/1rn1q3/1r1p1p1p/pNpPp1pP/PnP1P1P1/2QBNPK1/8/R6R b - -,c7a6
1b1rr1k1/pp4pp/2q2p2/2p2P1N/P1P1p1PP/1PBnP2K/8/R2Q1R2 w - -,d1c2
3rr3/1p2b1kp/p1pp1p1n/7p/2P1PP2/1P3KP1/PB1R1N2/3R4 w - -,d1h1
1k1rr3/pp3p1p/5P2/2pp4/3PnR2/1PP3P1/P4KBP/2R5 w - -,g2e4
q5k1/p2b1pp1/3p1n1p/4pP2/PPPpP1P1/7P/2QB2K1/R7 b - -,f6e4
8/8/4k3/7P/4KPP1/8/8/r7 w - -,e4e3
7k/2r1q2p/5p2/p1N2Pr1/1n2p3/2RbNQ2/6PP/2R4K w - -,f3f4
r2r2k1/pp4pp/2p2p2/8/2R1PP2/PnN1K3/1P4PP/R7 w - -,a1d1
8/3n1p2/p1k1p1pp/1p2P3/1P1KNP2/P5PP/8/8 b - -,c6c7
3r2k1/1p1r1ppp/p3bn2/3p3q/3R4/P1N2PP1/1P1QP1BP/5RK1 b - -,h7h6
r5k1/pR3pbp/4r1p1/3n4/8/5N2/P2B1PPP/2R3K1 b - -,e6a6
8/8/8/2k3Bp/2P5/p7/1bK5/8 w - -,c2b3
r2q1rk1/p4pbp/1p1p1np1/n1pp4/2P1P1b1/4NN2/PPQ1BPPP/R1B2RK1 w - -,e3g4
r4rk1/pq1n1ppp/4p3/1p6/3PpPP1/1P2P3/PBP4K/R2Q1R2 w - -,c2c3
2kr3r/pp1n1p2/2p1pn2/q6p/1b1P4/1BNQ3p/PPP2PPB/1K1RR3 w - -,g2h3
8/6pk/1R4p1/6P1/r6P/5PK1/8/8 b - -,a4a1
8/pB4k1/3P2p1/8/P7/2bq2P1/7P/6QK w - -,g1a7
5rk1/3R4/p2p4/3n4/6p1/1N1B2P1/Pb3PK1/8 b - -,d5c3
r3r1k1/ppqn2bp/2pB1np1/4p3/2P1Ppb1/1PN2NP1/P1Q2PBP/3R1RK1 b - -,c7a5
2q3k1/pp2ppbp/4b1p1/3p4/3P1B2/6P1/PP2PPBP/2R3K1 w - -,c1c8
r1bq1rk1/1p2bppp/p1n1p3/3pP3/3PnB2/P1NB1N2/1P3PPP/R2Q1RK1 b - -,f7f5
r4rk1/p3ppbp/bnp2np1/8/3PN3/1R1BBP2/P1PqN1PP/5RK1 w - -,e3d2
1r1q1rk1/pp1bppbp/3p1np1/8/3NP1P1/1nN1BP2/PPPQ3P/2KR3R w - -,c2b3
rnbqkb1r/1p3ppp/p3pn2/2pP4/P2P4/2N1PN2/1P3PPP/R1BQKB1R b KQkq -,e6d5
r1bq1rk1/pp1nbppp/2n1p3/2ppP3/3P3P/2P2NP1/PP2QPB1/RNB2RK1 b - h3,b7b6
1r2r1k1/p1qp1p1p/p1bR1pp1/2P5/3QP3/2P2N2/P1P2PPP/4R1K1 b - -,b8b2
1r4k1/1r6/3p1p1n/p1p1q1pP/2p1P3/2P2P2/PP1RNQ2/1K3N2 b - -,e5e8
r1r3k1/3n1pp1/4qnb1/pp2p3/4P1P1/PP3P2/1BP1Q1B1/R1R2NK1 b - -,a8b8
1n3r2/6kp/br1pB1p1/p2P4/1p2Np1P/8/PPP2R2/2K2R2 w - -,f1g1
3r4/1pp1npk1/p2rn3/4p1q1/1P2P1N1/2P1R1P1/P1B2P2/R4QK1 w - -,g4h2
8/7R/3k1p2/p2p4/2bP4/K1P5/P4r1p/1B6 b - -,c4e2
5q1k/1p2r3/p3p2b/3pPp1Q/5P2/4PN1P/5P1K/6R1 w - -,f3h4
4r2k/1pq2bpp/2pp4/p1n1bP2/2P2B2/1PN3PP/P2Q2B1/4R1K1 b - -,e5f4
2r3k1/1Rp2p2/3r1Pqp/3PQ1p1/p7/4P1R1/P4PKP/8 w - -,g3f3
r1bq1rk1/pppn1pbp/3p1np1/4p1B1/3PP3/2P2N2/PP1NBPPP/R2QK2R w KQ e6,d4e5
r2qr1k1/pp1nbp1p/2p2npB/4p3/3P3Q/3B3P/PPP1NPP1/R4RK1 w - -,d3c4
6k1/5pb1/3p2p1/8/qpbnPNP1/4B2P/5QB1/6K1 b - -,a4d1
r1bqk2r/1ppnbppp/4pn2/p7/4N3/PP6/1BPPQPPP/R3KBNR w KQkq -,f2f4
r4rk1/1p2q2p/2bpp1p1/p1n1bP2/2P5/1PN1BP2/P1RQ2PP/1R3BK1 b - -,f8f5
2b1k3/4rpp1/1pB1p2p/pP6/P1P2P2/5KP1/7P/3R4 b - -,c8d7
8/r7/4k3/5R2/4P3/4K3/8/8 b - -,a7a1
8/p4R2/1p6/1P2b1p1/4k2p/7P/2r1B3/5K2 w - -,f7a7
8/7p/p7/2bpB1kP/6P1/1P3P2/5K2/8 w - -,f2g3
2brr1k1/p1q2p1p/1pp2bp1/4p3/PP1nP3/2N2NPP/1QP2PB1/3RR1K1 w - -,f3h2
r7/p4kp1/1r2R1P1/1p5p/5N1P/5PK1/P7/8 b - -,f7g8
1rb2rk1/5Rpp/pp2p2n/2q3NQ/8/6P1/5PBP/3R2K1 w - -,f7f8
1k1rr3/pp3p1p/5P2/2pp4/2nP1R2/2P3PB/PPR2K1P/8 b - -,c4e3
1kr3r1/pp1bqp1p/2n2n2/1N6/1P4pN/P3P3/1Q2BPPP/3R1RK1 b - -,f6e4
1k4r1/1b1nbp2/ppq1p1rp/P1ppP3/2PP1p2/BP3N2/R2NQ1PP/2R4K w - -,c1g1
k1r5/p2n1pp1/q2Bp2p/Prp1P2P/5P2/R4Q2/1P4P1/1KR5 b - -,a6b7
r3kb1r/pp3ppp/bqn1p2n/2ppP3/3P1P2/N1P2N2/PPB3PP/R1BQK2R w KQkq -,b2b3
3rqrk1/pp4pp/2n1b3/2P1p3/8/1P2NPP1/P3P1BP/R3QRK1 b - -,e8e7
5r2/p4nk1/bp4p1/8/5R2/1Br3N1/P5PP/3R3K w - -,f4a4
rn1q1rk1/pb2bppp/1p3n2/2pp1N2/8/P1N3P1/1PQ1PPBP/R1B2RK1 b - -,b8c6
5rk1/1p5p/3p1q2/3Pbb2/1PR3p1/4B1N1/6PP/2Q3K1 w - -,c1d2
r2qnrk1/1p2bppp/p1n1p3/2ppP3/5P2/2NP1N2/PPP1Q1PP/R1B2RK1 w - -,g1h1
4r1k1/1q4bp/1p3pp1/2p5/2R5/1P3NBP/P4PP1/3Q2K1 w - -,c4c2
8/5P2/2k3K1/7p/8/6P1/7P/2q5 w - -,f7f8q
1r3rk1/2q2ppp/3pbb2/p7/1p2P3/1P1BBQ2/P1P4P/1R3R1K b - -,f6e5
8/2r3kp/p5N1/4p2P/P1n5/1QP2N2/1P1pK1P1/7q w - -,g6h4
8/8/5p2/p4kpp/Pp2p3/1P2PPP1/4K1P1/8 b - -,f5e5
r2qk2r/pp1nbpp1/2p1pn1p/3p1b2/2PP1B2/4PN1P/PP1NBPP1/R2Q1RK1 b kq -,e8g8
1r4k1/1r3ppb/p4p1p/8/n1pPPNP1/q1P1RQ1P/P1B5/4R1K1 w - -,f3d1
3r1r1k/1pp2q1p/3b1pp1/p1n5/P2B3Q/2P5/1PB2PPP/R2R2K1 b - -,c5d7
r1b1kb1r/pp3p2/1qp4p/3pn1p1/8/3BP1P1/PPPN1PP1/R1Q1K1NR w KQkq -,g1f3
8/4kppp/4p3/2n1K3/8/P3P3/2N3PP/8 w - -,e5d4
r1bqk1nr/pp1nbppp/2pp4/4p3/2BPP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,c4b3:e1g1:a2a4:d4e5
r2qk1nr/pp3ppp/2pbpn2/8/3P4/5B1P/PPP1NPP1/R1BQK2R b KQkq -,g8e7
r5k1/1pq2pb1/2ppr1pp/p3n3/2P3P1/2B3PP/PP2QPB1/3RR1K1 b - -,a8e8
rn1q1rk1/pb1pppbp/1p3np1/2p3B1/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQ -,h2h4:a2a4
2r1r1k1/3q3p/1p4p1/1P1p3P/1Bn1p3/2PQ2R1/2P2PP1/4R1K1 w - -,d3d4
