8/5k2/1R6/1p3rp1/1P4K1/8/8/8 b - -,f5e5
r4r2/pb1nqpbk/1ppp1npp/4p3/2PPP3/1PN1B1PP/P2QNPB1/R2R2K1 w - -,d4d5
3r4/6k1/2p2qp1/2P5/3pR3/3Q4/4KP2/8 b - -,d8d7
1Nb5/2k4p/p2bp1p1/1B1p1r2/1P1P1PKP/2R1P3/2R5/8 b - -,c7b8
2b1rrk1/1pp3bp/3p2p1/p1q1pp2/2P2P2/PP1PP1P1/1BQ4P/1N2RRK1 w - -,c2f2
3rr1k1/2qnpp1p/pp4p1/8/2P4P/1P3NP1/P3QP2/3RR1K1 b - h3,d7f6
4rr1k/1Pp3pp/2Ppq3/p3p1n1/6nN/B3PpP1/P1Q2P1P/2R2RK1 w - -,c1b1
2rr2k1/1p3pp1/2n1p2p/pNn1P3/P2P1P2/1P2R1P1/3N3P/R6K b - -,c6d4
5r1k/6b1/7p/1N6/P3P1P1/6q1/1P2Q3/R3K3 w - -,e1d1
8/5kp1/7r/4R3/5PKP/8/8/8 b - -,h6b6
5rk1/p5pp/2pp4/8/5qN1/1PP1b2P/P1Q3P1/3R3K w - -,g4e3
4rr2/1p1b1pbk/1q1p1np1/p1nPp1Bp/4P2P/1P3PN1/P2QB1P1/2RN1R1K w - -,d1b2
r1b1k2r/pp1n1ppp/2p1pn2/q2p2B1/1bPP4/2N1PN2/PPQ2PPP/R3KB1R w KQkq -,g5f6
1r3rk1/p1q1p1b1/2p4p/3bPp2/6pP/1PQ5/P2B1PPN/R3R1K1 b - -,e7e6
1nr5/r1p2pkp/pp4p1/4b3/P7/7P/1PP1BPP1/R1B2RK1 w - -,f1d1
6k1/p5p1/6np/3R4/2N4P/6P1/r4P2/6K1 b - -,g6e7
r2q2k1/p4pb1/b2p1npp/2p3N1/5P2/2P2B2/PPQ3PP/R1B3K1 b - -,h6g5
2r1r1k1/p1q2ppp/b1P1p3/1p1nN3/8/QN4P1/P4PBP/1R2R1K1 b - -,f7f6
8/5ppk/1p5p/p7/P2R4/6PP/1nr2P2/4K3 b - -,c2c4
2rr1k2/3n1pbp/8/p1pNP1p1/2p1PP2/4B3/PP5P/1K2RR2 w - -,e5e6
1r2k2r/p3pp1p/p5p1/3q1b2/8/5P2/PPP1N1PP/R1Q1K2R w KQk -,e1g1
5R2/8/5k2/7p/5p2/4b2P/5rP1/6K1 b - -,f6g5
1b3rk1/1p2pp1p/r3q1p1/p1p4n/2P4P/2BB1R2/PP2Q1P1/3R1NK1 b - -,e6g4
4r1k1/pp3pp1/2n4p/3q4/3p4/P2P2BP/1PQ2PP1/5RK1 w - -,f1c1
r1b1kb1r/pp1ppp2/1nn4p/8/8/2P2N2/PP2BPPP/RNB1K2R b KQkq -,f8g7
r1b2rk1/pp2pp1p/1qnp2pb/3n4/3P4/2P2NBP/PP1NBPP1/R1Q2RK1 b - -,b6d8
5k2/2R3p1/4p2p/7P/6P1/4PPK1/r7/8 b - -,a2a4
1rb4r/1p1p1kpp/q3p3/1Nb1Pn2/2P5/1Q4P1/PP2P1BP/R4RK1 w - -,g1h1
8/2R2k2/r6p/3P2p1/3P2K1/5PP1/8/8 b - -,f7g8
8/3kb3/2n4R/p1P1p1p1/3pP2P/6P1/4K3/8 b - -,g5h4
5nk1/p5p1/1b3P2/3bP3/3p4/6BP/1qB3PK/3Q4 w - -,f6g7
8/8/4p1kp/3pP1b1/3P1rP1/3R2NP/6K1/8 b - -,g5h4
r1b1r3/ppq1n1kp/3bpppn/2ppN3/3P1PPB/2PBPN2/PP3R1P/R2Q2K1 w - -,h4f6
1qb2rk1/2nnppbp/p2p2p1/2pP4/P1N1PP2/2N5/1P2B1PP/3QBRK1 b - -,a6a5
r4rk1/pbppq1pp/1pnbpn2/8/N1P1P3/1P4P1/PB2NPBP/R2Q1RK1 b - -,e6e5
r1b2rk1/1p2ppbp/pn4p1/q1p5/3PP3/1QPB4/P3NPPP/1RB2RK1 b - -,b6a4
3r2k1/p4ppp/1p2p3/8/8/nPN3P1/P3PPKP/R7 w - -,a1d1
6k1/1bq1bppp/pB2p3/1p6/2p1PP2/P1P2P2/1P1r1Q1P/2N3K1 w - -,b6c7
r1r2bk1/p1B1p2p/p4pp1/1bRP4/8/1P2PN2/P2K1P1P/6R1 b - -,e7e5
4B3/2k5/pp6/6p1/PPK3P1/2P5/3b4/8 w - -,e8f7:e8g6
r5k1/pp2Rr2/n2p3q/2pP1P1N/2P4P/PP6/4Q2K/6R1 b - -,g8f8
2kr1b1r/pp3ppp/2n1b3/8/8/2B5/PP1NBPPP/R4RK1 b - -,f8b4
2b3rk/1pp5/p2p1q1p/N1PPp3/1P2P3/2R2Pp1/P3R1Pr/2KQ4 w - -,a5c4
R7/1p2kpp1/4p1p1/1P1pn3/6P1/4P2P/1r6/5BK1 b - -,e5f3
r2n1rk1/pppq2bp/3pbnp1/3Npp2/2P1P3/3PB1PP/PP1QNPB1/R3K2R w KQ -,d2a5
2rq1rk1/1b2bp1p/p1n1pnp1/6B1/Np1P4/P2Q1N2/1PB2PPP/3RR1K1 b - -,f6d5
3rq1k1/2p1rpp1/p4n1p/3bp3/8/P1PPBN1P/1P3PP1/R2QR1K1 w - -,e3c5
rnbqkb1r/ppp2ppp/5n2/3pp3/3PP3/2PB4/PP3PPP/RNBQK1NR w KQkq -,d4e5
2k5/1pq3pp/3R4/4r3/P2QP3/5p2/4b1PP/1R4K1 b - -,e5g5
r2r2k1/1pp3p1/p1n1pb1p/P1B1p1N1/2N1P3/2P4P/1P3PP1/R3R1K1 b - -,f6g5
rnbq1rk1/pp4pp/2pbpn2/3pNp2/3P1B2/2N1P3/PPP1BPPP/R2QK2R w KQ -,e1g1
r3rqk1/2p2pp1/3p1n2/2p3p1/pP2b1P1/P1Q1P2P/5P2/B1R1RBK1 w - -,b4c5
5k2/5n1p/2R3p1/3P1p2/5P1P/6P1/3r2B1/6K1 w - -,g2f3
2kr3r/ppq2p1p/2p3b1/3p1p2/3P1P2/6P1/PPP1Q1NP/2KR1R2 w - -,f1e1
3r4/2q2pk1/p2p2p1/1p1Rp2r/7p/4QP1P/PPP3P1/1K1R4 b - -,h5f5
1R6/8/2BpKp2/k2P4/2p4r/p7/8/8 w - -,e6d6
3qrbk1/1r3p1p/3npnp1/1p1pN3/3P4/1QP1N2P/1P3PPB/3RR1K1 w - -,d1a1
rnbqkb1r/pp2pppp/8/2p5/3P4/2P5/P1P2PPP/R1BQKBNR w KQkq c6,g1f3
5k2/1p3p2/pr3np1/3p2p1/8/1PP1N1PP/P3RP2/5K2 b - -,b6c6
5rk1/4b2p/3p2p1/p2P1pPn/1P2qN1P/3QB3/PPr5/K5RR b - -,h5f4
rn1qk1nr/pbpp1ppp/1p2p3/6B1/1bPP4/5N2/PP2PPPP/RN1QKB1R w KQkq -,b1c3
N4rk1/1p3pbp/p5pn/4P3/8/7P/PPb3P1/R1BNK2R b KQ -,f8a8
r1b2rk1/p1q1ppbp/2p3p1/8/8/1QP3P1/P3PPBP/R1B2RK1 w - -,c1f4
r1q2rk1/pp2p1b1/2pnb2p/5Pp1/2PP4/3Q1NBP/P3NPP1/2R2RK1 b - -,e6f5
8/2q4k/1b1pp1rp/p3p2Q/1pP1P2R/1P4P1/P4PK1/4N3 b - -,c7g7
r3k2r/1b1n1pp1/pqn1p2p/1pBpP3/8/2PB1N2/PP3PPP/R2QRNK1 b kq -,d7c5
2rq1rk1/p3bppp/1p2p3/3b4/3P4/PQ2PN2/1P2B1PP/2R2RK1 w - -,b3d3
2rr4/4b1kp/pq2Ppp1/1p6/1P4nP/P2p2B1/B2Q1PP1/2RR2K1 b - -,c8c1
2rqkb1r/1p1n1p2/p1p1p1p1/2PpPn2/3P1P1p/1P1B1Q1P/P3NBP1/R4RK1 b k -,d8e7
rnb2rk1/1p2q2p/p2p2p1/2pPN2n/P7/2NQ3P/1P2BbPB/R4R1K w - -,e2h5
4R3/8/8/8/8/1k1K4/4p3/3b4 b - -,b3b2
2kr2nr/ppp1ppbp/2n3p1/8/4P1b1/5PP1/PPP1N1BP/RNBK3R w - -,d1e1
8/pp3kb1/8/Pp4Q1/1Pb3pP/5pP1/4qP2/5NK1 w - -,g5f5
3rrbk1/1pq2ppp/1nb2n2/p1pNp3/P1P1P3/1P1B1N1P/1BQ2PP1/R3R1K1 b - -,c6d5
r3qbkr/pppn2p1/6p1/3Bp1Pp/3P3P/4PQ2/PPP2P2/R1B1K2R b KQ -,g8h7
2r3k1/1pqrppbp/p5p1/8/P3Q3/3R1n2/3B1PPP/4R1K1 w - -,e4f3
8/7p/k7/P4K2/4nP2/4N2P/8/8 b - -,e4f2
8/2p1rpk1/3p2p1/1PpP2qp/4B3/1PPQ3P/5PP1/R1b2K2 b - -,h5h4
3r1rk1/1p4bp/p3bpp1/3pn3/Pq6/2N3BP/1PPQBPP1/1R1R2K1 b - -,d5d4
2bq2k1/6pp/pp1p1R2/8/PP2P2Q/2N5/1P4PP/6K1 b - -,g7f6
3q2k1/5pp1/pb5p/Ppp1p3/4P1Pn/2PrB1N1/1P3PP1/R3Q1K1 b - -,b6a5
1n6/p4kp1/1pB1p2p/4Pp2/3P1P2/P7/4K1PP/8 w - -,d4d5
r1bq1rk1/pp3pb1/3ppnp1/2pP4/2n1PP1p/2N1B3/PP2B1PP/R2QKN1R w KQ -,e2c4
8/2p5/p1K1k3/4Pb2/PP3Rp1/2B4r/5P2/8 w - -,c3d4
rn1q1rk1/p4ppp/1p2pb2/2p5/3PP3/2P2NP1/P4PKP/R1BQ1R2 b - -,b8c6
8/3B1k2/2np4/6P1/4PK2/8/8/8 b - -,c6e7
r1b2rk1/pp2n1p1/3q2np/2p2pNQ/2Pp4/3P2P1/PP3PBP/R1B1R1K1 w - -,g5h3
