8/8/6p1/Rp6/4nk2/P3N3/5r2/6K1 w - -,e3f1
8/3B2pp/1p1n1p2/p1bk4/P7/5PP1/1B2K2P/8 b - -,d5c4
3r1k2/2R5/1p1P4/2r1p1p1/p3N3/P7/1b4KP/3R4 w - -,d1f1
3Qb1k1/5q2/K4P1p/5P2/1P6/8/8/8 b - -,f7d7
2kr3r/pppb1pp1/1b6/7p/1P1pP3/3P2qP/P1PB2B1/1R1Q1R1K w - -,d2f4
r3k2r/p1qbbppp/4p3/1p1pP3/n1nP3P/PQP2NP1/3N1PB1/R1B1R1K1 w kq -,d2b1
8/p1p1rpkp/1p1r2p1/3p4/3Pn2P/4P1P1/PP2NPK1/2RR4 b - -,h7h5
r4rk1/1pp3q1/3p1n2/3Pp3/1PP2n1B/2N2R2/2BQ2PP/6K1 b - -,a8a1
r2q1rk1/pp1n1ppp/5nb1/3pp3/1P6/P2P2P1/1B1NPPBP/R2QR1K1 b - -,a8c8
2r2r2/1b2ppkp/pq1p1np1/1p6/2B1PP2/PNN4P/1PPQ2PK/4RR2 b - -,c8c4
8/1p6/3k1bp1/pP1p4/5PP1/2PN4/1K1n2B1/8 b - -,d2e4
1r1q1rk1/1p1bppbp/p2pn1p1/2p5/PPPnPP2/2NPB1PP/4N1B1/1R1Q1RK1 w - -,f4f5
8/5Rpk/2b4p/p7/6P1/4PNK1/r4P1P/8 w - -,f3d4
4r3/4r3/2k2p2/7Q/3P1P2/1P4P1/P4K1P/8 w - -,h5c5
8/8/6p1/1R2kb1p/5p1P/5P2/r5PK/8 b - -,e5d4
8/5Q2/B2N3p/3Ppbk1/6p1/1P6/4K3/2q5 b - -,c1c2
r1b1R3/pp3pkp/3b2p1/2p5/8/6P1/PPPB1PBP/6K1 b - -,a8b8
r1b1kb1r/1pqp1ppp/p3p3/8/P1Bpn3/3P4/1PP1NPPP/R1BQK2R w KQkq -,d3e4
6k1/8/3p4/3Pp1pp/2b1Pp2/P1Pp1PPq/1Q5N/7K b - -,d3d2
4k3/5pp1/4p2p/2B1P3/b3B3/5PK1/2N1r1P1/8 w - -,c2d4
5rk1/1b3pp1/5q2/p3p1p1/PpB1P3/3Q3P/1P3PP1/3R2K1 b - -,f6f4
rn1qkb1r/1p3pp1/p2pbn2/4p2p/4P2P/1NN1BP2/PPP3P1/R2QKB1R b KQkq h3,b8d7
r3kb1r/p1ppqppp/b1p5/3nP3/2P5/6P1/PP2QP1P/RNB1KB1R b KQkq -,g7g6:e7b4
7k/2p3p1/1p3Q1p/p7/P7/1P4P1/7P/5K2 b - -,g7f6
r1b2rk1/pp2qppp/2p1nn2/3p4/1P1P4/2NBP3/P3NPPP/1R1Q1RK1 w - -,a2a4
r3nrkb/3q1p1p/1p2p1p1/p2pP1P1/2pP1P1Q/2P5/PP5P/R1B1NRK1 b - -,e8g7
q4bk1/3n1pp1/pp2r2p/3b4/1PB5/PQ2BP1P/3N1KP1/2R5 b - -,d7f6
rq1rb1k1/pp2npp1/2n1p2p/1N6/3Pp3/P2B1N2/1P2QPPP/2R2RK1 w - -,e2e4
rn1qk1nr/1bppppbp/p5p1/1p6/3PPP2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,f1d3
4r3/1pb2qpk/p6p/5p2/2rBp3/6Q1/P4PPP/3R1R1K w - -,g3b3
r1b2rk1/pp1n1ppp/2p5/3p2q1/3P4/2N1PB2/PP3PPP/R2QK2R w KQ -,e1g1
8/8/5kp1/3Krp2/p6P/R7/8/8 w - -,d5d6
8/4R3/6kp/3NP3/3B2P1/3n4/r4PKP/1r2bR2 b - -,b1b5
8/3k1Bn1/p5P1/3KPb2/7P/8/PP6/8 b - -,g7e6
r3N1k1/ppn1Bp1p/2p1b1p1/8/3b4/1B6/P4PPP/2R1R1K1 b - -,a8e8
r2r2k1/1bq1bpp1/pp2pN1p/n7/P1pN4/2PP4/1PQ2PPP/2BRRBK1 b - -,e7f6
8/3n4/P7/6p1/rK1R4/6k1/8/8 w - -,b4a4
2krr3/1p3ppp/pRp2n2/8/2PP2b1/q4N2/P1Q1BPPP/5RK1 b - d3,g4f3
8/5pkp/3p2p1/4p3/2P1P3/1p1K1P2/6PP/B1b5 w - -,d3c3
2r2rk1/1p4bp/1q1ppnp1/p2p4/P2P1PP1/1PP5/3B1N1P/3QRRK1 b - -,c8e8
8/1p1n1pp1/p1k1pnp1/2Np4/3P4/3BP2P/PP1K1PP1/8 w - -,c5a4
8/4pk2/3p2p1/p1rP1pPp/Pp5P/1Pr2PK1/2PRR3/8 b - -,c5c8
5k2/5p2/3p1p2/3BpP2/4P2P/2p2q2/P7/1KR5 w - -,a2a4
2kr3r/1pqb1ppp/p2bpn2/8/2QN4/1BP4P/PP3PP1/R1B2RK1 b - -,h7h6
R7/4pp2/P2pk1p1/7p/8/5PPP/3KP3/r7 b - -,a1a2
5r1k/1p2R2p/2p3p1/4P3/P2b2P1/6N1/P5KP/8 b - -,h8g8
5k2/pr3ppp/R1p1b3/3p4/8/1P5P/P1P1BPP1/6K1 b - -,b7c7
2b2rk1/2Pq4/pR1p4/3Pp3/4P2B/5P2/2KN4/R7 b - -,d7c7
r2r4/1p2kpp1/pn2p2p/4P2P/1PqNR3/6Q1/2P2PP1/R5K1 b - -,e7e8
8/2R2k2/5bpp/1P3p2/4pN1P/6P1/3r1PK1/8 b - -,f7e8
6k1/5pp1/r7/3pb3/1B4pP/1P4P1/5PK1/3R4 w - -,d1d5
r4rk1/1pq2pbp/p1b1pnp1/n1p5/2P2N2/1PN1P1P1/PB3PBP/R2Q1RK1 w - -,d1e2
2r1r1k1/pp2bpp1/1qn3p1/3p4/3P4/5P2/PP1QBBPP/R4RK1 w - -,e2d1
4r2r/pp1n2kp/2p2nb1/5N2/q2P4/2P1BQP1/PP3PP1/2KR3R b - -,g6f5
3rq1k1/5pp1/6p1/1p1P1b2/1P2r3/6QP/PB4PK/1R3R2 w - -,f1f5
r1bq1rk1/ppp1bppp/8/3pP3/8/3B4/PPPB1PPP/R2Q1RK1 w - -,d1h5
8/8/3Bpk2/1r4p1/4K3/6P1/4PP2/8 w - -,g3g4
8/5p1k/2p2Qp1/p6p/2q2P2/6PK/8/8 w - -,g3g4
r4r1k/pb4p1/3pqnBp/1Pp5/2P1pBpP/4P3/P1Q2PK1/R6R b - -,f6d7
rn3rk1/p1p2ppp/1p2pq2/8/Q1pP4/2B3P1/PP2PPKP/R4R2 b - -,f6f5
1k5r/1p6/p2rp3/n2N1p2/P4R2/5B2/1P3P1P/2R4K b - -,e6d5
r4rk1/ppp2pp1/2nb2qp/3Np3/3pP3/2PP1QPP/PP3PB1/R4RK1 w - -,f3f5
1r6/2p5/3pk1p1/2p3Pn/1rP3N1/1P1RKP2/8/1R6 w - -,e3d2
3q1rk1/1p3pp1/p4b1p/3Q4/2r5/P3PB2/1P3PPP/2R2RK1 b - -,c4c1
r2q1rk1/pb1nppbp/1p3np1/2p5/3P4/1BN1PN2/PP1B1PPP/R2QR1K1 w - -,d4d5
rn2k2r/ppp2ppp/4pn2/3p4/5P1q/1P1PPQ2/PBP3P1/RN1K1B2 w kq -,f1e2
2r2r1k/1pp3pp/p2p4/2PPp2n/8/4B2P/PPR2PK1/2R5 b - -,c8b8
1r3rk1/1b1qnpbp/pp1p2pB/2p1p3/P1P1P2N/1nNPQ1P1/1P3PBP/1R2R1K1 b - -,b7c6
r3nbk1/1pp2pp1/7p/1P1P4/2N5/4q1P1/5PBP/2R3K1 w - -,c4e3
1r3rk1/1b2ppb1/nq1p2p1/p1p3P1/3PPP2/2P1B2p/PP1QN1B1/2KR3R w - -,h1h3
r5k1/2q1ppbp/3p2p1/1P1P2B1/n1p1P3/4QN2/2P2PPP/5RK1 b - -,a4c3
8/5k2/6RK/4r1p1/5nP1/5P2/8/8 w - -,g6g5
2r3k1/r3bpp1/p1n1p2p/1q1n4/2p3P1/2P3BP/PPQRNPN1/R5K1 b - -,a7b7
r4rk1/pp3pp1/2n2b1p/q1P1pb2/8/4B1Q1/P2NBPPP/2R2RK1 w - -,e3h6
6R1/8/8/4r1k1/6p1/7p/5P2/6K1 b - -,g5f4
1rbr2k1/1p2qppp/1Npp4/p5Pn/4Pn2/P1N1QP2/1PP4P/2KR1BR1 w - -,h2h4
1r4k1/1p2rp1p/1q1p1bp1/1P1B1p2/1Q1P4/6P1/P4PKP/2RR4 b - -,b8a8
2N5/6kp/4pb2/4n1P1/1p6/1P2B3/P3K2P/8 b - -,f6d8
5k2/4p2p/p5p1/2P2bb1/PP2p3/1P5r/3N4/2R1B1K1 w - -,c5c6
8/3q2k1/3p2p1/4N1bp/4P3/2K2P2/6PP/8 w - -,e5d7
r4rk1/pp1q2bp/6p1/2pPpp2/2PN4/P2P4/5PPP/1RBQ1RK1 b - -,c5d4
r1bqk2r/pp1nbp2/2p1p3/6pp/2PPp2P/5NP1/PPQ1PPB1/R1B2RK1 w kq -,f3g5
r1bqk2r/pp4bp/2n2np1/3pp3/6P1/2P1B3/PPQ1BP1P/RN2K1NR w KQkq -,h2h3
r1b3k1/6pp/1pn1pr1n/1N1p4/8/6PB/PPP4P/1K1R2NR b - -,h6f7
3q1rk1/3bn1bp/p2p1n2/1p1Pp1p1/1P2Pp2/5P2/PN2BBPP/2Q1NRK1 w - -,e1d3
