5b2/7k/4KP2/8/3B2R1/8/3r4/8 b - -,d2h2
8/8/3p1p2/2kP1K2/4BP2/8/5r2/8 b - -,c5c4
r2qr1k1/pp3ppp/2pbbnn1/8/2PP4/2N2N1P/P1Q2PP1/R1BR1BK1 w - -,c1b2
r2r3k/6p1/2p4b/2P2P1Q/1p6/1B5P/P4n2/R6K w - -,h1g1
3b4/4k3/6K1/3R3p/5B1P/1r4P1/8/8 b - -,d8b6
8/2k5/2p4p/p1N1p1pP/P3P1P1/1PK5/7n/8 w - -,c5e6
8/1N6/p1p2k2/2P1p2p/bP1nB1pP/P1K3P1/5P2/8 b - -,a4d1
1rb1k2r/2qpbp1p/p3p1p1/3pP3/6Q1/4B1P1/PPP2PBP/R4RK1 w k -,e3h6
8/8/3k4/7P/6p1/2K3P1/8/4Rn2 b - -,f1g3
rb1q1rk1/1p3ppp/p1n1bn2/3pp3/P7/1PP1P3/1BNNBPPP/R2Q1RK1 b - -,d8c7
7r/3k4/p2p2p1/2p1p3/PpPnPpP1/1P1R1Pq1/1KP2RBr/6Q1 w - -,g1f1
4K3/4P3/8/7k/3r4/8/6R1/8 w - -,g2f2
r2q1r2/3n1pkp/p1bp1np1/1p2p3/4P3/2NB1N2/PPPQ1PPP/R3R1K1 w - -,b2b4
r2q1br1/pp1n1k1p/4ppb1/3n3B/2Np3N/8/PP1B1PPP/R2QR1K1 w - -,d1f3
2r3k1/p1rn1pp1/bp3n1p/4pq2/1PP4Q/4PP2/1B2B1PP/2RRN1K1 w - -,b4b5
3R4/1p6/4k3/5p2/P1P1bp2/8/5K2/8 b - -,e6e7
3R4/8/2k5/1p6/7r/1K6/8/8 w - -,d8c8
r2qkbnr/pp2pppp/2n5/2ppPb2/3P4/2PB4/PP3PPP/RNBQK1NR b KQkq -,f5d3
4rk2/1p5p/p1bP4/2P3p1/5p2/1BR5/P4KPP/8 b - -,e8e5
r2q1rnk/1b1pppbp/p5p1/1p1NP1B1/8/1n1Q1N1P/PPP2PP1/R3R1K1 w - -,a2b3
8/7B/4kp2/p2p4/2bP4/K1P2r1p/PR6/8 w - -,b2b6
1r1qr1kb/4pp1p/2n3pB/1p3b2/1P1Pp3/1R3NPP/4PPB1/2Q2RK1 w - -,c1c6
rn1q1rk1/pp1b1ppp/5n2/2p1p3/2PP4/BQPBP3/P5PP/R3K1NR b KQ -,b7b6
8/4p1kp/2p2p2/p3n3/1p2P3/2r2pPP/3Q1P2/R5K1 b - -,c3d3
4rk2/Q5Rp/3B2p1/3p1qb1/3P2N1/8/P3NPb1/6K1 b - -,g5e7
7r/5p2/1Bp1k3/p2pP1br/R7/1PP5/2K2P2/7R w - -,h1h5
r2q1rk1/pb1n1ppp/1p1b1n2/2pPp3/2P5/2N1PN2/PBQ1BPPP/R4RK1 w - -,e3e4
r2qkb1r/1p1n1ppp/p2pbn2/4p3/4PP2/1NN5/PPP1B1PP/R1BQK2R w KQkq -,f4f5
7k/6p1/5b2/5Q2/5P1P/6PK/4q3/8 w - -,h4h5
8/1pp5/8/p5p1/P3K1k1/6b1/1P6/2R5 b - -,b7b6
1br1k1r1/1p1bnp2/p3pBpp/8/2B2P2/P1P2NP1/1PP4P/1K1RR3 w - -,c4b3
5r1k/3q3r/n2b3N/p2Pp1B1/1p2np2/1Pp5/P4PP1/1R1Q1NKR w - -,d1h5
rn1q1rk1/pbp1b1pp/1p2p3/4P1p1/3P4/6P1/PPQB1PBP/R4RK1 w - -,g2b7
8/1p4p1/2p2k1p/2P2b2/3K4/P7/4B1PP/8 b - -,f5e6
6k1/5pp1/p6p/4P3/2b5/7P/6P1/3R3K w - -,d1c1
r2q1rk1/p6p/1npp1b2/2B1pb2/5P1P/2N2Q2/PPP5/2KR1B1R b - -,d8e8
6k1/p4p2/1n4pp/p7/3RN1PP/2P5/1P3P1K/2r5 b - -,f7f5
r4r1k/2q3np/pp1p1pp1/2pPnb2/P1P1N3/3B1PNP/1P1Q2P1/4RRK1 w - -,d3e2
3r3r/1pp1k3/4p2p/1P2b3/1BP1N1Pn/P7/4K2P/3R3R b - -,e7f7
2k1r2r/pppb1ppp/3p4/4B3/2P1BP2/8/P1P2KPP/1R5R b - -,d6e5
8/8/3B1pkb/r1p5/6p1/7p/P1R4K/8 w - -,h2g3
r6r/p1p2pk1/2np2pq/2pP4/4PP2/1P1B2P1/P2Q3P/R4RK1 b - -,c6d4
r4rk1/1q1bbpp1/p2ppn1p/1p6/4P2B/PBN5/1PP1QPPP/3R1RK1 w - -,f1e1
2b2r2/7k/3qr2p/1pR1pp2/1P5Q/3PRP2/5NP1/5K2 b - -,f8g8
5rk1/p1q2p1p/1p4p1/2nr1P2/3B3Q/2P5/P1P3PP/R3R1K1 b - -,d5f5
r2qkb1r/ppp2ppp/5n2/3p1b2/1n1P4/2N2NP1/PP2PPBP/R1BQ1RK1 b kq -,c7c6
r2r2k1/pp2ppbp/2nqn1p1/3N4/6b1/4BN2/PP1QBPPP/2RR2K1 b - -,g4f3
r2qr1k1/6pp/2pnb3/p3p3/1P2P1p1/2PP2N1/P1N1Q1PP/R4RK1 b - -,d6b5
8/1R1rr3/1p3k1p/1P3pp1/1N1n4/6P1/2R1PKBP/8 b - -,d7b7
2r3k1/7p/6p1/P1pp4/1N3PP1/2n4P/2P5/R5K1 w - -,b4d3
1qr2rk1/1b1nbppp/1p1ppn2/pPp5/P1PP4/4PN2/1B1NBPPP/1QR2RK1 b - -,b8a8
r3q3/pp4bk/4b1pp/2Pp1pn1/1P1P4/3BP2P/P1Q2PP1/3RR1K1 w - -,b4b5
3rn1k1/2qrbppp/pp2p3/2p3P1/PnP1NP2/3PP3/1B1R2QP/3RN1K1 b - -,c7b7
2r1r1k1/4bp1p/2n1p1pP/p2pP1P1/3Nn3/2P2N2/P4P2/RR2BK2 w - -,b1b7
6R1/8/8/8/k4r2/1p6/1K6/8 b - -,f4f2
R7/5rBb/7P/5k2/8/4K3/8/8 b - -,f7e7
8/1k6/1p2q2p/p2bp2P/P4p2/1P1Q1P2/3N2P1/3K4 b - -,b7a7
2kr4/ppp1b3/4p3/4P3/2P3rp/1P2BR2/K5P1/6R1 b - -,d8d3
4r1k1/p1r1ppq1/1p1p2p1/6Rp/P1P1Q1PP/1P3R2/4PPK1/8 b - -,h5g4
r1bqk2r/4npbp/p2p1p2/1p1Np3/4P3/2P5/PPN2PPP/R2QKB1R b KQkq -,e8g8
2b5/pp1n1pkp/3P2p1/1Np3r1/8/5B2/P5PP/R6K b - -,d7e5
rn3rk1/pp2bppp/1Q2pn2/3p4/8/2NP2P1/PP2PPBP/R1B2RK1 b - -,a7b6
r1bq1rk1/p2nbppp/1pp1pn2/2Pp4/3P1B2/2N1PN1P/PP3PP1/R2QKB1R w KQ -,b2b4
3r3k/6rb/p4n1p/1p1p4/3B3P/1PNP4/1PP2P2/1K4R1 w - -,d4f6
8/8/1N4pp/1Pnkp3/6P1/4K2P/8/8 b - -,d5d6
2r2rk1/pb1nqpp1/1p3n1p/2pp4/3P4/P1Q1PP2/1P1NBBPP/R4RK1 w - -,f1e1
1r1q1rk1/4b1pp/3p4/p1nPpp2/2P5/RP2N3/4BPPP/3Q1RK1 w - f6,d1c2
6k1/2r4p/6p1/1R3p2/7P/6PK/2r4R/8 b - -,c2c3
5r2/4Npkp/p2p1np1/P1n2P2/2P3P1/1r2P2P/6B1/R2R2K1 w - -,d1d6
r2q1rk1/pb1pp2p/1p4p1/2p2p2/2PbP3/3P2P1/PP1B1PBP/1R1Q1RK1 w - -,d1e2
2nrrbk1/pppq1bpp/5p2/1Pp1p3/P1P1P1P1/3PNN1P/5P2/RQ1RB1K1 w - -,b1c2
2b5/1p4kp/8/3R4/3N1r2/b3N3/3K3P/8 w - -,d2d3
3r2k1/1pp1r1pp/p1b2p2/8/P1RP1n2/5N2/1P1N1PPP/R4K2 w - -,b2b3
3r2k1/p3bppp/1p2p1q1/2n4n/6QP/1P2NNP1/PB2PP2/2R3K1 w - -,g4g6
r4rk1/p2n1pp1/2R4p/3pp3/3N1B2/2NbP2P/1P3PP1/4K2R w K -,c3d5
r1bq1rk1/1p1n1pp1/p3p2p/3p4/2pPnB2/P1P1PN2/2P1BPPP/R3QRK1 w - -,a3a4
rnq2rk1/pbppbpp1/1p2pB1p/8/2PP4/5NP1/PP2PPBP/RN1QR1K1 b - -,e7f6
rn2kbnr/pp2pppp/1qp5/3pPb2/3P2PP/8/PPP2P2/RNBQKBNR b KQkq g3,f5d7
rnbqk2r/pp2ppbp/2pp1np1/6B1/2PPP3/2N2P2/PP4PP/R2QKBNR b KQkq -,b8d7:a7a6
r4k1r/ppqn1pp1/2pb1pp1/8/3PQB2/2P4P/PP2NPP1/R4RK1 w - -,f1e1
2bq1rk1/4ppbp/p2p2p1/n1pP4/2P1P1n1/2N3P1/PrQN1PBP/R4RK1 w - -,c2b2
2br1rk1/1p3pq1/p5p1/3B2Q1/1P6/2PR4/P5PP/5RK1 b - -,c8e6
2r2rk1/p2n1ppp/1pb1pn2/q1pp2B1/P1PP4/2P1P3/2QNBPPP/R1R3K1 b - -,a5a6
2r1k2r/p1qnb1pp/2p1b3/1p6/P2PN3/2P2BP1/7P/R1BQ1RK1 b k -,e8g8
8/7k/5K1p/6p1/1R1P2P1/8/r6P/8 b - g3,a2h2
