8/4k1p1/p4p2/6PP/5P2/2K1n3/1B6/8 b - -,e3d5
r2q3k/p2b2p1/1p3n1p/3Q1p2/1B1P3P/8/PP3P1P/R3R1K1 w - -,d5e5
4rbk1/1bq2np1/pp1pp1p1/2n5/P2NP2Q/2N1B2B/1PP4P/5RK1 w - -,b2b4
1r4k1/p1p2p1p/3bp3/6p1/2qP1P2/P1N1P2n/1B4KP/R2Q1R2 b - -,b8b2
2r4r/p3pkbp/1p3pp1/nR6/3P3B/4P3/P2N1PPP/1R4K1 w - -,g1f1
r3kb1r/1p1n1pp1/2p1p1p1/p1Pp2P1/Rn1P4/1PN1P2P/1P3P2/2B1KB1R w Kkq -,e1d1
5k2/6pp/2B5/p7/1pPb2P1/1P5P/P3r3/3R3K b - -,d4b6
r1bqk2r/pp1nbp2/3p2p1/2pPp3/PnP1P1Pp/2N4P/1P3PB1/R1BQNRK1 w kq -,e1d3
1R6/6k1/7p/5P2/6P1/5K2/8/5r2 w - -,f3g2
4n3/8/4k1p1/4p2p/2N1P2P/5K2/8/8 w - -,f3e3
7r/1p2k3/6p1/p3p3/2PnN2P/1PK4P/P4R2/8 w - -,e4g5
1k1b4/1bq3p1/p3p2p/1p2n3/4NQ2/5BP1/PPP1N2P/2K5 w - -,f4f8
r1b1rnk1/1q3p1p/3p1Qp1/2nPp1N1/2p1P3/6N1/1PB2PPP/1R1R2K1 w - -,f6d6
8/5pR1/1p1p4/1Pp1p3/2P1Pn1k/3P1P1p/2K5/8 w - -,g7g4
r2r2k1/3P2p1/1p2qp1p/p7/3Q4/3R2P1/PB3P1P/6K1 b - -,a8a7
r2q1rk1/pb2bppp/1pn1pn2/6B1/2BP4/P1N2N2/1P3PPP/R2QR1K1 w - -,d1d3
3q1rk1/pB1r1pp1/P2b3p/2p5/Q7/2n3P1/1P3PKP/R4R2 w - -,b2c3
6k1/2Nn2pp/1p1Pp3/2ppP1N1/6P1/7P/rPb5/5RK1 w - -,g5e6
8/8/4k3/4P3/p7/B1K1R3/2b4r/8 b - -,c2f5
r1bqk2r/pp2bppp/2nppn2/2p5/4P3/2PP1N1P/PP2BPP1/RNBQK2R w KQkq -,e1g1
r2qkb1r/pp1nnpp1/2p1p2p/3pPb2/3P4/2N1B3/PPPQNPPP/R3KB1R w KQkq -,e1c1
6k1/p1r2p2/4p1p1/7p/8/4P1P1/R4K1P/8 w - -,f2f3
r1bq1rk1/pp1p1p1p/6pb/1B6/3QP3/8/PP3PPP/RN2R1K1 w - -,b1c3
3rr1k1/pp1b1pp1/3b1n1p/3pq3/3N4/P2PB1PP/1P1Q1PBK/2R1R3 b - -,e5h5
r2q1rk1/pp1bppbp/2np1np1/8/3NP2P/2N1B3/PPPQBPP1/2KR3R b - h3,h7h5
r2qk2r/ppp2ppp/2nbpn2/8/2QP4/5NP1/PP2PP1P/RNB1K2R w KQkq -,e1g1
r1b3nr/3q1k2/pRp1ppp1/2Bp3p/4P1B1/2P3Q1/P1P2PPP/1R4K1 w - h6,g4e2
3rn1k1/2q3b1/2p2pp1/ppP4p/2b1PB2/P1N3PP/1P3QBK/4R3 b - -,c7f7
rnbqk1nr/pp3ppp/2p5/b2p4/2PPp3/1QN3P1/PP2PPBP/R1B1K1NR w KQkq -,c4d5
b1r1k2r/5qpp/p3p3/3p3P/p1nNP3/2P2P2/P1P3Q1/K1BR2R1 b k -,h8g8
1k1r3r/ppp1npp1/3q1n2/3p3p/3P4/P1NQPB2/1P3PPP/2R2RK1 b - -,c7c6
8/6bp/p3p1p1/1pk2pP1/2p2P2/P1P2K2/3nN2P/3N4 w - -,f3e3
r4r2/1b1q2k1/4p1p1/p1ppn1Bp/1p2P2P/2PP2PB/PP2Q3/R4RK1 w - -,d3d4
8/8/1r1pK3/2kP4/4B3/8/8/8 b - -,b6b8
8/8/5kp1/7p/1r5P/4RP1K/6P1/8 w - -,e3c3
r7/8/3R1k2/6p1/1pB5/1P5P/2r3PK/8 b - -,f6e5:f6g7
1r3rk1/4qppp/p3pn2/8/P1N1P3/5P2/5P1P/R1Q2RK1 w - -,c1a3
rnbqk2r/pp2bppp/3p1n2/2pPp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1e2
r1bq1rk1/pp2bppp/2n1p3/2pn4/8/3P1NP1/PPP1QPBP/RNB2RK1 w - -,b1d2
4rbk1/2p2pp1/p2prn1p/Pq2P3/1p1Q4/1P2R1NP/1BP2PP1/4R1K1 b - -,c7c5
8/5k2/5P1p/4P3/1b2K1BP/p7/P7/8 w - -,e4f5
r4rk1/pbn2ppp/3q1n2/2pp4/2B5/2N1PN2/PPQ2PPP/3R1RK1 w - -,e3e4
r1bq1rk1/4npb1/p2p2pp/npp3B1/3PP3/2N2N1P/PPB2PP1/R2Q1RK1 w - -,g5h4
r4n2/pp2p1k1/2p3p1/4n1p1/2BrP1P1/1PN1K3/P4PP1/2R4R b - -,a8d8
8/3k4/r2P4/8/5R1P/2p5/4K3/8 b - -,a6c6
6rk/4Q1pp/8/p4p2/2qP1B2/n5RP/6PK/8 b - -,a3b5
5r2/ppp1k3/5pn1/4n1p1/4P3/P1P5/1P3NP1/2KB1R2 b - -,f8h8
1r2k2r/pp1q3p/3bp1p1/5p2/3P4/2P2Q2/P4PPP/1RB2RK1 w k -,f1e1
1r3b2/p1R2pkp/4pNp1/4Pn1P/3P4/1P1KBP2/P4P2/8 w - -,h5h6
rn1qr1k1/5pbp/p1pQbnp1/8/2p1P1P1/2N1BP2/PPN1B2P/3R1R1K b - -,f6d7
2b3r1/ppn1kp2/8/7R/2PN2n1/4PB2/3N1PP1/4K3 w - -,h5c5
1nk2r1r/Qpp2pp1/3n4/1PN5/2PR4/4qNP1/P3P1KP/5R2 b - -,h8h5
r4rk1/pp2ppbp/2n1bnp1/1qp5/2P2B2/2N2NP1/PP2PPBP/R4RK1 w - -,c4b5
1r4k1/p1n2rqp/3p1pn1/2pPp1pQ/BpP1P1P1/6P1/PP3PK1/R4N1R w - -,f1e3
2r1r2k/1p2Bppp/p3p1b1/P2pP3/2qP3Q/R7/1P3PPP/4R1K1 w - -,e7c5
r2r1k2/1p3p1p/p1bp1Q2/2q1pP2/4P3/2N5/PPP1B1PP/R6K b - -,b7b5
4r3/2p1k3/2Pp3q/2n2p2/p3pP2/P1Q5/1PB5/1K4R1 w - -,g1g5
6r1/p3rk2/R7/3p2P1/3PnP2/2P1PK2/8/7R w - -,h1h6
2rr2k1/pp1qnp2/4bp2/3p4/3P2P1/1PN1N2P/P2Q2B1/5RK1 w - -,c3e2
rn2r1k1/2p1b1p1/1pPnp1p1/pP1p1p2/3P1PP1/P3P3/3NB2P/R1B2RK1 w - f6,g4g5
8/pp6/3k4/1B1pp3/8/2P2r2/P6P/2R1K3 b - -,e5e4
r4rk1/pp3pbp/1q4p1/3bB1N1/2p5/2P4P/PPB2PP1/R1Q2RK1 b - -,g7e5
1r4k1/5p2/4p1bp/P7/2N5/2K5/P2R1P2/8 w - -,f2f3
8/2p2n1k/1p5p/p2B2p1/2P2q2/1P6/P5K1/Q7 w - -,a1c3
8/5pp1/2nNp3/4P2p/k2P1P2/p1K3P1/7P/8 w - -,d6f7
r1bqr1k1/pp1nbpp1/2p2n1p/3p4/3P2PB/P1N2P2/1PPQN2P/2KR1B1R b - -,d7f8
2kr3r/1ppq2p1/p2bp3/3p3p/2PP2n1/8/PP1NQPPP/R1B2RK1 w - -,d2f3
6k1/1pq4p/4b1p1/p1bpp3/P1P1Pr2/1P5P/2Q2PBK/3R4 w - -,c4d5
r2qk2r/pp2bppp/2p5/5b2/3pnP2/P5P1/1P1P1PBP/R1BQR1K1 w kq -,g2e4
1nkr3r/1p1b1ppp/p2q1b2/1P1p4/P7/2P1BN2/4BPPP/R2Q1RK1 w - -,b5a6
r5r1/1p4q1/p7/1k1B3p/2pP3Q/B7/2P4K/4R3 w - -,e1b1
2rq1rk1/p2n1ppp/3Ppn2/1p6/3P4/P1NBPb2/2Q2PPP/R1B2RK1 b - -,f6d5
r6r/p3kp2/1np3pp/4p1b1/N3P3/1B3P1P/PPR2P2/5RK1 b - -,b6a4
8/p4k1p/1p2rbp1/3p1n2/P2P1p2/2B2P1P/1P1KN1P1/3R4 b - -,g6g5
1rrq2k1/5pbp/pp1p2p1/n1pP1b2/P1P3P1/1PB2N1P/5P2/R1RQ1BK1 b - -,f5d7
8/8/1R6/5p2/4bkp1/r7/3N3P/4K3 b - -,a3h3
8/8/1r5P/3p2p1/4k1P1/4P3/R4PK1/8 b - -,b6h6
1r6/R7/4kpp1/2p5/1p3K2/1P3P2/6PP/8 b - -,e6d5
8/1p3k1p/p2p1n2/P1pP2p1/1q4P1/1P3Q1P/4NPK1/8 b - -,c5c4
r1b2rk1/ppp3pp/8/8/2P1n3/2P2N2/P1K3PP/R4B1R b - -,e4c5
r1r3k1/1b3p2/pBn2qpp/2Ppb3/1P3P2/PN4P1/5Q1P/2RR1BK1 b - -,e5b2
2krr3/2pq1pp1/p1n1bn1p/1p2p3/4p3/1BPP1NNP/PP2QPP1/R3K2R w KQ -,d3e4
r1bq1rk1/pp2b1p1/n1pp1n1p/3P1p2/2P1p3/2N2PPN/PP2P1BP/R1BQ1RK1 b - -,e4f3
4r1k1/4r2p/p1b1ppp1/1q6/1P6/P1R3QB/6PP/4R2K w - -,c3c5
r1bqk2r/4bppp/pp1ppn2/2pP4/PnP5/2NBPN2/1P3PPP/R1BQ1RK1 w kq -,d3b1
5r2/2R2p2/3rnkp1/7p/4RP1P/1B3K2/5P2/8 w - -,b3e6
