3b4/8/p7/2B1kb1p/2p5/P1P3KP/4N3/8 w - -,e2f4
8/1p2B1k1/5b2/1P4pp/5p2/3b1P1P/4R1P1/5K2 w - -,e7d6
2qrrnk1/1p1b1p1n/3p2p1/B1pN1PPp/2P1P2P/5R2/Pb2NQB1/3R2K1 b - -,e8e4
1n3rk1/1r4pp/pp1p4/3PpPbq/1P6/3QBP2/P1RN1P1P/2R3K1 w - -,c2c8
r5k1/1ppn1qp1/3p1npp/3Pp3/1PP3P1/2Q1B2P/4PPB1/R5K1 b - -,a8a1
8/3rk3/2p4p/4n1p1/8/7Q/PP4PP/6K1 w - -,h3f5
4rk2/p2Q1p2/1p4p1/7p/P2P3B/5P1P/3q2P1/6K1 w - -,h4g3
2r1r1k1/2Q2p1p/1pp1b1p1/p1n1p3/2P1P3/2N2P2/PP4PP/3RRBK1 b - -,c8c7
r2q1rk1/pb1pppbp/1pn2np1/2p5/2P5/1P2PNP1/PB1PQPBP/RN3RK1 b - -,a8c8
b4n2/4k3/p2p3P/1p3KB1/8/1P1P4/P1P5/8 b - -,e7f7
rr4k1/3bppbp/3p1np1/q1pP2B1/n3P3/2N2P2/PP1QBNPP/R4RK1 w - -,f2d1
8/8/1Q4pk/1Pp2p1p/3q4/3P2P1/5P1P/6K1 b - -,h5h4
R5kb/2p2p1n/3p1qp1/7p/5B1P/5Q2/5RPK/4r3 b - -,g8g7
6k1/p2q1pb1/6pp/1p2p3/1PbnP3/P1N1B1PP/2Q2PB1/6K1 w - -,c2d2
r2q1rk1/ppp2pb1/2npbn1p/6p1/4P3/2N2N1P/PPPQBPPB/R3R1K1 b - -,f6d7
1rb2rk1/5n1p/1p1p4/p1pNqp2/2P5/QP2PpP1/P5BP/3R1RK1 w - -,f1f3
r2q1rk1/pp1bbppp/3ppn2/2p5/4PP2/1PNP1N2/1PPBQ1PP/R4RK1 b - -,d7c6
rn1q2k1/1b1r2bp/pp2p1p1/5p2/3Pp3/BP2P1P1/P1RN1P1P/3QRBK1 b - -,b8c6
r3b1k1/2qnp2p/5NpQ/2pPN3/P1P4P/8/2B3P1/5RK1 b - -,e7f6
r4rk1/pppq1ppp/3B4/3p1b2/3P4/2P5/PP1QBPPP/R4RK1 b - -,d7d6
1r2k2r/p2n1p1p/4pp2/NPb5/1p6/6P1/1P2PP1P/R1B2RK1 w k -,a5c6
r5k1/pp1q3p/2b1p1p1/3pP3/3Pp3/BP4P1/P2QP2P/2R3K1 w - -,c1f1
3r1rk1/1R4bp/1p3pp1/1p2p3/2b2P2/P2NK1P1/1P2P1BP/3R4 b - -,f6f5
6k1/p2q1p1p/4r1p1/P3p3/2p3P1/1rP5/5PP1/3RR1K1 w - -,d1d7
8/4k3/1R5R/1p4p1/6P1/4PK1P/5P2/6q1 b - -,g1d1
4k1rr/pppb4/2n1p3/3pPP2/3P4/P2B4/1PPQ1P2/2KR4 b - -,e6f5
r1bq1rk1/pp1pb1pp/n1p2n2/5pB1/2PPp2P/2N1P1P1/PP2NPB1/R2QK2R b KQ h3,a6b4
r1bq1rk1/p2nppbp/1pn3p1/2pp4/P2P1B2/1QP1PN1P/1P1NBPP1/R3K2R b KQ -,e7e5
r2q3k/pp1n2rp/2pp1pnQ/5R2/1PP1N1R1/8/P3B1PP/6K1 b - -,d8e7
3r2k1/5pp1/2brpn1p/pp6/5N2/PB3P2/1PP3PP/R4RK1 b - -,a5a4
2kr1b1r/ppp2ppp/4b3/2p1P3/8/4B3/PPPNKPPP/R6R b - -,f8e7
r1b2rk1/1p2ppbp/6p1/p2P4/1nP1P3/1N6/2RB1PPP/4KB1R w K -,c2c1
8/5pk1/R2p3p/P2P4/3bB3/r3nNK1/8/8 b - -,e3c4
4r1k1/1p2q1p1/p1p4b/P2pPr2/1P1P4/2P3P1/2B2QK1/7R w - -,f2f5
r3r1k1/pp3pb1/1q1p2pp/4n3/4N3/1P2PPP1/P2Q2BP/3R1RK1 w - -,d2d6
7Q/1bq2k2/2pp1n2/p3p3/2P5/8/PP3PPP/3R2K1 w - -,d1d3
3r1rk1/5pbp/p3b1p1/1p2p2n/P1p1P1N1/2P1qNPP/1PB2PK1/R3R3 w - -,e1e3
6k1/6pp/1p6/pP2p1P1/P1Pq4/3p2P1/8/2Q2K2 b - -,d3d2
r3r1k1/pp2bppp/2n5/2pB4/5B2/2P3PP/PP3P2/R3R1K1 w - -,d5c6
rn2kbnr/pp3pp1/1q2p2p/2ppP3/3P4/3Q2N1/PPPN1PPP/R1B2RK1 w kq -,d4c5
2rqr1k1/pb2bppp/1p2pnn1/8/B2P1B2/P1NQ1N2/1P3PPP/R3R1K1 w - -,f4g3
r2qr1k1/pb3ppp/1p3n2/2p5/P1Pnp3/2Q3P1/1BNPPPBP/4RRK1 b - -,d4c2
2rq1rk1/pp1bbpp1/2n1pn1p/3p4/3P3B/2N1PN2/PP2BPPP/RQ3RK1 b - -,a7a6
8/p1R4p/6k1/8/7P/1KP3r1/8/8 w - -,c7a7
r3r1k1/1ppb1pp1/3p1q1p/4N3/p1P5/P1QBP3/1P3PPP/3RR1K1 b - -,f6e5
2r1r1k1/1p5p/p2pp3/2n1bp2/1NP4q/1P3P2/P3Q1PP/3R1RBK w - -,b4d3
2Q5/1K6/4p2k/3n4/4N3/P7/6P1/8 b - -,d5f4
r2qkb1r/pb1n1ppp/1p3n2/2pp4/3P4/4PNP1/PP3PBP/RNBQ1RK1 w kq -,b2b3
8/5p2/7p/7K/2r4P/8/p4R2/1k6 w - -,f2f7
2r1qrk1/3bb1pp/p3p3/1p1p1p2/3P2n1/1QPBP1B1/P2N1PPP/4RRK1 b - -,h7h5
8/5pkp/q4p2/P3p3/4P3/2Q3PP/1P5K/8 b - -,a6e2
r3r1k1/1bq2pbp/p2p1np1/P1p1B3/2B1P3/2N2N2/1P3PPP/R2Q1RK1 b - -,d6e5
rnbqk2r/ppp1p2p/5bp1/3p1p1P/3P4/2N5/PPPQPPP1/R3KBNR b KQkq -,g6g5
r4rk1/5ppp/2n5/3R4/3P4/6P1/1P1NbP1P/1N3RK1 w - -,f1e1
rnbr2k1/pp3pbp/4p1p1/q1pP2B1/4P3/2P2N2/P2Q1PPP/2R1KB1R b K -,f7f6
r5k1/1p5p/2b3p1/2P2P2/2P1pP1P/4Q2K/3R4/q2B4 b - -,a8a3
8/7p/p7/5p1k/1P3K1P/8/8/8 b - -,h5h4
1kr4r/1bq1bp2/p2p1n2/1pN2PB1/8/P1N2pRP/1PP1Q3/1K1R4 w - -,e2e3
r3r1k1/3R3p/ppq3p1/3R4/2P1N1Q1/1P6/Pb5P/7K b - -,c6e6
r3k2r/pbpn1p2/1p1p1q1p/4p1pn/2PPP3/P1P3B1/2QN1PPP/1R2KB1R w Kkq -,d2b3
5k2/R1b3p1/5p2/1pP2P2/1P2K1P1/Pr6/8/8 w - -,a7c7
r4rk1/pb1nqpp1/4p2p/2p5/Q7/2R1PN2/PP2BPPP/5RK1 w - -,f1c1
3r3k/n6p/pp1P2p1/2pPQ3/P2q1P1P/1P5B/5R1K/8 b - -,h8g8
8/5k2/1p2p1p1/pPn3Bp/4P3/1P3P2/P4KPP/3r1B2 b - -,d1a1
3r4/2R1r1kp/6p1/pP1P1p2/n4P2/8/6BP/6K1 w - -,c7e7
r1bqk2r/p4p1p/2pp2nR/2p1p3/4P3/3P1N2/PPP2PP1/RN1QK3 b Qkq -,a8b8
3q2k1/5pb1/1p1p2np/1Q1P2N1/1PPp1rP1/7P/5PB1/3R1K2 w - -,g5f3
r1r3k1/p4npp/1p2pp2/2B5/P1nP3P/3NP3/5PP1/2RR1K2 b - -,c4a5
8/7p/1p2r2p/4k2P/1R6/6PK/8/8 w - -,h3g4
2r2rk1/pbp1bppp/1p1q1n2/8/1P1Pp2P/P3P1P1/1BQ1BP2/2R1R1K1 w - -,e2f1
8/8/1k4P1/p7/1p6/4R3/5K2/1r6 b - -,b1c1
1r4nk/pp1b1r2/3p2pp/3P1p2/1PP2P2/1N1B4/4NbPP/1R3R1K b - -,f2e3
1rbq1r2/1p1nppkp/p1np2p1/8/P1P1P3/2N2NP1/1P2QPBP/3R1RK1 w - -,f3h4
r2q2k1/p2b1rbn/np1p2p1/2pPp1Pp/1PP1Pp1P/P1N2P2/3BBN2/1R1QK2R w K -,f2d3
4k3/R2b2p1/5p1p/2B4P/1P2PKP1/8/8/1r6 b - -,b1b3
b4n2/4k1b1/p2pp2p/N4pP1/NP3P1P/3PB3/3K4/8 b - -,a8f3
1R6/1p4k1/rBP5/p4p1P/4bp2/P7/2P2K2/8 b - -,a6b6
rn1q1rk1/1bp1ppbp/pp1p1np1/8/P2PP3/2NBBN1P/1PP2PP1/R2QK2R w KQ -,e1g1:d1d2
N1bq2k1/pp1nbrpp/3p1n2/8/3pP3/2N5/PPP2PPP/R1BQK2R w KQ -,d1d4
8/3B4/1k6/1P6/P2p4/1b3PP1/4K3/8 b - -,b3a4
8/1k6/n6R/P7/2K5/8/8/8 w - -,h6b6
6k1/2q1pp1p/p2p4/2pP1p2/3r1P2/6P1/P5BP/Q4RK1 w - -,f1d1
r3k2r/1bqnbppp/pp1ppn2/8/2PQP3/1PN2NP1/PB3PBP/R3R1K1 b kq e3,a8d8
8/8/5k2/2b2ppp/1p2p3/1P2P1P1/3B3P/6K1 w - g6,g1g2
6r1/p3qk1p/bp4p1/2p2p2/2P1p3/2Q2P2/PB4PP/3R1BK1 b - -,e4e3
r1b2rk1/ppppqpbp/6p1/n2Pp3/2P1P3/2N2PB1/PP4PP/R2QKB1R w KQ -,a2a3
8/8/1R6/6pp/5k2/4r2P/8/5K2 w - -,f1g2
2b3r1/1p1p4/2pP4/2P5/3P2N1/R4K2/1k6/8 w - -,a3e3
