8/8/8/4KP2/8/5r2/5kpR/8 b - -,f2g3
8/pp6/6p1/4k3/2P1np2/1PN5/P3K1P1/8 w - -,c3d5
4b3/8/pp5R/k2pP1Pn/3P1N2/2P5/1nPK1P2/4B2r b - -,b2c4
Q1bk4/p2p1ppp/2Bq4/1pp5/1r6/2R1P3/1P3PPP/1RK5 b - -,d7c6
r4rk1/pb2q2p/1p2ppp1/8/3P1b2/3B1N2/PP2QPPP/2R1R1K1 w - -,c1c2
5k2/1p4pp/pBb5/P3b1N1/8/5PP1/1P3K2/8 w - -,b6d4
8/1p3k1p/3qbBn1/1PP2pP1/4p3/2Q5/4B1PP/6K1 b - -,d6d5
8/8/B7/4Rbk1/P1KPp3/8/1r6/8 w - -,a4a5
1r1b2k1/pqr2pp1/npp1pn1p/4N3/1P1PP3/P4BP1/1BR1QP1P/2R3K1 b - -,b8c8
r4rk1/pbqpnppp/1p2p3/8/3PNn2/2P2N2/PP3PPP/2RQRBK1 b - -,a8c8
1r3rk1/5pbp/pq1p1p2/3Pp3/2B2P2/8/PPQ3PP/R4RK1 w - -,f1f2
2b1r3/pp3k1n/2p5/6P1/3P4/2N5/PP4Q1/6K1 w - -,g5g6
3qkn2/p3p2r/2p1p1p1/3pQ2p/PrpP2PP/2N2P2/1PP5/2KR3R w - -,h1g1
rq3rk1/1b1n1pp1/p2bpn1p/1p4B1/3P4/2NB1N1P/PP3PP1/2RQR1K1 w - -,g5f6
8/8/8/5k2/3r1b2/8/4R1KP/8 w - -,e2a2
6k1/p1rq1pb1/1prnpnp1/3p4/3P4/1P2P1P1/PNR2PB1/2RQB1K1 b - -,d7c8
7r/p1rk1p2/1p2pN1p/3pPn1P/3P4/P1P5/1n1BKP2/6RR b - -,d7c6
rn3rk1/2q2pbp/p1p1bnp1/2Ppp3/4P3/1NN3P1/PPQ2PBP/1RB2RK1 w - -,e4d5
4r2k/pp3pp1/2p5/6Pb/3P3P/PBK5/8/5R2 b - -,e8e3
5krr/p1pn1q2/1p1p1p1p/4pPp1/2PP2PP/P1P1BP1R/3Q2K1/4R3 w - -,e1h1
2r1r3/pp1q2kp/5pp1/2nP4/4PP2/6P1/1Q4BP/B3R1K1 b - -,d7d6
r2qk2r/pp1bppbp/2np1np1/8/3NP3/2N1B3/PPPQBPPP/R3K2R w KQkq -,f2f3
r2rq2k/5ppp/p2pn3/1p1Rp3/4P3/2P2P2/PP1QN1PP/3R2K1 b - -,a8c8
rn1q1rk1/pbp2ppp/1p1p1n2/4p3/1PP5/P1Q2NP1/1B1PPPBP/R3K2R b KQ -,b8c6
5rk1/p4p1p/1p4n1/1P6/3NR3/2P3P1/5P2/6K1 b - -,f8a8
r3k2r/pp1nqp2/2p3p1/3p1p1p/3PN3/P2QP1P1/1PPN1PP1/R4RK1 b kq -,f5e4
r1rb2k1/3b1ppp/3p1n2/qP1Pp3/1R2P3/PBpQ1N1P/5PP1/2B1R1K1 w - -,b3c4
rnbqk2r/p1p1ppbp/1p1p1np1/8/3PPB2/3B1N1P/PPP2PP1/RN1QK2R b KQkq -,c8b7
r1b1k2r/p1qn1pp1/1pp1p3/3p2P1/1bPPB3/2N1PN2/PPQ2P2/R1B1K1R1 b Qkq -,d5e4
8/8/8/5p1P/p3p3/4bkp1/R7/5K2 w - -,a2c2
r2q1rk1/1p2ppbp/2np2p1/1p6/2PnPP2/2NP2PP/6K1/1RBQ1RN1 w - -,c3b5
3r3k/5pp1/7p/2N5/3p2P1/1P2rP1P/P1R2K2/8 w - -,c2d2
r2q1rk1/pbp2pbp/1p2p3/4P1p1/2P1pB2/6P1/PPQ1PPBP/3R1RK1 b - -,d8e7
5B2/1r4pk/2p1p2p/3rp3/R7/N5P1/5P1P/6K1 b - -,b7b8
8/8/3pk3/3Np2p/2K1Ppp1/5P2/6PP/8 b - -,g4g3
8/p3rr1k/1p1Rn1p1/7p/3Npp1Q/2P4P/qP3PP1/3R2K1 b - -,e6d4
r2q1rk1/pbpn1ppp/1p3n2/3p2B1/3P4/P1Q2P1N/1P2P1PP/R3KB1R w KQ -,e2e3
1n1q2k1/7p/p3p1p1/1p1pbr2/5p2/PP3Q1P/4NPP1/2RR2K1 b - -,d8b6
r2qkbnr/1p2pppp/p1n5/1BppP3/3P2b1/2P2N2/PP3PPP/RNBQK2R w KQkq -,b5c6
1qr1bbk1/1pr2pp1/p2ppn1p/2n5/2P1PP2/1PN2NPP/P3QBBK/2RR4 w - -,e4e5
8/6p1/8/8/5kpp/5P2/4K1PP/8 w - -,f3g4
3R4/pr3pk1/4p3/PP1b4/1Kp3p1/7p/7P/1R6 w - -,b4c5
r3k2r/1p1bb1pp/pqn1p2n/2p1P3/2Pp1B1P/5N2/PP1QBPP1/RN3RK1 w kq -,f4h6
b6r/8/p2p1kp1/P2Pp3/2P3R1/4BK2/8/8 b - -,h8h5
8/7p/6n1/5p2/8/3kNK2/8/8 b - -,g6e7
7k/2p1rrpp/1pRP4/p3pq2/2Q5/6P1/PP3P1P/2R3K1 w - -,c4c2
4k3/1p3p2/4p1p1/1b6/5QP1/3r2KP/P4P2/8 w - -,g3h2
r4rk1/1bq1bppp/p2ppn2/1p2n3/4P3/PNN1BP2/1PP1BQPP/R4RK1 b - -,e5c4
7R/2r4P/8/4p3/4k3/1K1p4/8/8 w - -,b3b2
r5k1/p3Bppp/5n2/1q6/1p2P3/5P2/P1P2QPP/1K1r3R w - -,h1d1
r3nbk1/pp1r1q1p/n2p2p1/1NpP1bB1/2N5/PQ6/1P2BPPP/3R1RK1 b - -,a6c7
6k1/pp1N3p/4p3/1P1p4/P7/8/3r1rPP/R3R2K w - -,e1e6
8/5ppk/3r4/5P2/2R3P1/1P2p3/1P2K3/8 b - -,d6d2
r1r5/1b1Nk1pp/1p2pn2/p1pp1p2/2PP1P2/1PR5/P2NPPBP/2R3K1 b - -,f6d7
1rr3k1/1q1bbppp/3p1n2/1p6/p2BPP2/P2B3P/1P1NQ1P1/1R2R1K1 b - -,f6e8
1k1r3r/1p3pb1/p2p1n2/4pq2/2Q4P/1PN1B3/1PP2P2/2KR3R w - -,c4f7
rnb1kb1r/ppp2ppp/5q2/3p4/3Pn3/4N3/PPP2PPP/RNBQKB1R w KQkq -,f1b5
6rk/1Q4p1/1p3p1p/8/8/P3R1PP/5P2/1q4K1 w - -,g1g2
8/8/5k2/2K2p1p/3Pr2P/5RP1/8/8 b - -,f6e6
1r2r1k1/p1p2p2/3p1q1p/2pPb1pn/1PP5/5P2/P1Q2BPP/1R1R1B1K b - b3,b8b4
r5r1/1kp1bpp1/1pb4p/pNp1P3/PnP5/1P2N2P/1B3PP1/3RRK2 w - -,e3f5
1k2R3/p1rR1p1p/3p4/1prP2p1/2P5/1P3P2/P6P/2K5 b - -,c7c8
r1bq1rk1/pp3pb1/n4npp/3pp3/2P1P2B/2N2N2/PP2B1PP/R2QK2R w KQ -,c4d5
8/5pk1/6p1/1P1q4/1P4QP/2r3P1/5P2/4R1K1 b - -,c3c4
5rk1/pp6/1bpp1PPp/8/2Q1P1P1/1P6/1qPK4/5R2 b - -,d6d5
3rr1k1/1p1n1pp1/1qp1pnbp/p7/P1BP1Q2/1PP3N1/5PPP/R1B1R1K1 w - -,c1a3
1q2r1k1/pb3pp1/1p5p/8/1P3PP1/P5Q1/5N1P/2R3K1 w - -,g4g5
rnb1k2r/2pqnpp1/1b2p2p/p2pP2P/N2P1BP1/2PB1N2/4QP2/R3K2R w KQkq -,d3b5
8/1k6/2pK4/6r1/2P5/R5P1/8/8 b - -,g5g6
7r/8/1pk2p1p/3p3P/p1nPpB2/2P4R/2P1KPP1/8 w - -,h3h1
r2q1rk1/pp4bp/n2p2b1/2pPpnp1/2P1B3/2NN2B1/PP3PPP/R2QR1K1 b - -,a6b8
4r1k1/7p/p4pp1/1p1n1P2/3r2P1/PP2p2P/4R2K/2B1R3 b - -,d4f4
8/8/2p2p2/p1p1p1k1/P1P1P3/1r1PK1P1/5R2/8 w - -,f2a2
1kbr4/2r3bp/4p3/p1n1N3/1p3N2/4R1PB/PPq4P/KR2Q3 w - -,e1e2
rn3rk1/pp2q1pp/2p1P3/3p4/4p3/2P5/PP2BPPP/R2QK2R b KQ -,e7e6
1rbq1rk1/1ppnppbp/p1np2p1/3P4/2P2B2/2N2NP1/PP2PPBP/2RQ1RK1 b - -,c6e5
8/4bp2/p1p1k3/1p1p2p1/2PPK1Pp/1P2BP2/P5P1/8 w - -,c4d5
1krr4/1b3p2/p2pp1pb/2p4p/4PP1P/2P3P1/PPN2R2/1KN1R3 b - -,b8c7
3R1bk1/p3p2p/1p2bppn/8/5PP1/1P2P2P/PB3N2/6K1 w - -,d8a8
2q1rrk1/p2bbpp1/1p1p1n1p/2pP4/3NP3/P5PP/1PQ2PB1/R1BR2K1 w - -,d4c6
2r1r1k1/5p2/pq2p1pb/1p1bB3/3PB3/Q1P5/P3RPP1/4R1K1 b - -,b6c6
5k2/5p2/4b1p1/1B5p/5P1P/1p4K1/1P1rR1P1/8 b - -,d2d4
