8/1pr2p2/p3k3/7p/P3PP2/3RK3/P6P/8 b - -,c7c2
r5kr/3n2p1/2p2qB1/p1Pp2Q1/Np1P1p2/1P3P1P/PB6/1K4R1 w - -,g6f5
rnbk1b1r/pp1p3p/2p2qp1/8/3P4/2P5/PP2BPPP/R2QK1NR w KQ -,g1f3
2r2rk1/p3bppp/bq6/1p1pn3/4P3/1P4P1/PB1Q1PBP/R2R2K1 w - -,b2e5
6k1/p7/1pp4p/3P1np1/8/4KP2/PP5q/3RR3 w - -,e3d3
r5r1/ppp1q1k1/3P2p1/3Pp1p1/1P4P1/5P2/P2Q2K1/2R4R b - -,c7d6
3r2k1/4p2p/p1p2q2/4pp2/8/1PNBQP2/PKP5/7R w - -,h1h6
r4rk1/1pqn1pbp/2p2np1/3pPb2/p1P5/N3PNP1/PP2QPBP/R1BR2K1 b - -,d7e5
8/1pk5/2pn1b2/q4p2/8/2PQ1N2/1PN5/1K6 w - -,c2e3
3r2k1/p4pp1/4bn1p/2p4q/1r5P/2N1BPP1/PP2P1Q1/R4RK1 w - -,a1d1
6k1/p1p2pnp/2p2bp1/2Pp1q2/3P1N2/PP3P2/3Q2PP/4B1K1 b - -,f6g5
8/5pk1/2PRp1p1/4P2p/2r2P1P/K5P1/8/8 b - -,g7f8
8/r5k1/3Rppp1/2P4p/7P/P3P1P1/5P2/6K1 w - -,d6d3
5r1k/1ppqr1p1/p2p1p1p/3P1n2/5PQ1/1P5R/PBP4P/2K3R1 w - -,h3h5
1k1rr3/pp2qp1p/1npn2p1/3p4/3P4/1QNNP2P/PPR2PP1/K6R b - -,e7g5
r5k1/pp1b3p/2p1p2r/4Pppq/1BPPp3/P3P2P/1P3QP1/R4RK1 b - -,g8f7
2nr1bk1/n2r1ppp/pp2p2P/2p1N3/2P2PP1/P1NPP3/6K1/BR1R4 b - -,d7b7
r3k2r/1pqbbpp1/p2ppn2/8/3NP1Pp/1P2N2P/P1P1QPB1/R3R1K1 b kq -,g7g6
8/7k/5R2/5PP1/5K2/8/8/6r1 b - -,g1f1
r1bq1rk1/3n1pp1/1p2p2p/p2pP3/P6P/3BPNQ1/1P3RP1/R5K1 b - -,c8a6
r6k/6pp/p1N5/3PB1b1/2B5/5KP1/P1r5/8 w - -,c4b3
8/pp1rkp2/2p3p1/2P4p/1P2PP1P/P3P3/4K3/1R6 w - h6,b1b3
5r2/ppr2p1k/5p1p/3p3Q/8/8/P1P2PPP/6K1 w - -,h5d5
r2q1rk1/2nnppbp/pp1p2p1/8/P2PPB2/5N1P/1P1NQPP1/R4RK1 b - -,d6d5
5br1/2k5/r3pBnp/P2pP1p1/RppP2P1/7P/1P2N3/R6K w - -,h1g2
8/7k/1R5P/7K/1b6/8/8/8 b - -,b4f8
r1b2rk1/2q1bppp/p1n1p3/1pp3P1/4PP2/2N1B3/PPP1Q1BP/2KRR3 w - -,e4e5
6k1/2b4p/R5pB/3Bnp2/Pr6/6P1/5P1P/6K1 b - -,g8h8
r2q1rk1/np1nbppp/p1p1p3/P3P3/2pP4/3bBN2/1P1NBPPP/R2Q1RK1 w - -,d2c4
8/4k3/2n1b3/6P1/5K2/3B4/3B4/8 w - -,d2c3
3q4/pp6/3p1kp1/PP1Pp1p1/6P1/2Q2P2/5K2/8 b - -,f6e7
r2qkb1r/1p3p2/p1npb1p1/3Np2p/4P3/3Q2PP/PPP1NP2/2KR1B1R b kq -,f8g7
1rb5/6kp/p3Prp1/1pqBQp2/2p2P2/8/P5PP/1R1R3K b - -,c5b6
4n1k1/1p2bpp1/nq2b2p/pN1p4/P2P1BP1/2N2P2/1P1QB1KP/8 w - -,f4g3
2r1bnk1/1p6/1q2pPpp/3p3Q/5P2/1p4R1/PP4PP/R6K w - -,h5h6
2q3k1/pp1r1pp1/1nn1p3/3pP1BQ/3P4/PP4P1/5P2/1B3RK1 b - -,g7g6
2kr3r/p1p1q3/1p1p1n2/3b1Qp1/1P1N3p/P3PP1P/6PB/2KR2R1 b - -,c8b8
8/p7/1p4pp/1K1Bk3/1P6/6Pn/P6P/8 w - -,d5f7
8/3K4/4Q3/2P3pk/8/6qP/8/8 b - -,g3d3
8/3k3p/5P2/p1p3pB/P7/1P4bP/3K4/8 b - -,d7e6
4r2k/p1R4p/b7/3p2Q1/1q3p2/1P3BP1/P3PP2/6K1 b - -,b4f8
r2r2k1/2q2ppp/p1n1pb2/1pN5/2n2P2/P1N1B3/1PP3PP/1R2QR1K w - -,c5e4
r3nrk1/5ppp/pq1pb3/1p2p3/4P3/1NQ2P2/PPP3PP/1K1R1B1R w - -,c3a5
8/2B5/p3p1k1/1p1p4/1b1P1PK1/1P6/P7/8 b - -,b4f8
1rr3k1/p4ppp/1q1bbn2/1ppp2P1/8/1NPPPQ1P/PPBB4/RK5R b - -,f6d7
8/2qb1pkp/p2p1b2/1p1P4/4PppP/PP3N2/5QP1/5BK1 w - -,e4e5
4rqk1/1p3nbp/p1pp2p1/2n5/2P5/QPN3B1/1P3PPP/2R2BK1 w - -,b3b4
2r5/2rn1pp1/pp2pkp1/8/2PN1P2/4P1PP/P1R2K2/2R5 b - -,g6g5
r1brn1k1/1pqn1ppp/p2pp3/8/N1P5/1N4P1/PP1QPPBP/2RR2K1 b - -,a8b8
2r1r1k1/p2n1pbp/1q3np1/1p1Pp3/2p1P3/BPP2N2/P5PP/RN2QR1K b - -,h7h6
6r1/3b2kp/p7/p1pP1p2/2P2R2/7P/1P4BK/8 w - -,f4f2
2rqk2r/pp1b1pp1/3bp3/3pn2p/3P2n1/PP1B1N2/1BP2PPP/R2Q1RK1 w k -,d4e5
6k1/p5p1/7p/Np1pNpb1/1P1n4/P4P1P/6P1/6K1 w - -,e5c6
2rq1rk1/1p3pp1/2n1bb1p/3pp3/Qp6/P1NP1NP1/4PPBP/2R2RK1 w - -,a3b4
2r2rk1/p2q1pb1/1p1nb1p1/3p2Pp/3P4/1NN1P1QP/PP1B2K1/4RR2 w - -,h3h4
8/p7/2b1k3/3Np2p/2P1P2P/8/PP1K4/8 b - c3,c6b7
1r3rk1/1p1b1ppp/p2q2n1/2pPp2B/2P1PP2/2N1Q1P1/P5P1/1R3RK1 w - -,f4f5
rn1q1rk1/p1p2pp1/1p2bb1p/3p4/3P4/2NBP3/PP3PPP/2RQK1NR w K -,g1e2
6k1/1p1b3p/p2p2pb/2pP1p2/PqP3n1/1PN1R1N1/2Q1K1PP/2R5 b - -,g4e3
3r1k2/p4p1p/4p3/3n1p2/8/2P2PN1/PP3KPP/3R4 b - -,d8b8
4r1k1/p4p2/5bp1/7p/8/6R1/5PPP/2R3K1 b - -,a7a5
r4rk1/1pp3p1/1p1pb2p/4B1q1/2P1p3/8/P1Q1BPPP/R4RK1 b - -,g5e5
8/2r4k/4n1p1/P3B2p/1P6/5BPP/5P2/5K2 b - -,c7a7
2b5/7p/p1Nk2r1/1P6/2P1p3/8/P3R1P1/2K5 w - -,e2d2
r5k1/7p/6p1/2Pb1p2/PP6/3p1P2/3NpKPP/4R3 w - -,a4a5
2rqb1nr/1p2pk1p/1n3ppb/p1pP1P2/P1p1P1P1/2N2Q2/1P2NB1P/R3KB1R w KQ -,h2h4
8/Rp2rp2/2p2k2/p1P1p1p1/P1n1P3/2P2PPB/5K2/8 w - -,a7a8
r4rk1/2qbbpnp/p2p2pB/1pnPp3/2p1P2P/2P2NN1/PPBQ1PP1/R3R1K1 w - -,b2b4
1rr3k1/3b1ppp/p3pP2/qp1pP3/2nQ2P1/P1P3N1/1P5P/1K1R1B1R w - -,f1c4
r2qkb1r/pppnpppp/5n2/3p4/8/1P2Pb2/PBPPBPPP/RN1QK2R w KQkq -,e2f3
1r6/p4pkp/4p1pb/8/1PPR4/B4KP1/P4P2/8 b - b3,g7f6
8/8/1R2Pk2/5P2/6P1/4K3/1pr5/8 w - -,b6b4
4k3/5p2/4r1p1/p1R3Pp/P6P/1P3K2/8/8 b - -,e6b6
6k1/6p1/p1q4p/6p1/3N4/P2RrP2/1P1R4/6K1 b - -,e3d3
5rk1/r2nbppp/1p2pn2/pPp5/2P5/P4B1P/1BKN1PP1/3R3R w - -,f3c6:h1e1
4rr1k/p1q2pb1/bp2pNp1/2ppPnB1/6nP/2PP4/PP2QPB1/3RR1K1 w - -,e2g4
4k3/p4b2/7p/b4P2/4P1Q1/B2PKp1B/3q4/8 w - -,e3d4
r3k2r/1pp1npp1/p1pb4/4p2p/4P3/3PBP1P/PPPN1P2/RR4K1 b kq -,g7g5:e7g6
8/1p3k1p/2n5/1N2p2p/p2r4/4K3/8/8 w - -,b5d4
2r5/p5k1/1p4p1/2bBPbKp/P4P2/BP5P/2rp4/5R1R w - -,a3c5
2rr4/1b2k2p/p1n1npp1/4p3/8/PP3NP1/1B5P/2RR1BK1 w - -,g1f2
6k1/8/1Q1p3p/p3P3/P1PP2n1/2P2pq1/2KN4/8 w - -,b6b8
8/1p5K/p3r3/k2pPp1p/Pb1P4/4B3/5PP1/2r4R w - -,e3c1
3r4/2q2pk1/2P1p2p/2R4p/1P4n1/5N2/4Q1P1/7K b - -,d8d1
r1bq1rk1/1p3p1p/2pp2pb/p3n3/P2NPN2/1PB4P/2PQ1PP1/R3R1K1 w - -,d4e2
