8/8/6Bp/p5p1/P3n3/4k2P/6K1/8 w - -,g6f7
rnbr2k1/pp2ppbp/2q2np1/8/1Pp2B2/Q1N1PN2/P4PPP/2R1KB1R w K -,b4b5
5r2/3k4/7R/6K1/P1P3P1/1P2p3/8/8 w - -,h6h2
6k1/1p4bp/3rp3/p7/2Bp4/1P4RP/P4PP1/6K1 w - -,g1f1
1br1r2k/1p3qp1/p1n1pp1p/8/Q2PR3/P1N2N1P/1P3PP1/3R2K1 w - -,d1e1
r1bq1rk1/ppppbppp/2n2n2/4p3/2B1P3/3P1N1P/PPP2PP1/RNBQK2R w KQ -,e1g1
r1b2rk1/p2nq1np/1p1p1pp1/2pPp3/2P1PP2/2NN2P1/PP1Q1RBP/5RK1 b - -,c8a6
4r1k1/pp3pp1/8/6R1/P1p1p3/4R3/2r5/7K w - -,a4a5
3rr1k1/2qn1ppp/ppb1p1n1/8/2PN4/P3PP2/BQ3BPP/1R1R2K1 b - -,c6a4
5rk1/1p1r1pq1/p3b1p1/3B2Q1/1PP5/3R4/P5PP/5RK1 w - -,f1f6
8/1R3pk1/4p3/3pP1p1/3n1PP1/8/5K2/8 w - -,f2e3
1r1q1r1k/p2bn1p1/1p1p1n1p/2pP1p2/2P1pP1P/Q1P1P1P1/P2BBN2/1R3RK1 b - -,b8b7
3r2k1/pq5p/2p1p3/3pPr2/2P1p1p1/4P3/P4PPP/1R3RK1 w - -,b1b7
r2q1rk1/1ppbbpp1/p1np1n1p/4p3/B1P1P3/2NP1N1P/PP3PP1/R1BQ1RK1 w - -,c1e3
r2r2k1/Rb2qppp/1p2n3/1P2p3/2B1Pn2/2N1BP2/QP4PP/5RK1 w - -,g2g3
3rr1k1/p1q1bp1p/2b1pnp1/2pp4/4PP2/1PNB3R/PBP1Q1PP/5R1K w - -,e4e5
r4rk1/2q2pb1/pp1p1npp/3Pp2P/P1Q5/2N5/1PPN1PP1/R4RK1 b - -,f8c8
r4rk1/2qbbppp/p2ppn2/1p2n3/4P3/P1N1BN2/1PPQBPPP/R4RK1 w - -,a1d1
3q1r1k/1r2N1np/p2Pbp2/Ppp1p1p1/1PP1P3/5NP1/3Q3P/R4R1K w - -,b4c5
3q2k1/3bppbp/6p1/1p2p3/1P2P3/3PB1PP/5PB1/2Q3K1 w - -,c1c5
r1bqk2r/ppp1bppp/2np1n2/4p3/2B1P3/2PP1N2/PP1N1PPP/R1BQK2R b KQkq -,e8g8
r4rk1/ppqnbppp/3pb3/8/3BPR2/2N5/PPP1B1PP/R3Q2K b - -,d7e5
8/p1r2pkp/6p1/8/8/5P2/B3RKPP/8 w - -,g2g4
r1b1k2r/pp3ppp/1q1ppn2/4n3/2P1P3/BNPB4/P4PPP/R2Q1RK1 b kq -,b6a6
r5k1/5pp1/3B3p/2P5/7P/1r6/p4PPK/R7 w - -,c5c6
8/8/8/1N2kb2/3p4/6p1/3K4/8 w - -,d2e2
r1b1k2r/5ppp/pqn1p3/1pnpP3/5P2/2NB1N2/PPP2QPP/R3K2R b KQkq -,a8b8
rnbqk2r/pp2bpp1/3p1n2/2pPp2p/2P1P3/2N5/PP2NPPP/R1BQKB1R w KQkq h6,h2h4
8/1p1rb3/p1p3k1/P1Pp1pBp/3P1K2/2P2P1P/8/1R6 w - -,b1g1
1b2r1k1/6pp/5pn1/1R6/PP1B4/1r3NP1/5R1P/7K b - -,b8d6
4n3/p1p4p/2R5/4kp2/P1B5/1P4P1/5PK1/1r6 b - -,e8d6
3R4/pr3pkp/4p3/1Ppb2p1/P7/8/1K5P/4R3 w - -,e1c1
2r3k1/4b3/r3p3/3nNp2/6p1/P5P1/1B2R2P/R6K w - -,h2h3
8/8/pK6/5kp1/8/4N3/8/8 b - -,f5e5
6r1/2P4p/7P/2kbB1P1/3R4/6K1/8/8 w - -,g3h4
8/p3kb2/1p4p1/8/PP5p/2PRKPb1/8/8 b - -,h4h3
3k1b1r/pB3ppp/1np1p3/1N2n3/5B2/7P/PPP2PP1/R5K1 b - -,c6b5
2kr2r1/1p1b2p1/pqnbppNp/3p4/N2P4/4P1P1/PPQ1BPP1/2R2RK1 b - -,b6a5
3k4/8/p5r1/5R2/2P5/6p1/P1P2Pp1/6K1 w - -,f2f4
1r3r2/2p1q1kp/2p3p1/2Pp4/PPn2P2/1Q2p1PP/4P1K1/1N1R1R2 b - -,g7g8
1qr1r3/pb2b1nk/1p2p1pp/n4p2/2PP4/P1NQ2PP/1B1NBP2/2RR2K1 b - -,b7a6
1r3r2/2n1ppkp/p1Npqnp1/8/P1P2P2/1PQ3PP/4P1B1/R2R2K1 b - -,b8c8
8/1b3p2/5Pk1/1p1N2p1/2p1K1Pp/BP3P1P/2P4b/8 b - -,c4b3
3k4/1ppb1p1p/p7/P1PpB2q/3P2nP/3B2P1/1P2Q3/6K1 b - -,f7f6
2rr2k1/pb5p/1p2pPpQ/4Nq2/P4P2/1P2Pp1P/2P2R2/5RK1 b - -,f5f6
r4rk1/pp3pp1/2nqp2p/3p4/3Pb3/1PP1PN1P/4BPP1/R1Q2RK1 w - -,f3d2
5rk1/4Rpb1/p6p/1p1p1qpB/2pp4/1P4P1/P1P2P2/4Q1K1 b - -,d4d3
rnbq1rk1/ppppppbp/5np1/8/3P1B2/3BPN2/PPP2PPP/RN1QK2R b KQ -,c7c5
1k1r1r2/ppb4p/2b2p2/3np3/P1N5/1PP2NP1/1K2B2P/3R3R b - -,a7a6
r4rk1/1b4pp/pp6/q1n1B3/2P5/6PB/PQ3p1P/R2R2K1 w - -,g1f1
8/P4p2/6kp/5p2/2R5/r3p2P/4K1P1/8 w - -,g2g3
r4rk1/pqp1b1pp/1p1ppn2/8/2PP4/P4N2/1PQ1NPPP/R3K2R w KQ -,e1g1
1r2kr2/3q1p2/2n1pB2/pp1pPnN1/3P4/2P5/1Q1K1P2/6RR b - -,b5b4
2b2rk1/4r2p/2pq1pp1/p2p4/3Pp2P/1PP5/P2QBPP1/R2R2K1 w - -,c3c4
3rr1k1/p4ppp/b1pPn3/8/3B4/6P1/P4P1P/R3RBK1 w - -,f1a6
4b1k1/q4p1p/4pnp1/1pNpN2P/1PnP1P2/3Q2P1/5PK1/rB5R w - -,h5g6
1r5k/4p1bp/6p1/1r1RP3/4Q1P1/8/1P6/1K6 b - -,b5b2
rn3rk1/pbp1q1p1/1p1p1n1p/4p1B1/2PPP3/2PB1N2/P3Q1PP/R4RK1 w - -,g5h4
1rb3kr/2p2R2/p4npp/2QP4/P7/6P1/1PP2PP1/3R2K1 b - -,g8f7
r1bq1rk1/pp2npbp/6p1/2p5/1n2PP1N/2PP4/PQ1N2BP/R1B2RK1 b - -,b4d3
3r2k1/p4p1p/3r1bp1/1p1Bp1Bn/4P3/8/PPP2P1P/2KR2R1 w - b6,c2c3
1q6/1P5k/B4ppp/8/4p3/p3P1P1/5P1P/1R4K1 w - -,b1a1
r1bq3r/5kpp/p3np2/1p6/3b1P2/1BNPpQ2/P1P3PP/R4R1K w - -,c3e2
6r1/3RN3/1p4kp/8/1P2pP2/r3B3/7P/7K b - -,g6h5
8/k7/P7/5K2/8/8/R4Pr1/8 w - -,f5f4
1r4k1/5rpp/p1Q5/3ppP2/4P1q1/1NPP2Pb/R6P/4R1K1 b - -,h7h5
3r1rk1/pp3p1p/4pbp1/3p4/N1nP4/1P2PBP1/P4P1P/2RR2K1 b - -,c4d6
3b4/3k4/4p3/p3P1N1/R2P4/1P2nN2/6r1/4K3 w - -,g5e4
6k1/pp1b2pp/4pr2/2rp4/5P2/P2B2P1/1PP4P/R3K2R w KQ -,e1c1
7r/1b6/5pkb/2q1Pp1p/Q7/8/PPP3PP/1K1R1R2 w - -,d1e1
2r2rk1/1b1pbppp/pqn1p3/1p1n4/3P1B2/P2QPN2/1P1N1PPP/1BR2RK1 b - -,f7f5
8/8/3k3p/p2n1p2/2KP3P/5B2/P7/8 b - -,d5c7
5bk1/2p2ppp/p3p3/2P1Pq2/P4P2/1PQr4/5P1P/2R1R1K1 w - -,c3c2
8/8/5N2/5K2/p6k/P3r3/8/8 b - -,e3a3
8/2pk4/p7/1pp2P1p/7K/2Pr3P/PP2R3/8 b - -,d3f3
2rRb1k1/4bppp/1pn1pn2/pN6/P1P5/1N4P1/1B2PPBP/2R3K1 b - -,c8d8
rnbqkb1r/pp2pppp/2p2n2/4N3/2PP4/8/PP3PPP/RNBQKB1R b KQkq -,c8f5
r3k2r/3qbp2/2n1p3/1b1pPp1p/p1pP1P2/2P1BN2/RPN2QPP/R5K1 b kq -,c6a5
r3kb1r/1p2pppp/1Q3n2/pp1P1P2/Pq6/2N2P2/1P4PP/R3K2R w KQkq -,b6b7
r1bqkbnr/pp2pppp/n1p5/3p4/4P3/3P4/PPPN1PPP/R1BQKBNR w KQkq -,g1f3
6k1/6p1/7p/1r3P2/6PK/3R3P/8/8 w - -,h4g3:d3d8
