8/3k1p2/3P1rp1/3P4/6N1/6KP/8/8 b - -,f6d6
1k2rr2/pq4b1/n2p3p/P1pN4/1pP5/5NP1/1PQ2P1P/R3R1K1 w - -,e1e8
8/p6p/4k1p1/8/P3P2P/5P2/r5P1/6KR w - -,g1h2
1qr1rbk1/1b1n1p1p/p1p2np1/1p1pP3/P2P4/1P3N1P/1BQN1PP1/3RRBK1 b - -,f6h5
r1bqk1nr/1pp1p1bp/p2p1ppn/3P4/P2BPP2/2N4P/1PP3P1/R2QKBNR w KQkq -,f1c4
r1bq1rk1/1p1nbppp/2p2n2/p2p4/3P4/P1N2NP1/1PQ1PPBP/R1B2RK1 b - -,f8e8
8/4ppkp/5bp1/3P4/p1R4P/P3KN2/6P1/r7 w - -,c4a4
6k1/5pbp/3Q2p1/3P4/2B2P2/2n4K/7P/6r1 w - -,d6c5
r1bb2k1/6pp/2p1p3/1p2Pp2/1p6/PB2P3/1B3PPP/5RK1 w - -,a3b4
r1b1r1k1/1pqnbppp/2pp1n2/p7/2PpP3/2N1BNPP/PP3PB1/2RQ1RK1 w - -,f3d4
6k1/8/8/2n5/p3p2P/2K5/N7/8 b - -,g8g7
8/r7/8/8/4k3/6KP/p4P2/R7 b - -,e4d3
3r1rk1/1p1qbppp/2pp4/p1Q2P2/P4B2/2N2P2/BPP2P1P/3RR1K1 b - -,d6c5
r2q1rk1/p2b1ppp/2p1p3/3pP3/5P2/1N1BB3/P4KPP/Q1R5 w - -,f2g1
3r2k1/1R3p1p/5np1/8/P5B1/1P2R1PP/2r2P2/6K1 b - -,d8d2
2r3k1/r1PR1pp1/4p2p/q7/8/4P2P/p1Q2PP1/R5K1 w - -,a1a2
r7/8/PB6/8/2B1pk1p/1P4p1/6K1/8 w - -,a6a7
4r3/r2nqk1p/2p2pp1/p1Pb4/3QpPB1/1P2R2P/PB4P1/2R3K1 w - -,g4e2
2b2k2/2p3qp/p1p5/3p4/3P1n1p/2PB1N2/PP3PPK/5Q2 b - -,c8g4
r4r2/p3pbk1/6pp/1p2q3/1P1pN2Q/3P1P2/P3R1P1/4R1K1 b - -,a7a5
8/5nk1/R3R3/6p1/3r2P1/1P6/P5K1/8 w - -,a6a4
8/R7/p3r1pk/1p1N4/5P2/P5K1/3n4/8 w - -,g3h4
4r1k1/1p3ppp/p2p1bnB/2qPr3/2P4P/6P1/PP1QBRK1/5R2 w - -,e2d3
8/6k1/6p1/7p/3R3P/4P2K/5P2/6r1 w - -,d4f4
3q1b1k/3rn1rp/1R2Q3/p1p2p2/P1Pp1P2/3P1B1P/1P1B3K/6R1 w - -,g1g7
8/8/4p3/4k3/PRK1B3/r7/8/8 w - -,c4b5
r5k1/1qQn1bp1/1p1p1r1p/p4p2/4P2N/5PP1/PP5P/2RR1BK1 b - -,b7c7
rnbq1rk1/p1p2pbp/1p2pnp1/3p4/2PP4/2N1PN2/PP1BBPPP/R2Q1RK1 b - -,c8b7
8/1p2p2k/2pn2bp/6p1/1P1PP2r/2B1KP2/6B1/6R1 w - -,g1a1
b3r1k1/7p/p5p1/5P2/2Bp4/P4qP1/P6P/2RQ2K1 b - -,g8f8
2r3k1/5ppp/4p3/pp1qP3/3BbPP1/1P6/PKP2Q1P/2R5 b - -,a5a4
r1bqkb1r/pp1n1p1p/2pp2p1/4p1Pn/3PP3/2N1BN2/PPPQ1P1P/R3KB1R b KQkq -,d8c7
3r1k1r/2q1bp2/p2Np1p1/3BP2p/Ppp2P2/4Q3/1PP3PP/3R1R1K b - -,e6d5
8/2r2pk1/2R4p/6p1/8/5BP1/5K1P/8 b - -,c7d7
3k4/3n4/p4p2/3Np1pp/1P2P2P/2P2PP1/8/4K3 w - -,e1f2
r1bq1rk1/1pp2pp1/3p1np1/p2Pp3/1bP1P3/2N3N1/PPQ2PPP/R1B2RK1 b - -,b4c3
2kr1b1r/pppqpppp/1n3n2/3PQ3/4b3/1B3P2/PPPP2PP/R1B1K1NR w KQ -,f3e4
3r4/1p4k1/3qP2p/p2Pp3/Pn6/1P5P/3Q2B1/4R2K w - -,g2e4
2r4R/pnq2kr1/1p2ppN1/6B1/3P4/2P5/P1Q2PP1/1R4K1 w - -,g5h6
r4rk1/p1p1qpbn/2p3pp/4Pb2/3Q4/4BN2/PPP2PPP/RN2R1K1 w - -,b1d2
4r3/pp1n1pk1/2pb1np1/3pN2p/3P1N1P/2P2PP1/PP1BRK2/8 w - -,f4d3
2kr2nr/pp3pp1/7p/2bpP3/Pnp2B2/5N2/1P2PPPP/2KR1B1R w - -,e2e3
8/5nbk/1p1n4/2pPp3/2P1Pp2/2BB4/3N2KP/8 b - -,h7g6
r2qk2r/pp1nbpp1/2p1pnp1/8/3P4/1Q2P3/PP1NBPPP/R1B1K2R b KQkq -,d8c7
1n6/2p1R2p/p5pk/1qPQ1r2/1p6/5P2/1P4PP/2KR4 w - -,d5d2
r3r3/ppp3k1/3p2pp/5q2/5P2/2P3P1/PP1Q1RKP/4R3 w - -,f2e2
2brr3/6k1/np1p1np1/pN1Ppp2/2P5/6PP/1P1NBP1K/1R2R3 w - -,f2f4
8/5pkp/1pn1p2p/p3P3/P7/4P3/2p3PP/2R3K1 b - -,c6b4
8/8/8/2p1Bp1p/2k3pP/2Pb2P1/2r2PK1/4R3 b - -,d3e2
4k3/4P3/3P4/1p6/1p6/3B2p1/P5K1/4r3 b - -,e1e5
8/R7/6Pp/1r2p1k1/8/5PK1/1P4P1/8 b - -,g5g6
rqb2rk1/2b2ppp/pBp5/2Ppn3/N7/2Q2BP1/PP3P1P/R3R1K1 b - -,e5f3
r2qkb1r/pppbpppp/2np4/8/Q1PP4/2P3P1/P3PPBP/R1B1K1NR w KQkq -,a4c2
r4rk1/5pp1/p3p2q/2p5/4Q1PP/8/PPPR4/2K4R b - -,a8d8
8/1p5k/p7/1b1p1p1P/3P4/P3B3/2P5/4K3 w - -,e3f4
8/5p2/6p1/3R4/4Pk1p/3B1P1P/1p1q2P1/5K2 b - -,f4e3
4bk2/p7/1p1p4/n1pP3p/2Pp4/1P1N2qP/P3Q1B1/6K1 w - -,d3f2
3br1k1/pq1n1r1p/1p2n2B/1P2p1p1/P1Pp1P1N/3P1P1N/R2Q2KP/5R2 b - -,g5h4
8/3k3p/8/p2p1Np1/1p1PpnP1/1P2K2P/P7/8 w - -,h3h4
r1b1r1k1/2n5/p1Ppp3/RN1Pb2p/1P2P1p1/4B1P1/R4PB1/6K1 b - -,a6b5
3r2k1/3r4/6pp/1q6/p3p2P/6P1/PPR5/1KN1Q3 b - -,b5f5
6k1/3n2q1/8/3P3Q/4p2P/2p2PP1/1rR4K/8 w - -,h5e8
rn1q1rk1/ppp2ppp/4pn2/2bp4/6b1/1P1PPN2/PBPN1PPP/R2QKB1R w KQ -,h2h3
r2q1rk1/pp2ppbp/5np1/3P4/3P2b1/2N2N2/PP3PPP/R1BQ1RK1 w - -,h2h3
r1b1k2r/1pqnbp2/p3p2p/3pP1p1/6Q1/P2B1NB1/1P3PPP/2R2RK1 b kq -,c7b6
3r4/6R1/5p2/1p5p/P1Pp3p/3K1k2/5P2/8 w - -,a4b5
1rb1rbk1/2qn1ppp/ppnpp3/6P1/P3PP2/1NN1B3/1PP3BP/R2Q1R1K b - -,g7g6
r1bqk2r/ppp2pbp/3p4/4n1p1/2P4P/2N3B1/PP2PPP1/R2QKB1R w KQkq -,h4g5
1r1q1rk1/pbnpppbp/1pn3p1/4P3/P1B1Q3/2N2N2/1PP2PPP/R1B1R1K1 w - -,e4h4
r6k/1p2b1pp/p1np1qr1/P2Qp3/2N1Pp2/2P2P2/1P2B1PP/R2R3K w - -,c4b6
8/p5p1/n2k1p1p/8/3K4/P6P/B4PP1/8 w - -,a2c4
1nb1k2r/1p2ppbp/3p1np1/8/1PB1P3/1p2BP2/1PP1Q1PP/r2NK2R b Kkq -,b3c2
r5k1/p4n1p/3b1pp1/1R6/8/1b3P2/PPP3PP/4R1K1 b - -,b3c2
r2q4/2p3k1/p1n3b1/1pb3p1/4r1P1/1BP2NP1/PP2Q3/2KR3R w - -,d1d8
5rk1/5p1p/p5p1/4p3/1p3r1b/3N1p1R/PPP5/1K1R1B2 b - -,f8d8
2r5/5r1k/2q3p1/p3ppQp/Pp5P/1N4N1/1PP2R2/1K6 w - -,g5e3
r1bq1rk1/pp2npbp/2n1p1p1/2p5/2P5/P1N2NP1/1B1PPPBP/R2QK2R w KQ -,d2d3
3r4/pp3pk1/3p2n1/2pP2P1/2P1R3/1P3K2/Pb1B4/7R w - -,d2f4
r2nk2r/1bqnbppp/p3p3/3pPP2/1ppP4/2P1B1PP/PP1QN1B1/R2N1RK1 b kq -,a6a5
6k1/p4rq1/1p4p1/4Ppn1/3r3N/PP3PP1/2Q5/3R2K1 w - -,d1d4
r2qr1k1/pp1n1pbp/2p2np1/3P4/4p3/2N1PB2/PP3PPP/1RBQR1K1 w - -,d5c6
r1bq1k2/p7/2p1pn1Q/1p1r4/3P3P/5P1N/PPP3P1/1K1R3R b - -,f8e7
6r1/8/8/7P/1P5K/1P2pk2/4R3/8 w - -,e2e1
8/7k/6p1/7p/4K3/P4Pb1/8/8 w - -,f3f4
