8/4n1k1/4R3/6pB/Pp3p2/8/3r4/6K1 w - -,e6e7
k1r5/r5pp/RR6/N1P1p3/8/P1n3P1/5PP1/6K1 b - -,c3e4
8/5p2/1r1pP3/4k1pp/1PR1P3/6KP/5PP1/8 b - -,f7e6
4r3/pp2kp1Q/1np2p1p/6qN/1b6/5B1P/PP3PP1/5RK1 b - -,g5g6
8/r3n1kp/3N4/8/8/1P1R3P/1K4P1/8 w - -,b3b4
r7/p3k3/1p1pN2p/3Pbrp1/1PP5/4R3/P4PP1/4R1K1 w - -,g2g3
q4k2/2b2p1p/p7/2P2b2/8/8/P4PPP/1R2Q1K1 w - -,b1d1
1r1nr1k1/2pq1pbp/p2p2p1/1p1b1PN1/n3P3/2P1B1N1/PP2Q1PP/3RR1K1 w - -,d1d5
rnq1k2r/ppp1bppp/5n2/3p1b2/3P1B2/1QN1PN2/PP3PPP/R3KB1R b KQkq -,b8c6
r3r3/1p2k2p/n1p1bp2/p1n1p1p1/2P1P3/2N1KPPP/PP1R4/3RNB2 b - -,a6b4
5rk1/pQ2p3/2np4/3N1p1q/3PP3/4B3/1P1K4/8 b - -,f5f4
4k3/8/5K1p/3P1p2/8/8/8/8 w - -,f6f5
1rb1k2r/5ppp/p3p3/q1bpP3/3N1B1P/2p1Q3/P1P2PP1/K2R1B1R w k -,f1c4
2r2rk1/1p2b1p1/p2p4/P2P3p/R3N2P/4P1P1/8/4K2R w K -,e1d2
r1bq1rk1/1p3ppp/1p1b1n2/p2Np3/P1B1P3/5N2/1PP1QPPP/R4RK1 b - -,f6d5
3k4/8/5R1p/2p1p1p1/1pB1P1Pn/1Pr1P3/P2K3P/8 b - -,d8e7
r1bqkb1r/pp2pppp/1nnP4/8/2p5/2P2N2/PPBP1PPP/RNBQK2R b KQkq -,d8d6
1r2r1k1/pp3p1p/3Qbqp1/8/2P1B3/1P6/P4PPP/3RR1K1 b - -,b8d8
r1b1r1k1/pppnqpbp/3p1np1/8/1PPPp3/2N1P3/PBQNBPPP/R3K2R w KQ -,g2g4
r2qkb1r/pp3pp1/2p1pn1p/3p4/3P4/2NQPN2/PPP2PPP/R4RK1 w kq -,a2a3
2b5/1k1p2Q1/2p1pB1r/7p/2P2P2/1P3K2/r5PP/8 b - -,h6f6
r3kb1r/ppqn1ppp/2p1pn2/2PpNb2/3P2P1/1Q2P3/PP1NBP1P/R1B1K2R b KQkq g3,d7e5
8/p3nkp1/4pp2/3p2PB/3P4/2P1B1Q1/3K4/1qr5 b - -,g7g6
5qk1/1p4p1/2p5/3p4/p2P2Qp/8/8/4R1K1 b - -,a4a3
2r3k1/p3q2p/1p2p1p1/3pPnP1/3P2P1/5N1R/PPrQ4/1K1R4 w - -,d2e1
8/1k3p2/p3p3/3r4/6Rp/1Pp5/P1P1rPPP/2KR4 w - -,g4f4
3r2k1/6R1/2B1R1K1/p7/P4b1p/7P/1P1r2P1/8 b - -,g8h8
3r2k1/p1q2rpp/n1p2p2/2p1P3/2Pp1Q2/P5P1/1P3PBP/1R3RK1 w - -,e5e6
2br2k1/5pp1/1p5p/p4q2/1b2p2P/1P2P1P1/PB2QPBK/2R5 w - -,b2d4
2r1q1k1/p3rpPp/1p6/1Nb5/3p1R2/1P3Q2/1PP3PP/R6K w - -,f3d3
2kr1r2/ppqb2p1/2nbpp1p/1n6/1PNpPPP1/3P2N1/2PB2BP/1R2QR1K w - -,c4d6
rnbqkbnr/pppp1ppp/8/4p3/2P5/5N2/PP1PPPPP/RNBQKB1R b KQkq -,b8c6
7r/5p2/2qpb1k1/1r1N2b1/2p1Ppp1/8/RPP1QPP1/3R1NK1 w - -,f1h2
2q2r1k/6pp/b3R3/p1pB2P1/P4p1P/1P2bQ2/2P5/3R3K w - -,e6c6
rnb2k1r/p3npp1/1p2p2p/2PpP3/q4Q2/P1P2N2/R1PB1PPP/4KB1R b K -,a4f4
3r2k1/pp2qp1p/8/7N/5Q2/6Pb/P3PP2/2R3K1 b - -,d8d6
8/8/8/3n4/2k5/p4rPP/N1KR1P2/8 b - -,f3b3
3k1r2/p7/1p5p/1R1pP1q1/2pP2P1/P1P2B1Q/2b1K3/8 w - -,b5d5
6rk/4p1rp/3p1bP1/1pqP1P2/6R1/2P4Q/1P1B4/5RK1 w - -,d2e3
1r1q4/2p2pk1/3p1p2/p6r/2P1BPb1/4b1P1/PPQ2P1P/1R2R1K1 w - -,e1e3
1r3rk1/1p2pp1p/p2pb1p1/q7/P1PQP3/R5PP/1P3PB1/5RK1 w - -,f1c1
r4rk1/1bqnppbp/p1pp1np1/1p6/3PP3/2P2N1P/PPQ1BPP1/R1B1RNK1 w - -,c1f4
4k3/B4p2/6p1/1p1PP2p/p1r1B2P/4K1P1/1Pn5/8 w - -,e3d3
6k1/1B3p2/3npn2/4N3/3P2p1/4P1P1/1R3PK1/r7 w - -,b7c6
rnbq1rk1/pp2ppbp/3p1np1/2p5/2P1P3/1P1P1N2/PB3PPP/RN1QKB1R w KQ -,b1c3
2R2bk1/5p1n/p2r2pp/1p1P4/5P2/4B2P/PP4P1/1B4K1 w - -,e3c5
r1bqkbnr/pp1npppp/3p4/1Bp5/4P3/1P6/PBPP1PPP/RN1QK1NR b KQkq -,e7e6
1r2nn1k/1p3q1p/pN1p1rpb/PbpP4/2N1R3/1R1B3P/1P2QPPB/6K1 b - -,h6g7
1k2r3/ppq2pp1/2p5/5PPn/2pP4/P1N4P/1P6/1K1R1Q2 b - -,h5f4
r1b1k2r/pp2bppp/2n1p3/1N1pP3/3P4/P2BPN2/6qP/R2QK2R w KQkq -,b5c7
1r1n2k1/1p1N1pp1/4b2p/3pp3/2P5/2BP2P1/4PPBP/1R4K1 b - -,e6d7
r1bq2k1/ppnn2pp/2pbp3/5r2/3PN3/5NP1/PPQ2PBP/R1B2RK1 b - -,d6e7
8/5p2/4p3/5k2/5P1R/2r4P/5K2/8 w - -,f2g2
1r1q2k1/5pp1/R6p/3B4/Rp1bP3/1P4P1/3B1P1P/6K1 b - -,d8e7
r1bqr3/pppn1pbk/5npp/4p3/2P1P3/2N2N2/PP1BBPPP/R1QR2K1 b - -,c7c6
8/1pnkbp2/4b3/rp1pPp2/3P2pp/P1NNB3/RP1K1PPP/8 b - -,a5a8
4k2r/1b1qbpp1/p3p3/1p1nP1Bp/3PB3/1Q3N2/P4PPP/2R3K1 b k -,d5f4
1k4r1/pp1R1pN1/5r2/7p/1P4n1/8/P5P1/4R2K b - -,b8c8
3q1r1k/7p/p2Pp3/5p2/2nN1P2/6rP/6P1/3R1RK1 w - -,d4e6
3r4/1p4kp/2n5/p7/P1p5/2P2N1P/1P3KP1/4R3 b - -,d8d5
2b5/4kp2/2n5/5P1B/P1R2K2/4N2P/8/2r5 b - -,c1c4
r4rk1/3bbp1n/pqp1p3/3pB1p1/1P1N4/2P1P3/P2N2PP/R2Q1RK1 w - -,d1h5
2rqr1k1/pbpn1pbp/1p3np1/3p4/3P1N2/1P1BP1N1/P4PPP/R1BQ1RK1 w - -,c1b2
4r2r/pp3bkp/3q1pn1/3p1B1Q/3P4/6R1/PP2N1PP/5RK1 w - -,e2f4
1n4k1/1pq1b1pp/2p1bp2/p1P1p3/QP6/P5P1/1B1NPPBP/6K1 w - -,g2e4
1r1q2k1/1Pp3pp/p1r2pb1/2Np4/1P6/P2N4/2Q3PP/R1B3K1 b - b3,b8b7
1k2r3/1pp5/p2b4/4n3/4Q3/6N1/PPP2PPP/4RK2 b - -,e8e7
5k2/5p2/1P1Nn1p1/4q3/5P1p/7P/6PK/8 w - -,f4e5
r4r1k/p4ppp/b7/3N4/P7/4P3/3P1PPP/2R1R1K1 b - -,a8d8
r2qr1k1/pp3ppp/2ppb3/8/1bP5/4P1P1/PB1P1PBP/R2Q1RK1 w - -,d1c2
r3k2r/pppqn1pp/3b1B2/3ppp1b/7N/2PP2PP/PP2PPB1/R2QKN1R b KQkq -,g7f6
3r1b2/3r1k2/6p1/1N3p1p/2n2P2/P1Bp3R/3P1NPP/2K5 w - -,c3b4
7k/8/4Bb2/PR4pp/8/4P3/1P2K2P/6r1 b - -,g1a1
1k6/2R4p/P4p2/1P1pp3/1K5P/8/8/5r2 w - -,c7b7
2b1rrk1/2p3p1/p6p/1pqPNp2/8/1P5P/1P1Q1PP1/3RR1K1 b - -,c5d6
r4rk1/pp2ppbp/6p1/n2pP2P/Q2P2q1/2P2N2/P4PP1/R1B1R1K1 b - -,b7b6
r5k1/p3bpp1/4p2p/1q2B3/2p1P1P1/5P2/PP2Q1KP/3R4 w - -,e5d4
8/6pp/3k1p2/1p1nP3/1P2K1P1/3NP3/7P/8 b - -,f6e5
r1bn1r1k/ppp2qb1/3p2pp/1P1Npp2/2P5/3PP1P1/P3NPBP/1R1Q1RK1 b - -,c7c6
1q6/3r2k1/p3p1p1/1p2Pn1p/1bRP1B1P/3Q2P1/PP2RP2/1B4K1 b - -,b5c4
6k1/5p2/6p1/4n2p/qp1N3P/2r1P1P1/1Q3P2/5RK1 b - -,e5c4
r3k2r/ppp1qppp/3p4/4nb2/2P2B2/P1Q1P3/1P2BPPP/R3K2R b KQkq -,e8g8
r2q1nk1/ppb2ppp/2p1rnb1/1P1p4/3P4/BNNBP2P/P1Q2PP1/1R3RK1 b - -,f6e4
