8/Q2bk2p/1p6/4P3/1q6/8/4BK2/8 b - -,b4d4
2Q5/8/1p3p2/1N1p1kp1/3P1q1p/pP5P/P4Pn1/K7 b - -,f5e4
r3k2r/pp1n1pp1/4p2p/1Bb1N3/5B2/8/PPP2PPP/4K2R b Kkq -,a8d8
1r1q1rk1/1p1bppbp/p1np1np1/2p5/P1PPP3/2N1BPP1/1P2N1BP/R2Q1RK1 b - -,c5d4
r4rk1/ppqnbppp/2p1pn2/7b/1PPP4/P3BN1P/3NBPP1/R2Q1RK1 w - -,d2b3
3rk2r/4ppbp/p5pn/1pqpP3/3N1P2/2P1B3/PP2Q1PP/R4RK1 b k -,c5c8
6k1/1r4pp/8/1N2P3/p7/3NK3/6P1/8 w - -,b5c3
rnbq1rk1/p5b1/2pp1n1p/4p3/4Pp1B/2PB1P2/PPQNN2P/R3K2R b KQ -,b8d7
8/r3k1p1/P3p2p/3p4/1n1P2PP/5K2/4B3/2R5 w - -,f3e3
3q1rk1/pp2ppb1/7p/2rPn1p1/2p1P3/P1N4P/1P1QBPP1/3R1RK1 w - -,d2e3
RrB5/1Pb5/5kp1/3Kp2p/7P/6P1/5P2/8 w - -,d5c6
3r2k1/4ppb1/6pp/1R6/4P3/2N2NP1/5P1P/6K1 b - -,g7c3
2rq1rk1/1p1bppbp/p1np2p1/1n1NP3/3P1P2/1P2B1PP/P2QN1B1/R4RK1 w - -,a2a4
6k1/5pb1/2p3pp/8/P7/1r2pP2/4N1PP/2R3K1 w - -,c1c6
1qr1r1k1/1b3pb1/pp4p1/6P1/3PpQ2/P1N1B2P/1P4R1/5RK1 b - -,b8f4
r1bqrnk1/p5p1/1pp1p3/3pbpNB/2PP3P/2N1P3/PPQ2P2/2KR3R b - -,e5f6
r2q1k1r/2pbn1b1/np1p3p/p2Ppp1B/2P1P2P/P1N1BP2/1P6/1RNQK2R b K -,d7e8
2r3k1/5p2/1q2pP1p/p3Bnp1/8/8/PP2Q1PP/3R3K w - -,e5c3
1r3rk1/1Q3pp1/1p1p2p1/p1n1p1b1/2P1P2P/1P3BP1/P4P2/2RR2K1 b - -,b8b7
8/1n2bk1p/4p3/1Pp1P3/2N1pP2/2B2K1P/8/8 w - -,f3e4
r3r3/3k2pp/p3Np2/1p6/8/1BqPQ3/P1P3PP/5R1K w - -,e3h3
3r2k1/r4p2/2Rp2p1/2nPq3/4p3/6PB/3QPP1P/5RK1 w - -,f1b1
8/pb2n3/1p2k2B/5pp1/2P5/3BKPP1/PP5P/8 b - -,g5g4
5nk1/p1q3b1/2p1r1b1/N1Pp2pp/Q2P1p2/5B1P/P2B1PP1/4R1K1 b - -,e6e1
8/p7/3k4/1p1P2p1/4n1P1/3N4/r7/3R2K1 b - -,a2d2
rn1q1rk1/ppp2pbp/5pp1/3p4/3P2b1/4P1P1/PPP1NPBP/RN1QK2R w KQ -,c2c4
2r3k1/5p2/8/P5p1/1B1R1bP1/1PP1p3/5P2/5K2 w - g6,f2e3
5rk1/pppq3p/2npbrp1/4pp2/2P1P3/3P2P1/PP1QNPBP/2R2RK1 w - -,e4f5
1rb1rbk1/2qn1p2/2pp1npp/4p3/Np1PP3/1P4PP/1BPQ1PBN/3RR1K1 b - -,c6c5
8/5k2/8/8/2PQ4/1K4r1/8/8 w - -,b3b4
1k3r2/pp1r2bp/1Q6/5bP1/2P2p1R/3p1N2/PP1B2P1/4R1K1 b - -,a7b6
3k1B2/5p1p/4p3/8/4P1P1/5P2/1PP1K2P/2r5 w - -,e2d2
5r2/5ppk/3p1b1p/pp1NpP2/2r1P3/P7/1PP1R1PP/R6K w - -,c2c3
5r1k/R2b1pbp/2N3p1/8/8/1P4P1/P2r1PBP/5RK1 b - -,d7c6
r5k1/1p4pp/2pR4/p1n5/2b5/P4NP1/1P3PBP/6K1 w - -,f3d2
r1bq1r2/2p1npbk/pp1ppnpp/8/P2PP3/2N1B2P/1PPQBPPN/3RR1K1 b - -,c8b7
6k1/5p2/1B3n1p/P3bPp1/3p2P1/3B3P/P7/7K b - -,f6d5
3R4/4p3/4k1p1/r1p1Pp1p/p1P2P1P/P7/1PK3P1/8 w - -,d8g8
8/8/3pkp2/7R/2P2P1P/4P3/2K5/6r1 w - -,h5h7
rnbqk1nr/3pp1bp/p5p1/1PpP1p2/8/5NP1/PP2PP1P/RNBQKB1R w KQkq -,b5a6
r1r2nk1/p4ppp/4b3/qp1p2P1/3P1P2/2NB3P/PPQ5/1K1R3R w - b6,c2d2
r1b1kb1r/pp1n1ppp/1q2pn2/3p2B1/3P4/2N5/PP1NPPPP/2RQKB1R w Kkq -,d1a4
rnbqk2r/pp2npbp/4p1p1/2pp4/4P3/N1PP1N2/PP2BPPP/R1BQ1RK1 b kq -,e8g8
r2q1rk1/1p1nbpp1/p2p2p1/3Qp3/2P1P3/4B1PP/PP3PB1/R4RK1 b - -,d8c7
4R3/2r4p/4B3/p2p1p1p/2nk4/5K2/8/8 w - a6,e8d8
5rrk/RR4bp/2Pp2p1/Q3pp2/4b3/4P1PP/4qPB1/4B1K1 b - -,e4g2
7r/5pp1/1nk1p3/pp6/4N3/PP3P2/2PR1KP1/8 b - -,b6d5
8/6kp/n1N2pp1/4p3/4P3/np3PPP/1N3K2/8 w - -,f2e3
8/5ppk/4p2p/3Rn3/7P/P3KNP1/8/8 b - -,e5c4
rn1q1rk1/pb3pbp/1p2pnp1/3p4/3P4/1PN1PNP1/P4PBP/R1BQR1K1 b - -,f6e4
rnbqkb1r/pp2pppp/5n2/2ppP3/5P2/2N5/PPPP2PP/R1BQKBNR b KQkq -,d5d4
8/7p/1r2pkp1/pp1p4/2r2P2/P1PK2P1/1P2R2P/R7 b - -,b6d6
8/p3kp2/1pn1r1pp/3R4/4P3/P3K1P1/7P/2R5 w - -,c1d1
2kr4/pp3Q2/2p1Pn1q/3p2b1/3P1p2/6B1/PPP1B3/1K3R2 w - -,e6e7
2k1n1rr/1ppq2p1/pb1p1pn1/3Pp1Bp/2Q1P2P/1NN2PP1/PPP4R/1K1R4 w - -,g5c1
r4r2/1pqb2kp/6p1/p1p1pp2/2Q1n3/1P3NP1/P3PPBP/R1R3K1 w - -,c4c2
3b4/8/3pk3/p2p4/P2P3p/1PNK3P/8/8 w - -,d3e3
2rqk2r/p2n1pbp/b1P3p1/3p4/p2Nn3/BP4P1/P3PPBP/2RQ1RK1 w k -,c6d7
r2r2k1/4ppb1/1n5p/pBqNB1p1/P1p5/7P/QP3PP1/3RR1K1 b - -,d8d5
r1bqkb1r/pp1npp1p/2pp1np1/6B1/3PP3/2N5/PPPQ1PPP/R3KBNR w KQkq -,f2f3
2r2rk1/pp4pp/2p2bb1/4p3/PPN1P2P/1nN3P1/5PB1/3R1RK1 b - -,c8d8
r2qbrk1/pp4pp/1nn1pb2/3p4/3P4/1P1B1N2/PB2NPPP/2RQR1K1 b - -,e8f7
2r5/1p1k1p2/4p3/p2pP3/P2P1Ppp/8/1P4PP/5RK1 b - -,c8c4
r1bqk2r/2p1b1pp/p1pp1pn1/4p3/3PP3/2N2N1P/PPP1QPP1/R1B2RK1 b kq -,c8e6
r1bqkb1r/pp3ppp/2n1p3/1N1n4/4P3/2N5/PP3PPP/R1BQKB1R b KQkq e3,d5c3
1r1qr1k1/5pp1/2bp3p/p1p5/2PbPP2/1PNB4/P2Q2PP/4RR1K b - -,a5a4
r2qkbnr/pp3ppp/8/3ppb2/1nP1N3/P1N5/1P3PPP/R1BQKB1R w KQkq -,c4d5
rnbq1rk1/ppppb1pp/4pn2/5p2/2PP4/2N3P1/PP2PPBP/R1BQK1NR w KQ -,d1b3:g1f3:g1h3:e2e3
5r2/pb2kpn1/1p5p/3pNR2/1P5P/PB2P3/6PK/8 w - -,f5f2
8/8/7p/2r2pPk/4p3/4N1PK/5P2/3R4 b - -,h6g5
r2qknnr/1bp1p1bp/p2pp1p1/1p4N1/3P1P2/2N5/PPP1B1PP/R1BQK2R w KQkq -,e2f3
1rb2rk1/1p4bp/pNp3pn/2N1p3/1PP5/4PpPP/P4P1K/2R2R1B b - -,g6g5
r5k1/2p1prbp/pp2N1p1/1n1PP1B1/qRn2PP1/2PQ3P/6B1/5RK1 b - -,c4e5
r3r1k1/pb1nqppp/1p2pb2/2p5/8/PPnPPN2/1BQ1BPPP/2RR2K1 w - -,b2c3
r3r1k1/2p1qpp1/b2p3p/p1pP4/4P3/1P3PPP/P2Q2B1/R3R1K1 w - -,f3f4
7k/7p/7q/4PQ2/6P1/5PK1/8/8 b - -,h8g8
7Q/4kp2/1p6/p7/5q2/P1P5/KPB5/2b5 w - -,h8c8
r1b3r1/p6k/3p1bq1/2pP1p1p/2P1pPn1/4P1PB/PB2QNR1/6RK w - -,h3g4
rn1q1rk1/pbpp2pp/1p2p3/5p2/2PPn3/P3P3/1PQ1NPPP/R1B1KB1R w KQ -,e2g3
r1bq1rk1/pp2bppp/2n1pn2/1Np5/P2P4/2P2N2/1P2BPPP/R1BQ1RK1 b - d3,a7a6
3r2k1/1q3p1p/2p1p1p1/3n4/1P6/2P3P1/5P1P/R3QBK1 b - -,d8a8
8/8/5p1p/4b2P/6R1/3r2PK/4k3/8 b - -,e2f2
q4r2/3n2bk/2b1p1pp/2p1P3/p1PpNBQP/6P1/1P3P1K/4R2B b - -,f8f5
4r1k1/R3P1p1/2Nn2n1/2N2p2/1P6/8/5P2/5K2 w - -,c5e6
r1b2rk1/p3B1bp/1q4p1/3p4/2ppp3/1N5P/PP4PN/R2QR2K b - -,c4b3
8/7p/7k/5qp1/8/4Q3/7K/8 w - -,e3b6
