8/8/6P1/2k5/2b5/K4p2/8/4R3 w - -,e1e3
5rk1/5bp1/p2qpr1p/1p1nN3/3PR3/PB5P/1PQ2PP1/4R1K1 w - -,e5f7
b2r4/7p/2p1B1p1/1pb1kP2/2p1P3/2N3P1/1P2R1KP/8 w - -,h2h4
2k5/6R1/1pBp1p2/6p1/P2b4/2n3P1/7P/5K2 w - -,h2h4
1r2k2r/4bpp1/7p/q1ppN2P/p4Pb1/2P5/PPQ3P1/1RB1R2K b k -,g4d7
2r2rk1/1pqnbppp/p2p4/P2Pp3/2P1n3/1N2B3/1P2BPPP/R2Q1RK1 w - -,f2f3
3rnrk1/pp3pbp/4b1p1/2p1p3/1PP1P3/P1N1B3/4BPPP/R4RK1 b - -,c5b4
2r3k1/5q1p/p2p1Bn1/2rPn3/P3B3/3Q4/6PP/4RR1K w - -,d3g3
1rb2r2/p5bk/3pp1pp/2p2p2/N2nPP2/qP1PB1P1/2PQ1RBP/1R5K b - -,c8d7
8/8/6k1/5p2/p3R1PK/P7/5r2/8 w - f6,e4a4
1rbq1rk1/1p1nbppp/2n5/p3p3/2Pp4/1P1P1NP1/P1N2PBP/1RBQ1RK1 w - -,f1e1
5rk1/Q4pbp/6p1/1q2p3/P7/4B2P/5PP1/2R3K1 b - a3,b5d5
r1b1k1r1/3p1p1p/p3p3/5N2/2pB1P2/b7/P1P3PP/1R2R1K1 b q -,d7d5
rnb2rk1/1p2q2p/p2p2p1/2pPN2B/P7/2NQ3P/1P3bPB/R4R1K b - -,d6e5
r4k2/5ppp/8/1R6/Pp1r4/1P4P1/5P1P/R5K1 w - -,a1c1
r7/8/2p1kp2/1p2n1pP/p3P1P1/2P1K3/RP2B3/8 b - -,e5d7
2b2rk1/q1N4n/p2P2p1/P1p1p3/7p/5B2/3Q2PP/2R3K1 w - -,d2d5
r1b1k1nr/pp3ppp/2n5/3P1q2/2P1p3/5N2/P2B1PPP/R2QKB1R b KQkq -,e4f3
2r3k1/4q3/1R1p2p1/1BrPpp2/1QP1PnP1/5P1p/2R4P/6K1 b - -,f5e4
6k1/1p6/2p2p2/2N1pP2/4b2P/1P4PK/r2b4/3B1R2 b - -,e4d5
r4rk1/1b3ppp/pN2p3/1pq1P1b1/3N4/P2R3Q/1PP3PP/1K2R3 w - -,b6a8
3r2k1/5ppp/4p3/p7/1p2NPP1/1P1r4/n4K1P/2R1R3 w - -,c1c7
8/8/5k2/8/4PpKN/5P2/8/4n3 w - -,g4f4
r1b1qrk1/pppn1pbp/n2p2p1/3Pp1B1/2P1P1P1/2N4P/PP1N1P2/R2QKB1R b KQ -,f7f5
6k1/1p2pp2/8/3p2p1/3P4/6P1/PP1q3P/5QK1 w - -,f1f2
5k1r/5ppp/1p2p1n1/qBbnP3/P1Q1R3/5N2/5PPP/3R2K1 w - -,d1d5
5n2/ppq1rprk/5p1p/2P1pP1Q/3p2RP/1B1P2P1/P4P1K/4R3 b - -,g7g4
6k1/p3b2p/2p3p1/2Pp1pP1/4rN2/1P4P1/P7/2R3K1 w - -,g1f2
2r2k2/pp3prp/2n5/1N6/2R3b1/3R1N2/PP3PPP/6K1 b - -,g4f3
5r2/k1p3Nb/2P4P/pp2B1n1/4P3/P3K1P1/6B1/8 w - -,e5d4
6r1/5p1p/2p5/8/3kP1p1/1PNB4/P1PK1PPP/8 w - -,c3e2
1nn1k3/6p1/3PNp1p/pP1p4/3P4/B7/5PPP/6K1 b - -,e8d7
r2q1rk1/ppp2nbp/3p1p1n/Q2N4/2BPPBpP/8/PPP3P1/R4RK1 w - -,f4h6
8/2R5/3P4/1k6/1p6/1pr5/3K4/8 b - -,b3b2
r3kb1r/ppp1pppp/8/1B6/8/P4N2/1P3PPP/R1B1K2R b KQkq -,c7c6
5R2/8/8/1PK2p2/5k2/5b2/8/8 w - -,c5d4
6k1/2Q1bpp1/1pB1p1bp/p1q5/5B2/P6P/1P3PPK/8 w - -,h2h1
r1bqk2r/pp1nbppp/2pp1n2/4p3/2BPP3/2N2N1P/PPP2PP1/R1BQK2R w KQkq -,a2a4
rn1qkb1r/1p1b1p1p/p2ppnp1/2pP2B1/P1B1P3/2N5/1PP2PPP/R2QK1NR b KQkq -,f8g7
r2q1rk1/2p1npb1/bpn1p2p/p2p2p1/2PP3P/BP2PNP1/P2N1PB1/R2Q1RK1 b - -,g5g4
2r5/pbr1kp1p/1p2pp2/8/2P5/P3PPN1/6PP/2RR2K1 w - -,d1d4
6k1/5ppp/8/1b1pP3/nq1B4/R5PP/2r2P2/Q4BK1 b - -,b5c6
1q3r2/p2nkrp1/Pp2p2p/1Pp1P2P/2PpQPP1/R2N1RK1/8/8 b - -,b8a8
r1b2rk1/6bp/3p2p1/p1p1n1BP/PqPp1N2/RP2pP2/4Q1P1/1N1K3R b - -,c8f5
5r1k/pp3p2/8/3pN3/7p/1P6/P4PPP/2n2K1R b - -,d5d4
8/pr2p3/1pp1k1p1/7p/P1PR1PP1/1P6/2K4P/8 w - h6,d4e4
6k1/5p2/6p1/R6p/p4P1P/1p2K1P1/1Pr5/8 b - -,c2b2
r2q1rk1/p1p1npBp/2ppb1p1/8/2B1P3/2N5/PPP2PPP/R2Q1RK1 b - -,g8g7
r2q1rk1/1p1nbppp/p1n1p1b1/3p4/NP1P1B2/P2BP3/4NPPP/2RQ1RK1 w - -,h2h3
3r1rk1/pbq1bp1p/1pp1p1pB/4N2n/2PP4/7Q/PPB2PPP/3RR1K1 b - -,h5g7
r1q3k1/pp1b4/4p2Q/3pPr2/P7/R7/2P2PPP/4R1K1 b - -,g8f7
8/6p1/4pk1p/1p4b1/1N6/1P1p1P2/P1r2KPP/4R3 w - -,f2f1
rq1r2k1/4bppp/2n1p1n1/1p1bP3/4B3/P3QN2/1B1N1PPP/R3R1K1 b - -,a8a4
3b3k/1r4p1/3pr2p/p2Np3/PPp1p2P/4P1P1/2R2PK1/3R4 w - -,b4b5
1k6/1pp4p/p2q2p1/n2p1p2/P2P1P2/1QPP1KP1/5B1P/8 w - -,b3b2
3q1r1k/1nr3pp/bpn1Bp2/p3p3/P2pPP2/QP1P2P1/4N2P/2R1NRK1 b - -,b7c5
8/4K3/8/5Q2/p2q4/1p6/k7/8 b - -,b3b2
1r1r2k1/3qb1pp/bp3p2/p1pPpP2/P1P1B3/1PR1B3/5QPP/4R2K b - -,e7d6
3r2k1/p1p2rpp/3b4/Bp1P1p2/4qP2/1Q2P2P/PP4P1/2R2RK1 w - -,f1d1
rqr3k1/1b2bppp/pp1ppn2/8/2PBPP2/1PN3P1/P3Q1BP/2R1R1K1 b - -,b7c6
r2r1nk1/2R2ppp/1p2p3/p2pP3/b2N4/8/PP3PPP/1B2R1K1 b - -,d8c8
6k1/5pb1/p1r1b2p/2q5/Q5pP/2N2P2/2PB2P1/2K4R w - -,c3e4
3B2k1/p4pp1/3p4/3P1r1p/q7/6PP/P2Q2BK/8 b - -,a4e8
1r4k1/q6p/2p3p1/prN1p3/3p4/R5PP/PPRQ1PK1/8 b - -,b5c5
r4rk1/p1q2p1p/2nbpp2/2pp2Pb/Q7/2P2P2/PP2P3/R1B1KBR1 w Q -,g5f6
6k1/2r2p1p/P7/6p1/2n5/4PKPP/8/3R4 b - -,c7a7
r1b1qrk1/1p1nbpp1/p1p2n1p/3p4/3P3B/P1NBPN2/1PQ2PPP/3RK2R b K -,d7b6
8/p3r3/6pp/5Kp1/4R3/4P2P/k4P2/8 w - -,f5g6
3rr1k1/pp3p1p/1n4p1/2p1q3/2P5/P3P1NP/2Q2PP1/R4RK1 w - -,a3a4
2kr3r/1pqbbpp1/p3p2p/2nBP3/3N4/2N5/PPP1Q1PP/1K1RR3 b - -,c8b8
r2qk2r/pp2p1bp/2p2np1/3p2B1/2BP4/5Q1P/PPP2PP1/2KR3R w kq -,c4d3
2rr2k1/p4ppp/1qb1pn2/NpNn4/1P3P2/P3P3/4QPBP/2R2RK1 w - -,a5c6
6k1/2Q2pp1/R6p/4pP2/4P1q1/2Pr2P1/1P1r1P2/4R1K1 w - -,c7e5
1k1r4/1bp5/1p2p3/pP2P3/3P3R/2P1N1pP/1P3rP1/4R1K1 b - -,f2b2
rnb2rk1/p1p2ppp/1p2p3/3q4/1b1P1B2/3BPN2/PP2KPPP/R2Q3R b - -,c8b7:f7f5
6k1/pp3pp1/2p5/3p2q1/PPnB3r/2Q1P2R/6P1/5K2 w - -,h3h4
K2k4/1Q6/P7/2q5/8/8/8/8 b - -,c5c8
r1b2r2/1pb3pk/p4pp1/4p3/2B5/2PP4/PP4PP/R1B1R2K w - -,c1e3
1n6/4r1kp/pp3pp1/8/P2B1PN1/8/1PP3PP/4Q1K1 b - -,e7e1
r2qk2r/pb3ppp/2n1pn2/1p6/7Q/P4NP1/P3PPBP/R1B2RK1 b kq -,f6d5
1q3rk1/5pp1/3p3p/1p1Bp1b1/4P3/NPr5/2n2PPP/R2R1QK1 w - -,a3c2
8/p1nr1pkp/1p2bbp1/2p5/4P1P1/P3BN1P/1PP1BK2/1R6 b - g3,e6a2
1r1qk2r/p3npbp/b1ppp1p1/2p5/4PP2/1PNP1N2/P1P3PP/R1B1QRK1 w k -,g1h1
r1b2rk1/ppp3bp/n2p4/4qp2/2P5/P1N1B2P/1P2BPP1/2RQ1RK1 b - -,f5f4
r1bq1rk1/1p2bppp/p1nppn2/2p5/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 b - -,d8c7
