8/5n2/8/6k1/6BP/5K2/6N1/8 b - h3,g5f6
r2q1rk1/pb3pbp/1p1Q1np1/8/5B2/1NN5/PPP2PPP/R4RK1 b - -,f6h5
8/6p1/6kp/1p6/p4PK1/P2r3P/1PR5/8 b - -,h6h5
6R1/r5pp/8/2p3P1/4PP2/2k1K3/8/8 b - f3,g7g6
r1bq1r1k/1p4pp/1npp4/p1bPpp1Q/2B5/PPN1P3/1B1P1PPP/R4RK1 w - -,f1d1
r1b1k1r1/3p1pPp/p3p3/8/2pN1P2/b3B3/P1P3PP/1R3RK1 w q -,f1e1
r1bq1rk1/p3bpp1/3p3p/1NnBn3/5B2/7N/PPP3PP/R2Q1RK1 b - -,c8g4
6k1/pp3pp1/7p/1N1p4/1P6/P5PP/5P2/3b2K1 b - -,g8f8
5rk1/2q2r2/2p3p1/pp2p3/P2pP3/1P2bPPK/1NP1QR2/3R4 w - -,f2f1
3rk2r/p4p2/1p2p3/3qPp2/3P1P1p/1P5P/PB2Q1P1/R6K b k -,d8c8
8/8/8/kp6/8/PR6/1NK5/7r b - -,h1h2
2B5/r5k1/p4nPn/1pp1p2p/8/2P5/PPNR2P1/2K5 b - -,g7g6
1r2kb1r/1bqp1ppp/pp2pnn1/8/1PP1P3/PNN1BP2/6PP/2RQKB1R w Kk -,d1d2
1r6/8/2p2bk1/3p1p2/p1pP2p1/PrN1P1P1/1PR2PK1/7R w - -,c2d2
r2r4/2n2kp1/2n2b2/ppPp1P2/1P1P1N1p/1BB1P3/5K2/R6R w - -,b4a5
r2r2k1/ppq1ppbp/2n3p1/2pP4/4P3/2B2B2/PP1Q1PPP/2R2RK1 b - -,c6e5
rnbq1rk1/pp3pbp/1n4p1/3Pp3/7P/2N1BP2/PP1Q2P1/R3KBNR b KQ -,b8d7
r6r/ppn1kp2/2p2Npp/2p3q1/P2PP3/2P4b/1P3QPN/4RRK1 w - -,d4d5
8/5r2/1k6/2p5/1bK1R3/4P3/1P6/8 b - -,b6c6
4k2r/p1rb1ppp/1n2p3/8/3P4/2b2B2/PP3PPP/R1B2RK1 w k -,c1f4
2rb1rk1/5ppp/pqb5/2NBpP2/1p4P1/5Q2/PPPB3P/1K1R3R b - -,b6c5
rnbqk2r/1pp2ppp/p2b1n2/3p4/8/2N2NP1/PP1PPPBP/R1BQ1RK1 b kq -,e8g8
r3n1k1/1b3ppp/p3p3/1p1pP1P1/2rN1P2/P1P1B3/1KP4P/3R2R1 b - -,a8c8
r2r2k1/p4pbp/1p4p1/n1p1P3/8/1PP2NBQ/P1q2PPP/4RRK1 b - -,c2a2
r3r1k1/Q2bb1pp/2pq1p2/3p4/N7/1P2P1Pn/PB3PBP/2RR1K2 w - -,a7d4
2r3k1/2r1qpbp/3Rp1p1/4Pb2/2P5/4B1P1/5PBP/3Q1RK1 w - -,g3g4
8/4k3/4p3/pprP2R1/5Np1/P1P1n1Pp/1P5P/2K5 w - -,g5g7
r4rk1/ppq2ppp/2B5/2b1p2b/8/2P2N1P/PP2QPP1/R1B1R1K1 b - -,c7c6
1r4k1/1r1R2p1/7p/8/p1q5/2P1Q2P/1P4P1/4R1K1 w - -,e1d1
8/5pk1/7R/6Pp/2r2p2/5K2/8/8 w - -,h6a6
r3kbnr/ppq1pppp/2n5/3p4/Q2P4/2PB4/PP2bPPP/RNB1K2R w KQkq -,d3e2
r3r1k1/pb3pp1/nppq1b1p/3pN3/3P1P2/1QN3P1/PP2P1BP/3R1RK1 w - -,e2e4
8/8/8/8/3b1k2/2pK2p1/6B1/8 b - -,d4f6:d4e5
8/pp2kpp1/2n1p3/4P3/4KP1p/2R4N/Pr4PP/8 w - -,c3b3
rnbq1rk1/pp2ppbp/3p1np1/8/2P5/2N3P1/PPN1PP1P/R1BQKB1R w KQ -,f1g2
2B5/r7/R4nk1/1pp1pn1p/8/2P5/PPN3P1/2K5 b - -,a7a6
2r2rk1/pp2pp1p/3p1np1/2q5/2PnPP2/2N2RP1/PP1Q3P/2R2B1K w - -,f3d3
r1bq1rk1/p4pbp/3p2p1/2p5/2n1P3/2B5/PP2NPPP/RB1Q1RK1 w - -,c3g7
r2q2k1/pb4bp/1pp1p1p1/n1Pp4/1N1P4/1P2PQP1/PB4BP/2R3K1 b - -,b6c5
2r5/1p1nkpp1/p1rpbn1p/4p3/4P3/P1NBBP2/1PP3PP/2KRR3 w - -,c1b1
rn1qkb1r/pb1p1ppp/1p2p3/1NpP4/4P3/P2BQN2/1PP2PPP/R3K2R w KQkq -,d5d6
3rr1k1/3n2pn/pP1q3p/P1p1pp2/2Pp4/3P1PP1/4R1BP/R1B1Q1K1 b - -,h7f6
4r3/1p3kp1/p1p1n3/2P2pP1/P2P4/4PK2/5P2/1N4R1 b - -,f7g6
8/8/8/8/4K1kp/6r1/8/7R w - -,h1f1
r3r1k1/pp4pp/2p1b3/2P2p2/1P2n3/P4PP1/1B4BP/R2R2K1 b - -,e4g5
B2r2k1/5pbp/p2p4/4p3/1Pq5/p2Q2P1/P3KP1P/R6R b - -,c4d3
r2rN3/p5kp/1pP3p1/5p2/5P2/1P4P1/P1P4P/3RR1K1 b - -,d8e8
2kr1b1r/1pp2ppp/p1nqp1b1/8/2QPB3/2P2P2/PP2N1PP/R1B1K2R w KQ -,c1f4
5r2/N4pbk/1p5p/4n3/3Nb1p1/6P1/PP2BPP1/3R2K1 b - -,f8a8
2b3q1/4kn2/p2p1p2/2pPp3/2P1P1P1/7Q/P2BB2K/8 w - -,h3h5
6k1/pb4pp/1p3n2/5N1n/2P2P2/P2r4/7P/2R1R1K1 w - -,e1d1
r3k2r/2qn1ppp/p2b4/1ppPP3/6PP/4B3/PPP2Q2/2KR1B1R b kq -,d7e5
2r1r1k1/1b1nqppp/p1p1pn2/1p1p4/2PP3N/bPN1P1P1/PB2QPBP/2RR2K1 w - -,b2a3
6k1/1p4p1/p6p/7r/1Q1p2qP/6B1/PPP1rPRK/8 b - -,a6a5
2r2rk1/pp1qbppp/2n2n2/3p4/8/2N1BB2/PP3PPP/2RQ1RK1 w - -,c3d5
r1bqr1k1/pp3pb1/2pp1npp/4n3/2P1P2B/2N2P2/PPN1B1PP/R2Q1R1K b - -,c8e6
2r1k3/1r2b3/p1n2p1p/1pp1pPpP/P2pP1P1/NP1P4/R1PB4/R2K4 w - -,a4b5
r1r3k1/4ppbp/p2pbnp1/qp6/2P1PP2/1PN1B3/P2QB1PP/2R2RK1 w - b6,f4f5
8/p3qpk1/1p3bpp/1Q1B4/1p2P3/1P4P1/P4PKP/8 b - -,f6d4
r1bq1rk1/3n1ppp/p2p1n2/1ppP4/1b2PN2/2N2P2/PP2B1PP/R1BQ1RK1 b - -,d7e5
1k1r3r/pp3p2/4bb2/P1qp3p/3N2p1/2PBP1P1/3Q1PP1/R1R3K1 b - -,h5h4
8/5n2/R3pk2/6p1/2RP2P1/1P3K1r/P7/8 w - -,f3g2
rnb1k2r/pp2npp1/4p3/3pP1Bp/2pP4/P1P2N2/2P1BPPP/R3K2R b KQkq -,c8d7
1rb1kqn1/2p2p2/pp2p1p1/4P1Br/4N3/5QP1/PPP4P/R4RK1 w - -,a1d1
rq2brk1/1p2n1p1/7p/p1pnPp2/P4P2/2PP2Q1/3B2BP/R3NRK1 w - -,g3f2
r3k2r/p1p1bppp/2p1p3/3nP3/2q5/2N3QP/PPPB1PP1/R4RK1 b kq -,g7g5
6k1/2p2p2/2N3p1/P5q1/4n3/KPQ5/8/8 w - -,c3c2
1Q4k1/5pb1/4p2p/p1Pqn1p1/2N5/4B2P/P4PP1/6K1 b - -,g8h7
r2qk2r/1b2bppp/p2p1B2/1pn1p3/4P3/2N3PP/PPP1NPB1/R2Q1RK1 b kq -,e7f6
8/8/5K1k/1p3P2/2b5/2P5/5P2/8 w - -,f2f4
r1bqkbnr/pp3p1p/2p3p1/2p1p3/4P3/2NP4/PPP2PPP/R1BQK1NR w KQkq e6,c1e3
r4r1k/bpp1qp2/p1np1n1p/6p1/3pP3/2P2QBP/PPB2PP1/RN1R2K1 w - -,b1d2
1r1q2k1/R1b2pp1/4p2p/8/1pBP4/1P2P1P1/3B1P1P/R5K1 w - -,a1a4
1r3rk1/1p4pp/1p2n1n1/3R1N2/2P1Pp1P/2B2P2/2K5/6R1 b - -,f8e8
8/3r4/5P2/8/6K1/8/pk3R2/8 b - -,b2b3
3rq2k/2p3p1/1p2Qb1p/p2np3/4N3/3P1PR1/PP1BP2P/7K w - -,e6h3
r3k1nr/ppp1p2p/4p1pb/8/3P1B2/5P1P/PPP2P2/RN2K2R w KQkq -,f4c7
5rk1/1Brn1pp1/p3pnp1/6N1/2p4P/P1P3P1/1P2RP2/3R2K1 w - -,b7a6
2kr4/1p3pp1/1pp1q2p/8/8/PP5P/1PQ2PP1/1K1R4 w - -,b1a2
8/pr6/5R2/1P3pp1/P3pP1k/8/4K1P1/8 b - -,g5f4
rnbq1rk1/4bppp/p2ppn2/1p6/2BNP3/P1N1B3/1PP2PPP/R2Q1RK1 w - b6,c4a2
3r2k1/6p1/p1b2rn1/1pR3N1/1P5p/4RP2/6PP/5BK1 w - -,f1d3
8/2k2B2/6pp/2p5/8/P1n1P2P/6P1/5K2 b - -,g6g5
2q4k/p5bp/4N1p1/8/4QP2/B1N3P1/PP5r/5K2 w - -,e6g7
6k1/5p2/7p/1p4p1/1P3rPP/6K1/1R2PP2/8 b - h3,f4c4
