5R2/3r4/4b1K1/1p1k3p/1B5P/P4P2/8/8 b - -,d7c7
rnbq1rk1/pp2bppp/4pn2/2p5/2PP4/5B2/PP2NPPP/RNBQ1RK1 b - c3,b8c6
8/8/8/3k1K2/5p2/2P2P2/5Nn1/8 b - -,d5c4
r2qkb1r/1b1n1ppp/p3p3/3nP3/PpNp4/1B3N2/1P3PPP/R1BQR1K1 b kq -,d7c5
r4rk1/1q2bp1p/p1b1p1p1/4B2n/3N1P2/3B3Q/1PP3PP/4RR1K b - -,a8d8
3N1r2/1R6/p3Qpk1/3p2b1/3P3p/8/P1q3PP/6K1 w - -,b7e7
r7/3k2pp/3p4/2p5/2P3P1/1P3K1P/8/2N5 b - -,a8a1
2r3k1/1r1bppb1/1pn3pp/q2p4/3P1B1P/PQP2N2/4BPP1/R3R1K1 b - -,d7g4
r3r1k1/1p1n1qp1/1b3p2/pPp1pP2/2P1P1PB/P3Q3/R5B1/5RK1 w - -,f1c1
1k2q3/p4p2/1p2p1p1/1P1pP1P1/3P1QN1/2b5/P4PK1/8 b - -,e8b5
rnbqkbnr/p2p1ppp/1p2p3/2p5/4P3/5N2/PPPPQPPP/RNB1KB1R w KQkq -,g2g3
2rq1rk1/p2n1ppp/b3pn2/1pP5/1BP1p3/PP4P1/3N1PBP/R2QR1K1 b - -,d7c5
5k2/1R6/4p3/1p1pB3/3P1N2/3K1P2/1r1b4/8 b - -,d2f4
r7/6pp/5k2/p4p2/Kp3P2/4R3/P5PP/8 b - f3,a8c8
5rk1/1p1nbppb/1p2p2p/r2pP3/2pP4/2P2PB1/PP1NB1PP/R4RK1 w - -,b2b4
r2qnrk1/p5np/3p2p1/1PpPp3/P1N1PpP1/3B1P2/3Q3P/1R3RK1 w - -,d2g2
2N5/3B1k1p/6p1/p3Pp2/3P1P2/3r2P1/2b2K1P/8 w - -,e5e6
r2r2k1/1b1n1pbp/1pn1p1p1/p7/N1P1P3/BN3P2/PP4PP/3RKB1R b K -,c6b4
r1bqk2r/pp2ppbp/3p1np1/2pPn3/2B1P3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,f3e5
2r4k/4npp1/4p3/2qp2b1/QR6/P5P1/5PBP/3R2K1 w - -,b4b7
1r2r1k1/6bp/pnqpPnp1/2p2p2/2N5/1PNQ2P1/P2BPPKP/1R2R3 w - -,d3f3
6k1/ppr2pb1/4p1p1/3p3p/PPrP4/2P1B3/3K1PP1/R3R3 w - -,a1a3
1r1q1r1k/p2bn1p1/1p1p1n1p/2pP1p2/2P1pP1P/2P1P1P1/PQ1BBN2/1R3RK1 w - -,b2a3
r3qrk1/pp3pp1/4p2p/2b5/b1P3n1/4P1P1/PBQN1PBP/R2R2K1 w - -,d2b3
8/8/5k2/1R3rpp/8/6P1/7K/8 w - -,b5b6
3q1n1r/rp1kbp2/2p1b3/p1PpP3/P4N2/BP3BP1/5Q2/4RRK1 w - -,f4d5
r2q1rk1/p2nbppp/1p2p3/2P5/2P1Q3/1P3N2/P4PPP/R1B2RK1 b - -,e7f6
3r2k1/1b3pp1/p1q5/4P2p/3B1P2/1P1Q2P1/P2K4/6R1 b - -,a6a5
8/8/3rp1p1/1R1p1p2/4k2P/6P1/5K2/8 b - -,d5d4
r3r1k1/1bqnbppp/4p3/ppppP3/3N1B1P/3P2P1/PPP1QPBN/R3R1K1 b - -,c5d4
rnb2rk1/ppp1qppp/4pn2/8/2pP4/2N1PN2/PP1Q1PPP/2R1KB1R w K -,f1c4
8/6k1/p1p3p1/4np1p/P1P1p2P/q2rP1P1/2Q2PB1/1R4K1 b - -,g7h6
7k/8/3p3p/1P1Pb1p1/2N1p3/6P1/1p2P2P/5K2 w - -,c4a3
rr3n2/1bn1qpkp/p2p4/1ppPpP1P/P1P1P3/1PNBBP2/3Q1K2/7R w - -,f5f6
r1bqrbk1/ppp2pp1/2n4p/3pp3/4n2N/1BPP1Q1P/PP3PP1/RNB2RK1 w - -,d3e4
5r2/p2R2b1/1p4p1/2p2nkp/1n6/7P/P3QBK1/8 w - -,d7g7
rnb4r/1p2k1bp/p4pp1/4p3/1BP1B3/5N2/PP3PPP/3RR1K1 b - -,e7e8
r1br2k1/p1qnbppp/2p1pn2/1P1p4/8/1PNP1NP1/PBQ1PPBP/R4RK1 b - -,c6b5
r2nr1k1/pppqnpp1/5bbp/2Pp4/1P1P2P1/P1N1BN1P/Q3BP2/2RR2K1 w - -,f3h2
1k1r4/4R3/PP1K4/8/8/8/8/8 w - -,d6e6
1r4k1/p4pp1/q3p2p/4Q3/4N3/6P1/5PKP/2r5 w - -,e5b8
2kr1b1r/1p3p2/p2p2p1/1PqN3p/2P1n3/2N3PP/P2Q4/3RKR2 w - -,c3e4
8/p6p/1pn1kp2/2p5/4P3/1PP4P/P5P1/2B2K2 b - -,e6e5
2r1k2r/1bq1bp2/p3p1p1/3pP2p/RP1B1P2/2P3PP/3N1Q1K/R7 b k -,e8g8
6n1/1qQ2pk1/pP3pp1/3N3r/8/8/Pr4PP/3R1RK1 b - -,b7a8
2rq1rk1/pb1nbppp/1p1ppn2/2p5/3P4/2PBPN1P/PP1N1PPB/R2Q1RK1 w - -,d1e2
5nk1/6p1/1pQ3P1/1P2pP2/3r3R/6P1/q1B1K3/8 w - -,h4d4
6k1/6q1/p3pR1p/1p1pP1n1/n1pPr1PK/2P5/PP1Q2NN/8 w - -,g2f4
5R2/8/p3pPk1/4r3/4PK2/8/8/8 b - -,e5b5
8/2pk4/1pQ3p1/p3Pp1p/K1P2P2/1PBn2P1/7P/8 b - -,d7c6
1k1r4/1R6/pp6/1B1q1pb1/P7/2PN1P2/1P2Q3/1K6 b - -,d5b7
1rnr3k/p1R4p/1p4p1/3Pp3/1b2Pp2/5P2/5BPP/R4BK1 w - -,f2h4
3r1rk1/p3Q1pp/1q3nb1/1p6/2p2BP1/7P/PPP3NK/R4R2 b - -,f8e8
3q1rk1/R5rp/3p1p2/1p1PpPb1/3pP1Q1/8/2PP2PP/R5K1 w - -,a7g7
8/R2k4/8/4K3/p3P3/1b6/3r4/8 b - -,d7c6
1rb1k2r/2qnbpp1/2p1p3/p1p1P2p/N1PpQ2P/BP1P1N2/P3RPP1/4R1K1 w k -,f3g5
K7/P2k4/8/8/8/2R5/1r6/8 b - -,b2b1
r2qrnk1/1p2b2p/p1p3p1/3pPp1n/3P4/2NQBP2/PP2N1PP/3R1RK1 w - f6,h2h3
6k1/5pp1/2R5/2nP4/1q3P2/p5pP/Qb6/5B1K b - -,b4e4
rn2k2r/pppbqpb1/3pp2p/4P1p1/3P4/2NB1N2/PPP1QPPP/R3K2R w KQkq -,e1c1
5r2/1pp1k1pp/p1n1pn2/4p3/1b2P1PP/P1N1BP2/1PP1N3/2KR4 b - -,b4d6
3nrrk1/pppb2p1/3p2qp/2P2p2/1P1P1B1P/6P1/P2QP1BK/3RR3 b - -,b7b6
1r4k1/5rq1/3Pp3/8/2Q2P2/6PP/P6K/3R1R2 b - -,b8b2
1r2r1k1/p1p2p2/2ppbnpQ/4P3/2P3P1/q1N2P2/5R1P/2R2BK1 b - -,d6e5
rq3rk1/1b1nbppp/p2p4/1pnPp3/P1p1P3/2P2N2/1PBNQPPP/1RBR2K1 w - -,a4b5
8/8/1p1k4/2n1p3/2P2p2/1PQ2P2/PKB2q2/8 w - -,b2a3:b2c1:c3b4
rnbqkb1r/5ppp/p2ppn2/1p6/3NP3/PBN5/1PP2PPP/R1BQK2R b KQkq -,c8b7:f8e7
6nr/5kpp/2pqpb2/3r4/3p1P2/N2Q4/PP4PP/R1B1R1K1 b - -,g8e7
3rr1k1/3q1pp1/p2b3p/1p6/2pP4/P1N1PQ1P/1nB3P1/R4RK1 w - -,c2e4
2rb2k1/2r2pp1/1pn1p2p/1q1pP3/1p1P4/P1RNPN2/3Q1KPP/2R5 w - -,d2b2
6r1/5q1k/p3p2p/1p1b1pp1/3B1P2/4Q1RP/5RPK/2r5 b - -,c1c4
3nk2r/1p1nbppp/p1r1p3/8/2P1N3/8/PP3PPP/R1BR1BK1 w k -,a1b1
2rqrk1b/3b2nP/p2p1pp1/1p6/2pP4/5B2/PPPB1PP1/2KR1Q1R w - -,d2f4
rnb2k1r/pp4p1/6pp/2ppP3/3P4/P7/3B1PPP/2R1KB1R w K -,c1c5
r3k1r1/pp2pp1p/5p2/1PPp1q2/3P4/P3Q3/5P1P/R4K1R w q -,h1g1
8/1p2Rp2/1K1n1k2/3P1pp1/8/pP6/1r6/7B w - -,e7d7
5k2/1B5p/P5pP/4KpP1/1Pr5/8/5R2/4q3 w - -,e5f6
r1bq1rk1/1p2ppbp/p2p1np1/4n3/2PNP3/2NBBP2/PP4PP/R2Q1RK1 w - -,d3e2
8/6k1/3qppp1/3p3p/3Pr3/pP1R2PP/P7/2Q3K1 b - -,h5h4
r3k2r/1p1qb1pp/2p2pb1/p7/1Q1P1BPN/8/PP3P1P/R3R1K1 w kq a6,b4a3
8/5p2/8/1R4k1/4Brpp/5PN1/8/5K2 b - -,f7f5
8/7p/4p2k/1p4qp/2bQ4/P4B2/5PP1/6K1 b - -,h5h4
r3r1k1/pp3q1p/2p1b3/3n4/2B5/1Q3pP1/PB3P1P/3RR1K1 b - -,d5f4
1r6/2q1R1kp/p2p2p1/2p2b1P/2Pp1P2/1P4P1/P2Q2BK/5R2 b - -,c7e7
2r3k1/3qp1bp/1prpp1p1/pR6/P2pPP2/3P4/1PP1QRPP/2B3K1 w - -,g1f1
r1bqkb1r/pp1npppp/2p2n2/6B1/3Pp3/2NQ4/PPP2PPP/R3KBNR w KQkq -,c3e4
