8/4kp2/6p1/p5Pp/Pr5P/1PR3K1/8/8 w - -,c3d3
6Q1/8/7k/5Pp1/8/7K/8/6r1 b - -,g1h1
8/p3r1kp/2p3b1/2Npq1p1/4p3/P7/1PQ4P/K1R2B2 w - -,c2a4
2r4k/6p1/4N1b1/4P3/6r1/8/5B1K/4R3 b - -,c8c2
r6r/pQ4pk/4p3/3nP1p1/6q1/6B1/P1R2P1P/2K4R w - -,b7b1
6k1/5p2/5p1p/p7/8/1N1Pb3/6PP/5K2 b - -,a5a4
5r1k/7p/b4p2/p3nN2/8/P4P2/1KP1R1PP/7R w - -,e2e4
r3kb1r/p3pp1p/3p1np1/q1pP2N1/2P3b1/P1N1P3/1BQ2PPP/R4RK1 b - -,f8g7
r2qkb1r/1b1n1ppp/p3p3/1p1nP1B1/3pN3/3B1N2/PP3PPP/R2Q1RK1 b kq -,d8b6
r1bqk1nr/pp3ppp/1bn1p3/8/3pP3/1NPB1N2/PP2QPPP/R1B1K2R b KQkq -,e6e5
8/1pr1pq1p/p1bp2pk/5p2/P3PP2/4Q2P/1R4P1/2R4K b - -,f5e4
r5k1/Bn3p2/1P4p1/7p/7P/5KP1/5P2/1R6 w - -,b1c1
3r4/1p6/p7/P2r4/5P2/2kp1P2/1R5P/R3K3 w - -,b2b7
1r1r2k1/p2bqpb1/1pp1p1pp/4P3/3P4/P4N2/BPQ2PPP/3RR1K1 w - -,h2h4
3kr2r/p1q4p/6p1/1bpPpp2/1pR4P/1Q1P1B2/P1P2PP1/2K1R3 b - -,b5c4
2b1k3/1p6/1PP2b2/2BP3p/3NK1P1/2p5/5P2/8 b - -,h5g4
r2q1rk1/pb2bppp/1pn1pn2/3p4/2Pp4/1P2PNP1/PB2QPBP/RN3RK1 w - -,e3d4
6k1/5p1p/p3p1p1/1b2P3/1B2PP2/Pr1pK3/r2R2PP/8 w - -,d2a2
2rq1r2/3b2bk/3p2pp/1p1Ppp1n/p3P3/P2NBP2/1P1Q2PP/R2B1RK1 w - f6,e4f5
2nrrk2/pq2p1bp/1pp1bPp1/8/2NP1B1P/1P4P1/P2R1PBK/2Q1R3 b - -,e7f6
1rb4k/1p2nrb1/p1pq1n2/P1NPp3/1PB1Ppp1/2N4P/3B2P1/2RQ1RK1 w - -,d2f4
r1bqk2r/pp2ppbp/2np1np1/8/3NP3/2PBB3/PP3PPP/RN1QK2R w KQkq -,f2f3
rnbqkb1r/pp3ppp/4p3/2pp4/3P1P2/2PB1N2/PP3PPP/RN1QK2R b KQkq -,c5d4:b8c6
r1bq1rk1/pp2ppbp/n2p1np1/2pP2B1/2P1P3/2N5/PP1QBPPP/R3K1NR b KQ -,f8e8:a6c7
2rqb3/5pk1/4p1p1/1pBpP2p/1P5P/3PQBP1/r1P2P2/2R3K1 w - -,g1g2
1r6/3q1pk1/p2b2p1/2pP3p/2Pp1P1P/P2Q2P1/4R1K1/3B4 w - -,d1c2
7k/8/8/5pQ1/7P/6P1/4P1K1/4q3 w - -,g5f6
5k2/p2bbppp/1p2p3/3pP3/P2B1PP1/1P1P1N2/2K4P/8 w - -,c2c3
7r/5k2/2R2p2/p3b1p1/6PN/1P2B3/P4PK1/8 b - -,h8h4
8/5pkp/4r1p1/4p3/1b4P1/2N1P2q/R4P1B/3Q2K1 w - -,c3e4
6k1/qb4rp/3pp3/8/PR3B2/3B4/5bPP/1R1N2K1 w - -,g1f1
R1r2nk1/1r2q1b1/3p2p1/3Pnp2/1p1B1N2/1P5P/4BQP1/R6K b - -,b7c7
2r1k2r/3p1ppp/ppq1pn2/2b5/2P5/2N1BQP1/PP2PPKP/R4R2 w k -,e3c5
5rk1/4bppp/pqn1pn2/3p4/P1rP4/1p1N1PP1/1P2PBKP/R2QNR2 b - -,f6d7
3r1k2/2qrnpb1/1p2p2p/p1p1P1pP/P1P3P1/2PBRN2/2Q2P2/4R1K1 w - -,c2e2
3r3r/pk1n2pp/1p2pp2/8/3P3B/P7/1P1K1PPP/2R2R2 w - -,h4g3
8/3k3p/3p2p1/pp1P1p2/3K1P1r/PPP5/5R1P/8 b - -,h4h3
2rq1r2/pp2n1bk/2bp2pp/2p1pp2/P1B1PP2/3PB1R1/1PPQNP1P/R6K w - -,f2f3
r2q1rk1/ppp1ppbp/2n3p1/3n4/3P2b1/1BP2N1P/PP2QPP1/RNB2RK1 b - -,g4f3
1k4rr/1p3p2/1qp1p3/p2pPp1p/1N1P3P/nP1Q2P1/2P2P2/2KR3R w - -,b4a2
N3r1k1/p2b1p1p/1p2p1p1/4P3/4B2B/8/P6P/2R3K1 w - -,c1c7
2r4r/1b3kpp/pq2pn2/1p6/3N4/1QN1P3/P4PPP/R4RK1 w - -,a1b1
4n3/pp1qr1k1/2pNR1p1/2P2p1p/3P4/1P3QPP/P6K/4R3 b - -,e7e6
rq2k2r/1b1pbppp/p1n1p3/2N5/Pn2PP2/2N1B3/1P2B1PP/2RQ1RK1 b kq -,b7c8
8/R2br1kn/3p2p1/2pP1n2/1q2NP1p/Q1NB3P/6PK/8 b - -,b4d4
r2r2k1/5pbp/5np1/qbpPp3/p5P1/P1N3NP/1PB2P2/R2QR1K1 w - -,g4g5
5r1k/bppq3p/p1np1rbp/3B4/3P4/5NNP/PP1QRPP1/R5K1 w - -,a1e1
r1bqkbnr/pppp1ppp/2n5/4p3/2P5/2N3P1/PP1PPP1P/R1BQKBNR b KQkq -,b7b6:f8b4:a7a6:f8c5:g8f6:f7f5:d7d6:g7g6
r2qk2r/p2n1p2/4pn1p/1p2B3/1bpP2pN/2N3P1/1P2PPbP/R1Q1K2R w KQkq -,h4g2
8/1pp1kp1p/6p1/p2P4/3K4/PP6/5PPP/8 b - -,e7d6
r2q1rk1/ppp1bppp/1nnp4/8/2PP2b1/1P3N2/PB2BPPP/RN1Q1RK1 b - -,d6d5
r3kb1r/1q1b3p/3pp1p1/1Pp3B1/4n3/2N2N2/1P3PPP/R2Q1RK1 w kq -,c3e4
8/8/5k2/8/1P6/6r1/1K2R3/8 w - -,b2a2
8/1pQ5/4pkP1/p2p1pq1/B2br3/8/7R/1R5K w - -,c7d8
r3r3/1p4k1/2p2pp1/PbPp4/1N1P1P2/R4KP1/7R/8 b - -,e8h8
8/pp2k3/2pp2r1/2P2pPp/1P2rP2/P2N2P1/5K2/3R4 b - -,g6e6
r4k1r/ppq1b1pp/4Q3/1B2p3/8/8/PPP2PPP/2KR3R w - -,d1d7
r1b1r1k1/1ppnqpbp/6p1/5p2/1pPp4/P2P1NP1/RQ2PPBP/1N3RK1 b - -,c7c6
8/pp1rp1k1/2p3p1/8/4PPP1/1PNn4/P3K3/2R5 w - -,c1f1
2bq1r1k/5r2/p2p1bQ1/2pP3p/P1N2RP1/2P5/4B3/5RK1 b - -,c8g4
r1q2b1k/p5p1/4RnQp/1ppp1P2/8/8/PPP3PP/3R2K1 w - -,d1d3
r1b1r2k/ppp3pp/4N3/3P4/7P/4PpP1/PP3P2/R4RK1 b - -,c8e6
6k1/p1p2pp1/1bp2r1p/4r3/8/2P1BP1P/PP2KP2/3RR3 w - -,d1d8
r1q1r1k1/p2b1pbp/1p4p1/3Pp3/3pPP2/1P4PP/PB1Q2BK/3RR3 b - f3,f7f6
kbbR4/pp5p/5p2/1P6/P3q3/8/3Q1PP1/5K2 b - -,e4b1:e4c4
r1bq1rk1/1pp2ppp/pbn5/2P1p2n/1P6/3P1N1P/P2NBPP1/R1BQ1RK1 b - -,b6a7
2bR1k2/p4pp1/1b3n2/2p3R1/5P2/2B5/PP2q2r/2KQ4 b - -,b6d8
1r2k2r/1q1bNpbp/p1np2p1/1pn1P1P1/3N1P2/4B3/PPPQ2BP/1K1R3R b k -,e8e7
rn1qk2r/p1p1bppp/1p1Pp3/8/3P4/P2Q1N2/1PP2PPP/R1B1K2R b KQkq -,c7d6
8/pp2k1pp/1n3p2/8/8/3K1NP1/PP3P1P/8 w - -,d3d4
1r2qrk1/pBp1n1b1/Pn2b2p/NPQ1ppp1/2Pp4/6P1/1B1NPP1P/R4RK1 b - -,e8d8
r1bqnr1k/1pp3bp/3p2p1/p1nPp1P1/2P1Pp2/2N1B2P/PP1NBP2/R2QK1R1 w Q -,e3c5
3r4/p1r2pkp/2pnpQp1/8/PPR5/8/5PPP/1B2RK2 b - -,g7f6
r2rk3/p3n1pp/4bp2/3pp3/8/2B1P1P1/PP1R1PBP/R5K1 w - -,h2h3
8/p7/1p1kp3/3p2K1/3P1P2/1P5r/P2R3P/8 w - -,f4f5
r1b1r1k1/1p3pb1/2p2qpp/p3p3/Q7/2P1PN2/PP2BPPP/3R1RK1 b - -,c8f5
2rq1rk1/p2n2pp/b1pbpn2/2pp1p2/N2P4/1P2PNP1/P1QB1PBP/R2R2K1 w - -,a4c5
2brrnk1/1pp3pp/p7/2P2p2/1P1Np3/P3P1PP/5PB1/R2R2K1 w - f6,g2f1
r1bqr1k1/1p1n1pbp/2pp1np1/p7/P2BP1P1/2N4P/1PP1NPB1/R2Q1RK1 b - -,d7f8
2b1r1k1/1pq1bpp1/2r1p3/p1P1P1P1/P2BN3/3p4/1P3QBP/R5K1 b - -,e8d8
8/8/pp1k2p1/b3pb2/8/P2PBP2/4K3/7R b - -,b6b5
5k2/7p/4P1p1/2p5/4K2P/8/3r2P1/1R6 w - -,b1b7
5R2/4k3/8/6K1/7P/8/8/7r w - -,f8f4
5rk1/1r2npq1/pp1p3p/2pP2p1/P7/1Q6/1PPN1PPP/R3R1K1 w - -,d2e4
