8/2n2ppp/1k6/n7/1p1PPPP1/8/1KR4P/8 w - -,d4d5
8/q1N2rkp/6p1/p7/2Rb1P1P/1r4P1/1PR1Q1K1/8 b - -,a7b7
r1r1n2k/6pp/1pp4B/8/3P2p1/4PQ1P/P4P2/R4RK1 b - -,g4f3
8/6pp/8/4p3/K2n3P/3R2P1/4k3/8 w - -,d3c3
3Rr1k1/2n4p/4P1p1/1pp2q2/3b1P2/r4N1P/5B2/3QR1K1 w - -,d8e8
r1br2k1/pp1nppbp/6p1/8/3BP3/5N2/PP2BPPP/2R1K2R w K -,d4g7
4k1r1/6P1/p3pQ2/5q2/2p4R/6P1/5P1K/8 w - -,f6d4
6k1/1p1r1pp1/2pqpn1p/8/2PP4/rP3Q2/1B1R1PPP/3R2K1 b - -,a3a2
2R5/8/K5pk/4P3/8/6rp/4R3/8 b - -,g3a3
r1q2rk1/pp3pbp/2np1np1/3Np3/1PP3b1/2NPP1P1/2QB1PBP/1R3RK1 b - -,g4h3
r1bq1rk1/ppp2pb1/3p3p/3P2n1/1PPNNp2/5BpP/P2Q2P1/R3K1BR b KQ -,g5e4
r3r1k1/pb1n1pp1/1ppb1n1p/3p4/3P4/1NN1BB2/PPP2PPP/3RR1K1 w - -,c3e2
r1b1rnk1/1pq2pb1/2pp2p1/4nP2/1PPNPBP1/2N5/3Q4/1R2RBK1 w - -,f1e2
r1bqk2r/pp1pnpbp/2n1p1p1/2p5/2B1PP2/2N2N2/PPPP2PP/R1B1QRK1 b kq -,e8g8:c6d4
rnb1k2r/1p2bppp/p3pn2/8/1PB5/P3PN2/5PPP/RNBR2K1 b kq b3,b8c6
Rn1qk2r/1b2bppp/3p1n2/1pp1p3/4P3/1N1P2P1/1PP2PBP/1NBQ1RK1 b kq -,b7a8
r4rk1/pp1b1pbp/2np1np1/q1p1p3/4P3/1BPP1N2/PP3PPP/RNBQR1K1 w - e6,c1g5
8/5k2/8/5Knp/8/8/5B2/8 b - -,g5f3
rn1q1rk1/pb2bppp/1p2pn2/4N3/3P3Q/2NB4/PP3PPP/R1B2RK1 b - -,b8d7:f6e4
5bR1/p1rbk1p1/Q2p3q/2pP1p2/2P1pp2/8/PP2PPP1/2KR1B2 b - -,e7f7
r1b2rk1/pp1nq1pp/2pppn2/5p2/2PPP3/2N2NP1/PP1Q1PBP/R3R1K1 b - e3,f5e4
3b2k1/p4pp1/1p2p2p/2q1N3/8/8/PPP1QPPP/6K1 b - -,d8c7
3r1rk1/pp3pp1/1q2p2p/2n4P/2P3P1/4QN2/PP3P2/1K1R3R b - -,d8d1
8/1p3rp1/4rpkp/p2p4/3Pb1P1/P3R1BP/1P4PK/2R5 w - -,g3c7
6k1/5pbp/p2rp1p1/1p1n4/1P1P1P2/P1p3PP/8/2RRB1K1 b - -,d6c6
6k1/1p4p1/p1b2r1p/3q1p2/1B3n2/3P1PQ1/PP4PP/4R1K1 b - -,d5d4
6k1/p4pp1/2b1p2p/2p2P2/2q5/P4PQ1/2B4P/2K5 b - -,c6a4
2r3k1/5pbp/p5p1/1qp1N3/1n3P2/1P4N1/P4QPP/3R3K w - -,g3e4
1r4k1/4ppb1/b2p2p1/3P3p/p1r1P2P/3pBP2/PP1K2P1/1RRN4 w - -,c1c4
r2qkb1r/pb3ppp/1pn1pn2/2pp4/3P4/1P1BPN2/P1PN1PPP/R1BQ1RK1 w kq d6,c1b2
rnb2rk1/pp4bp/2pp1n2/1P2pppq/2PP4/2N1P1P1/P3NPBP/1RBQ1RK1 w - -,a2a4
r1bqk2r/2p1bppp/p2p4/1p1Pp3/1n1P4/5N2/PPP2PPP/RNBQR1K1 b kq d3,b4d5
r7/p3kp2/1pb1p3/3pP1p1/3P3r/2P3p1/P2K1PPP/1R3N1R b - -,g3f2
r2qk2r/4bppp/p2p4/1p1Pp3/3nP1b1/3Q4/PPN2PPP/R1B1KB1R w KQkq -,c2d4
8/1p6/p1p1k3/4P2p/P2PK2B/1P6/3b4/8 w - -,e4d3
8/8/1n2k1K1/7p/7B/8/7P/8 w - -,g6h5
3r2k1/p4rpp/2p1p3/q1p1B3/2P1bPQ1/4P3/P5PP/R2R2K1 b - -,e4f5
1kr4b/pp3Q1R/1q2p3/2npP3/8/1PP2N2/P2N1PP1/3K4 w - -,f7h5
rr5q/3p1k2/2b1p3/5p2/PQ5P/3N1PP1/5K2/R5R1 w - -,b4d6
r1q1r1k1/p2n1ppn/bp1p3p/2pP4/4PPP1/2b1B2N/PP4BP/R2Q2RK w - -,b2c3
8/6rk/6rp/p2Q4/P7/1P1R2BP/2q3PK/8 b - -,c2e2
rnb1kb1r/pppp1pp1/4pq1p/8/3PP3/5N2/PPP2PPP/RN1QKB1R b KQkq e3,c7c5:d7d6:d7d5
r1b2rk1/ppp2pp1/2nb2qp/4p3/8/2N3P1/PPPN1PBP/R2QR1K1 w - -,d2c4
1r4k1/3nq1p1/2p1bp1p/p3p3/2p1PP2/Pr1p1NPP/1PQR2B1/R1N3K1 w - -,c2d1
rq1r2k1/pb1pppbp/1pn2np1/1N6/2P1P3/2N1BP2/PP1QB1PP/R4RK1 b - -,d7d6
r4rk1/1pp1q1bp/4ppp1/1nPp4/pP1PbB2/P4NP1/3QPPBP/2R2RK1 w - -,c5c6
8/p1n2pp1/1p2k3/3pP2P/P7/1PK5/3N1r2/7B w - -,d2f3
2r1k2r/pp3p2/4b1p1/q2p4/3PpN2/bP2P1P1/P1R2PB1/4QRK1 b k -,a3b4
4r3/5Qpk/5B2/p2p2pP/3P2P1/5P2/1q3K2/8 w - -,f2g3
r1b1kb1r/2qn1p2/p1p1n1pP/1p2p3/4P2P/2N1BN1B/PPPQ1P2/2KR2R1 b kq -,d7c5
2r1r1k1/4ppbp/pq2b1p1/np2N3/3P4/Q1PB2BP/P4PP1/2R1R1K1 w - -,h3h4
4k3/2p5/1p1p2Pp/pP1Pb3/2P1Qr2/8/P5K1/8 w - -,g6g7
8/8/8/3pk2p/5r2/7K/8/4R3 b - -,e5d4
8/4b3/p7/2p1p1k1/1P2P1pp/2P5/7K/3R4 w - -,d1d7
8/6p1/2b2p2/1pk5/2p1P2p/r1P1NP1P/3K2P1/2R5 b - -,c6d7
1r3r2/n2q2bk/1p4pp/pPp1pp2/8/P1PPPNP1/2Q3BP/1R2R1K1 b - -,f8d8
r1bqk2r/pppnppbp/5np1/3p4/3P1B2/2P2N1P/PP2PPP1/RN1QKB1R w KQkq -,e2e3
8/2r1ppkp/6p1/3P4/p1pB4/P5P1/5PBP/1bN1K3 b - -,g7f8
2r2rk1/1b1R1pp1/pp1B3p/n7/8/bP3NP1/4PPBP/5RK1 b - -,a3d6
r3b1k1/2qnp2p/3r2pQ/2pPN3/P1P3N1/7P/2B3P1/5RK1 w - -,h3h4
rn1q1rk1/ppp1bppp/1n1p4/8/2PP2b1/5N2/PP2BPPP/RNBQ1RK1 w - -,b2b3
1r2q1k1/1B1R2pp/p1P1bp2/8/1P6/2Q3P1/5P1P/6K1 w - -,d7d1
6k1/8/3p1np1/2pPp1K1/1pP1P3/pP4P1/P4N2/8 b - -,g8f7
7Q/4kp1P/5p2/1pp1q1n1/8/1P3BP1/3b1P2/3R2K1 w - -,f3g2
3Q4/1p3qk1/p1p5/P2pPp1b/1P1K1P2/4P3/8/8 b - -,h5e2
8/8/1pk5/8/pPPK4/P2R2P1/8/1r6 w - -,d3c3
6k1/6p1/2p5/p2n3P/r1PB4/3P2P1/8/2KB4 b - c3,a4b4
r2q3k/p2n1Qbp/bp4p1/2p5/3PPB1P/2P2P2/P5P1/R3K2R w KQ c6,h4h5
4r3/7P/5R2/8/5K2/4p3/4k3/8 b - -,e8h8
5rk1/5pp1/Np1q1b2/3pn1p1/1P1N4/4P3/5PPP/Q4RK1 w - -,f1c1
r3k2r/pppqbppp/2np4/5b2/8/2P1BN2/PPPQ1PPP/1K1R1B1R b kq -,e7f6
2r4r/1k3pp1/1bn1p2p/pq1pP3/1p1P1N1P/1P2B1P1/RP3P2/R2Q2K1 b - -,c6e7
8/4k1r1/8/3R2p1/1KB5/1PP3r1/8/8 w - -,c4b5
2rr2k1/1bp1Rp2/p6p/1p4p1/8/1nP5/PP3PPP/R4NK1 w - -,a2b3
2r1nrk1/1b1nbppp/1q1pp3/2p1P3/2NP4/1P3NP1/1B2QPBP/R4RK1 b - -,b6c7
4rrk1/2p3q1/3p2p1/p2P1p2/1p3Pn1/3B3R/PPPQ2P1/2K4R w - -,d3b5
r2q1rk1/3nppbp/2p2np1/pp3b2/3P4/2N1PN2/PP1BBPPP/R1RQ2K1 b - -,e7e5
r1b1kb1r/1pq1pp2/p1p2np1/2Pp3p/3P2P1/2N2N1P/PP2PP2/R2QKB1R w KQkq -,g4g5
r3kbnr/pbppqQpp/1pn5/4N3/2B1P3/8/PPP2PPP/RNB1K2R b KQkq -,e8d8
rnbq1rk1/p1n3pp/3p4/1p1PPp2/1bp2P2/2N2N2/PPB3PP/R1BQ1RK1 b - -,c8b7
r1bqk1nr/pppp1ppp/2n5/2b5/4PP2/5N2/PPP3PP/RNBQKB1R w KQkq -,b1c3
2r3k1/p1q2ppp/1pN2n2/8/2n5/6P1/P4PBP/3QR1K1 b - -,c8e8
8/8/8/2p2kpp/8/5P2/3KR1PP/7r w - -,d2d3
6k1/1b3p2/pP2p1pb/4p2p/2p1P3/2N2P2/PQ1q2PP/5K2 w - -,b2d2
r3kbnr/pppq2pp/2n1bP2/8/1PPp4/P4N2/3NPPPP/R1BQKB1R b KQkq -,g7f6
1k3b1r/1n1q2p1/3P1p2/2B4p/1pP2P2/5QPP/6K1/1R1R4 w - -,b1b4
3Q1qk1/5p1p/2b1p1r1/p3n2N/4P3/7P/5PPK/1B1R4 w - -,f2f4
