8/3n4/5Pk1/7p/4PP2/P7/1P3BK1/8 b - -,d7f6
2r5/6p1/p5k1/8/1B1K2p1/P5P1/8/8 b - -,g6f5
bk3br1/4pN1p/8/1p3p2/p1Pn4/6P1/PP1N1P1K/2R1R3 w - -,c4b5
4b1k1/8/4p1pq/p3p3/PpP1Pb2/1P1P3r/2B2RQP/5N1K w - -,f2f3
r2q1rk1/2p2ppp/p1n1bn2/1p2p3/5P2/1NNB3P/PPPQ2P1/1K1RR3 w - -,f4e5
rnbq1rk1/pp3pbp/5np1/8/2pNp3/1PN1P3/PB3PPP/R2QKB1R w KQ -,f1c4
r6k/2p3rp/1p1pP3/1PnP2q1/p4p2/P1N5/1PBR2PQ/7K w - -,c3e4
3R2k1/5pb1/p5pp/1qP5/2r5/4B2P/1P2QPP1/6K1 b - -,g8h7
7k/8/6p1/2nP4/4R2P/8/1P1K4/5r2 w - -,e4e5
b1r1r1k1/2pnqpp1/p3Pn1p/1p6/2P2BP1/P3QN1P/4PPB1/R3R1K1 b - -,f7e6
8/1pb5/5k2/7p/P4p2/3K1N2/6NP/8 w - -,d3e4
4k1r1/2q2p2/1pr5/p3Pp2/P2P3p/1RP2Q2/2R2BnP/2b1N1K1 w - -,e1g2
r1b2rk1/b4ppp/p1N5/2pp4/1P2n1qP/P3P1P1/1B3P2/R2QKB1R w KQ -,f1g2
r2q1r2/ppp1npk1/1b1p2bp/3Pp1p1/2B1P1P1/2P2NPP/PP1N4/R2Q1R1K b - -,d8d7
3r2k1/p4pp1/2p3q1/4p3/2Q1P3/2P1P2R/P5PK/8 w - -,h3g3
r2n1r1k/p1q1b1p1/4b2p/Np2Pp1P/1P1p1P2/P2B4/1Q1NPP2/R3K1R1 b Q -,a8c8
r4rk1/ppqnbpp1/2p4p/8/2PQ1B1P/5N2/P1P2PP1/R4K1R b - -,c7d8
4qrk1/1B3ppp/1B2bb2/4Q3/2p1PP2/r7/P5PP/1R1R2K1 w - -,e5d6
k7/3Q4/1p1p2p1/1Pp1p1Bp/3nP2P/3P2PK/2q5/8 w - -,d7c8
r1b4r/pp3Q1p/3Np1pk/4q3/8/2b4R/PPP3PP/1K5R b - -,h6g5
2r1bk2/Q4p1p/3q1np1/1pNPp3/1Pn1P3/2N2PP1/4B2P/2R3K1 w - -,c3b5
1rb2r2/q3nkb1/3pp1p1/2p2p2/1p2PP2/3P2P1/PP1BQNBK/1R3R2 w - -,f2h3
r1bqr1k1/pp3ppp/2p2n2/3pb3/2P5/1P4P1/PBQNPPBP/R4RK1 b - -,e5b2
2r3k1/p2r1qbp/b3npp1/Pp2p3/1p2P3/3PNNBP/5PP1/1QRR2K1 w - -,c1c8
1q2r1k1/3R1ppp/pBr5/P1P2P2/4p3/1N6/1P2Q1Pb/7K w - -,e2c4
r3k2r/pp1n1pp1/2p1pn1p/q6P/3P1B2/2P3N1/PP2QPP1/R3K2R b KQkq -,e8g8
3r1rk1/1bq2ppp/1ppb1n2/p1n1p3/P1P1P3/1P3NP1/1BQ2PBP/2NRR1K1 b - -,f8e8
6k1/1p3pp1/7p/pr6/1r1pP3/4QP1P/1P1R2PK/4R3 b - -,d4e3
r2r2k1/1bp1qpb1/1pn3pp/p3p3/N3P3/P2PPNPP/1PQ3B1/2RR2K1 b - -,d8d7
r1bq1rk1/pp2npbp/2n1p1p1/3p4/3PP3/5NP1/PP3PBP/RNBQR1K1 w - -,e4e5
6k1/1B3p1p/6p1/8/8/4P2P/b4PP1/6K1 b - -,g8g7
r2qr1k1/pp3ppp/2p3n1/3p1b2/1P1Pn3/P1NBPN1P/5PPK/2RQ1R2 w - -,d1c2
5qk1/Qp6/3pb2p/2p5/5P1B/6P1/PP5K/8 b - f3,e6d5
5nr1/p2q1k1p/1pr2pp1/8/P1pBPQRP/2P2P2/5P2/6RK w - -,g1g2
r1r3k1/3q2b1/nn2p1p1/p1ppP1Pp/P2P3P/1P2BP2/3Q1K2/RB5R w - -,b1g6
2Q5/1K6/8/8/6b1/5kP1/8/8 b - -,g4c8
2r2rk1/pp1n1pp1/1qpbpnp1/3p4/2PP4/1QN1PP2/PP1BB1PP/1K1R3R w - -,g2g4
r3k1nr/1bqp1ppp/p2bp3/1B2n3/4P3/2N2N2/PPP2PPP/R1BQR1K1 w kq -,f3d4
r2qk2r/pb1nbppp/2pp1n2/1p2p3/3PP3/P1N1B1PP/1PP1NPB1/R2QK2R b KQkq -,d8c7
r1bq1rk1/1p2ppbp/p1p2np1/3n4/3P1B2/2NBPN1P/PP3PP1/R2Q1RK1 w - -,f4e5
4r1k1/n1p2qpp/1bp5/p2p1p2/P2P3B/1PPN1P2/6PP/2Q1R1K1 b - -,e8e6
8/1B6/8/2k2b2/6p1/3p2P1/3K4/8 w - -,d2c3
r4rk1/pp3ppp/3bp3/1q3b2/3P4/2P2N2/PP2B1PP/3R1RK1 w - -,e2b5
8/1p5p/pb1k4/5ppb/8/3N1NP1/PPP1K2P/8 w - -,d3e1
6k1/5pp1/p3p2p/7P/6P1/p2KBP2/r7/7R w - -,e3d2
5rk1/1q3ppp/4pn2/4N3/3Q4/6P1/4PPKP/3R4 w - -,f2f3
6k1/1p4pp/8/3P4/1B1b4/P2br1P1/3R1K1P/8 w - -,b4c3
r3k2r/2p1bp1p/p1nq1np1/1p2p1B1/4P1b1/1B3N2/PPPN1PPP/R2Q1RK1 w kq -,h2h3
r5k1/2p1nr2/2Pp2p1/3P1qbp/5N2/6PB/3Q3P/3R1RK1 b - -,g5f4
5k2/6p1/6Pp/pp2PP2/2r1K3/2P4R/8/8 w - -,e4d3
8/1p2k3/1bp1BppB/p6p/P3n2P/1PP2KP1/5P2/8 w - -,e6c8
8/1r6/1P2k3/2P5/P7/7R/8/1K6 b - -,e6d5
r3r1k1/pp1bqpbp/2pp2p1/3P1p2/1PP1n3/2N1P1P1/P1Q1NPBP/2RR2K1 b - -,c6c5
r2qr1k1/1ppb1pbp/3p1np1/2n3B1/p1PNP3/2N2P2/PP1QB1PP/R2R2K1 b - -,f6e4
4b3/1p3k2/p1p2r1p/2PpRB2/PP1P2PP/6K1/8/8 b - -,f7f8
6k1/1p3rp1/7p/p2pPqn1/2nP2RQ/7P/P1P3PK/4B3 b - -,c4e3
r1r3k1/4qpp1/P3pnp1/p7/2PP1B2/P4Q1P/5PP1/R4RK1 b - -,a8a6
r4rk1/2p2pqp/1p1p4/p1nPp2b/2P5/1PN3P1/P1Q1PRBP/5RK1 w - -,g2h3
r1b1kb1r/ppqp1ppp/4pn2/8/2Pn4/6P1/PP2PPBP/RNBQ1RK1 w kq -,d1d4
r1bq1rk1/4bpp1/p2p2np/2pP3n/PpN1P3/5P2/1PB1NBPP/R2Q1RK1 b - -,a6a5
8/8/3Bp1k1/3bP3/3K4/8/1r6/4N3 b - -,b2e2
r6r/pbbR1np1/5knp/P3pp2/BP6/2P2N2/1B3PPP/4R1K1 w - -,d7c7
r5k1/p1Q2rb1/5q1p/2PR1p2/p1n2Pp1/6P1/P3PN1P/2B2RK1 w - -,d5d7
8/1R4p1/5k2/p4r2/4K3/8/8/8 w - -,b7a7
1r1qr1k1/p4pbp/bp1p2p1/2pP3n/PnN1PB2/3B1N1P/1P3PP1/2RQR1K1 w - -,f4g5
2bqr1k1/p3r2p/1p1nPbpB/3P1p2/1Q6/3B1N2/PP3PPP/R3R1K1 b - -,e7c7
5r2/q5bk/2p1b2p/p3p1p1/PpNrPp2/1P1N1P2/1PQR2PP/5R1K b - -,f8d8
8/8/5pp1/ppr1k3/4P2P/PR2K1P1/8/8 w - -,g3g4
rnq2rk1/pp2ppbp/2p2np1/4P3/3P4/2N1N1Pb/PP3PBP/R1BQ1RK1 b - -,f6e8
5rk1/1b2rppp/4p3/p1P5/Pp1P1P2/1P6/5PBP/R2R2K1 b - -,b7d5
r3n1k1/pp3p1p/2p1r1p1/2n2b2/3q2P1/1PN4P/P3NPB1/3R1RK1 w - -,e2d4
r2qkb1r/1p2pppp/p1n2n2/2ppN3/3P2b1/1P2P3/PBP1BPPP/RN1QK2R b KQkq -,g4e2
8/2k3p1/4p2p/2Pbp3/8/4K1P1/2P4P/5B2 w - -,f1d3
8/1p3p2/p3k1p1/3p4/1n1P2PP/1PK5/6N1/8 b - -,a6a5
8/4kppp/8/3pP3/3B1pP1/6K1/p2r3P/2RB4 w - -,g3h3
r1bq1rk1/pp2ppbp/2n3p1/3p3n/3P1B2/1QNBPN2/PP3PPP/R3K2R w KQ -,f4e5
2R5/p4pkp/6p1/p3n3/2pN4/2P3P1/Pr1PP2P/6K1 w - -,c8c5
1r1qk1nr/pp3pbp/2npp1p1/2p5/4PP2/3P1QPP/PPP1N1B1/R1B1K2R b KQk -,g8e7
3r1bk1/r1q2pnp/p7/2pPp1P1/6B1/2p1B3/PP3RQP/R5K1 w - -,b2c3
8/r2rRpk1/2pP2p1/p1p3P1/8/2P5/P4PK1/3R4 w - -,e7e5
2r2rk1/pp1np2p/6pb/3pP3/3P4/3Bn3/PP2K1PP/1R1N3R w - -,d1e3
rn1q1rk1/pbp1ppbp/1p1p1np1/8/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,d2d4
5rk1/Qp4pp/8/5qb1/8/1P1P3P/1PP3P1/R6K b - -,f5e5
r2qkb1r/pb1p1ppp/1pn1pn2/2p5/3P4/3BPN2/PPPN1PPP/R1BQR1K1 b kq -,a8c8
r2q1rk1/pp2bppp/2p1pn2/3n4/3P4/P1NQ1BPP/1PP2P2/2BR1RK1 b - -,d5c3
r2qkbnr/ppp1pppp/2n5/3p1b2/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq -,f1g2:c2c4
