4R3/P7/4p3/5p2/5k2/5P2/r7/6K1 b - -,a2a7
4r1k1/3q3p/1R3Qp1/p3p3/3P4/4P1P1/5PKP/8 b - -,e5d4
rn2k2r/pp1qppbp/5np1/1Q1p4/3P4/2N2N2/PPP2PPP/R1B1R1K1 b kq -,a7a6
r1bq1rk1/pp3ppp/2n1pn2/b1pp4/2PP4/P1NBPN2/1P3PPP/R1BQ1RK1 w - -,c4d5:a1b1:d4c5:h2h3:c3e2
8/8/8/2k1p1R1/5r1p/7K/5P2/8 b - -,c5d4
5qnk/6bp/p2p2p1/1p1Pp1B1/1P2B1P1/2Q4P/P4PK1/8 b - -,g8f6
7r/p7/kp6/3QPq1p/2pP1p2/P1P4R/2b4R/7K w - -,d5c4
r4rk1/pp2ppbp/2n2np1/5b2/2NP4/1P3NP1/4PPBP/R1BR2K1 w - -,d1e1
r4rk1/1bq1bppp/ppnppn2/8/2P1P3/BPN1QN1P/P3BPP1/R2R2K1 b - -,f8e8
rnb1kbnr/pp2pppp/2pq4/8/8/2N3P1/PPPP1PBP/R1BQK1NR b KQkq -,g8f6:e7e5
1nqr4/p1r2pk1/2p3p1/2N2p2/1P1P1Q1p/4P1P1/5PKP/RR6 w - -,f4h4
2q2rk1/pp2p1bp/3ppnp1/8/2rNP1PP/4BP2/PPPQ4/2KR3R b - -,b7b5
r1b2r1k/1p4pp/p1p2n2/q4p2/2PPp2B/PQ2P3/4BPPP/R1R3K1 w - -,a3a4
q1b1rbk1/3n1p1p/1np3p1/4p3/1P2P3/r1NBBN1P/2Q2PP1/1R3RK1 w - -,f1c1
r3q1k1/1p3pp1/6p1/p1p5/PbP5/3QP1P1/1B3P1P/R5K1 w - -,d3d5
r1bb1r1k/5qpp/2np1p2/p2NpP2/1pP1P3/3BBR2/PP4PP/R2Q2K1 b - -,c6e7
5rk1/6qn/b4r1p/p1Q5/3BPp2/P4N2/5RPP/R5K1 b - -,g7g6
r3k2r/1bqpbpp1/ppn1pn1p/8/2P3P1/1PN1PN2/PBQ1BP1P/R3K1R1 w Qkq -,e1c1
r4rk1/1b1p1ppp/p1n1pq2/1p5Q/1b1pP3/PB1P1N2/1PP2PPP/R1B2RK1 b - -,b4d6
8/5qk1/7p/5p2/N4p2/1p3P2/3Q3K/8 w - -,d2c3
2r2rk1/pp1nppb1/6p1/q2P3p/2B1PP1P/2P1B3/P2Q1P2/2R1K2R w K -,d2e2
2R5/5r2/1R1k4/p2p1r2/P7/1P1KP3/8/8 b - -,d6d7
r3k1r1/1bq1bpp1/p1N1pn1p/1pp5/P1NpPP2/3P2Q1/1PP1B1PP/R1B2RK1 b q -,b7c6
8/p2k4/p2Q2p1/8/8/7P/PP4P1/7K b - -,d7d6
r1bqrbk1/1p1n1ppp/2p2n2/p3p3/P1P5/1PN2NP1/1BQ1PPBP/R4RK1 b - -,d8c7
r2qr1k1/pp1nnpb1/3p2pp/2pP1b1P/2P2B2/2NB4/PP2NPP1/R2Q1RK1 b - -,d7e5
r1n2rk1/2pqppb1/1p4pp/p2P4/Pn2P2P/1QN1BN2/1P3PP1/2RR2K1 b - -,c8a7
rnbqk1nr/p1p1bppp/1p2p3/8/3PN3/P7/1PP1NPPP/R1BQKB1R w KQkq -,c1f4
1r2k2r/p1qbnpb1/2np2pp/2p5/4PpP1/2PPB2P/P2QN1B1/R2N1RK1 w k -,e2f4
3rr1k1/2q2pP1/pp3Q2/3Pp2p/1bPp4/1P3P1B/P1R4P/4R1K1 w - -,f6h6
4rrk1/3nppbp/p1Np1np1/1q6/1N6/1P4P1/PBQ1PPKP/R2R4 b - -,a6a5
rnbq1bnQ/ppp2k2/6p1/3p4/2B1p3/8/PPPP1PPP/RNB1K2R w KQ -,h8d4
8/4bpk1/4p1p1/2K1P2p/5P2/7P/2R2P2/8 w - -,c5c6
rnbqk2r/pp2p1bp/2pp1pp1/6B1/3PP1n1/2N2N2/PPPQ1PPP/R3KB1R w KQkq -,g5h4
r3rnk1/2b2pp1/2p2q1p/3p3b/N2P4/3BP1P1/2QN1P2/1R3R1K b - -,h5f3
rn1qkb1r/pp2nppp/4p3/3pPbB1/3N4/8/PPP1BPPP/RN1QK2R b KQkq -,d8d7
r1r3k1/pp1b1pb1/n2p1np1/q2Pp1Np/4P2P/2N1BP2/PP1QB1P1/R4RK1 w - -,f1c1
6k1/pQ3p2/8/7p/3b3B/1Pr2qP1/5P2/5RK1 w - -,b7f3
3r3r/4bkpp/3npq2/1p5P/2p2B2/2P2Q1P/5PB1/1R3RK1 b - -,h8f8
8/KB1k4/2p2p2/B1Pp3p/3n1P1P/8/4b3/8 w - -,a7b8
1k1r4/ppp2p2/5qp1/4p3/4Pb2/1BPP1Q2/PP2K3/7R w - -,h1h7
8/5pk1/5p1p/8/nP6/PR4P1/5PKP/r4B2 b - -,f6f5
5r2/8/8/8/6RK/4kb2/8/8 w - -,g4g7
2Rq2k1/pb3p1p/1p4p1/8/1P1Np3/P3P2P/5PP1/2Q3K1 b - -,b7c8
r4rk1/1p1b1ppp/p1n2n2/8/8/4BN2/PP2BPPP/R2R2K1 b - -,a8c8
r2qkb1r/1b1n1ppp/p3pn2/1pp5/P2PP3/3B1N2/1P3PPP/RNBQ1RK1 w kq -,e4e5
r3k2r/1p2p2p/p1q1b3/2ppP1B1/Q5P1/2P4P/PP6/2KR3R w kq -,a4c6
2r3k1/pp1r1pp1/7p/4n3/1P6/P3RBP1/5P1P/6K1 w - -,e3e5
r1bqkb1r/1pp2ppp/p1n5/3pP3/3P2n1/2N2N1P/PP3PP1/R1BQKB1R b KQkq -,g4h6
8/8/R3Kpk1/8/6n1/8/8/8 b - -,g6g5
rnbq1rk1/pp2b1pp/2p1p3/3p1p2/2PPNB2/P3PN1P/1P3PP1/R2QKB1R b KQ -,f5e4
8/8/8/5K2/3k2N1/8/8/5r2 w - -,f5e6
r1b2k1r/p3nppp/1pn1p3/q1ppP3/2PP2Q1/P1PB1N2/3B1PPP/R4RK1 b - -,h7h6
4rnk1/2pr4/2b1p1qp/1p2Ppp1/8/1BP1B1P1/1P2Q1PP/R2R2K1 b - -,e8d8
2r3k1/3R1p1p/p3n1p1/1p2N3/1P6/P6P/2P1R3/2b2K2 b - -,e6f4
5k1r/4qp1p/p7/npr1pQ2/2Bp4/1P3N2/P4PPP/2KR3R w - -,h1e1
r1bqkb1r/pppn1ppp/5n2/3pp3/8/5NP1/PPPPPPBP/RNBQ1RK1 w kq e6,d2d3
r1b4r/4kp1p/1np3p1/p3p3/Pp1nP3/1P3PN1/2PNB1PP/2KR3R w - -,e2d3
r2q1rk1/pp1nbppp/4p3/2pp3b/8/1P1PPN1P/PBP2PP1/RN1Q1RK1 w - -,g2g4
N4b1r/pR1knppp/2n1p3/2PpP3/3N4/4B3/P3BPPP/6K1 b - -,d7c8
4r1k1/3b2pp/1p3p2/p2p4/3R1BPP/2P2P2/PP6/6K1 b - -,d7c6
2R5/5ppk/4pn1p/1B6/3r4/7P/5PPK/8 w - -,c8c7
8/8/6k1/8/5Kp1/6P1/5P2/8 b - -,g6h5
1k1r4/1p6/p1q2p2/3r3p/4Q1p1/1PPp2P1/1P1R1P1P/3R2K1 b - -,f6f5
4qbk1/6p1/7p/1p2p3/p3P3/PnNP2P1/1B2Q2P/7K b - -,b3d4
r1bq1rk1/ppp1bppp/1n1p1n2/8/3NP3/2NB4/PPP2PPP/R1BQR1K1 b - -,c7c6
r5k1/p2np2p/4pbp1/q7/3p4/1Pp3PP/P3PP2/R2QBRK1 b - -,a8c8
2r5/2q3pk/p1r4p/1p3p2/1QpPp2P/4P1P1/PPR2P2/K1R5 w - -,a1b1
r1b2k2/1p5p/p2n2r1/2Np1p2/2nB1P2/P1P5/2P1B2P/2KR2R1 w - -,e2h5
8/2q3kp/1p2Bpp1/1n1P4/2b1p2P/Q3P1N1/P5P1/6K1 w - -,a3b4
2r5/p1r2k1p/1p1R2p1/8/5PK1/1P6/1P5P/3R4 w - -,b3b4
8/8/8/6k1/4K3/8/3N1B2/8 b - -,g5f6
4rr2/Q5bk/p1p3pp/2P5/P4p2/3qp2P/1P3PP1/R1B2RK1 w - -,a1a3
r2q1rk1/2pnnbpp/p4p2/1pb1pN1P/4P1PN/2P5/PPB1QP2/R1B1K2R b KQ -,f8e8
r3kb1r/1p2nppp/p7/3p4/3p4/1P4P1/PBPP1P1P/2KN1B1R w kq -,b2d4
2r1rbk1/5p1p/1p2q1p1/1Q6/1P1Bp3/2P3P1/5P1P/R2R2K1 w - -,a1a6
3R4/4rppk/p5np/1p6/3BB1b1/PPN4P/2P3P1/7K b - -,g4e6
rn1q1rk1/pb1p2pp/1pp1Pb2/5p2/2P1n3/2N2NP1/PP1BPPBP/2RQ1RK1 b - -,d7e6
r2q1rk1/pp2b1pp/3np1b1/3pBp2/2pPP3/2P2P1P/PPQNB1P1/R4RK1 b - -,f5e4
rnb1kbnr/pp1pp1pp/2p5/5pB1/3P4/4P3/PqPN1PPP/R2QKBNR w KQkq -,f1d3
r2q1rk1/pp3ppp/2pb1n2/3n3b/3P4/2N1BN1P/PP1QBPP1/2R1R1K1 b - -,d6b4
1qr1k2r/1b2bp1p/pp1ppnp1/8/2PNPP2/2Nn3Q/PP1B2PP/4RRK1 w k -,h3d3
