8/8/3nk3/R4p2/3r4/5B2/8/6K1 w - f6,g1f2
6k1/5p1p/4p1pP/4P3/3P1PP1/p1Q3K1/P7/6q1 w - -,g3h4
1k1r3r/6R1/2p5/6p1/2N5/5P2/PP1p2Pb/5R1K w - -,g2g3
5rk1/2pb2qp/1p1P2p1/p3b1Pn/2P1N3/4B3/PP1Q2BP/4R1K1 b - -,c7d6
3nrq1k/6bp/n1p2p2/ppP2P2/5P2/P1QN3P/3R1BBK/8 b - -,a5a4
4B3/8/1n2kp1p/8/pP1K1P2/P7/5P1P/8 b - -,e6d6
r1bq1r2/ppp2p1k/5bpp/4p1n1/2N1P3/1BP5/PP2QPPP/R1B1R1K1 w - -,e2e3
8/1p2B3/6Pb/3k1K2/P7/8/8/8 w - -,f5f6
r2q1rk1/1b1nbppp/p2p1n2/1p6/P2PP3/1Pp2NN1/2B1QPPP/R1B1R1K1 w - -,g3f5
8/8/6k1/3R4/1r3KP1/5P2/8/8 w - -,f4e3
5rk1/5p1p/3p2p1/3P4/2p1q3/5Q2/4NKPb/B3R3 b - -,e4f3
2r5/kpr3p1/p3pp1p/2qp3P/1R2P1P1/1RPQ4/PP6/2K5 b - -,c5g1
r1b1k2r/2qnbppp/pp1ppn2/8/2P1PP2/1NNBB3/PP2Q1PP/R4RK1 b kq f3,c8b7
r4rk1/b1q2pp1/b1p1pn1p/p2p4/2P1P3/P1N2P2/BP1BQ1PP/3RK2R w K -,e4e5
2r3k1/1pqr1pb1/p3b2p/B1P1p1p1/3nP3/P4NPP/5PB1/1RR1Q1K1 b - -,d4f3
r2q1rk1/pp2bppp/2pp1n2/7b/4PB2/1PNP1N1P/1PP3P1/R3QR1K b - -,h5g6
8/1p6/8/2K5/N7/P1k4p/B7/8 b - -,c3c2
3r1b1k/1p1P1n1p/1qp3p1/p7/6P1/1P5P/P1Q2PB1/3R1RK1 w - -,f1e1
6k1/8/pR6/1p4PK/2r5/7P/8/8 b - -,c4c8
rnbqr1k1/1p3pp1/2pb1n1p/p2pp3/P3P3/1BPP1N2/1P2QPPP/R1BN1RK1 w - -,b3c2
8/3k4/1P6/2P5/3K4/2R5/6b1/8 w - -,c3g3
3r2k1/p4ppn/4p2p/q1p1P2P/2P2R2/4QbP1/Pr3PB1/R5K1 w - -,g2f3
r2q2r1/1b3p1p/p1k1p2B/1p5N/1n1PpQ2/1B6/PP3PPP/R4RK1 w - -,d4d5
8/8/1p2k3/p1p5/P1P1K3/1P5q/8/Q7 b - -,h3h7
r1bq1rk1/p2n1ppp/1p2pn2/2pP4/2B5/2b1PN2/PP2QPPP/R1B2RK1 w - -,d5e6
8/8/8/6N1/1kbpK3/2b5/5N2/8 b - -,c4a6
8/8/8/5p2/6pK/R5P1/5rk1/8 w - -,a3b3
r1bq1rk1/4bppp/pnn1p3/1pppP3/3P1PP1/2P2N1B/PP2N2P/R1BQ1RK1 b - -,f7f6
r1b2rk1/3n2b1/p2p1q1p/1ppP1pp1/8/2N1PNP1/PPQ1BPP1/3R1RK1 w - -,f3e1
r2q2k1/pp4bp/n1p3p1/4Pb1n/4Np2/1P1N4/PBP2P1P/R2QR1K1 w - -,d1f3
8/5k2/7K/8/6P1/8/8/8 b - -,f7g8
2r5/6pk/5q1p/R3p3/1R6/1P2Q2P/P4rPK/8 b - -,c8c2
r4rk1/1p1b1ppp/p2q1n2/8/P2P4/2NQp1N1/1PP3PP/R4RK1 w - -,d3e3
r2qrbk1/3n1ppp/p1b2n2/2pNp3/NpP1PP2/1P3QP1/PB4BP/R3R1K1 b - -,f8d6
6k1/5pp1/1q5p/4Qn2/1P1n4/8/P4KPP/1R6 w - -,e5c5
rn2k2r/ppp2ppp/4pn2/8/1bPPq1b1/5N2/PP1NBPPP/R1BQK2R w KQkq -,e1g1
r1b1k2r/3nqp1p/p1pp1npQ/1p2p3/3PP3/2N2P2/PPP3PP/1KNR1B1R b kq -,c8b7
1r6/5pkp/1p6/4q3/5p2/2r3PP/2Q2PB1/2R3K1 w - -,c2c3
6RK/5k1P/8/2p5/8/8/8/r7 w - -,g8c8:g8g7
8/5p2/1pp4p/1p3K2/1PkP2PP/2P5/P7/8 b - -,c4c3
r1bq1rk1/p2n1ppp/1p2p3/4P3/4pP2/6P1/PP1Q2BP/RN3RK1 w - -,g2e4
r4k2/1p3pp1/3r1n1p/p1pP4/2P5/6P1/PP4BP/3RR1K1 w - -,d1d3
3r1r1k/pp3qbp/2np4/2pNpp2/P1N5/2PP1Q2/1P3PPP/R3R1K1 b - -,f5f4
q1rr2k1/pp2bpp1/2b1pn1p/4B3/1P6/5NP1/PQ2PPBP/2R2RK1 w - -,f3e1
1k1r4/ppq2pp1/4pn1p/4b3/4N2P/2P3PN/PPQ2P2/2K4R w - -,e4f6
3r1rk1/5p1p/1q4p1/1P6/R7/3B1PPb/1Q5P/3R3K w - -,a4a1
8/p4rkp/1p4p1/2p1Q3/8/4K3/P4P1P/8 b - -,g7g8
2r2r2/p3k3/4p3/2p1P1pb/2K5/1PPR3P/P3p2B/4R3 b - -,f8f1
1rb2rk1/2qn1pbp/p3p3/P4p2/1pBPP3/5N2/1P2QPPP/R1BR2K1 b - -,f5e4
8/5k2/5np1/6Rp/1pPK1P1P/5BP1/P7/6r1 b - -,g1a1
5r1k/4R2p/5pb1/8/5R2/1BP5/Pr4PK/8 b - -,f6f5
3n4/2p2k2/1p1p1P2/3P2pp/1PP1q3/2Q3RP/KBr5/8 w - -,c3b3
4r1k1/1q2rp2/pp1p1np1/8/1PPNP2p/P2Q1PP1/3N2KP/2R5 w - -,g2g1
1r6/5pbp/2k1p1p1/3p4/1P6/R2K1PP1/2N1P2P/8 b - -,c6b6
rnb1k2r/pp2ppbp/6p1/q1PP4/5B2/2n1P3/PP3PPP/2RQKBNR w Kkq -,d1d2
6k1/pb3pp1/4r3/2p1p2p/3rP2P/2N5/PPP2RPK/4R3 b - -,b7c6
r1bq1rk1/ppb2pp1/4p2p/3nNn2/2BP4/P2QB2P/1P2NPP1/1R3RK1 w - -,e3d2
6bk/2p5/p7/2p1R2P/2p2r2/2P3K1/P5P1/8 b - -,f4f1
r6r/pp2kp1p/1np1b3/4p1p1/4P3/1PN2P2/P1PRB1PP/2KR4 w - -,d2d3
4rb1r/pbpk1p2/1p1ppp2/3P3p/2PNPPn1/P1N3PB/1P5P/2KR3R w - -,d1d2
r1b1r1k1/pp3ppp/2pb1qn1/8/3B1P2/2P2B1P/PP2N1P1/3RQRK1 b - -,f6e7
8/8/8/2p3p1/2k3P1/8/r7/1K2R3 b - -,a2d2
8/2pk3p/3p1p2/2p2P2/2P1PP2/1K5p/7R/r7 b - -,a1e1
r1r2kn1/1p3pp1/3p4/p1qPpP1P/P3P3/2B2QP1/1P6/R3K2R b KQ -,g8f6
6Q1/p7/8/1p2K3/1kq5/8/P7/8 w - -,g8g2
8/p4pkp/6p1/1B1p1n2/P2P4/2P5/2q2B2/4QK2 b - -,h7h5
4k3/2R3K1/6N1/8/5P1P/8/7r/8 w - -,f4f5
r6q/1b2bpk1/pp4p1/2ppP3/3P4/3BP1Q1/PP4PP/R1B3K1 w - -,e5e6
r5k1/1p1n1ppp/3nq3/r1p1p3/P2pP3/1R1P1PP1/2Q2NNP/R5K1 w - -,g2h4
8/8/8/8/1pkb2p1/8/2K3P1/N7 w - -,a1b3
2rr2k1/pbq1bppp/1p2pnn1/2p1N3/2PP4/3BP2P/PB1NQPP1/2RR2K1 w - -,e5g6
2r2k2/5p1p/2N1p1p1/B2p4/8/Pr1B1PPP/6K1/2R5 b - -,b3d3
2r1r1k1/1bqn1ppp/pp1b1n2/2pP4/P7/2N1PN2/1B3PPP/1BRQR1K1 w - -,h2h3
r4rk1/1p2nbpp/p2qpn2/3p4/B2P4/5NN1/PP1Q1PPP/R3R1K1 b - -,b7b5
5k2/2R5/8/6B1/1pp5/3n1bP1/1P5P/3r1NK1 w - -,g5e7
2kr3r/ppn1pp1p/4b1p1/2P5/1PPn2P1/P1NBbP2/2K1N2P/R3B2R w - -,e2d4
8/7R/3r1k1p/8/7P/8/2Bb1PK1/8 w - -,h7b7
r1nq1rk1/pp1nbppp/4p1b1/3pP3/3p1NB1/1N6/PPP2PPP/R1BQ1RK1 w - -,f1e1
5r2/7p/8/PR6/3kN1p1/3p4/6PP/4K3 b - -,d4e4
r1qr2k1/pp2ppbp/2n3p1/4P3/2b2B2/2N1QN1P/PP3PP1/3RR1K1 b - -,c8f5
r1bq1rk1/2ppnpbp/p1n3p1/1p2p3/4P3/2PP1N2/PPB2PPP/RNBQR1K1 b - -,c8b7
