8/5R1p/R5pk/8/1b6/1P1n2PP/3r1PK1/8 b - -,b4c5
r6k/pp1qb2p/2p1p1pB/5rN1/3n1NQ1/1P1P4/1P3PPP/5RK1 w - -,f1e1
rnbqk1nr/pppp1ppp/8/8/1bB1P3/8/PPQ2PPP/RNB1K1NR w KQkq -,b1c3
2r3k1/pp2rpb1/2nR2pp/2P1p3/2BB4/1P3N2/P4PPP/2R3K1 b - -,e5d4
8/2p3p1/7p/3P1k2/p1p1r3/P4KP1/1R5P/8 b - -,c4c3
r1bq1rk1/p2pppbp/2p2np1/8/8/6P1/PPPBPPBP/RN1Q1RK1 w - -,d1c1
r1bq1rk1/pp1nppbp/2pp1np1/8/3P1B2/2PBPN1P/PP3PP1/RN1QK2R w KQ -,e1g1
2r2rk1/pp2bppp/1q2p1n1/3pP3/b7/1NP2NB1/PPQ2PPP/R3R1K1 w - -,c2d2
r4k1r/pbq1pp1p/1p3np1/4N3/8/2P1Q3/PP3PPP/2R1KB1R w K -,f2f3
r4rk1/p4p1p/2q1p1pQ/1R3b2/8/3B1P2/PPP3PP/2K4R w - -,b5b3
rnbqkb1r/2p1pp2/p2p1np1/1p5p/3PP3/2NBBP2/PPPQ2PP/R3K1NR b KQkq -,c8b7
2br4/5pk1/2R4p/6p1/3r3P/3B4/5PP1/3R2K1 b - h3,c8f5
3r1rk1/p2n1ppp/bq2pb2/2p5/2p5/1PB1PNP1/P4PBP/R1R1Q1K1 w - -,b3c4
r5k1/1r1qnppp/pBRp1n2/3Pp3/1P6/1B1Q4/P4PPP/2R3K1 w - -,c6c7
2r4r/3k1ppp/qp1Pp2n/4P3/3nQ1P1/P7/3B1P1P/1RR1K3 w - -,e4d4
5q2/1p4k1/1r2bp2/p1b1n3/2PpPp2/PP1B1P2/R2N4/R1QKN2r w - -,d1c2
r2qr1k1/pp2bppp/2pp1n2/7b/3P4/BP1B1P2/P1PNQ1PP/R3R1K1 b - -,h5g6
r4r1k/2qbbPpp/p2p1B2/1p6/3NP3/1BN2Q2/P1P3PP/3nR2K b - -,e7f6
5nk1/8/6pB/2Q1P3/4q3/8/5K1P/3b4 b - -,e4f3
6RK/8/4k2P/8/8/8/8/6r1 b - -,g1h1
4r2k/1p4bp/p1q1pR2/2p5/8/2NP4/PPP1Q1PP/6K1 w - -,f6f1
4rrk1/pp1n2pp/2p2n2/5PN1/2PQ4/q2P3P/P5B1/3R1RK1 w - -,g5e6
5rk1/p1r1qppp/1P2p1n1/b7/Q1N1P3/4B1P1/P4PKP/2RR4 b - -,a5b6
r5k1/6bp/3BN1p1/2p1P3/p7/1Pr5/R4nPK/R7 w - -,a2f2
r3k2r/ppp1q1pp/1nn5/5p2/1b1Pp3/2NbP1P1/PP2NPBP/R1BQR1K1 b kq -,g7g5
8/6k1/4q3/p2rP3/P3Q1pp/8/6P1/4R2K w - -,e4f4:e4c4
2r5/1q3pkp/2n2bp1/1p1pp3/1P1P4/2P2Q1P/2NN1PP1/R5K1 w - -,f3d5
2br1r1k/p5pp/2B1p3/6b1/3P4/2B5/PP3PPP/3RR1K1 b - -,g5f6
2r5/3r3k/6pp/5p2/1p1NbP2/2P1R3/1P2K1PP/6R1 w - -,g2g4
4r1k1/pp3rpp/2p1b3/2NpPp2/3PnP1q/4P3/PPQ3BP/R4RK1 b - -,e4c5
4n3/1Bp1k2p/1p4p1/4K3/1P6/P5P1/5P1P/8 b - -,e8d6
3r2k1/pp2rppp/2p1p3/3n4/3P1P2/2PB2P1/PP2R2P/1K1R4 b - f3,g7g6
r1b1k2r/1pq2ppp/p2ppn2/2b1n3/3NP3/P1N1B3/1PP1BPPP/R2Q1R1K b kq -,b7b5
rq1r4/2pbnpbk/p2n3p/1pBPp1pP/4P1P1/2NN1P2/PP1Q4/1K1R1B1R w - -,d2h2
1r6/8/5p2/R2p2p1/2k5/2p1P3/5P2/2K5 b - -,f6f5
8/5k2/2B2p2/p2p3p/2bP3r/2P1KP2/P4R2/8 w - -,c6a4
6k1/1p1nr1bp/p4Np1/2p5/7B/8/PP3PPP/4R1K1 b - -,g7f6
8/5b2/2k3P1/5N1p/4PK2/8/8/8 b - -,f7a2
r2q1rk1/pp1nRpp1/2p2n1p/5p1P/3P4/3Q1N2/PPPB1PP1/1K1R4 w - -,e7e2
5bk1/ppBr1p1p/2b2P2/2p3p1/8/2N4P/PPP2PP1/4R1K1 w - -,c7e5
r3q1k1/6b1/p2p2p1/3PpbQ1/P4p2/1P6/1P1B2PP/2R2R1K b - -,e8f7
1k5r/4b3/B2qP3/P3np1p/Rp3Q2/8/1P1r2PP/5RBK w - -,a4b4
8/p7/4p1k1/3n1p1p/r7/3K1P2/PR4PP/2B5 w - -,b2e2
r1bqk2r/pp2bppp/2n1p3/2pn4/8/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq -,d2d4:b2b3:c3d5
8/8/6R1/3nk2N/5p1P/3P1P2/4P2K/2r5 w - -,g6g5
r4rk1/1pBnbp2/1pn1b2p/1N1p2p1/8/P4NP1/1P2PPBP/R4RK1 w - -,c7d6
r7/1p2pk1r/p2p1p2/4nb1n/4P2P/2P1B3/PKP1B3/6RR w - -,e4f5
r7/2p2k2/P2p2Rp/2pP3P/2P5/1P3P2/8/1K6 b - -,a8a6
r6k/1p2nq1p/2pp2b1/3Pp3/2P1B2P/3QBP2/1P6/rNKR2R1 w - -,e3g5
2b2rk1/3r1ppp/p7/1pp1p3/4P3/1P2B1P1/P4P1P/2RR2K1 w - -,d1d7
2rq1rk1/1p2bpp1/pn1pbn1p/4p3/PP2P3/2NB1N1P/2P2PP1/R1B1QRK1 w - -,a4a5
b5k1/6p1/3NppN1/3n4/3B1P1p/7r/1K6/8 w - -,b2c1
r2q1rk1/pp1bppbp/3p1np1/n7/P3P3/2N3PP/1PP1NPB1/R1BQ1RK1 b - a3,a8c8
8/R6p/6pk/P7/8/6PP/r4PK1/8 w - -,a5a6
r4rk1/1p1qbppp/p1n2n2/2pp1PP1/P4P2/2N5/BPP1Q2P/R1B2RK1 b - -,c6d4
r1b2rk1/3nb1p1/pq2p1Qp/1p1pPp2/3n1B2/P1NB3N/1PP2PPP/R4RK1 b - -,f8f7
r1q2rk1/pb4p1/1p1p3p/2nP4/5N2/P1P3PB/2QB1P1P/5RK1 b - -,c8d8
4rbk1/p4r1p/1p2qpp1/8/8/1P2Bb1P/P2QNPP1/3R2K1 w - -,e2d4
r1b1kb1r/1pqnpp1p/p1p2np1/2P5/3Pp3/2N2N1P/PPQB1PP1/R3KB1R w KQkq -,c3e4
5rk1/4R2p/pq2p1p1/1b1pQ2n/8/2R4P/5PPK/8 w - -,c3c7
r4rk1/2p1ppbp/pn4p1/1p2P1N1/1QPq4/5P2/P5PP/2BNKB1R w K -,f3f4
1r2rbk1/1bq2pp1/1npp1n1p/p2Pp3/2p1P3/1P2B2P/P1BN1PP1/2RQRNK1 w - -,b3c4
1n6/1RNn3p/5p2/P3pk2/8/B6P/5PPK/5r2 b - -,f1f2
8/8/5pp1/3B3k/4P2P/p2Rq3/P1K4P/8 b - -,e3f2
3r4/p2r3k/6p1/P1QP1p2/4p1p1/1P2P3/5PPK/8 b - -,a7a6
1r1q1rk1/p3bppp/8/8/2bP4/5B2/P4PPP/R1BQR1K1 b - -,e7b4
2k5/p3r1pp/R7/1p6/2p2P2/2P4P/PP3KP1/8 w - -,a6d6
r2q1rk1/pp3p1p/2p1p1p1/3b4/P2Pn3/Q3PNP1/1P3PBP/2RR2K1 w - -,a3b4
2r3k1/rb2qppp/1p2n3/1P2p3/2B1PP2/2N1BP2/QP5P/5RK1 w - -,a2a7
8/1p2n3/p1p3kp/3p2p1/P1PPn1P1/1P2N2P/7K/2B5 b - g3,d5c4
rnbqk2r/ppppp1bp/6pn/6B1/3PN3/8/PPP2PPP/R2QKBNR w KQkq -,g1f3
2r1n3/3kq1pQ/1p2p3/p2P1p2/5P2/2N1P3/1P2R2P/6K1 b - -,e6d5
3b4/1nq1npk1/2p1p1p1/p2p4/P2P1PP1/1PBNQP2/2B3K1/8 b - -,c7c8
r1q2rk1/p3bpp1/b3p1p1/2NpP3/8/4B3/PP3PPP/2RQR1K1 b - -,a6c4
4r1k1/1p1b2q1/p5pp/n1NPbp1n/P7/1P5P/2BQN1P1/3R1RK1 b - -,e5d6
r1bqnrk1/p2n1p1p/1p1p1bp1/2pP4/2P2P2/1PNB4/PBQN2PP/4RRK1 w - -,h2h3
6k1/7p/3p2p1/2pP4/2B1b1P1/4P2P/5K2/8 b - g3,g6g5
4r1k1/3b1pb1/pq1p1npp/2pP4/2P2P2/2BBr1NP/1PQ3PK/1R3R2 w - -,c3d2
1r4k1/1q2bpp1/r2pp2p/2p1n3/p1P1P3/2N2NP1/PPRRQPKP/8 b - -,e5c6
rnbqk2r/p1p2ppp/1p2p3/3pPn2/1b1P1P2/2N2N2/PPPB2PP/R2QKB1R b KQkq -,b8c6
rn1q1rk1/pp1bppbp/3p1np1/3P4/4P3/2N1BN2/PP2BPPP/R2QK2R b KQ -,d8a5
8/p3k1pp/1p2p3/2r1Pp2/r1P2P2/1R6/P1RK2PP/8 w - -,d2d3
4rr1k/p1p1n1pp/1p1p4/P1q5/2P1Q2B/2P2N2/3K1PPP/R3R3 b - -,d6d5
rn1q1rk1/1p2bppp/p2pbn2/4p3/P3PP2/1NN1B3/1PP1B1PP/R2Q1RK1 b - f3,e5f4
1rbqr1k1/ppp2pp1/2np1n1p/4p3/2P1P3/2PP1NP1/P4PBP/1RBQ1RK1 w - -,h2h3
4Qbk1/p7/4p3/1N3q1p/8/1K4p1/PP6/8 w - -,b3a4
r1br2k1/5pp1/p1n2n1p/1p1q1P2/P2p1R1Q/N2B4/NPP3PP/4R2K w - -,a4b5
r3r1k1/bp3pp1/p1p1bq1p/3npN2/8/1PPP1QNP/1P3PP1/R1B2RK1 w - -,a1a4
