8/5p1k/7p/5Pp1/2P4r/8/2R2P2/4rNK1 w - -,g1g2
2r2rk1/5ppp/p3p2P/3p2P1/bbq2P2/2pQB3/P3N1B1/2R2RK1 w - -,d3d4
b4rk1/r4ppp/p1nR4/1pN1P3/1P2P3/P1N3P1/2P3B1/7K b - -,c6e5
3r2k1/1p2qpp1/p2r1n1p/3p4/3N4/P2QP2P/1PR2PP1/3R2K1 b - -,d6d7
r2r2k1/p5pp/4pp2/1pqN4/8/2P3P1/PP2QP1P/R3R1K1 b - -,e6d5
2b2b1k/7p/p1N1pnr1/3p4/Bp1P4/3N4/PPP4P/3K1R2 w - -,d3e5
r1bqr1k1/p4pp1/2p2n1p/3p4/5N2/3B1Q1P/PPP2PP1/4RRK1 b - -,c8d7
8/B5pk/5r2/8/1p3nR1/1P4K1/P7/8 b - -,f4e2
r2r2k1/1pp1qpp1/2n1bn1p/p3p3/P3P3/2P1NN2/1PQ1BPPP/R2R2K1 b - -,e7c5
r3r1k1/pp2qbb1/n1pp1npp/5p2/2PN4/1PN3P1/PBQ1PPBP/3R1RK1 w - -,f1e1
r3rnk1/1pq2pp1/p1pb3p/P7/1P1PR3/6PP/2QB1PB1/1R4K1 b - -,e8e4
6k1/3bb1pp/3qP3/6P1/1p1P1P1n/1R3B1N/4RK2/8 b - -,d7e6
r1bqrnk1/pp2bppp/2p1pn2/3p4/2PP4/1PN2NP1/PBQ1PPBP/R4RK1 b - d3,f8g6
r1bq1rk1/pp1nbppp/2p5/3p4/3P1N2/P3P3/1PQ2PPP/R1B1KB1R w KQ -,f1d3
8/8/r5p1/P3k2p/2R4P/2K3P1/P4P2/8 w - -,c3b4
r1r3k1/1p1b1p1p/p4p2/n2p4/3N4/P2BP3/3K1PPP/R6R w - -,h1b1
5k2/8/3R4/6P1/4BPK1/r7/8/2b5 w - -,g4f5
r4rk1/ppp2ppp/3b4/3p1b2/3P4/2P3P1/PP3PBP/R1B1R1K1 b - -,c7c6
5r1k/pp5p/8/1Ppr1p2/P2qpnP1/6RP/Q4PB1/1R4K1 b - -,f4g2
5r2/2p1q1kp/1p1p1p2/pPnP1Pp1/P2QP3/5K2/1PB4P/5R2 b - -,e7f7
1B6/3k4/1R1p4/2p3P1/1p1r4/4KP2/8/1b6 b - -,b1c2
2rr1bk1/1bqn1p1p/pn6/1p1pPP2/4P3/1PP1B2P/P3NQB1/2R2RK1 b - -,c7e5
r3k2r/1pqnppb1/p2p1n1p/2pP2p1/4P2P/2P2BB1/PP1N1PP1/R2QK2R w KQkq -,d2c4
3q2k1/7p/n2rrbpP/2p1Np2/1pP2P2/4Q1P1/1B2R3/4R1K1 w - -,e3f3
8/8/5k2/3P4/3K1p1r/P7/1P5p/7R b - -,f6f5
r4rk1/p2bq1p1/1pp2n1p/5p2/2BP4/1N2PP2/P1Q3PP/R3R1K1 b - -,d7e6
8/4k3/1p5p/p4p1P/P1B5/3n1PK1/8/8 b - -,f5f4
4Rr2/5pkp/3p2p1/q7/1p1p3Q/1Pn3PP/P4PB1/2R3K1 b - -,f8e8
1k6/1p6/8/p2b4/P5pP/5p2/1PPK4/7B w - -,d2e3
r1b1k2r/2q1ppb1/pp1p1n1p/2pP4/2P1PP1N/3QB2P/PP2N2K/2R2R2 b kq -,f6h5
r1q1r1k1/ppp2ppp/1n3n2/N2bN3/P2Pp3/6PP/1P1QPPBK/R1R5 b - a3,c7c6
4r3/6k1/1p3q2/2p1pp2/R5p1/1P2Q1P1/5P1P/6K1 w - -,b3b4
r1br2k1/1p2qppp/p3p3/3nN3/PnBPQ3/2N5/1P3PPP/2RR2K1 b - -,c8d7
1k1r3r/ppp2bp1/4np1p/q1p1pN2/3nP1PP/1P1P4/PQPB1P2/1K1R1B1R b - -,a5b6
8/R5p1/3p1k2/7P/6rP/8/5K2/8 w - -,a7d7
4r1k1/p1p2pnp/2p2bp1/2Pp1q2/3P1N2/PP2QP2/5BPP/4R1K1 w - -,e3d2
5k2/pp1Q1p1p/8/4p1rq/3pBb2/5R1P/PPP1P3/7K w - -,e4d5
r1bqr1k1/pp1nbppp/2p1pn2/3p4/2P5/1P3NP1/PBQPPPBP/RN3RK1 w - -,b1c3
3bk1r1/q4p2/b1p1p3/p2pP1PQ/P1Pp4/1P1P2PK/2R2P2/2R2N2 b - -,d5c4
6k1/q4p1p/3p2p1/3Pb1PP/2P1Q3/1p6/1P2R1K1/rB6 b - -,a7e7
2k5/p2pqp2/1p2pR1p/2p1P1r1/2P1r3/PP3R2/7Q/4B2K w - -,e1g3
r7/2r1kp2/2bRp2R/pPp1P3/5K2/8/P3P2P/8 b - -,c6b5
2r2nk1/pp1r1p2/2p1p1pb/4P3/3P1P2/B1P2BP1/PR6/5RK1 w - -,f1b1
2rqr1k1/5pp1/1pn4p/p1b5/P1RpNB2/3P3P/1P2B1P1/R2Q2K1 b - -,e8e4
8/8/2pp1kp1/p3rp1p/P1P3rP/1P1KPRP1/4R3/8 w - -,e2g2
r3r1k1/pp2ppbp/2n1b1p1/q1Pp4/3P3B/1Q1BPN2/P4PPP/R4RK1 b - -,a8d8
r1bq1rk1/ppp2pp1/1bnp3p/4p3/4P1n1/1BPP1N2/PP1N1PPP/R1BQR1K1 w - -,e1e2
7k/6p1/7p/r7/4n3/3p2P1/4N2P/5RK1 w - -,e2d4
r1b2rk1/ppp1np1p/2nq3Q/3p4/3PP1pN/2N2pPP/PPP5/2KR1B1R w - -,h6g5
3r1k2/5pp1/5n1q/4Q3/1N6/P2P2P1/5P2/2RK4 b - -,h6h1
r2qkb1r/pp1bnppp/2n1p3/3pP3/3P4/N4N2/PP2BPPP/R1BQK2R b KQkq -,d8b6:e7f5
8/4b1p1/2p1p1p1/3pPpP1/kP1P1P2/2K4P/8/2B5 w - -,c1e3
qr1bb1k1/5ppp/4p3/p1RpN3/1n1P1P2/B5P1/4P1BP/2Q3K1 b - -,d8b6
r2r2k1/4bppp/p1R1p3/1P1n4/3P4/1B2BP1P/1P3P2/3R2K1 b - -,a6b5
rnbqkb1r/ppp3pp/4pn2/3p1p2/3P4/6PN/PPP1PPBP/RNBQK2R w KQkq d6,h3f4
2rqr1k1/pp2bpp1/2npbn1p/2p1p3/3PP3/2P1BNNP/PPB2PP1/R2Q1RK1 b - -,c5d4
r1b1r1k1/pp3pb1/1qpp1npp/2n5/2PNP2B/1PN2P2/P5PP/1BRQ1RK1 b - -,f6e4
8/5R2/8/P1Bp1kp1/3P1b2/5p1r/5P2/6K1 b - -,f5g4
r1bqkb1r/pp3ppp/4pn2/3pN3/3Pn3/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,e4d6
2r2rk1/pbqn1ppp/1p1ppn2/2p5/1PP5/PQ1P1NP1/1B2PPBP/R4RK1 b - -,e6e5
1q6/pr4k1/4bp2/2p3p1/2PpP2r/P2P3P/3QKRB1/5R2 w - -,f1c1
r1bqr1k1/p4ppp/1p3n2/2p1n3/2P1p3/2Q1N1P1/PB1PPPBP/R4RK1 b - -,c8b7
1r3r2/Rp1b2bk/1q4pp/1Np1pp2/2P5/3P2P1/2Q1PPBP/5RK1 w - -,c2a4
3R1bk1/pbr3pp/5p2/2p5/2N2B2/1P6/P1P3PP/2K5 b - -,c7c8
5rk1/1qnbppb1/pr1p1npp/2pP4/2P4B/2N1P3/RP1NBPPP/2Q2RK1 w - -,f1d1
1r2k3/2r5/p1b1p1p1/b1ppPp1p/5P1P/N1P3P1/PP2R3/1NKR4 b - -,b8d8
8/3k4/2p2p2/2Pp2p1/p1bP2P1/P1K2PN1/6P1/8 w - -,c3b4
r1r3k1/p2qppbp/Bp1p1np1/3Pn3/1Q2P3/1N2BP2/PP4PP/R1R3K1 b - -,c8c1
8/p7/1b4k1/1K3p1p/P1p5/5R2/6P1/8 w - -,b5c4
r2k4/rp2ppbp/3p2p1/1BnP4/pB2P3/5PP1/PPR3KP/1R6 b - -,a8c8
2r5/k5r1/5nP1/1p3P1p/pP1P3P/Pqp2R2/2R5/K1Q5 b - -,g7c7
r1bqk2r/pp1nnpbp/3p2p1/2pPp3/2P1PP2/2NB4/PP4PP/R1BQK1NR w KQkq -,g1f3
r2qb1k1/4bpp1/2n4p/1NNpp3/1PnP4/3BP1BP/2Q2PP1/1R4K1 b - -,c6d4
3r2k1/ppqrbppp/2b1p3/2n1P3/8/1BN4P/PPP1QBP1/3R1RK1 w - -,d1d7
2br1r1k/pQp3pp/1p1b1p2/4p2q/2B1Pn2/PP1P4/1B1N1PPP/R4R1K w - -,b7a7
1rb1rbk1/2q2p2/2n2npp/1pp1p3/4P2N/2P2QNP/1PB2PP1/R1B1R1K1 b - -,c7e7
4r1k1/1Qn2q2/p2p4/P1p1bPp1/6np/2N5/1P2RBPP/4R1K1 w - -,b7f3
r3r1k1/2p2p1p/2b3p1/p3p3/2p1P3/PPPnPNNP/6P1/3R1RK1 b - -,a8b8
3rr2k/ppq3p1/2p1pn1p/8/4B1P1/1Q2P3/PP3PP1/R2R2K1 w - -,e4g6
r2q1rk1/1bp1npb1/p2p2pp/1p6/2nPPB2/2N2N1P/PPB2PP1/R2Q1RK1 w - -,d1c1:b2b3
2r1r1k1/5ppp/p3p3/2p1P3/3p1P2/3Q4/PqR1N1PP/3R2K1 b - -,b2b5
2r3k1/R4pp1/6p1/1p1p4/6P1/4PK1P/1r6/3R4 w - -,d1d5
b5r1/4bR1R/4k1p1/1p2p1P1/4P3/2P3N1/P7/1K6 b - -,e7g5
8/5k1p/8/P3bP1Q/3p2P1/4r2P/2P1p3/4K3 b - -,f7g8
