8/1B3kp1/5n1p/8/1p6/2r1n3/5P2/4RK2 w - -,f2e3
8/p4rk1/2R4p/1P1P4/2Pb4/6P1/5P2/6K1 w - -,g1g2
5rk1/5pp1/7p/p7/8/1P3P2/P1R2KPP/r3B3 b - -,f8a8
4q1k1/1p3n2/p1p1b1p1/2P5/7p/1P2N1bP/P2Q2B1/5R1K w - -,d2d4
5rk1/p1qbppbp/3p1np1/1p3P2/2rNP2Q/2N1B3/PPP3PP/4RRK1 b - -,c7b7
4r3/8/p7/1pk5/2p1p1P1/1PP1R1P1/P1K2n2/6N1 b - -,f2g4
r5k1/1q2pp1p/3p2p1/2p5/1r3Pn1/1PQ1P3/PR1N2PP/3R2K1 w - -,h2h3
6k1/2q2nbp/pR2Q1b1/P1p1p3/4Pp2/5P2/7P/3N2K1 b - -,g7f8
8/pk3rp1/2p3R1/2P5/1P2R2p/P2K3P/5r2/8 b - -,f2f3
2rqkb1r/3n2p1/p3p1P1/1p1b1p2/3NP3/P3B3/1PPQ4/2KR1BR1 b k -,f5e4
6rk/8/7r/1p2p3/5p1b/1PBP1Q2/P1R1K1Pq/5R2 b - -,h2g2
2rq1rk1/2p1npb1/1p4pn/p2PP2p/2Q2P2/6P1/PP3BBP/3RR1K1 w - -,c4b3
r4r2/p3pk1p/2bp1ppb/2p5/4PP2/1PN1B3/P1PR2PP/5RK1 w - -,g2g4
5r1k/2pnqprp/bp1p1np1/p3p1N1/P1PPP2Q/1B2P2P/1P1N1RP1/5RK1 b - -,f6g8
8/5N2/p5R1/1pp1P3/1n6/1P1P1K2/2r4k/8 b - -,c5c4
1r3rk1/3Q1pp1/2p4p/p2p1p1B/q2P3P/6P1/5PK1/1N2R3 w - -,d7a7
r4r2/pp2ppkp/1qppb1p1/N7/1P6/4N1P1/P2QPPBP/5RK1 b - -,a8d8
r2qkb1r/ppp2ppp/2n1pn2/8/2pPP1b1/2N1BN2/PP3PPP/R2QKB1R w KQkq -,f1c4
1b6/8/4N1k1/1K6/1P4PP/5R2/8/2r5 b - -,b8d6
r3r1k1/1b1qnpbp/3pp1p1/1p6/1P1PP3/1Q2B1PP/R3NPB1/2R3K1 w - -,a2c2
r1b1q2r/ppp2kb1/3p2n1/P1PPpPnB/4P3/2NN4/1P4RQ/R6K b - -,e8e7
r4rk1/ppp1q2p/2npbbp1/4pp2/2P5/PP1PPNP1/1BQ2PBP/R4RK1 b - -,a7a5
2b2rk1/1p4p1/4p2p/2b1qp2/3N4/1P1RnQP1/P5BP/3R3K w - -,d3e3
8/8/2k5/2p4R/1pP2r1p/1K6/8/8 w - -,h5h6
r4rk1/ppp1pqbp/2np2P1/8/3P4/2PQ1PN1/PP3P2/R1B1K2R b KQ -,f7g6
1r1q1rk1/1ppbnpbp/p2p1np1/P2Pp3/2P5/2N2NPP/1P2PPB1/R1BQ1RK1 w - -,e2e4
2rq1rk1/pb2bppp/1p1ppn2/2n3B1/4P3/2NB1N1P/PP1Q1PP1/2R1R1K1 b - -,h7h6
1r1nr1k1/2qb2bp/3pP1p1/1p3p2/3N1P2/1PPQB1PP/R5BK/4R3 b - -,d8e6
2q2rk1/1pp2pp1/2n3bp/2bN1PQ1/2B5/8/1BP3PP/5R1K w - -,g5g3
r1bqk1nr/pppn1pb1/3p2pp/4p3/3P3B/2P2N2/PP1NPPPP/R2QKB1R w KQkq e6,d4e5
2r3k1/4bpp1/pqrp1n2/4pP2/4P2p/2NQ3P/1PPN2P1/R2R3K w - -,a1a2
Q7/4b3/4N3/3kpK2/8/5P2/7r/8 b - -,d5d6
r2q1r1k/3b2pp/2p1p1n1/1pPpPpb1/pP1P4/P2BP2Q/4N1PP/R1B2RK1 w - -,c1d2
3rqrk1/4p1bp/b1p2pp1/p1nPP3/1p3B2/4QN1P/PPB2PP1/R2R2K1 b - -,c5b7
2kr4/1p4p1/2n2p1p/3rpn1P/4N3/P4PB1/1P3PK1/2R1R3 b - -,c8b8
8/4k1pp/4B3/1p3p2/2p1PP2/5P2/rP1R1K1P/8 b - -,e7e6
8/1K6/1P1k4/7p/6p1/8/6P1/8 w - -,b7c8
2bq1k1r/4np2/p2p4/p1pPp1pp/PrN1P2P/1P3PP1/2PN4/R1Q2RK1 w - -,h4g5
8/1Q4pk/5nrp/5q2/2Ppr3/5PpR/3BP1K1/7R w - -,h3h6
8/2kb3p/npp3p1/1p1r2P1/1P1N3P/1P1N1P2/3K4/3R4 w - -,d2e3
8/1p4pp/p1k5/8/1PPK4/P6P/3R2P1/1r6 b - -,b1b3
8/p5k1/4bq2/2p1Q2P/1nPp4/5P2/PP2RK1P/3R4 b - -,e6c4
r4r2/1p1n1p1p/2bppkp1/8/4P3/1B2NP2/PRP3PP/5RK1 w - -,f1d1
r1bqkb1r/pppp1ppp/2n2n2/8/2PPp3/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,f3d2:f3g5
8/4bnk1/2n5/1pP1pppp/1P1p4/3P1KP1/r2B1P1N/1R3N2 w - -,f3e2
r2q1rk1/1pp2nbp/p1n3p1/3Ppb2/B7/2P1B2P/PP4PN/RN1Q1RK1 b - -,c6e7
8/6pk/p3p1n1/1p3r1p/3Pb1Q1/P1P1PNB1/2q3PP/4R2K w - -,g4h3
7r/pb1rkppp/1p2pn2/2p5/4PP2/2PB4/PP1NK1PP/R6R w - -,d3b5
r2q1rk1/ppnn2bp/4b1p1/3ppp2/NP2P3/P2PB1P1/2Q1NPBP/2R2RK1 b - -,a8c8
6k1/5pp1/Q4n1p/8/4r3/8/P1r2PPP/3R2K1 b - -,e4e2
2r2rk1/3nbppp/bqn1p3/p1ppP3/1p3B1P/3P1NP1/PPP1QPBN/3RR1K1 b - -,c5c4
3r1r2/pp6/4B1kp/4bp2/4p3/7P/PP3PP1/2RR2K1 w - -,b2b3
2R5/p2q3k/4p1p1/3pP2p/5Q1P/P7/1r3PP1/4R1K1 b - -,d7c8
rnbqkbnr/pp2pp1p/6p1/3p4/P2P4/8/1PP2PPP/RNBQKBNR w KQkq -,g1f3
5r2/2p3k1/pp2n1pp/8/2P1N2P/5QP1/1b2RPK1/3q4 w - -,f3g4
6R1/8/3p2p1/2nPkp2/r6p/2K2B1P/6P1/8 b - -,e5f6
r2q1rk1/1p3pp1/p3pn1p/2p5/P2P4/2PQ2P1/4PPNP/1R1R2K1 b - -,c5d4
5rk1/p6p/4pPp1/q3P3/2p2B2/2r1KP2/B2Q4/n6R w - -,e3e4
2r5/5k1p/3p1pp1/3P4/q1pQP3/1r3P2/5RPP/2R3K1 w - -,c1a1
8/8/1p1k4/8/P2P2p1/2NK4/1P4n1/8 b - -,g2f4
5rk1/ppr1bppp/4pn2/3pN3/3PbP2/8/PP1B2PP/R3NRK1 w - -,e1f3
2r2r2/p4pkp/1p2pb2/2qP4/4Q3/5P2/P4P1P/RB2R1K1 b - -,f8g8
5k2/1p2q2p/p1pb1pp1/N7/1P2P2P/P2Q2P1/5PK1/8 b - -,d6e5
7r/8/4k3/5R2/4PKP1/8/8/8 w - -,e4e5
2r5/5kp1/3r4/8/p1P2p2/PP2pBP1/2K2b1P/2B4R b - -,a4b3
8/8/p2K4/2N5/kp2P3/P5R1/b7/5r2 b - -,a4b5
rnbqkbnr/pp2pppp/8/2pp4/3P1B2/2P5/PP2PPPP/RN1QKBNR b KQkq -,b8c6
8/8/2n1Pkp1/6N1/2b2K1P/B7/8/8 w - -,e6e7
3r1rk1/pp3p1p/2p1pnp1/b7/3P1P2/2Pn1N1P/PP2N1PK/1R1R4 w - -,d1d3
8/5pk1/4n1p1/3NP2p/5P2/6P1/1r4P1/3R2K1 b - -,b2a2
6k1/8/4Rr2/2q1n3/3p1pPQ/p6P/P5K1/8 w - -,h4g5
8/8/6k1/8/6PP/5NK1/1b6/8 b - -,b2c1
rn3rk1/pp3ppp/4p1b1/3pP1B1/P2P4/8/1P2BPPP/R4RK1 w - -,g5d2
2r2rk1/1bqpbppp/p3p3/6PB/3QP3/1Pp1BP2/P1P4P/2KR3R w - -,d4d7
1r2nrk1/2pnqpbp/pp1p2p1/3b4/P1NPp3/2P1P2P/1PQNBPPB/4RRK1 b - -,f7f5
rn1qk2r/pnppppb1/1p5p/4P1p1/3P3P/2PQBP2/PP4P1/RN2K1NR b KQkq h3,g5h4
8/5p2/p1R1k1pp/8/2P5/6P1/r4P1P/6K1 b - -,e6d7
5rk1/1p3pp1/pN2b3/Pr2p1q1/1PNpPnPn/3P1P2/5R1P/R3QB1K b - -,g7g6
2b5/p5pp/1p1k4/2bPp1B1/2B3P1/5K2/PP5P/8 w - -,g5d2
r1nq1rk1/pp3pbp/2n1p1p1/2Pp4/3P4/1P2BB1P/P2QNPP1/R3K2R b KQ -,c8e7
5rk1/1p3ppp/pq3n2/1R6/8/5B1P/PP3PP1/1Q1R2K1 b - -,b6b5
3r2k1/p1q1bppp/1p6/nPpp4/4n3/2BNP1P1/P3QP1P/2RR2K1 b - -,e4c3
3R4/5k2/1p1r4/2pppp2/2n5/2P1P3/2PBKP2/8 w - -,d8h8
1r3rk1/pp1qnpbp/3N2p1/2pPp3/8/1P1PP1P1/PB2QP1P/R4RK1 w - -,d6c4
3R4/2q2bkp/6p1/2p1p1P1/4Nn1P/1P2Q3/2B5/6K1 b - -,c7d8
