8/8/4R3/8/4b1P1/4k1K1/8/6r1 w - -,g3h4
r2r2k1/pp2qnbp/2p1bpp1/2P5/Q3P3/2N1B2P/P3BPP1/1R1R2K1 b - -,f6f5
r2q1rk1/pppn1p1p/3p1bn1/3Pp1p1/2P1P1B1/2N1B1PP/PP3P1K/R2Q1R2 w - -,f1h1
4rr1k/pp4bp/2pq1ppn/8/3P4/1PP4B/P5PP/RN1Q1RK1 w - -,b1d2
8/pr5k/4Brpp/Pq2N3/1n2Q3/8/1P3PPP/2R3K1 w - -,e6c4
7r/1p6/3p2P1/p1p1bB2/P1P1K3/1r3pk1/R7/7R w - -,h1g1
4r1k1/1R3p1p/p2p1Qp1/3Pn3/P3q3/8/1Pr3PP/6RK b - -,e4d5
6k1/p7/1n4p1/8/4K3/P2R2N1/2r3PP/8 w - -,e4f3
2rqk2r/4ppb1/p1npb2p/3N2p1/2p1P3/2P3B1/PPQN1PPP/2KR3R b k -,e6d5
3r4/pp3pkp/4n1p1/8/8/2Q1NqPK/PP3P1P/3R4 b - -,f7f6
1br1r1k1/5ppn/pp4n1/4q1P1/1P1N4/4BP1Q/P2R4/3R1BK1 w - -,d4f5
r1bq1r2/pp1nppbk/n2p2pp/2pP4/4P3/2N1BN2/PPPQBPPP/R4RK1 w - -,f1e1
3r2k1/4p2p/p3P1pb/1p3pN1/2p2P2/2P1n1N1/PP4PP/5R1K w - -,f1e1
r1bqkb1r/pp3ppp/2nppn2/2p5/2P1P3/2N2N2/PP1PBPPP/R1BQK2R w KQkq -,e1g1:d2d4
2k4r/2n5/5q2/2pRRpP1/5P2/2P3K1/PP4Q1/7r b - -,f6a6
r2q1rk1/1bp2ppp/p1pb1n2/3PN3/5P2/2PP4/PP1N2PP/R1BQ1RK1 b - -,c6d5
8/5kp1/2n4p/2N1p3/2N3P1/2b1PP2/6KP/8 w - -,g2f2
r2qr1k1/1p1b1pbp/3p1np1/pBnPp3/4P3/2N5/PP1N1PPP/1RBQR1K1 w - -,d2c4
6r1/4kp2/p1rppN1p/2p4P/2P3P1/1P2PK2/P2R4/6R1 b - -,e7f6
6k1/pp2pp1p/2n1n3/6p1/1N6/P3B3/1PP3PP/3K4 w - -,b4c6
8/4b3/7p/6p1/p1k3P1/5PN1/P1K5/8 w - -,g3f5
r1bq1rk1/1p2ppbp/p1np1np1/8/2PNP3/2N1B3/PP2BPPP/R2Q1RK1 w - -,a1b1:a1c1:d1d2:f2f3:d4c2
r2qk2r/ppp2ppp/2n1b3/3np3/1b6/2NP1NPP/PPPB1P2/R2QKB1R w KQkq -,f1g2
r1bqk2r/1p3pb1/2pp2p1/p1nPp2p/P1P1P3/1nN1BP2/1PQ1N1PP/3RKB1R w Kkq -,e2c1
1r4k1/4pp1p/3b2p1/8/8/1B1QPP1q/P4P2/3R1K2 w - -,f1e2
1rbq1rk1/5ppp/pP1p4/3Np1b1/2BnP3/N7/PP3PPP/R2Q1RK1 b - -,c8b7
r2q1rk1/pp2ppbp/2p1b1p1/3nN3/3P4/1B6/PPP2PPP/R1BQR1K1 b - -,d5c7
r3kb1r/1bq2pp1/p2ppn2/1pn3B1/3NP3/2N3RP/PPP1QP2/2KR1B2 w kq -,f1g2
rn1qkb1r/p3npp1/2p1p3/1p2Pb1p/2pP3P/2N3N1/PP3PP1/R1BQKB1R w KQkq b6,c1g5
r1bqkb1r/1p3p1p/p3p1p1/3n3n/3N4/2PB1Q2/PP3PPP/RNB1R1K1 b kq -,f8g7
r4rk1/6bp/p1ppbqp1/1p4Nn/3PN1pP/3BP3/PPQ2P2/K2R3R b - -,f6e7
R7/4kp2/4p1p1/4P3/5PP1/4PK2/8/1r6 b - -,b1f1
2rq1rk1/1b3pbp/p1np2p1/1p1N4/4PP2/P2Q3P/1PB3P1/1RB1R1K1 b - -,c6d4
8/8/1q6/5k2/5p2/5P2/4Q1P1/5K2 b - -,b6b1
rnbqk2r/1p2bppp/3p1n2/p3p3/2P1P3/1N2BP2/PP4PP/RN1QKB1R b KQkq -,a5a4:e8g8
6r1/5k1p/8/5pKP/2PP4/5R2/2bB4/8 w - -,g5f4
3b1n2/3k1p1p/4pP2/2rPP3/p3K3/P5B1/1P5P/3R4 w - -,d5e6
3r4/3rb1p1/kp2p2p/p1pn2P1/4N2P/P3BP2/1PR1KP2/7R b - -,h6h5
6k1/4r3/2b5/1pPpqp1r/1B4p1/2Q1P1P1/R6P/1B4K1 w - -,c3e5
8/3b4/pP1k1p2/P1np1P2/3N1K2/8/4P3/8 w - -,e2e3
r1b1kb1r/pp3npp/1qn1p3/3pP3/2p5/P1P2N2/1PB2PPP/RNBQ1RK1 w kq -,d1e2
3r3r/1p2bkpp/p3n3/5p2/2P1p3/1P4P1/PB2KP1P/R2RN3 w - -,e1c2
4r1k1/p2q2p1/Q3p2p/2ppPn2/5N2/5P2/PP1B4/2K4R w - -,h1g1
2r1k2r/pp1Qbpp1/5np1/3p4/2nP1B2/2N2PP1/PP5P/1K1R1B1R b k -,e8d7
8/8/5kp1/4R3/p4P2/2P3P1/5K2/2r5 w - -,e5a5
6n1/8/8/8/3pB2K/2kP4/8/8 b - -,g8f6
1r1q1rk1/4npbp/4p1p1/1n1p4/1p1NPPP1/4B2P/1P4B1/R2Q1R1K w - -,d4b5
r2qr3/1p3pkp/1np2pp1/p2b4/3P1Q2/3B1N1P/PPP2PP1/1K1R3R b - -,b6c4
8/1K4pk/6Np/5R1P/8/8/8/r7 w - -,b7c6
2r3k1/1q2b2p/3p1np1/3P1p2/2PQpP2/1p6/1P1BB1PP/2R4K b - c3,f6d7
r2q1rk1/4ppbp/pn1p2p1/1p1bP3/3P1B1P/5N2/PPB2PP1/R2QR1K1 b - -,a8c8
8/1p6/2r5/PR2pk1p/5ppP/3N4/4K1P1/8 b - -,c6c2
rnbqkb1r/ppp2ppp/4p3/3p4/2PPn3/5NP1/PP2PPBP/RNBQK2R b KQkq -,f8e7
5rk1/pbp2npp/1p6/4P3/1P1p1P1P/P2B1qP1/1B1Q2R1/6K1 b - -,f7h6
2rbkr2/1b4p1/4p3/pp2P1P1/2pB4/2P1P1R1/PR5P/5BK1 b - -,b5b4
8/p5p1/4pk2/3r3p/1PN4P/P4PK1/4r3/3R4 w - -,d1c1
5k2/1R6/4Bp2/2r3p1/4K1P1/p3P3/Pb3P2/8 w - -,e6d5
3r4/3n2k1/1b3p2/1p2p1p1/2p1P3/2P5/1PB2PP1/R1B3K1 w - -,g1f1
2nr4/2p1bb1p/p1k2p2/1Pp5/4NP2/1P2BNP1/P4K1P/5R2 b - -,a6b5
6rk/3q3p/2b2p1P/2Qn1Np1/3P4/1pP2N2/5PP1/4R1K1 b - -,b3b2
1r4k1/5p2/3p2pp/p1p3q1/PrPnPp2/1P2Q1P1/1R3K1P/1R1B4 w - -,g3f4
r4rk1/6p1/pB1P2qp/P2P2b1/1p3p1n/7Q/1PP2R2/4R1KB w - -,h3e6
5r1k/1ppQ4/p2p1q1p/8/4P2K/PB1P2P1/1PP5/8 w - -,h4h3
r1q3k1/5pp1/2pQ2b1/p2p3p/P1r5/1N3R1P/1P3PP1/4R1K1 b - -,c8f8
r3k2r/ppPn1p1p/2b2q2/2b3p1/2P1PB2/5KPB/PP1N3P/R2Q3R w kq g6,h3d7
3r2k1/1br2p1p/p5p1/2p1p3/2P1P3/PR1P2P1/6BP/5R1K w - -,f1b1
8/R7/p6R/4kb2/P7/7P/3r4/4K3 b - -,d2h2
6k1/1p2Rpp1/6q1/3Q3p/1P5P/2r3P1/8/7K w - -,d5b7
r1b1r1k1/1ppnqp1p/3p1np1/p3p3/3PP3/2P1NN1P/PPB2PP1/2RQR1K1 b - -,d7b6
4r3/p5kp/2qr1pp1/1p1npPP1/1Pp5/2P2Q2/P5RP/2B2R1K b - -,d5f4
N2Q1bk1/5p1p/2p3p1/1p2q3/4p1b1/2P5/P1P2P1P/1K2R3 b - -,g4f5
r1br2k1/pp2qppp/2n5/2bp4/4n3/1PNBPN1P/PB3PP1/2RQ1RK1 b - -,c8f5
1r3rk1/1b2npbp/1qnpp1p1/1p6/3PPP2/4BNP1/1P1N2BP/R2Q1R1K w - -,f1e1
r1bq1rk1/ppp1ppbp/3p1np1/3Pn3/2P1P3/2N2N2/PP2BPPP/R1BQK2R w KQ -,f3e5
8/6pk/7p/p4q1n/P7/1P2NP1P/5PK1/8 w - -,e3f5
2r3k1/1pr1ppb1/2nq2pp/8/2RP4/4BN1P/5PP1/1RQ3K1 w - -,b1b6
2rr4/pp1bpk2/5p1b/4nP1p/3N3P/4N1B1/PPP3P1/2KRR3 w - -,c1b1
4r2k/6pp/3n1q2/1PpP1p2/4pP2/7P/BP2Q1P1/4R1K1 b - -,f6d4
2r5/5pk1/p5p1/P1NP3n/1P1KP1b1/2N3Pp/5P1P/1R6 b - b3,c8a8
3qbkr1/p4pp1/4p2p/3pP2B/1npP1QR1/2p1N3/PrP2PP1/R3K3 w Q -,h5g6
r1bqk1nr/ppp1bppp/2n1p3/8/3Pp3/3B1N2/PPPN1PPP/R1BQK2R w KQkq -,d2e4
rnbqkb1r/pppp1ppp/5n2/4p3/2P5/2N1P3/PP1P1PPP/R1BQKBNR b KQkq -,b8c6:f8e7:f8b4:d7d6:d7d5
rnb1k2r/1pqp1pbp/p3p1pn/2p1P3/2B4P/P1N1QN2/1PPP1PP1/R1B1K2R w KQkq -,c3e4
1r4k1/2rbbp2/p3p1pp/3p4/3N1P2/P1PR2P1/1P2R2P/2KB4 b - -,g8f8
r1bq2k1/pp3p2/2p2p1p/3p4/5P2/1BP3QP/PP4P1/R5K1 b - -,g8h7
r3kb1r/pp1q1ppp/2n1p3/3n4/2NP2b1/5N2/PP2BPPP/R1BQK2R w KQkq -,e1g1
2q1r3/2n2bkp/r2p2p1/2p2p2/2Pp1P2/5B1P/1N1QN1PK/R1R5 b - -,g7g8
r3r1k1/4qppp/2bp4/1pp2QP1/p3P1N1/P6P/1PPN4/1K1R3R b - -,c6e4
N7/8/8/6k1/6P1/3K2n1/8/3B4 b - -,g5f4
1n1r3k/3rqpp1/ppp1p2N/1n2P3/1PRPB2P/6P1/3Q1P2/R5K1 w - -,d2f4
