8/5p2/4p3/3pP1p1/3P2P1/2kNK3/6b1/8 w - -,d3f2
b3r1k1/p1q3pp/P3p3/1P2Pp2/2pP4/2p1P3/2P2RPP/RQ4K1 w - -,b1b4
5Q2/1p2p3/p5p1/3pq1k1/P3p3/7P/6P1/5R1K w - -,f1f7
6k1/1b3p2/1pq3p1/p2pb3/2rP2P1/7B/1P2Q2P/4R1K1 w - -,e2e5
3r2r1/pp2k2p/5p2/4p3/3n4/PN1P2P1/PK5P/3RR3 w - -,e1e4
r2q1rk1/pp2bp1p/1np3p1/3n4/3PQ1P1/1B3N1P/PP1B1P2/R4RK1 b - -,f8e8
4rrk1/ppq1bpp1/2p2n2/4n1p1/PP6/1B2P2P/N2BQPP1/R2R2K1 w - -,a1c1
3rkb1r/2p1pppp/p1P5/3n1q2/QB6/5B1P/PP3PP1/3R1RK1 b - -,e7e6
6k1/7p/pB6/P4p2/5Pp1/8/5KPP/b7 w - f6,f2e3
8/p4Qnk/1p2pp1q/7P/7P/5B2/4PPK1/8 w - -,f7a7
8/p5kp/2p1p3/2Ppq1P1/4p1QP/P1P5/1P6/2K5 w - -,h4h5
rn2k1r1/pb1p1pqp/1p2p2b/8/3PP2p/1N1BPQ1N/PPP2KPP/R5R1 w q -,f3h5
1R2r1k1/5ppp/3Qpb2/8/8/2q3P1/4PP1P/5BK1 b - -,e8c8
2rq1rk1/1b1nppbp/p1np2p1/1p1N2B1/4P3/1N6/PPP2PPP/R1Q1RBK1 w - -,c2c3
6rk/p2n4/3P3P/8/2P5/2P5/P7/K2R4 w - -,d1e1
4r1k1/5pp1/1n2b2p/p2p4/1q1P4/N6P/1P2QPP1/1BR3K1 w - -,e2b5
4k1r1/3rbp1p/p7/2pRPqp1/Qp6/8/PP6/3R3K b - -,e8f8
8/1pR3k1/5p2/p2N2pP/3n2P1/1P6/r7/5K2 b - -,g7f8
3r1rk1/1pp1q1b1/p1n1p1pp/3b1p2/3P1B1P/1PQ1PNP1/P4PBK/2R2R2 b - -,d8d7
6k1/4pp1p/4n1p1/pr2b1P1/3BR2P/2P5/PPK5/4N3 b - -,e6d4
r3r1k1/pp1n1ppp/2p1b3/q7/3P2P1/2PNP1BP/P2Q1P2/R3K2R w KQ -,e3e4
3r3k/p5pp/1p6/6P1/4PP2/P1N5/1P3n1P/1KB5 b - -,h8g8
8/kpp2Q2/pr3p2/3n4/3q3p/B7/P4RP1/6K1 w - -,g1f1
1r1qbbk1/5p1p/Bn1p2p1/p2Pp3/1p2P3/1P2BP2/P2QN1PP/3R2K1 w - -,d1c1
r1r4k/1p3Q2/6p1/p1Pp4/3P4/8/5PPK/8 b - -,a5a4
4r3/1kp5/2p5/1PPp1p2/P2P1Np1/4P1P1/3n2K1/R7 b - -,e8e3
rn1q1rk1/pp2ppbp/2p1n1p1/4N3/3PN3/1PP5/1P3PPP/R1BQR1K1 b - -,d8d5
r1b1r1k1/1pqnbppp/p1pp1n2/4p3/2PPP3/P1N1BN1P/1PQ1BPP1/R4RK1 b - -,e7f8
4k3/7R/4rp2/1p6/5p2/2P4P/5PP1/5K2 w - -,h7h5
8/8/1p2k2p/p1b1npp1/2P1p3/1P4P1/2N1PP1P/2B3K1 w - -,c1b2
8/r4qpk/P1P2p1p/2Q1p3/R1KpP1PP/5P2/8/8 w - -,c4b4
2rr2k1/p3ppb1/1p4p1/2p4p/2R5/PP1PB1P1/4PP1P/1R4K1 b - -,g7d4
1r1r2k1/1bqn1pb1/pp1p1npp/3Pp3/P1N5/2N2P2/1PPQBBPP/R4RK1 w - -,a4a5
r3k2r/1b2bppp/2qNpn2/4n3/4P1P1/P3BP2/1PPQB2P/2KR3R b kq -,e7d6
rnbqkb1r/pp3ppp/3p1n2/2pPp3/4P3/2NB4/PPP2PPP/R1BQK1NR b KQkq -,f8e7
4r3/5k2/2p4p/4B3/3P4/4p1N1/1PK4P/8 b - -,c6c5
5k2/3n1ppp/1rp1p3/3pP3/p2P1P2/P7/KP4PP/2R1N3 b - -,f8e7
r3k2r/q3npbp/5p2/p1pPp3/1p6/3BN1P1/PP2QP1P/2R2RK1 w kq -,d3b5
2k3r1/ppp4p/2n2p2/3rp3/1P5P/2PPB1P1/P3KP2/R6R b - -,g8d8
2r2rk1/p3qppp/1pn1p3/2ppP3/3P1P2/2P2NP1/PPQ2KP1/2R2R2 b - -,c5d4
rnb1kb1r/1pp2ppp/p2qpn2/8/3P4/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,f8e7
1qr1r1k1/1bb2ppp/pp1ppn2/4n3/2P1P3/1PN1BPP1/P2QN1BP/2RR3K b - -,b8a8
k2rr3/pq4p1/1np1pP1p/3n3P/4Q1R1/6P1/PP1BNP2/2KR4 b - -,d5f6
r2qkb1r/pp3ppp/2n1pn2/6B1/Q2P2b1/2N2N2/PP2BPPP/R3K2R b KQkq -,g4f3
8/7k/1p5p/2p5/5rP1/Pp6/1B4KP/4R3 b - -,f4g4
rnbqkb1r/pp1p1p1p/5np1/2pP4/8/2N3P1/PP2PP1P/R1BQKBNR b KQkq -,d7d6
1R6/8/5PP1/6K1/8/2r5/1pk5/8 w - -,b8b2
r1k2b1r/p1pbnpp1/1pp4p/4P3/8/1P3N1P/PBP1NPP1/3R1RK1 b - -,e7g6
r1bqk2r/1p1n1ppp/p2bp3/2p5/2PPQ3/5N2/PP1B1PPP/2KR1B1R b kq -,d7f6
rnb3k1/pp4pp/2pp1r2/q4p2/2PPp3/2P2PPN/P3P1BP/R2Q1RK1 w - -,d1b3
r2q2k1/2p2r1p/1p1pb3/p3n1p1/2P1PpP1/1PN2P2/P3BQ1P/2RR2K1 b - -,h7h5
2k2b1r/1bqr2pp/p3p3/1p1nP1B1/P1p5/2N5/1PB1QPPP/R4RK1 b - a3,b5b4
8/8/4k3/5p2/1P6/6K1/8/8 b - -,e6d5
6k1/8/8/R4p2/5P1K/1r3P2/8/8 b - -,b3f3
r2q1rk1/1p2bppp/1n1p1n2/p2Pp3/2P5/1N1QB3/PP2BPPP/R4RK1 w - -,a2a4
2k5/8/2K5/8/PP1b1N2/8/8/8 b - -,c8b8
6k1/2p4p/r2b2p1/P2Rp3/2K1P3/2P1B3/6PP/8 b - -,a6c6
r2q1rk1/1pp2pp1/3p3p/p1bPp3/8/2BPPBPb/PP3P1P/R2QR1K1 b - -,d8f6
4r2k/1R4p1/r2p1n1p/2pP1Pn1/P1P1p1P1/3N1P2/6BK/R7 w - -,f3e4
8/8/b2p1kp1/3P3p/r1P5/P1R4P/2N3P1/6K1 w - -,c2b4
r3k2r/pp1nbpp1/1qp1pn1p/3p1b2/3P1B2/1QP1PN2/PP1NBPPP/R4RK1 w kq -,h2h3
rnbqk1nr/pp2bppp/2pp4/3N4/2PPp3/8/PP1NPPPP/R1BQKB1R w KQkq -,d5e7
3r2k1/p3qp1p/b1p2rp1/8/N2bP3/1P4P1/2RR1PBP/2Q3K1 b - -,a6b5
r2qk2r/pp1nppbp/6p1/3pP3/5Pb1/2PB4/PPQ3PP/RNB2RK1 b kq f3,d7c5
2b2rk1/2p2pq1/pr5p/8/Pn5Q/5N1P/6P1/R1B1R1K1 w - -,c1a3
r3k3/pp4p1/3b2p1/2pPnp2/2P2B2/PP3pPr/2B2P1P/R3K2R b KQq -,e8f7
r3k2r/2q2ppp/P1bbpn2/3p4/B2NP3/2PP4/5PP1/R1BQ1R1K b kq -,c6a4
3r4/5ppk/2p1qb1p/1pPr4/1P1p4/5R2/4QPPP/3RN1K1 w - -,e2e6
r5k1/5r2/7p/pbqp2p1/3N1p2/2PQ4/1P3PPP/4R1K1 w - -,d3g6
6rk/1pN5/5n1p/p2P4/3np3/4R3/PP4B1/5K2 b - -,g8c8
2r2rk1/p2pb1pp/1p2pn2/5p2/Pn1P4/1P4P1/1B1NPPKP/2RRN3 b - -,f6d5
1r3nk1/1ppq1bb1/3p3p/rP1Pp1p1/4B3/P2QP1P1/1B1N1P2/2R1K2R w K -,b5b6
r1bq1rk1/pp2npbp/3pp1p1/2p5/3nPP2/2NPB1P1/PPP1N1BP/R2Q1RK1 w - -,d1d2
3rr3/1pp1np1k/p2pqnpp/4p3/2P1P2N/3PR2P/PP2QPP1/R4NK1 b - -,e7c6
r2q1r1k/n3bppp/p3p3/Pp1pP3/1PbP4/2P2NQ1/3BB1PP/R4R1K w - -,e2c4
3r2k1/1pq4p/4pb2/2PbNpp1/1PNp1P2/2nP2P1/6BP/R3Q1K1 w - g6,c4d6
2r1r1k1/p2qbpp1/1p3n1p/2pp4/4P1b1/1P1P2P1/PBQN1PBP/2R1R1K1 b - e3,d5d4
r2r2k1/1p2qp2/nQp4p/3p1bp1/3P4/PpR1P1P1/5PNP/2R2BK1 w - -,c3b3
6k1/1p3p1p/2p3p1/P7/5p2/1B1R1PbP/P5P1/4q1BK b - -,e1a5
1k1r3r/pp1qbp2/2n1p3/2ppP1pP/1P6/P1PP2B1/3NQP1P/R3R1K1 b - -,h8h7
r3k2r/1b1n1ppp/pq2pn2/8/Pp6/1N1B1N2/1PP1QPPP/R4RK1 w kq -,a4a5
r3rnk1/ppq2pbp/2p3p1/4p2n/1PP1P1b1/2N2NP1/PBQ1BP1P/1R1R2K1 w - -,f3e1
r4rk1/pp2bppp/1qn1pn2/2pp4/3P1B2/2P1PN2/PP1N1PPP/R1Q2RK1 w - -,c1c2
rq2r1k1/1b1n1pbp/ppp3p1/4P3/2P1B3/1P3N2/PB2QPPP/2RR2K1 b - -,d7e5
4r1k1/1p1Rb2p/6p1/1q3p2/1n2pP2/pP2B3/P1N1R3/4Q1K1 w - -,d7e7
