6R1/8/5k2/4pp1n/7p/5P2/4N1PK/4r3 w - -,g8f8
r2qr1k1/1bpn1pbp/p2p2p1/1p6/3NPB2/1PP2PN1/1P1Q2PP/R3R1K1 w - -,f4h6
r3k2r/pb1p1ppp/np1pp3/7q/2PP4/4PPP1/PP1B2BP/R2QK2R w KQkq -,e1g1
3r4/5bk1/3p4/pN1PpP2/K3n2R/P7/1P6/8 w - -,h4e4
8/6p1/p6p/1k5K/1P4P1/7P/8/8 w - -,h5g6
1r4k1/2p2ppp/2p1pn2/2P5/3PP3/p4P2/P1R2KPP/Br1R4 w - -,c2c1
8/2R5/4kp2/8/2P5/5K2/2rb4/6R1 b - -,c2c3
3rk2r/5p2/p3b1p1/1p2P2p/2pp2nP/P2P1N2/1PPqB1P1/R3K2R w KQk -,e1d2
4k3/ppR4p/3rp1q1/2Q3P1/1P2p3/P6P/6P1/6K1 w - -,c5d6
1r6/2n5/1P2p2p/P1kpp1p1/K7/N2B1P1P/6P1/8 b - -,c7a8
8/4k1p1/8/2b4p/4PP2/3R2P1/7r/4K3 w - -,e1f1
Q7/p5k1/7b/8/1p3q2/8/PPP2NP1/1K6 w - -,a8a7
r1bq1rk1/2ppbppp/p4n2/1p2p3/3NP3/1B6/PPP2PPP/RNBQR1K1 b - -,e5d4
2rq1rk1/1pp2pp1/pnb1p2p/8/PP1bP3/1QN2NP1/5PBP/R4RK1 w - -,a1d1
r1b2rk1/2nnp2p/3p2p1/1ppP1p2/4P3/1NP1BP2/P3B1PP/R3K2R b - -,d7f6
r2qkb1r/p2npppp/2p1bn2/1p6/P1pP4/4PNP1/1P1N1P1P/R1BQKB1R w KQkq -,f1g2
rn1q1rk1/3bbppp/p2ppn2/8/R2NPP2/2NB4/1PP1Q1PP/2B2RK1 w - -,a4a1
6k1/R5pp/8/p2N4/8/r7/6PP/6K1 b - -,a5a4
5r2/4qr1k/p5p1/P1pP1n1p/2N1pR2/2Q1P1P1/5R1P/6K1 b - -,e7d8
r1r3k1/2P1qppp/p3p3/1p6/8/1P2PP2/P1Qn2P1/2RR2K1 w - -,d1d2
r2q1rk1/1b2bppp/ppn1pn2/6B1/P1BP4/2NQ1N2/1P3PPP/R3R1K1 w - -,a1d1
1qr1rnk1/pp2ppbp/2p2np1/2p5/1P1P3B/P1N1PB1P/2Q2PP1/2RR2K1 w - -,h4g3
r5k1/2B3pp/p1Np4/1p1P2b1/8/2P3P1/PP6/4rBK1 w - -,c7d6
r2q1rk1/pp1Pnppp/3p4/1Bn5/1b6/2NQ4/PPP2PPP/R1B1K2R w KQ -,d3d6
5nk1/pp3n2/2p1bpp1/2q1p1b1/P3P3/1P1QNBP1/1BP2PN1/6K1 w - -,f3g4
r2qk2r/pbpn1ppp/1p1ppn2/8/1bPP4/2N2NP1/PPQ1PPBP/R1B1K2R w KQkq -,e1g1
3qrb1k/1p3ppn/p1n1b2p/2p1pN2/4P1PP/2P1BN1Q/PP3PB1/R2rR1K1 b - -,d1d3
rnb1qrk1/2pn1pbp/p3p1p1/1p2P1B1/2BP4/1QN2N2/PP3PPP/2KR3R w - b6,c4d3
8/8/p1p2k2/1p6/1P1PK3/8/P7/8 w - -,d4d5
3q2k1/3rbp1p/4p1pB/p2pP3/R7/2P4P/1P1Q1PP1/6K1 b - -,d7b7
8/p7/Bp3k2/2p2pp1/8/2P1K2P/8/8 w - -,e3f3:e3d3
5r1k/2p4p/2q5/1p1p4/p2PpP2/P1P1P1P1/Q2B4/6K1 b - -,c6c4
bq1rr2k/3n1pbp/pp1ppn2/8/2P1PNp1/1PN1BP2/P4QPP/2RR1B1K w - -,f1e2
r2q1rk1/1bpnbppp/p3pn2/8/Pp6/1Q1P1NP1/1P2PPBP/R1BN1RK1 b - -,e6e5
r2b1rk1/p4pp1/2p4p/4P3/4b3/2R1BN2/PP4PP/R5K1 b - -,d8a5
1r3nkr/pbq2pb1/5npp/1BPPp3/2Q1P1PP/P1P1BPN1/6K1/R5R1 b - -,a7a6
3qr1k1/r2n1ppp/bp1Bp3/3p4/3P4/6PP/PQR1PPB1/1R4K1 w - -,g2f1
8/8/R3Np2/3p1b2/1k1P1P2/7r/4BK2/8 b - -,h3h2
5r2/3k2r1/2p1pp2/1p1p4/p1nP2Pb/1RP4P/q1P1Q1BB/1R5K w - -,b3b5
8/1KP1k3/8/8/2r2p2/8/8/1R6 b - -,e7d6
8/2n3k1/p6q/Ppp2r2/3p2N1/3P2P1/1PP3KR/8 w - -,h2h6
2r2rk1/4p1bp/pq4p1/3b1pN1/8/PPp1P3/R1B2PPP/2R1Q1K1 b - -,b6b7
4Bnk1/5p1p/1p1Rb1p1/8/P7/2n1P2P/5PPK/8 w - -,d6b6
8/1p4p1/p2rk2p/3R4/4P3/4P3/PP3KPP/8 w - -,d5d6
3r4/1n3p2/1p3k2/p3pP2/P1P3Pp/1P6/2B1K3/5R2 w - -,c2e4
8/1P6/PK6/4r3/2k5/8/8/8 b - -,e5e6
r2r2k1/p5bp/bp1n2p1/2pPp1P1/2P1Pp1P/4BP2/P2N4/2RBK2R w K -,e3f2
6k1/1p3rp1/p2n2qp/4Q3/1P3p2/P2P2P1/1B3PKP/2R5 w - -,e5d5
1rbb2k1/p1q2r2/1p1p1n1p/1PpPp1p1/P1P1PpP1/1N1Q1P2/5NBP/R3R1K1 b - -,f7h7
4r3/1p1b3k/p1pBpr1p/2Pn2p1/3PRpB1/1P3PP1/1P3K1P/7R b - -,e8g8
6k1/5p2/3p1pp1/P1pB4/3p4/R2P2P1/5r1r/4K3 b - -,f2b2
8/6k1/8/1p2N3/8/P5pb/1P2q3/K5R1 w - -,g1g3
3q1rk1/4bpp1/2p1bn1p/p2p4/N7/P3B1PP/1P2PPB1/3Q1RK1 w - -,d1c2
2r2rk1/pp3pp1/1qb1pn1p/3nN3/3PN3/1P3Q1P/P4PP1/1BRR2K1 b - -,f8d8
8/5p2/4p1p1/2k1P1P1/1pP2PK1/1P2p3/4Bb2/8 b - -,c5d4
r4rk1/2q1bppp/p3pn2/2p5/1p2N3/3PQ1PP/PPP1NPK1/R4R2 b - -,f6d5
8/1kb5/2p5/2P5/4Q1K1/8/8/5r2 w - -,g4g5
rn1qkb1r/pp2pppp/2p2n2/5b2/2Q5/5NP1/PP1PPPBP/RNB1K2R b KQkq -,e7e6
1r1qr1k1/p1p2ppp/8/Q2p4/4n1b1/1P1B2N1/P1P2PPP/R4RK1 b - -,e4g3
6k1/1q1bppb1/6pp/pp1p4/P2P1B2/1P2P2P/N4PP1/2Q3K1 w - -,c1c7
r2r2k1/1p2qp1p/2n3p1/p1P1p3/PbBpP1b1/1N1R1N2/1PQ2PPP/5RK1 w - -,c2c1
2br1rk1/2q3p1/2ppp2p/8/ppP1QP1P/1P2R1P1/P2RP1B1/7K b - -,a4b3
8/4q1kp/5np1/8/3Q1P2/6PP/7K/8 w - -,d4b2
3rr1k1/ppp2ppp/2n2b2/5b2/1qBP4/1P2BN1P/1Q3PP1/R4RK1 w - -,f1d1
3r2k1/p4p2/1bB3p1/1Pn4p/3p1P2/8/P3PP1P/1R3R1K b - -,d4d3
r1b1qrk1/pp1nb1pp/n1p1p3/3pNp2/2PP1P2/1PN1P1P1/PB4BP/2RQ1RK1 b - f3,d7e5
rnb1kb1r/p4p1p/1p2pp2/3p4/3P1N2/8/PPP2PPP/R1B1KB1R w KQkq -,a2a4
r6k/2q2ppB/2p1pb2/7Q/3P4/p4PP1/prKB4/3R3R w - -,c2d3
rb1q1rk1/pb1p1pP1/2pP2p1/8/2p2p2/2P3P1/PP2Q2P/RNB2RK1 b - -,f8e8
r3r1k1/4bp1p/p1qpp3/2p1nPP1/P3N3/8/1PP3QP/R1B2R1K w - -,b2b3
r5k1/3pq1pp/rpn1pn2/5p2/3P4/PQ2PP2/2R3PP/2B1NRK1 w - -,e1d3
2k1r3/p1p2p1p/1pn1r3/3p1np1/3P4/2PN4/PP1N1PPP/2K1R2R w - -,e1e6
1R6/P2R1p1p/1p2p3/4k2b/5b1P/r7/1KPN1p2/8 w - -,d2f1
rn3rk1/p1nq2bp/1pp1p1p1/3pP2P/2P2P2/2NBB1P1/PPQ3K1/3RR3 b - -,b8a6
r2qrbk1/1b1n1pBp/p2p2pP/2n3P1/1p2PP2/3B1QN1/PPP5/1K3R1R b - -,d8e7
2q3k1/p1r2pb1/1pRnpnp1/3p4/3P4/1P2P1P1/PN3PB1/2RQB1K1 b - -,c7c6
5b2/p1k2p2/1p2pP1p/1P2P2P/2P5/3K4/5N2/8 b - -,c7d7
r3r1k1/pp3pb1/2p1qn1p/3p2p1/1P1P4/3QPP2/P2N1BPP/2R2RK1 b - -,a8c8
2rq1rk1/1p2bppp/p1bppn2/8/2P1P3/2N1BP2/PP1Q2PP/1BR2R1K b - -,b7b5
r1bq1rk1/ppppb1pp/n3pn2/3P1p2/2P5/2N2NP1/PP2PPBP/R1BQK2R b KQ -,a6c5
r2q1rk1/pp1nbppp/2n5/2p1p1P1/3pPP2/3P3P/PPP1N1B1/R1BQ1RK1 b - -,e5f4
r2qk2r/1bbn1ppp/p3pn2/1p1p4/1P1P4/P4NP1/1B1NPPBP/R2Q1RK1 w kq -,d2b3
3r4/1n1P2pk/1q3p1p/pp1B1p2/3RbP2/4P2P/R2Q2PK/8 b - -,b5b4
2r2rk1/B2R1p1p/1p6/8/P4p2/7P/1PP2P2/2K5 w - -,a7b6
r3qrk1/pppb2bp/2np2p1/4np2/4P3/1PN3P1/PBP1NPBP/R2Q1R1K b - -,e8f7
6k1/2b1qp1p/4n1p1/3B4/p1P3P1/2B2R1P/4R3/7K b - -,a4a3
r5k1/p1p3pp/2p2p2/1nB5/4P3/1P3P2/1P1R2PP/6K1 w - -,d2d7
8/1pR4p/pBb2p1k/P3pPb1/4P3/7P/2r3B1/5K2 w - -,g2f3
