2Q5/7k/5bp1/p2q3p/1p3R1P/5P2/5K2/8 w - -,f4f6
8/pkp5/2p1p3/4r2r/5R2/1P4Pp/P1P2R1K/8 b - -,c6c5
3rq1k1/p4p1p/4p1p1/1R6/2Pb4/8/R3QPPP/6K1 b - -,d8c8
r5k1/5p2/2R3pp/1p1Pp3/4n3/1P2N3/1P4PP/6K1 w - -,g2g3
8/7p/4p3/3bPp2/B3pP1P/k3P3/3K4/8 w - -,a4d7
5rk1/pp3p2/6pp/3p4/3P2b1/3B1qP1/PP1Q1P2/2R3K1 b - -,g4h3
3r2k1/1p3ppp/p1b1pB2/q7/Pb6/1P1B2N1/2P1QPPP/3R2K1 b - -,g7f6
5rk1/r3nppp/3p3b/p1qPp3/2P4P/pP1Q2PB/2N2PK1/R4R2 w - -,a1a3
1qr2rk1/1b3ppp/Bbn1pn2/p2p4/3P4/PP3N2/1B1NQPPP/2R1R1K1 w - -,h2h3
bq4r1/3nkp2/p1p1pr2/N1Pp1PQp/BP1P2p1/P7/6PP/4RRK1 w - -,g5e3
5rk1/1bq1n1pp/4p3/3pPp2/B1pPn1P1/RpP1P2P/1P2Q2K/4BR2 w - -,e1h4
2r4k/6p1/6qp/p2PP3/P2Q4/1B3P1b/7P/5R1K w - -,f1g1
8/5k1p/p2pppp1/1P6/P4PP1/1r6/R5K1/8 b - -,a6b5
2k4r/2qnppb1/2p1b1p1/1pPp4/p2P2P1/2NNP3/PPQ3B1/R1B2K2 b - -,e6g4
3r2r1/pp3p2/2k1p3/2p4p/P4b1P/1P3P2/2PPKP2/5NRR b - h3,c5c4
2qr2k1/p5pp/2p1p3/1pPrNp1b/1P1P1P1P/P1Q3P1/3R1K2/R7 b - -,c8c7
2q2br1/1r3p1k/3p2nn/1p1P2B1/2p1PP2/2R5/1P2B1PQ/3NR1K1 b - -,f7f6
r3k2r/1b1n1p2/p2p3p/1ppPq3/4PNn1/P1N3P1/1P2QP2/2KR1B1R b kq -,e5g5
b1r4k/6pp/8/8/1Pq5/P4Q2/4RPPP/3R2K1 w - -,f3e3
3R4/1p3r2/2p3pk/2P4p/7P/6K1/P7/8 b - -,f7f5
8/3nk2p/3p2p1/R2PppB1/1P2P3/7P/5PPK/1r6 b - -,e7e8
7k/p4r1p/8/2R2p2/5P1P/6P1/P6K/8 b - -,h8g7
r4rk1/p3qp1p/1p4p1/4p3/Q1BbP3/6P1/P4P1P/1R3RK1 b - -,a8c8
1rb2rk1/p4ppp/1qp5/3n4/3Q4/1P3N2/P2N1PPP/R3R1K1 b - -,c8a6
r2q1rk1/p1p3bp/2npbppB/2p5/2P1P3/2NB4/PP1Q1PPP/R4RK1 w - -,h6g7
r3r1k1/1pp2p1p/p3q1p1/4b3/4P1P1/2NRQP1P/PP6/1K1R4 b - -,a8d8
2rq1rk1/5pb1/5n1p/pR1p1Pp1/P1nPp2P/2P1N3/Q3NBP1/5RK1 w - -,e3c4
r2r2k1/1b2bppp/2p5/p2pP3/N7/1P2B3/P4PPP/2RR2K1 b - -,d8e8
r5k1/ppR3pp/8/1r2p2n/4P3/2B1K3/1P5P/6R1 b - -,a8e8
8/8/8/8/P5K1/7P/3k4/2r5 w - -,h3h4
8/2p2rkp/3p1p2/3NnP2/2P1nK2/7P/3RB3/1R6 b - -,e4d2
6k1/pr6/3p2r1/p1pPb1pp/P1PpPp2/1P3P1P/2K1B1PR/1R6 b - -,g8g7
3Q4/pq3kpp/1p6/1P3p2/2P2P1n/P7/1B3K2/3R4 b - -,b7f3
5r2/1b4kp/3P4/p1p2pp1/PpP1p3/1P3PP1/3R4/1B2K3 b - -,f8d8
2r5/2P5/2Rp4/3P4/2P2k2/7K/8/8 w - -,h3g2
8/p5p1/2kn1b2/3p1Pp1/1p1P1K1P/5N2/PP2N3/8 w - -,h4g5
2kr1b1r/ppp2pp1/6b1/4p3/6p1/3PBN1P/PPP2P2/R4RK1 w - -,h3g4
2rq1rk1/pp2ppbp/5np1/4B3/3P4/1p4P1/P2NPPKP/2RQ1R2 w - -,d1b3
8/5k2/1p2ppn1/p2p3p/3Pn1pP/3NP1P1/PP2KP2/2B5 b - -,e6e5
r2q1rk1/1ppb1ppp/p1np1n2/8/3NP3/2N1Q3/PPP2PPP/1K1R1B1R b - -,d8e7
2b2rk1/2rnqppp/p2Npn2/1p6/3Q4/2N3P1/PP2PPBP/2R2RK1 w - -,c3b5
8/8/pp4B1/5p2/1bP1pk1P/1P6/P6P/5K2 w - -,h4h5
r1b2rk1/ppq3pp/2nbpn2/3p4/3P4/3B1NN1/PP1B1PPP/R2Q1RK1 b - -,e6e5:c8d7
r1b2rk1/1p4pp/p1p2n2/q4p2/2PPp2B/PQ2P3/4BPPP/R1R3K1 b - -,g8h8
r2q1rk1/pp2ppbp/2p2np1/3pP2P/5B2/2N1P3/PPP1QPP1/R3K2R b KQ -,f6e4
r4rk1/1b2bppp/p1q2n2/4p3/8/3BN3/PP2QPPP/R1B2RK1 w - -,e2c2
r3kb1r/pp3ppp/1nb1p3/8/P6q/1BNPB3/1P3PPP/R2Q1RK1 w kq -,c3b5
2r1k1r1/1p1bn1pp/4p3/p2pR3/P1qN1P1P/R1P3Q1/1P1B1KP1/8 b - -,e7c6
4b3/1p3pk1/4pNp1/3pP3/7R/pP5P/r5PK/8 w - -,h4h7
8/2Q2k2/5npp/BBpp1p2/3b1P2/4q1P1/7P/5K2 b - -,e3e7:f7g8
3r2k1/ppp1qpp1/2p1b2p/8/3P1Q2/1PP1N2P/P4PP1/R5K1 w - -,b3b4
3R4/5pk1/1r3n1p/1p1B1R2/p7/3P3P/PP2r1PK/8 w - -,d5a8
rnbq1rk1/4ppbp/P2p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R b KQ -,b8d7:b8a6
rnbqkbnr/pppp2pp/8/4p1N1/8/3PB3/PPP2PPP/RN1QKB1R b KQkq -,b8c6
1r1q1r2/pp2ppkp/2bp1npQ/8/3NP1P1/1PN2P2/1PP5/R3K2R b KQ -,g7g8
8/4B1R1/7p/p2rprp1/4k3/7P/P4PK1/8 w - -,g7g8
6k1/p4r1p/Pp2p1p1/1PqpPn2/7Q/6P1/1R3P1P/5BK1 w - -,h4b4
r1br1nk1/1p2qppp/p1npp3/8/2PNP3/4BP2/PP1QB1PP/2RR2K1 w - -,d4c6
1r4k1/p4p1p/brn1pPpb/3pP3/2pP2PP/2B5/PP2N3/1K1R1B1R b - -,h6f8
r2qk1nr/1b1nppbp/p2p2p1/8/P2pPP2/2PB1N2/4N1PP/R1BQ1RK1 w kq -,c3d4
rnbqk2r/ppp2pbp/1n4p1/8/5N2/2N1P1P1/PP1P2BP/R1BQK2R b KQkq -,c7c5
r1bqrbk1/pppp1ppp/2n2n2/1B2p3/4P3/2PP1N2/PP2QPPP/RNB2RK1 w - -,c1g5
8/r3nkp1/1R3p1p/r6P/p2K4/R3N1P1/5P2/8 b - -,a5h5
2rr2k1/p2b1pb1/1p2p1pp/2pPn3/4PN2/q1P1BPP1/P4Q1P/2RR1B1K w - -,d5e6
1r2r1k1/2qn1pbp/b2p2p1/p1pP3n/4P3/2N2NPP/RP3PBK/2BQR3 b - -,b8b4
8/p1r5/R4p1p/P4kp1/8/6KP/P4PP1/8 b - -,h6h5
r2q1k1r/1p3p2/2N1pnpp/3pN3/3P2P1/8/PP1Q1P1P/1KR1R3 b - -,b7c6
8/p1p4p/4k3/2p2p2/5B1K/2P2P2/P3r1rP/3R4 w - -,d1d8
8/1K6/1QP5/7k/1q6/8/8/8 b - -,b4e4
r4rk1/1b1n1ppp/1p1q4/P1p5/3Pp3/P3P3/3NBPPP/2RQK2R w K c6,d2c4
r1b1r1k1/ppqn1pbp/2p2np1/4p3/4P3/2N1BN1P/PPPQBPP1/R3R1K1 w - -,a1d1
rr6/2pq2bk/3p2pp/1R1Pp3/p1P1N3/R3P2P/P5P1/4Q1K1 w - -,b5b4
r3kb1r/ppp1pppp/2n2n2/q7/3P2b1/2N2N2/PPP1BPPP/R1BQ1RK1 b kq -,e8c8
rn1q1rk1/pbppppbp/1p3np1/4P3/8/3P1NP1/PPP2PBP/RNBQ1RK1 b - -,f6e8
r1bqk2r/pp3pb1/2np2pp/3Np3/4P3/2P1N3/PP3PPP/R2QKB1R w KQkq -,f1c4
3r2k1/pp1r2p1/1np2b1p/N4p2/5P2/P5P1/1P2RBKP/R7 w - -,a1e1
8/6pk/7p/1P2p3/4qp2/6R1/P1r2P1P/3Q2K1 w - -,g3b3
6k1/2r3p1/4pr2/p1qp4/6Q1/1P5P/P5R1/1K1R4 w - -,d1g1
5r1k/pp2q2p/3pB1p1/3Pn1P1/4Rp1P/P1Q2P2/1P3K2/8 w - -,e4c4
r1b3k1/4bpp1/ppq4p/5P2/r1P1p1P1/4B2P/1P2B3/R1Q2RK1 w - -,a1a4
r2qk1nr/pp3pbp/3pp1p1/2p5/2P1P3/2NPBn2/PP3PPP/R2Q1RK1 w kq -,d1f3
k1r4r/pp3ppp/4p1b1/4N3/1b6/2n5/PP1BBPPP/2R2RK1 w - -,b2c3
r1bqnrk1/pp1nbppp/3p4/2pPp3/2P1P3/P1NB4/1P2NPPP/R1BQK2R w KQ -,e2g3
3qr1k1/3n1p1p/6p1/1Nbp4/3Bp3/1Q5P/1P2BPP1/5RK1 w - -,b3e3
8/3k2pp/1pnbp3/1p2p3/pP2P3/2KN1P2/1R4PP/8 b - -,d6e7
