8/8/1p1rpk2/p7/8/PR6/1P3PP1/6K1 w - -,b3b5
r1b2rk1/pp2ppbp/3p1np1/q7/2P5/2NQ2P1/PP2PPBP/R1B2RK1 w - -,h2h3
6k1/p4p2/8/8/1P1Qp1P1/P3P1K1/q5P1/8 b - -,a2a3
2kr3r/pppb2pp/1n1b4/3pq3/8/2PBN3/PP1BQPPP/2KR3R b - -,g7g6
1k2r3/1p2qp2/p2p2p1/2rPp1P1/1Q2Pn2/1P6/1KP1NP2/3R2R1 w - -,e2f4
2kr3r/ppq1bp1p/2npbp2/2pN4/4P3/2P2P2/PP4PP/R2QKBNR b KQ -,c7d7
3r1nk1/2r2pp1/1p2Pq1p/3p4/pNnP3P/P1P3P1/1P2RQK1/1B2R3 b - -,f6f2
r2r2k1/pn2qpp1/3bbn1p/2p5/N2Pp3/1PP5/PQ2BPPP/R1B1NRK1 b - -,c5d4
r1b2rk1/4qp1p/2p3p1/p1n1p2P/2PpP3/5NN1/PP1Q1PP1/R4RK1 b - -,c8g4
2r1k2r/1bqnbppp/p2pp3/6P1/1p1NPP1P/5QN1/PPP5/2KR1B1R w k -,h1h2
3qnrk1/1b2pp1p/1n1p2p1/2pP4/7N/1PB3P1/r3PPBP/1R1Q1RK1 w - -,b1b2
r3r1k1/pp2qpp1/2p4p/8/3PP3/3Q4/PP4PP/4RRK1 b - -,a8d8
5r1k/1pp1Rppn/pb1p3p/3P1B2/1PP4P/2B3P1/P4PK1/8 b - -,h7f6
5k2/8/p3PP2/P2K4/1P6/2B5/4b3/8 w - -,c3d4
8/1k6/3b2p1/4p2p/p3P2P/1P3QPK/2q5/8 w - -,b3a4
8/p5pk/7p/P7/8/7P/1b2KPP1/2r5 w - -,e2f3
r1bq1rk1/ppp2ppp/1bnp1n2/4p3/PPB1P3/2PP1N2/3N1PPP/R1BQK2R b KQ a3,a7a6
3rrbk1/2p2pp1/R3qn1p/1p2p3/3n4/2PP1QNP/1PBB1PP1/4R1K1 w - -,f3b7
8/P1R3p1/4p1k1/7p/8/6P1/r4P1P/5K2 w - -,f1e1
r4rk1/pp1nppbp/n1pp2p1/q7/2PPP3/P1N1BBPP/1P3P2/R2Q1RK1 b - -,e7e5
r1b2rk1/p1q1ppb1/1pn5/2p3Qn/2B1P3/2P2N2/PP1N1PPP/R3R1K1 b - -,h5f4
r1b1k2r/pp3ppp/3qpn2/3p4/2pPP3/2P5/PPQN1PPP/R3KB1R b KQkq -,d6c6
2rqr1k1/3b1pbp/3p2p1/1p1Pn2n/1Pp1P3/R1N1BN1P/2B2PP1/3QR1K1 w - -,f3d4
8/8/6R1/8/r7/8/4K2p/7k w - -,e2f2
rnb1kbnr/pp3ppp/8/3pP3/8/2N5/PP3PPP/R1B1KBNR b KQkq -,f8b4
8/p4r2/1p2p2k/4P1p1/3Q2P1/P5q1/1P6/3R3K w - -,d4g1
5rk1/1pp4p/p1np2p1/8/2PbRP2/1P4N1/P2B2PP/5K2 b - -,b7b5
4r3/p4k2/3p1qnQ/2pP1p2/1pP5/1P1P3P/P2Nr3/4R1RK w - -,d2f3
r2q1rk1/pnppb1p1/1p2p2p/5p2/1PPPb3/PQ3NP1/4PPBP/R1B1R1K1 w - f6,c1b2
1n3r1k/5Pbp/3pB1p1/1PpQn3/8/2N1Pq2/1P3P1P/2B2RK1 b - -,f3d5
1r2k2r/2q1bppp/p1bpp3/1pn2PP1/3RP3/1BN1B3/PPP1Q2P/2K2R2 w k -,f5e6
r1r5/4k1p1/pn1bpn1p/2p1p3/P1p1P3/1P1NBP2/1N4PP/R3K2R w KQ -,b2c4
8/3k1p1p/3p2pN/1P4n1/8/8/5PKP/8 w - -,h2h4
r3kbnr/1p3ppp/p1p5/4p3/2B1P3/8/PPP2PPP/R1Bq1RK1 w kq -,f1d1
r4rk1/2q1bppp/b2pp3/p5BP/1p1NP2P/3n1P2/PPPQ4/1K1R3R w - -,c2d3
8/6b1/pp2k3/3pP2p/P2K1BP1/8/1P6/8 w - -,g4h5
7r/6k1/4p3/5pp1/4n3/2r1PR1P/1RNb2B1/6K1 w - -,g2f1
8/1N1k1p2/p1n1p3/1PP3p1/P7/6P1/7P/2K5 b - -,a6b5
8/6p1/3Q3k/3b1q1p/3Pp1p1/8/6BP/6K1 b - -,g7g6
3r4/5k2/2R3p1/1P1p2p1/3Kp1P1/4P3/5P2/8 w - -,b5b6
6k1/pb3p2/2r2n1p/1pn3p1/2pN4/2P3B1/PP3PPP/3BR1K1 b - -,c6a6
r1bqk2r/p4ppp/2n1p3/1p1nP1N1/2pP4/2P5/3B1PPP/R2QKB1R w KQkq -,d1h5
6k1/1pq1nr1p/p1rpb3/5p2/P1P1pP2/1P2B1P1/4Q2P/2RR1BK1 b - -,c7a5
r2q1rk1/5ppp/1p1b4/p4P2/3p2P1/3B1Q1P/PP3P2/1R2R1K1 w - -,g1g2
rn1qkb1r/2p2ppp/1p2p3/p2pPn2/3P4/3Q1N2/PPP2PPP/R1B1RNK1 b kq -,f8e7
r1bqkb1r/pppp1ppp/2n2n2/4p3/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq -,f8b4:h7h6
2r1n1k1/8/RRp3p1/4p3/2q3P1/6K1/Q7/8 b - -,c4a2
r3kbnr/pppqp1pp/2n2p2/3p1b2/3P4/P4NB1/1PP1PPPP/RN1QKB1R w KQkq -,e2e3
1r1qk2r/pp2bpp1/2pnn1p1/3p4/P2P4/1Q3PP1/1PN1P1BP/R1B2RK1 w k -,c1e3
8/p4Pk1/2p3p1/2p5/2P1r1p1/2KP4/P1P4r/4R3 w - -,e1e4
r2qrbk1/pp2nppp/3p1n2/2pP4/5P2/5B1P/PPP1N1P1/R1BQ1RK1 w - -,e2g3
r1bqk2r/1pp2pb1/2np1npp/p3p3/2P1P2P/P1NP2P1/1P3PB1/1RBQK1NR b Kkq e3,c6d4
6k1/5p2/1r2p3/5p1p/5P2/6P1/1P1R1K1P/8 w - h6,d2e2
r1b2rk1/2qnbppp/p1ppp3/8/4PP2/2NB4/PPPBQ1PP/R4R1K w - -,f1f3
r1b1k1nr/pppq3p/2n1p1p1/3pPp2/1b1P4/2N2Q2/PPP2PPP/R1B1KBNR w KQkq -,g1e2
1r2k2r/Q1p3q1/p1ppb1pp/4Pn2/8/1PN2N2/P1P3PP/4RRK1 b k -,e8g8
5rk1/1p3ppp/2b3n1/b3p2r/2P1N1q1/P3Q1P1/1B1NRP1P/1R4K1 b - -,g6f4
r6k/2n3pn/3p1q1p/1PpP2bP/Q1N1p3/2N1B3/1PK1BP2/6R1 w - -,a4b3
8/4k1p1/4P3/R7/2r4p/7P/6P1/7K b - -,e7e6
5rk1/2q3bp/1pNp2p1/2rPp3/1Q2p3/7P/PP3PP1/2R2RK1 b - -,e4e3
rr1b2k1/2qb2p1/7p/3P1p2/p1Q5/1P5P/RNPB1PP1/R5K1 b - -,c7c4
4r1k1/1p2qrbp/pBp3p1/P4pP1/3P1R2/4P3/6QP/4R1K1 b - -,e7a3
8/3Q4/1q3p2/1pk5/2bNP3/1p3KP1/8/8 w - -,f3e3
5k2/5pn1/8/4PPP1/8/4NK1p/8/8 b - -,g7h5
3r2k1/P4p1p/6p1/8/8/6P1/2p1KP1P/R7 b - -,g8g7
2rqr1k1/p4ppp/b2p1n2/P2P2N1/Qp6/n5P1/4PPBP/R2N1RK1 b - -,a6e2
rn3rk1/ppp2ppp/5q2/2PP4/2b5/4BN1P/P2Q1PP1/R2R2K1 w - -,e3d4
rn1qkbnr/ppp3pp/2b2p2/4p3/2Pp4/P2P1N2/1PQ1PPPP/RNB1KB1R b KQkq -,b8a6
r1n5/pb1n1kb1/1pqp1p1p/3RpPp1/4P2P/NNP1BQ2/PP4P1/5RK1 b - -,c6a4
6k1/1p3p2/5qpQ/p2P4/P2r4/1PP3Pb/5P2/R5K1 b - -,d4d5
r3k2b/pp1bp3/2pp2p1/q2PnpN1/2P5/2P5/P3BPP1/R1BQ1K2 w q -,a1b1
3kb3/6pp/1p1r4/p2P4/P7/1P4PB/1n2R2P/6K1 w - -,e2b2
r3r1k1/6p1/2qp2n1/5bNp/p4P1P/PpB5/1K1R1Q2/7R w - -,f2d4
r1b2r2/q3n1bk/p3p1pp/1p2P3/2pp1P1N/P5Q1/1PPBB1PP/R4R1K b - -,c8b7
r2q1rk1/1p1nbppp/2p1p1b1/3n4/p1N2B2/2NP1B1P/PPP2PP1/1R1QR1K1 w - -,c3d5
8/5pp1/1R2p1k1/1P6/7P/1r4P1/5PK1/8 b - -,f7f6
rn1qk2r/pp3p2/2b1p1pp/2ppP3/3P2QP/2PB1N2/P1PK1PP1/R6R w kq -,g4g3
r2rbk2/3q4/2p2Q1p/pp4pP/3P4/6P1/PP3PB1/3RR1K1 b - -,f8g8
r1q1k1nr/p1pn1ppp/1p2p3/8/1bQ1P3/2N2N2/PPP2PPP/R1B1KR2 b Qkq -,b4c3
3r1rk1/4qpp1/4bn1p/1p2p1N1/2p1P3/1nP4P/1PQ2PP1/1RB1RBK1 w - -,g5e6
8/2k2p1p/2r3p1/3np1P1/4P3/8/1p1K3P/1R6 w - -,e4d5
8/6k1/1p1p2p1/1Pb1p3/2P4P/3B1R2/1r2n1P1/4BK2 b - -,e2f4
2kr1b1r/pp1b2p1/2q1pp1p/3pPn2/P2P1N2/1QP5/4BPPP/1RB2RK1 b - -,g7g5
R7/p1rbnpk1/1p5p/4p1p1/8/2P1KP2/PPB1N1PP/8 b - -,e7d5
3r2k1/1b4p1/p6p/1p1n4/2pP4/8/PP2B1PP/3R1RK1 w - -,e2f3
