8/pp6/2b5/8/2r1pK1P/P3N3/3k4/6R1 b - -,c4a4
2Q1n1k1/2p2ppp/8/8/2B1qP2/1P4KP/P7/8 b - -,h7h5
8/4k3/4p3/p4q2/4R3/4R2K/5P1P/8 w - -,h3g2
r5k1/1p3ppp/r1bp4/2p4n/2P5/P2BPP1P/1B3KP1/1R1R4 b - -,h5f6
8/R7/1Pk1p3/P7/4KP2/8/8/1r6 w - -,e4e5
r2qk2r/1p1b1p2/p1n1pBp1/3p3p/3P4/2PB1P2/PP1QN1PP/R4RK1 b kq -,d8f6
r4rk1/pb1nppbp/1p4p1/P1p1n3/2N1P3/2P1BP1N/1PK3PP/R4B1R w - -,h3f2
r3r1k1/ppp2ppn/2n1bq1p/2b1p3/4P1P1/2P2N1P/PPB1QP2/R1B1KN1R b KQ -,e6c4
1r3rk1/1p1bppbp/p1np1np1/7q/N1PN4/1P2P1P1/PB1Q1PBP/R4RK1 w - -,a4b6
6k1/4R3/7p/6pP/r5P1/4KP2/8/8 w - -,e7d7
1r4k1/3nqp1p/bp2n1p1/p1p1P3/P3Q3/4RNP1/1P4BP/3R2K1 b - -,a6b7
8/pp3kp1/2pnn2p/3p1b2/3P4/1P3P2/P2RNK1P/5B2 w - -,e2g3
r1n1k2r/1p1bqppp/p1n1p3/P1ppP3/3P1P2/2N2N2/1PPQB1PP/R3K2R w KQkq -,c3a4
2k1rb1r/1pp3pp/p1npqp2/P3p3/1P3B2/2P2N2/2P2PPP/R3RQK1 b - -,d6d5
1k6/pp4p1/5p2/6P1/7P/Pr2p1P1/4R1K1/8 b - -,f6g5
r1b2r2/2n2k1p/1p3qp1/p1pPpn2/P1P4P/1P1N1N2/1Q2RPB1/4R1K1 w - -,b2e5
r2q1r2/pp2n1k1/2p1Bppp/2b5/8/1P1P1QPP/P1PN1P2/R4RK1 b - -,c5b4
5r1k/8/4Q3/5rp1/6N1/2q3PP/5P2/3R2K1 b - -,c3g7
8/p4pbk/6pp/2pbP3/1p1nNPP1/1P2Q1BP/q5BK/8 w - -,f4f5
6rk/1p4r1/p2p3p/2pP1p1N/PnP2P1q/1P3B1P/6RK/Q7 b - -,h4e7
r1bqr1k1/5p2/pbp4p/2Pp2p1/4n3/1N1Q1NB1/PP3PPP/R4RK1 b - -,b6a7
rr5k/1bq3pp/p2p1n2/p1pPp3/2P1Pp2/R1P2P2/Q2B2PP/R2B2K1 w - -,a3a5
8/8/8/6p1/3K1kP1/8/1R4Pr/8 w - -,d4d5
5bk1/5pp1/b2p1n1p/p2PpN2/2rqP3/7P/P2N1PP1/2Q1R1K1 w - -,d2c4
8/2r3pk/p1q2n1p/1pn1pN2/1Q1pP3/1Pr2PPP/P5BK/3R1R2 w - -,d1d4
8/4bppk/2p4p/3pP3/3P4/4R1P1/r1R1NP1P/5K2 b - -,a2c2
8/p7/P1pk4/3r2p1/3K4/4P3/8/R7 w - -,d4e4
1r4k1/2q3p1/4pp2/pp5b/2pPP3/PP3PP1/3QN1K1/2R5 b - -,b8c8
2rq1rk1/pppb2bp/4p1p1/n2p1pP1/3P1B2/1PPN2P1/P2QPPB1/R3K2R w KQ -,f4e5
r1b1k2r/2p2p1p/1p1p1np1/p1nPp3/2P1P1P1/1P3P2/P1B1NN1P/R3K2R w KQkq -,e1d2
1r1r3k/2q3bp/3p1pp1/1ppQnPPn/4P1NP/1P6/P5BB/2R1R1K1 w - -,g4e5
5rk1/q2n1rbp/pnp1p1p1/Q2pp3/2P5/N2P2P1/PB2PPBP/1R3RK1 w - -,e2e3
8/3Pk2p/2n5/4N1p1/5pP1/5P1P/5K2/8 w - -,e5c6
b6k/2B3b1/P2r4/1Bp3r1/1p2n2p/4PP2/1P2R1P1/2RN2K1 b - -,d6g6
8/8/1p3p2/p7/P3rk1p/R6P/4KP2/8 w - -,e2d2
2r2nk1/b2r1pp1/p2P3p/P1p2R2/2P5/2N3B1/1R5P/7K b - -,f8e6
5rk1/2nqppbp/p1pp1np1/1r6/3NP3/3PB1PP/PP1Q1PB1/2R2RK1 b - -,b5b7
1k4r1/p1R1bp1p/Pp1q1p1r/3Pp3/B3Q3/7P/1P3PP1/2R3K1 b - -,d6c7
6k1/7p/8/8/n1N5/1r1p3P/1P1K2P1/1R6 w - -,d2c1
4rrk1/p4p1p/1p4p1/q7/2P5/1P2RR2/P3Q1PP/7K b - -,e8d8
r4rk1/ppqnbppb/2p1pn1p/8/4P3/1P3NP1/PBPNQPBP/R3R1K1 w - -,e4e5
5rk1/2qnr2p/1p1p2p1/p2Pp3/1PP5/P2B1P2/2Q3PP/2RR2K1 w - -,c2e2
2r1r1k1/1p3pp1/p2P1n1p/2P1qP2/1PB1p1P1/1P2R2P/3Q4/3RK3 b - -,e8d8
r1bq1rk1/pp2bppp/2np1n2/4p3/4P3/1NN2B2/PPP2PPP/R1BQ1RK1 b - -,a7a5
2rr1b1k/6pP/1pq1p1Q1/p3Pp2/2P4R/5NP1/PnP2PK1/R3B3 w - -,a1b1
3r4/8/1r1bkpBp/pPp1p2P/P2pKPP1/3P4/2R5/2R5 w - -,f4e5
r1bqr1k1/ppn2pbp/3p1np1/2pP4/2P5/2NBBN1P/PP3PP1/R2Q1RK1 w - -,a2a4:d1d2
8/r3rk1p/PRR1p1p1/3p1p2/3P1P1P/8/2P3P1/6K1 b - f3,f7f6
r2q1rk1/1b2bpp1/p1n1pn1p/1p6/3P4/P1NBBN2/1P2QPPP/R4RK1 w - -,f1d1
3r4/3nkp2/4p1p1/7p/1ppR4/4P2P/P4PP1/3R2K1 w - -,d4c4
r1b2rk1/1p2qppp/2n1pn2/p1b5/2B5/P1N1PN2/1PQ2PPP/R1BR2K1 b - -,e6e5
8/1p6/8/B1k5/8/P7/6K1/1r6 b - -,b7b6
r1qr2k1/1p3ppp/p1n1p3/2P1N3/3P4/6P1/P3QPKP/1R1R4 w - -,e5f3
1r1r2k1/5pbp/3p1n2/4n1p1/1p1BP3/qPRb1PP1/5NBP/2QR2K1 w - -,d4e5
3R4/2P2ppk/2r3q1/p3r2p/2B1Pn2/P4Rb1/KPQ3P1/8 w - -,c7c8q
3r2k1/p3pp1p/6p1/r1n5/3Nb3/4P3/P3BPPP/R4RK1 w - -,d4b3
5nk1/4p3/p3prPQ/1p2R1N1/5q2/1P6/P4PPK/8 w - -,h2h1
rnbqkbnr/pp3ppp/4p3/3p4/2Pp4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -,f3d4
6k1/4bppp/p3p3/qpp1P1P1/1nb1NP1P/PP2B3/1KP2QB1/8 b - -,c4b3
6k1/3p2p1/2bN3p/2Pr4/8/7P/2R2KP1/8 b - -,c6a4
r4rk1/6p1/2p4p/pp1nBp1P/3Pp3/1P2P3/1P2KPP1/3R3R w - a6,d1a1
3r1rk1/1pq2ppp/p1npbn2/2b1p3/2P5/BPN1P1P1/P1NQ1PBP/R2R2K1 b - -,e6g4
rn1qkb1r/pp2pp1p/2p3p1/3pP3/3PNPb1/4BN2/PPP3PP/R2QKB1R b KQkq -,d5e4
1r5k/6pp/3p4/8/3p1N2/3P1nPb/Pr2RP1P/3Q3K b - -,b2e2
6k1/4bppp/p3p3/qpp1P1P1/1nb1NP1P/PP2B3/2P2QB1/K7 w - -,a1b2
3r2k1/4npb1/4p1pp/1p2P3/rB1pqPP1/3P4/P3R1P1/1R3BK1 w - -,d3e4
5k2/1R3b2/8/p4r2/8/7r/2K3R1/8 b - -,f7d5
rnbq1rk1/1pp1ppbp/1n4p1/p7/3PP3/1QN1BN2/PP3PPP/R3KB1R w KQ a6,a1d1:d4d5
r1bq1rk1/ppp3b1/3p1n1p/3PppP1/2P1P3/2N3P1/PP2BB1P/R2QK2R b KQ -,h6g5
r1q2rk1/1pp2ppp/n1bp1b2/8/pQ2P1P1/1P2B1NP/P1P2PB1/3R1RK1 w - -,b4d2
3b4/Bb1nkppp/p7/1p2p3/1P2P3/PN2KPP1/7P/5B2 w - -,b3c5
r4rk1/1pqnbppp/p2p4/4p3/4P3/1N6/PPPQBPPP/1K1R3R b - -,b7b5
r1b1k2r/pp2ppbp/2n3p1/6B1/3P4/4P3/P2N1PPP/2R1KB1R b Kkq -,c8e6
r1b1k3/3n2b1/p2Qp2p/1p4p1/4q3/3R4/P5PP/3KR3 b - -,e4a4
8/2p1k3/p2pp1p1/1p2p1Pp/1P2P2P/2PPP3/P3K3/8 b - -,e7d7
4k2r/p4ppp/1n1B1n2/4p3/q1PP4/4P1P1/P4P1P/1R3QK1 b k -,e5d4
3rk2r/1bqpbppp/ppnNp3/4P3/2P2B2/1N1Q4/PP3PPP/R2R2K1 b k -,e7d6
r2qk2r/pp1bbpp1/2nppn1p/8/3NP1P1/2N1B3/PPP1BP1P/R2QK1R1 w Qkq -,d1d2
r3k2r/pppqbn1p/2n1p3/3pP1p1/3PbPP1/P3BN2/1PPNB3/R2QK1R1 b kq -,e8c8
4r1k1/6pp/2q5/3n1p2/3Q1P2/6P1/5P1P/3R2K1 w - -,d4d5
2r3k1/5p1p/4n2N/p3Pp2/2PrR3/8/P5PP/5RK1 b - -,g8f8
r4rk1/p5pp/2b1p3/qp2B3/3Pp3/2P1R3/P1Q2PPP/2R3K1 b - -,a7a6
rr4k1/1q2ppbp/6p1/2pnN3/P7/R5P1/1P1B1P1P/1R2Q1K1 w - -,e1e4
6k1/5R2/p5p1/n1rN3p/8/7P/5PP1/6K1 w - -,f7d7
5rk1/p4pb1/7p/6P1/4q3/5PB1/P4PK1/4R3 w - -,e1e4
r5k1/3q1p1p/1pp3pQ/3p4/p1nPr3/P2NP1PP/1P3PK1/1R2R3 b - -,f7f6
