8/5pk1/7R/6Pp/2P2p2/8/8/5K1r w - -,f1f2
8/5ppk/3B3p/1p2P3/r4q2/1b1QR2P/5rP1/2R3K1 b - -,g7g6
5k2/6pp/2N1r3/8/1p6/1Pb2KP1/2P4P/3R4 w - -,d1d8
4rr1k/1p5p/p2p2p1/PbpP1p2/3qPP2/1PbP4/R4QBP/2BR3K b - -,d4f2
r1b1rbk1/1pq2p2/p2p1np1/5P1p/2PN4/2NnB1PP/PP3QB1/2R2RK1 w - -,f2f3
R2kbn1r/1pq1b3/4p2P/1P1pP1P1/2nP4/3BB3/2N1QN2/6K1 b - -,d8d7
r3rnk1/1p1b1pbn/p2P2pp/2pP4/Pq3P1B/2NB1N1P/1P1Q2P1/4RR1K b - -,c5c4
r3k2r/5ppp/2p5/q2p4/PbnP4/2N5/2Q1BPPP/2R1K2R b Kkq -,b4c3
2b1r1k1/5ppp/1bp2q2/pp2p3/1P2P3/P1P1NN1n/2B2PPK/3RQ3 w - -,e3f5
r3k2r/p1ppq2p/1pb2p2/5p2/1b6/1QN3P1/PP2PP1P/2KR1B1R w kq -,c3d5
6k1/p4pb1/2p1r1p1/q2r4/3p4/B4QPP/PP3P2/2RR2K1 w - -,f3b3
5r2/2R2nk1/R2p4/Pp1P2p1/1P1P2r1/5N2/5K2/8 b - -,g4f4
2b5/2k5/2p3p1/2Pp1p1p/3P1P1P/3B2P1/3K4/8 w - -,d2c3
rr4k1/1bp4p/1q2n1p1/p3Pp2/P1pp1P1Q/R7/1PPB1RPP/2N3K1 b - -,c7c5
rnbqkbnr/pp3ppp/4p3/2pp4/4P3/3P2P1/PPPN1P1P/R1BQKBNR b KQkq -,b8c6:f8d6:g8f6
r1b1r1k1/1p1n1pbp/1qpB1np1/p7/P2NP3/1PN3P1/2P2PBP/R2QR1K1 b - -,f6e4
r2qk2r/1pp2ppp/p1np4/4p1b1/4P1b1/2PP1N1P/PPB2PP1/R2QRNK1 b kq -,g4d7
6k1/pp1n1pp1/2p5/3p2bp/3P4/5PB1/PPP3PP/3Nr1K1 w - -,g3e1
qrr3k1/4bpp1/pp1ppn1p/1P6/P1PQ4/2N1B1P1/4PP1P/2RR2K1 w - -,c1a1
rnbqk2r/p5pp/3bpn2/3p1p2/8/3NB1P1/PP2PPBP/RN1Q1RK1 b kq -,e8g8
r1bqkb1r/pp4pp/2np1n2/2p1pp2/2PP4/1PN1PN2/PB3PPP/R2QKB1R b KQkq d3,c5d4
1k1r3r/ppq2pp1/4pn1p/4b3/3RN2P/2P3PN/PPQ2P2/2K4R w - -,d4d8
r2q1rk1/p3ppbp/6p1/3pP3/6b1/R7/1PPPB1PP/2BQ1RK1 b - -,g4e2
3N1b1k/2p4p/pr6/4Pp2/2P5/6PP/P5K1/3R4 b - -,b6b2
r1bqr1k1/pp3pp1/2pp1nnp/4p3/1bP1P3/2NP1NB1/PPQ1BPPP/3R1RK1 b - -,f6h5
r1b2rk1/1p1q2p1/p1nN1b1p/3p1p2/3P1B1P/5N2/PP2QPP1/R3R1K1 b - h3,f6d8
2r3nk/3brpbp/2p2np1/Pp2p3/1q1pP3/3P1NP1/1NQB1PBP/RR4K1 b - -,b4d6
r4rk1/3n2pp/p1pbb2q/1p1p1p2/P2P1P2/2P1N1P1/2P1B2P/R1BQ1RK1 w - -,c1a3
8/p3kp1p/1p4p1/3BP3/P3PP2/b2K3P/8/8 b - -,a3b2
r1b1k2r/5ppp/p3p3/q1bpP3/1p1NnB1P/4Q3/PPP2PP1/1K1R1B1R b kq -,a8b8
8/8/p5p1/8/6k1/2N1K1P1/8/8 w - -,e3f2
r1bqr1k1/2p1ppbp/p1np1np1/1p6/3PP3/2NBBN1P/PPPQ1PP1/2KR3R w - b6,e4e5
4r2r/1p1k1p2/p1q3p1/2P2N1p/1p1Q4/8/P4PPP/2R2RK1 b - -,d7c7
8/2q4k/6p1/7p/3PQ1PP/p7/5P2/6K1 w - -,g4h5
3qk2r/pp1nppbp/3p1np1/8/2r1P3/2PP1N2/PB3PPP/RN1QR1K1 b k -,c4c8
3r3r/5k2/5b1p/p1nppN1P/Pp3p2/1P3N2/2P2PP1/2K1R2R b - -,c5e4
2rr2k1/2q2ppp/p2pbn2/2p5/PpN1PQ2/1B6/1PP2PPP/R3R1K1 w - -,a1d1
2r3k1/1p4p1/4p2p/qp1pPp2/2r2P2/P1P5/1P3QPP/3R1RK1 w - -,d1d3
4b3/6bk/6pp/q2Bnp2/2Pp1B1P/3P2P1/5N2/1Q4K1 b - -,e5d7
4b1k1/pp4pp/3B1n2/2p4q/2P5/P1PB4/4Q1PP/6K1 b - -,h5e2
8/p1r1kp1p/Ppn1n1p1/1P6/4P3/6P1/4N2P/2R3K1 w - -,b5c6
8/p4pkp/4p1p1/1p2P3/2p2r2/2P5/PP3PKP/1R6 w - -,f2f3
r1bq1rk1/p1p1ppbp/1np3p1/8/8/2NPB1P1/PP2PP1P/2RQK1NR w K -,d1d2
8/1p1b1pp1/4n2p/p2k4/3p4/P4NP1/1P1KPPBP/8 b - -,d5d6
r1bq2k1/pp3ppp/2p3n1/4r3/2P5/PQ3BP1/1P3P1P/R1B2RK1 b - -,c8h3
6k1/6b1/8/8/3pQ2P/3N1P2/3q2P1/5K2 w - -,h4h5
8/4r3/4k1p1/1nP2P1p/1P1R1P1P/3K2P1/3N4/8 b - -,g6f5
r1bqk2r/pp1n1pp1/2pb1n1p/3p4/2PpP1P1/2N2N2/PPQB1P1P/R3KB1R w KQkq -,f3d4
r3r1k1/pp1bqpb1/6pp/4p3/1PNpP3/1Q1P2P1/P4PBP/1R3RK1 b - -,e8c8
2r2rk1/pb3ppp/2n1p3/2Pp4/1P6/2q2N2/1R3PPP/1Q2RBK1 w - -,e1c1
5k2/1p2bppp/3p1n2/3Pp3/b3P3/2B5/P2NBPPP/6K1 w - -,g2g3
1r1r2k1/p1q2p1p/3pb1p1/2p5/2P5/1B6/PP1Q1PPP/3R1RK1 w - -,d2c3
3r2k1/5pp1/pBq5/1n4R1/p1p1PP2/2R5/1P3QPK/3r4 w - -,c3g3
1r3rk1/p4pp1/4p2p/8/2Q5/P4NP1/1q3PBP/5RK1 w - -,c4a4
r1bq1rk1/pp2ppbp/2np1np1/8/2PNP3/2N3P1/PP3PBP/R1BQK2R w KQ -,d4e2
8/2p3k1/1pbpn3/p2Np3/2P1P1K1/P5P1/7r/1BR5 b - -,c6d7
r1b2k1r/1p1n1ppp/p1P5/3n4/B2pN3/P1P5/5PPP/R3K2R w KQ -,c6d7
2rr1nk1/pb3ppp/1p2p3/4N1qn/2P5/1P3P2/PB3QPP/3RRBK1 b - -,f8g6
r3kbnr/1bqp1ppp/p3p3/1p6/3QP3/2N3P1/PPP2PBP/R1B1R1K1 b kq -,e6e5
rn1qk1n1/ppp3b1/4b1P1/3p1ppQ/3P4/2N5/PPP2PP1/2K1RBN1 b q -,d8d7
r2q1rk1/p4ppp/1pb1pn2/8/2BP4/2N5/PP1Q1PPP/R2R2K1 b - -,d8d6
r1bqrbk1/5p1p/p2p1np1/np1Pp3/4P3/3B1N1P/PP3PP1/R1BQRNK1 b - -,c8d7
4k2r/p3npbp/1p4p1/P1n1P3/8/5N2/1PP2PPP/R2R2K1 b - -,b6b5
8/8/2r3pR/p7/1p3PP1/7P/1k6/7K b - -,a5a4
r4r2/pp5p/8/2p1n1k1/4Pn2/3P3R/PPP2N2/R1B1K3 w Q -,c1e3
8/4b3/2r1k3/1R3p1p/5Bp1/3K2P1/7P/8 b - -,e7f6
r4r2/1bp1qnbk/1p1p2p1/pN3p1p/PnPPp3/4P2P/1P1N1PPB/R1RQ1BK1 w - -,c1c3
r2q1rk1/3n1pbp/p1p1pnp1/1p1p4/2PP4/1PNBPQ1P/PB3PP1/R2R2K1 w - -,f3e2
5q1k/1p6/3p3p/pPb3p1/3p4/3Qp1P1/6BP/5R1K b - -,f8e8
r3k2r/1p3ppp/p1nqpn2/3p4/3P4/2NQPN2/PP3PPP/R1R3K1 b kq -,b7b5
r2k1bbr/1p1q2p1/p1p1ppBp/3p4/3PP3/2P2P1P/PPQ3PB/R4RK1 w - -,e4e5
8/5p1k/6p1/5p1p/4qP2/2Q3P1/7P/6K1 w - -,h2h4
4R3/2P5/5k2/2K2n2/8/8/6p1/8 w - -,e8e1
8/8/6kp/5R2/r3p1P1/8/4KP2/8 w - -,e2e3
2rqkb1r/pbpn1ppp/4pn2/P2p4/3P4/2p2NP1/1P1NPPBP/R1BQ1RK1 w k -,b2c3
r2q1rk1/2b2ppp/4p3/ppPp3b/P3n3/1Q2PN1P/1P2BPP1/R2NK2R w KQ -,a1c1
2r2k2/p2n1p2/4p1p1/3pP3/3N4/1P3N2/Pb3PPP/4RK2 b - -,a7a6
3rr1k1/pppbqpbp/2np2p1/8/2P1PP2/1P4P1/PB1Q1NBP/3R1RK1 b - -,e7f8
1n2k2r/2qn1ppp/4p3/1B1p4/Qb1P4/2N1P3/1r1B1PPP/R4RK1 b k -,e8g8
r1b2rk1/1pq1bpp1/p1nppn1p/8/2P1P3/PQN1B3/1PN1BPPP/R4RK1 b - -,f6d7
8/8/4p1kp/4N1n1/8/P5P1/2R3K1/r7 b - -,g6f5
8/8/3KpB2/3p3k/8/4rnRP/8/8 b - -,d5d4
rnbqkb1r/ppp1pppp/8/3nP3/8/5N2/PPP2PPP/RNBQKB1R b KQkq -,b8c6:c8g4
