8/8/8/2P1k3/Bp3n2/4K3/6p1/8 w - -,e3f2
r2qkb1r/pp1n1ppp/4pnb1/3pN3/3P2P1/2N1P2P/PP3P2/R1BQKB1R w KQkq -,h3h4
r3k1nr/ppp2ppp/2b1p3/b6q/3PP3/P1N2PP1/1P5P/R1BQKB1R w KQkq -,b2b4
4rr1k/1b5p/3p3b/1pqNpp2/5P2/2P3P1/1P1QB2P/3R1R1K w - -,e2f3
r5k1/1p1b3p/p1n3p1/2P1P3/3p4/PP1B2P1/1KR2rNP/R7 b - -,c6e5
4r1k1/5pp1/1pp1bq1p/8/1P2P2R/Q3BN2/2P3PK/3r4 w - -,e4e5
rn2kb1r/ppp2p1p/3p4/8/2P5/4Pp2/PP2N2q/RNBQ1KR1 w kq -,e2g3
r3k2r/ppp2ppp/1qn1pn2/8/2BPb2N/P1B5/1PP1QPPP/2KR3R b kq -,e8c8
8/4n3/4k1p1/7p/5K1P/8/3B4/8 b - -,e7f5
R4b2/4N2k/1p2K2p/4P2P/8/p4r2/8/8 w - -,e7f5
r2q3k/pp4pp/4b3/3pP3/1QnR4/5P2/PP3P1P/1B2K2R b K -,c4e5
n3kb1r/p2bpp1p/5np1/8/2Nq4/6P1/PPQPPP1P/R1B2RK1 w k -,d2d3
5k2/5p1p/R5p1/1r6/1p2n3/1P3N2/1b3PPP/4K2R w K -,a6a7
r6r/2qb1kb1/p2p1ppp/1p1P4/2pB4/1P3BP1/P1PQ1P1P/R3R1K1 b - -,a8e8
r1b2rk1/p4ppp/1pR1p3/3nN3/1q1PB3/4P3/PP3PPP/3Q1RK1 b - -,b4b2
2r3k1/6p1/4p1n1/p5N1/Pb1P3p/4pP1P/R5PB/5K2 b - -,b4d2
rnbq1rk1/pp2ppbp/3p2p1/2pn4/3P4/4PN1P/PPPN1PPB/R2QKB1R w KQ c6,f1c4
r1b2rk1/p2p1ppp/4p3/1p1nP3/1PNq4/2p2P1N/2Q3PP/2B1KB1R w K b6,h3g5
r2qk2r/3bbp2/pnn1p1p1/1p1pP2p/2pP1P2/1P2NN2/P1PBB1PP/R2Q1RK1 w kq -,d2e1
8/4k3/pn1p3p/n1pP1p2/1qP1pP2/4P2P/P1QNBK2/8 b - -,e7d7
1r3k2/1rqn1pp1/b2p1b1p/p1pPpP2/P1P1N1Q1/1P4P1/2BB3P/1R3RK1 w - -,g4h5
6k1/1p1r2p1/p1pBr2p/2Pn4/3Rp1P1/4P2P/1P3P2/3R2K1 w - -,g1g2
3r1r2/ppk2ppp/2qRp3/2p1P1P1/5Q2/2P1B3/P4P1P/1R4K1 b - -,d8d6
r4rk1/pb1nq1pp/1p1pp3/3n1p2/1P1P4/P2BP1B1/3N1PPP/2RQ1RK1 b - -,a8c8
k1n5/pp1b2p1/4p2p/1P1pP3/P4B1P/1Q1B2P1/5PK1/4q3 w - -,b3a3
3r1k2/1pp2p2/2n1p1pp/2n1P3/p1P2P2/2K2NP1/PPB1R2P/8 w - -,e2d2
2k1rbnr/2pb2pp/pp3p2/2p5/4P3/2N1B3/PPPRNPPP/R5K1 w - -,a1d1
2r1r1k1/1p2bppp/pq3n2/2nPp1B1/P7/2N3PP/1P2QPB1/R4RK1 b - -,c5b3
2br4/1p2kp2/p2ppp1b/2q4p/4P2P/3B2P1/P1P1QP2/1R3R1K w - -,h1h2
r2q1rk1/ppp2pp1/4b2p/3nn3/3P4/1BP4P/PP3RP1/RNBQ2K1 b - -,e5g6
3r2k1/1p3p1p/2p2R1P/3p2P1/p3rP2/P1P5/1PPK4/4R3 b - -,d8e8
2N2bk1/5p2/R5pp/1p1rP3/1P4P1/3Pp3/4P1KP/8 w - -,e5e6
3q2k1/5r1p/3p2p1/p1rNp1b1/R1P5/6P1/1PQ2P1P/R5K1 w - -,d5c3
3rr1k1/pp4bp/4bnq1/3p2p1/1B2p3/1PN1PpP1/P1Q2P1P/2RR1BK1 w - -,c3b5
5rk1/4b2p/r2pb1p1/1q4P1/p2RPB2/P7/1PPQ1P2/3R2K1 w - -,d4b4
2r5/1p5p/2k5/2P2KP1/7P/4B3/5P2/8 w - -,f5f6
r1b3k1/1p2qrpp/pB1pn3/8/4P3/8/PPP1QPPP/2KR3R w - -,e2d2
r2qr1k1/pppnnpp1/3p1b1p/5b2/2PP1B2/1PN2N1P/P2QBPP1/2RR2K1 b - -,d7f8
2r4r/5p1P/pp1k1P2/3pP1RR/5p2/2PK2p1/P7/8 b - -,d6e6
rq3rk1/3N1ppp/p1pbpn2/3p4/2PP4/4P2P/PB2NPP1/2RQ1RK1 b - -,f6d7
5r1k/p5p1/2p1b1rp/2q2p2/2B1P3/1PP1R2P/P3Q1P1/R6K b - -,e6c4
3rr1k1/p6p/3b2p1/1P1Ppp2/P1p4q/2N2P1P/1P2RPQ1/4R1K1 b - a3,h4f6
8/8/pBp3b1/P1P5/1k1p4/8/8/2K5 b - -,b4c3
r2qr1k1/p3bppp/2bp1n2/2p5/1pP1P1Pn/1P2BP2/P2QN1BP/1N1R1RK1 w - -,g2h1
2Q2qk1/pp3pbp/6p1/3r1p2/1P6/3B4/P4PPP/3R2K1 w - -,c8b7
r1b1rqk1/1p1n1pbp/n1pp2p1/8/2PNPPP1/pPN1B2P/P1Q3B1/3RR1K1 w - -,c3e2
5rk1/6b1/3R2pp/2q2p2/2p5/2P2N1P/2Q2RP1/6K1 b - -,c5d6
6k1/1p1q1p1p/3p1Qp1/r2Pr3/p7/2R5/PPP2PPP/3R2K1 w - -,c3d3
r1b2rk1/1pppqppp/1b3n2/p5B1/Pn2P3/1NN5/1PP1BPPP/R2Q1RK1 w - -,b3d2
rr6/2k2ppp/2p1bn2/2b1p3/pp2P1PP/P1NB1P2/1PPB4/3KR2R w - -,a3b4
2r1r3/1pBN1k2/p3p3/P4ppn/1PP1p3/6PP/4P1K1/R2R4 b - -,c8c7
8/p3kp2/1p2p1pp/2p5/PnP5/1B2P1P1/1b1B1P1P/5K2 w - -,d2b4
8/3k1p2/2pp4/4p3/1P2P3/2K5/3R4/4q3 b - -,e1e4
r1bq1rk1/b1p2ppp/p1np1n2/Pp2p3/3PP3/1BP1BN1P/1P1N1PP1/R2Q1RK1 b - -,h7h6
r4rk1/1bqn1ppp/p2bp3/1p4B1/3N4/1BP2Q1P/PP3PP1/R3R1K1 w - -,f3h5
3r1r2/pk1q2b1/1pp4p/2p1Bbp1/8/2NP2QP/PPP3P1/1K1RR3 b - -,d8e8
8/8/P6r/4k2P/5p1R/2P5/2P1B1b1/2K5 w - -,a6a7
3r1rk1/pp3p1p/2pq1bp1/3n1nB1/3PQ2P/1B3N2/PP3PP1/3RR1K1 b - -,d6b8
8/4Q3/1k2p2p/pP1r3P/2p2PP1/3nq3/1P1R4/K2R4 b - -,b6b5
6b1/8/k3p1P1/p1K1P3/P3B3/1p6/8/8 w - -,e4d3
rnbqk2r/ppppb1pp/4pn2/5p2/2PP4/6P1/PP2PPBP/RNBQK1NR w KQkq -,g1f3:g1h3:b1c3:b2b3
8/7k/7p/1pp3p1/2bb4/P1N2K1P/1P2N1P1/8 w - -,e2d4
1r5r/1p6/7p/1P1Pk1p1/8/5P2/3R1K2/7R w - -,d5d6
3r1rk1/2q2p1p/2np1bp1/ppp5/4PP2/1NP2R1P/PPQ3P1/1B1R2K1 b - -,f6g7
8/1k2rppp/b2pp3/B7/4P3/5P2/1Pq3PP/1K1R4 w - -,b1c2
6R1/8/1p1r1k2/5p2/2P4p/5K1P/8/8 w - -,f3e3
r2q1rk1/3n1pp1/b3p2p/p1Pp4/1B6/1Q3NP1/PP2PPBP/2R2RK1 b - -,a5b4
2q2rk1/1rp2pbp/p3p1p1/1p1nN3/3P4/2P2QBP/PP3PP1/3RR1K1 w - -,e1e2
r2qkb1r/pp1npppp/6b1/2ppB3/6P1/1P1PP2P/P1P2P2/RN1QKB1R w KQkq -,e5b2
r1bq1rk1/1p1nppbp/p4np1/2B5/2P1P3/2NB1P2/PP4PP/R2QK1NR w KQ -,c5a3
1k1r3r/pp1qnpb1/2np2p1/2pNp3/Q3P3/2PPNPP1/PP4R1/R1B3K1 w - -,d5e7
7r/1p3pk1/pq2p1p1/1b1pR2r/3P1P2/P1P3Pp/1P1Q1R1P/1B4K1 b - -,b6c6
2kbr2r/1ppb1pp1/p4n1p/4p3/3P4/2N1B1PP/PPP2PB1/2KRR3 b - -,e5d4
r2q1rk1/3bppbp/p2p1np1/2p1n3/2P1P3/2N1BPN1/PP1QB1PP/2R1K2R b K -,f8e8
4k3/B5pp/8/3b4/8/b1N1P3/5PPP/6K1 b - -,d5c6
r2qk2r/pb1n1pp1/3b1n1p/2pPp3/Np2P1P1/4BN2/PPQ1BP1P/R3K1R1 b Qkq -,d8a5
r2qk2r/ppp1b1p1/2n1bp2/7p/3Pp2P/2P2NP1/P3PPB1/R1BQ1RK1 w kq -,f3e1
4B3/p5k1/P5p1/4p2p/3b3P/1P4p1/5PK1/8 w - -,f2g3
k5r1/pb3p1r/1p2pP2/3pN2p/1RpPnQ2/P1P3PB/2q4P/5RK1 w - -,f1c1
r1q2rk1/pp3pbp/4bnp1/4N3/5P2/2N5/PPP1B1PP/R2QK2R b KQ -,c8c5
6rk/p1Q2p2/1p2p2p/8/3P4/2P2qP1/P4P1P/R5K1 b - -,h6h5
2bq1rk1/5pbp/pn1ppnp1/2pP4/Pr2PP2/2NB4/1P2N1PP/1RBQ1R1K w - -,d5e6
3QNk2/5p1p/4p3/p2qn1p1/P7/1P5P/5PPK/8 w - -,e8d6
5rk1/pp5p/4r3/6p1/2P3n1/1P2P3/P2Q3P/5RK1 w - -,f1f8
3r2k1/1p1q1p1p/p2bp1p1/3n2P1/P2P3P/1B2BQ2/1P3P2/2R3K1 b - -,d5e7
r3k1nr/pp1nbppp/3p4/q1pPp3/2P1N3/3B1P1P/PP2KPP1/R1BQ3R w kq -,c1d2
