8/6p1/1p1k1pN1/2pn1P1P/4K1P1/8/8/8 b - -,b6b5
r2q1rk1/pp3ppp/2n1bn2/2bNp1B1/2P5/6PP/PP2NPB1/R2QK2R b KQ -,e6d5
1r3rk1/pb2qpbp/1pQ2np1/2p5/P2P4/2PBPN1P/1P1N2P1/4RRK1 w - -,c6b5
3r4/5pkp/4p3/2R1P1p1/2bN3P/5PK1/1n2N1P1/8 b - h3,c4e2
2r2rk1/pb1nqppn/1p2p2p/2ppN3/3P1PP1/1PP1P2P/P2NB3/R2Q1RK1 w - -,d1e1
8/8/4p2p/4k1p1/4P1P1/1P1R2KP/r1r5/3R4 b - -,c2g2
r2q1k2/1b2rpbN/1p4p1/p1n5/2n2B2/2P3PP/PP3PB1/R2QR1K1 b - -,f8e8
2r2r1k/2qbn1pp/p2b4/1ppp2PP/3p1P2/3P1QN1/PPPB3N/R4RK1 w - -,h5h6
r3kb1r/pppq1ppp/3pbn2/4p3/2P1P3/PPNQ4/2P1NPPP/R1B1K2R b KQkq -,a7a6
6k1/4rpp1/p1p2r1p/Pp1p4/1P1P4/2R1P1P1/5P1P/2R3K1 b - -,e7c7
4r1k1/1p3pbp/p2p2p1/3q4/P2n1P2/2PQB1P1/6KP/2NR1R2 w - -,g2g1
2rr2k1/4npp1/3p1n1p/1Q2p3/1P2P3/P1q1B1PP/3N1P2/R4BK1 w - -,a1a2
br3rk1/5ppp/4p3/R7/1p1NP3/3B2P1/5P1P/1R4K1 b - -,f8d8
4r1k1/5p1p/2P3p1/1P1R4/5p1P/5P2/5rP1/2R4K b - -,e8e2
r2qr2k/1ppn2pp/p2bnp2/P2Np3/1P2P3/2P1BN1P/2Q2PP1/3RR1K1 w - -,c3c4
3r4/7p/2BP1k2/p1p2p2/P1P5/1P5P/4K3/3R4 w - -,d6d7
7k/pR5p/5rp1/8/3p1r2/3R1P2/PP3P1P/6K1 b - -,f6a6
6r1/2R3P1/8/8/3k4/P6K/1p6/8 w - -,c7b7
3qr1k1/1pp2pp1/5n1p/2b1pb2/1nPp4/1N1P2P1/1BN1PPBP/r2QR1K1 w - -,b2a1
r4rk1/1b2Rpbp/p2p1np1/1p1P2B1/3N1P2/3B4/PPP3PP/2KR4 b - -,b7d5
2r5/2p3p1/1pnpk2p/4p3/1PP1P3/2K1BP1P/6P1/R7 b - -,c8b8
4B3/3P3k/5p2/8/3n4/2p5/2K5/8 w - -,c2c3
6k1/1p4r1/p2p2qb/3Pp3/2N1P1r1/1P2R1Bn/P2K1R2/3Q3N w - -,f2f3
r4rk1/ppq1n1bp/1npp2p1/4pp2/3PPPP1/2N1B2P/PPP1Q1B1/3R1RK1 b - -,f5e4
r2r2k1/1pbq1pp1/p2p1n1p/P3p3/1R2P3/1NB2Q2/1PP2PPP/3R2K1 b - -,d7c6
6k1/3b1rp1/Q1p1n2p/P2p4/1P1B4/2P1RN1P/2q2PP1/6K1 w - -,a6e2
r1b1k2r/1p1nbppp/p2ppn2/7q/3NP2B/1BN5/PPP2PPP/R2Q1RK1 w kq -,d1h5
2kr1r2/ppp1n1bp/7q/3p2p1/3PPpb1/1BPQ1N2/PP1B2PP/4RK1R b - -,c8b8
4r1kb/2r4p/b2P1ppP/pqp1p3/4P3/4BQ2/1pB2PP1/1R2R1K1 b - -,c7b7
R4bk1/5pp1/p2R3p/1p2p3/1P2n3/P1r1B3/5PPP/5NK1 b - -,e4d6
4rrk1/p1qnpp1p/1pbp2p1/1P6/P1P1PPB1/2N5/2Q3PP/R2R2K1 b - -,d7f6
6bk/7p/1pQ3r1/3PPp2/5q2/P1N5/2K1B2P/8 w - -,e5e6
1r1q1rk1/1b2bppp/5n2/n1p1P3/1p6/5N1P/BP1N1PP1/R1BQR1K1 b - -,f6e8
8/5k2/p3bP1p/1p1p4/1PnB1K2/7P/8/3B4 w - -,d1e2
5bk1/5n1p/p1R1QNb1/P3p3/2p1Pp1q/5P2/7P/6K1 b - -,g8g7
5r1k/5q2/3b3r/p2N2p1/4R3/P5P1/1P1RQP2/6K1 b - -,f7h7
6k1/2p2pp1/1p1b3p/p2b4/P6P/1P1B2P1/2PB1P2/6K1 b - -,g8f8
k1r1b1r1/1pq2pp1/p1n1p2p/2npPP2/5Q1P/2N2NP1/PPP5/1K1RRB2 w - -,f1h3
r1b2rk1/pp1n2pp/3qp3/2pp1p2/P1PPn3/QP1BPN2/5PPP/RN3RK1 w - -,b1d2
6R1/rn6/3p2k1/p1pPn1Pp/N1P1P3/4K3/P2N4/8 b - -,g6f7
r4rk1/pb2q1bp/1pnp1np1/2p1pp2/2PP4/1PN1PNP1/PB2QPBP/R2R2K1 w - -,c3d5
5r2/1p2k1p1/2q1p2p/3b2PP/1P1p3R/P2B2b1/3BQ2N/6K1 w - -,b4b5
r4b1r/pp1k1ppp/2p1pq2/5b2/2BP4/8/PPPB1PPP/R2QK2R w KQ -,c2c3
r4r2/np2k1pp/4p3/1BPpPp2/P2P4/8/6PP/RR4K1 w - -,a4a5
2r2rk1/pbqnbppp/1pp1p3/8/2QP1P2/2N1PN2/PP3PBP/3R1RK1 b - -,f8d8
2r3k1/1b3ppp/pq1p1b2/1p1P4/1P2PP2/BNr5/P2Q3P/2R2R1K b - -,c8c4
2r2rk1/pbqn1ppp/1p1bp3/8/3P4/2PB1N1P/P2B1PP1/R2QR1K1 w - -,d1e2:c3c4
r2qnr1k/1ppbb2p/p1np1pp1/3Np3/B2PP3/2P2N2/PP3PPP/R1BQR1K1 b - -,d7g4
r1b2rk1/p1q1bpp1/2p4p/n3p3/4Nn2/2N5/PPPP1PPP/R1BQRBK1 w - -,d2d3
rnbq1rk1/1p2ppbp/p4np1/3p4/3P1B2/2N1PN1P/PP2BPP1/R2QK2R b KQ -,b8c6
rn1qkb1r/pp3ppp/2p2p2/5b2/P1pP4/2N1P3/1P3PPP/R2QKBNR b KQkq -,f5e6
8/R5p1/5p2/6p1/4p1P1/2rk1K1P/8/8 w - -,f3f2
r1bq1rk1/p4pbp/2p2np1/3N4/8/P3BN2/1P2BPPP/R2Q1RK1 b - -,f6d5
1k4r1/1pp3q1/p4p2/4pP2/Q5P1/8/PPP5/2KR4 w - -,a4c4
r2qkb1r/ppp2ppp/4pn2/3pn3/6b1/1P4P1/PBPPPPBP/RN1QK2R w KQkq -,b2e5
rn1q1rk1/pbpp1ppp/1p2pn2/8/2PP4/P4NP1/1P1QPP1P/R1B1KB1R w KQ -,f1g2
3r1k2/1p3p1p/p3nP2/4p3/P3P1Q1/7R/1Pqr3P/R6K w - -,a1g1
2B5/p3k2p/1p1rb3/4pp2/PP6/4P2P/5PK1/2R5 w - -,c8e6
r2qr1k1/p4pp1/2pbbn1p/3p4/7B/2NB1Q1P/PPP2PP1/R3R1K1 w - -,h4g3
4kb1Q/p4p1p/4r3/8/Np5P/1P1q2P1/P1nP1PK1/2B4R b - -,c2e1
r1bq1rk1/1p3pbp/p1nppnp1/8/2PNP3/2N1B3/PP2BPPP/R2QR1K1 w - -,d1d2
r2k2nr/pppn1pbp/4b1p1/4p1N1/2P5/2N5/PP1BPPPP/2KR1B1R b - -,e6c4
r1b2rk1/1p2bppp/pq1ppn2/6B1/3RPPP1/2N2Q2/PPP4P/2K2B1R w - -,d4d2
4k2r/1pb1r2p/p3Bpp1/2P5/4RP2/8/PP4PP/4R1K1 b - -,e8d8
1Q6/5pk1/6p1/5n2/1P5p/2P4r/8/1K6 w - -,b4b5
r4rk1/3n1ppp/pp1n4/2pPp1N1/P3P3/3B2P1/1P2KP1P/2R4R w - -,f2f4
8/2p2k2/8/3KpPp1/R5p1/1nP5/4N1P1/3r4 w - -,d5e5
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4PP2/2NP2P1/PPP3BP/R1BQK1NR w KQkq -,g1h3:g1e2
8/3br2k/5r1p/p1qp3Q/3N1p1p/2P5/1P3PP1/4R1K1 w - -,e1a1
r2q1rk1/nppn1ppp/p2p1b2/P3p3/1PBPP1b1/1QP2N2/3N1PPP/R1B1R1K1 w - -,c1b2
2k5/p7/3b1B2/3p1p1p/3P4/8/PP4P1/6K1 b - -,c8d7
2kr4/ppp3p1/2n2r1p/1QN1pq2/3p4/5P2/PPP3PP/R1B1R1K1 b - -,d8f8
r3k2r/1b1qppbp/p5p1/1p1Pp3/2P5/3B1N2/PP1Q1PPP/R4RK1 b kq c3,b5c4
8/1p1R2pk/7p/2q2p2/p3n2P/1P3QP1/3P1PK1/8 b - -,a4b3
2k5/1p2b1p1/p1p4p/P3p3/N3B2P/6P1/1P1rbP2/1R4K1 w - -,a4b6
r4nk1/ppnq4/3p1bp1/2pP1p1p/2P2P1P/P2B1NQ1/1P4P1/1R2B1K1 w - -,e1d2
rn1q1rk1/1b3pb1/pp1p2pp/2pPp2n/2P1P3/2N2NP1/PPQBBP1P/R4RK1 b - -,b7c8
8/1p4k1/2p2N1n/4r3/p2r2p1/8/PPR3P1/5RK1 b - -,h6f5
6k1/2q2pp1/1Nn1p2p/Ppp5/3bP3/1P1Q2P1/5PBP/6K1 b - -,c7a7
