8/4p3/pR1b1k2/2nB4/2p2P2/4K3/1P6/8 b - -,c5a4
2r1n1rk/1p2q3/pB1p3n/P2Pp2p/4Pppb/5P2/1P2B1PP/2Q1NR1K w - -,c1c8
r2n1r1k/pppq2pn/3p3p/3P1pb1/4PB2/1PP4P/P2NQ1PN/R4RK1 b - -,f8e8
4n3/1k3pp1/p1p2r2/4RP1p/PP2K3/4N2P/5P2/8 b - -,e8d6
q4rk1/6p1/2b1pr2/p3pp2/1pPbP3/1P2N1Pp/P3RP1P/1Q1R2KB w - -,b1c2
1r3bQ1/5p2/2n1b2p/q1kNp3/1p2PP1P/8/PpP5/1K1R3R b - -,b8a8
5rk1/3q2p1/p1np1r1p/1Pp1pb2/8/2PP2PP/P3QPBK/1RB2R2 b - -,a6b5
1r1knb2/3b1p2/1q1p2pp/p1pP4/1pP2BPP/3QNP2/PP3N2/K3R3 w - -,h4h5
r4r2/1p4pp/p1p1bk2/2Pp1p2/PP1R3P/R2BP1P1/5P2/6K1 b - -,g7g6
r1b2rk1/pp2bppp/2n1p3/7n/2B5/2P1BN2/PP1N1PPP/2KR3R b - -,h5f6
r6R/pkpb1pp1/1pp5/2b1PnN1/4KB2/2N3r1/PPP5/R7 w - -,g5f7
r1b2r1k/pp1Nq2p/6p1/2p5/2P1Pp2/1PB3P1/P4PBP/R3R1K1 b - -,h8g8
1r4k1/5n2/1r1p1p2/N1p3p1/4P3/2P2P2/PP1R1Q2/1KN4q w - -,a5c4
2rr2k1/pb1qbppp/1p2p3/n7/2PP4/8/PB1QBPPP/2RN1RK1 w - -,d1e3
2rq1b1k/1pr2pp1/p3p2p/8/bP1P4/P3PNQ1/1B4PP/1B1R2K1 w - -,d1f1
3rr3/ppk2p2/2p4p/3n4/3P1p1p/1P3P2/P2RNKPP/2R5 w - -,e2c3
1r2k2r/5p1p/1q1p1p2/4pP2/ppn1P3/1P3QN1/P1P3PP/3R1RK1 w k -,f1f2
3rr3/1ppq1pk1/p1n3pp/4P2N/4QP2/2P4P/PPB3P1/R5K1 b - -,g6h5
4k2r/3b1p2/4p2p/p2pP2p/1bpP4/q3nNP1/P3RPK1/1BQ5 w k -,c1e3
r2q1rk1/pppb1pbp/3p4/3Pn1p1/4P1P1/2N1B2P/PP2QPB1/2KR3R w - -,f2f4
r1b1rnk1/pp2q1pp/2p5/5p2/3Pp3/2N1P2P/PPQN1PP1/4RRK1 b - -,c8e6
8/2p5/pk1r1npp/3Ppp2/1pP4P/1P2KP2/1PB3P1/3R4 b - -,h6h5
4k2r/p2b1pp1/1pqbp3/P1pn4/2Q4P/2NP1P2/1P2P2P/R1B1K2R w KQk -,a5b6
2r2k2/R4p1p/3n2p1/2pPb3/1p2P3/1K3P1P/3R2P1/8 b - -,c8b8
8/1p3kb1/1q2p1n1/p2pPrP1/P2P4/2PBB2Q/1p4K1/7R b - -,g6e7
r1b2rk1/pp2bppp/2nq1n2/1B1p4/3N4/P1N1B2P/1PP2PP1/R2Q1RK1 b - -,c8d7
rnb1k1nr/bp2qp1p/p2pp1p1/6B1/3NP2Q/1NP5/P3BPPP/R4RK1 b kq -,f7f6
8/p7/P3R3/4K3/5p2/5k2/8/6b1 b - -,g1e3
8/1pq3pk/2b2r1p/2Qp1P1P/6R1/3r4/8/4R1K1 w - -,e1e7
3r4/1p1P3r/5k1p/1P4p1/8/5P2/3R1K2/4R3 w - -,d2d6
2r5/1b2kp2/p3pn1p/1p4r1/3R4/3N1P2/PP3KPP/1B2R3 b - -,f6d7
r1bqk2r/ppp2ppp/2np1n2/2b5/2B1PB2/2NP1N2/PPP3PP/R2QK2R b KQkq -,a7a6
4k3/8/3Bn3/3p2p1/P1p5/1p1N4/3K3P/8 w - -,d3c5
8/1p2kp2/4b1p1/2P1n2p/1P2p2P/4N1P1/r3BP2/2R2K2 w - -,c1b1
1n1r4/p4kpp/1p2p3/5p2/3q4/1QNb2P1/PP3P1P/R2R2K1 w - -,b3a4
r2q1rk1/3bb1pp/pnn1p3/1pppP1P1/5P2/2P2N1B/PP2N2P/R1BQ1R1K b - -,a6a5
1r2r1k1/7p/2pqp1p1/p1NnQp2/P2P4/1PP5/5PPP/2R2RK1 b - -,d6e5
3rn1k1/1pqb1rbp/p1npp1p1/5p2/N1P5/BP2Q1P1/P1N1PPBP/3RR1K1 w - -,a4b6
8/P1R4p/5kp1/3Ppp2/8/5P2/r4KPP/8 w - -,f2g3
8/p6p/4k1p1/3N1p2/5K2/P4P2/2b3PP/8 w - -,d5b4
2kr3r/p1p1np1p/1pn1q1p1/3p3Q/3P4/P1PBB3/2P2PPP/1R2K2R w K -,h5f3
4rqk1/bpR2p1p/p2r1np1/3p4/1P1N1N2/P3P2P/1Q3PP1/3R2K1 b - -,e8e7
2k5/8/1R3N2/p1p2K2/PbP5/r7/8/8 w - -,f6d5
r4r2/pp5k/2n1p1p1/2Ppbnqp/8/2NQ3P/PPP2BP1/3BRRK1 w - -,c3e2
rn1qk2r/ppp1ppb1/1n4pp/4N3/3PP1b1/2N5/PP1B1PPP/R1Q1KB1R b KQkq -,g4e6
8/8/3k4/1K6/2p3R1/2P5/1P5r/8 b - -,h2b2
6k1/1r1npp2/3p1b2/2nP2p1/3N2P1/4B3/4PPB1/2R3K1 w - -,d4e6
6k1/5ppp/6n1/3NP3/b1p1BP2/2K5/7r/5R2 w - -,f1a1
r4rk1/pq1nbpp1/4pn1p/1p2N2P/3P1P2/3Q2N1/PP1B2P1/1K1RR3 b - f3,f8d8
6n1/6k1/3p4/4q3/NQ1n4/1P5P/P4PP1/6K1 b - -,g8f6
r2qk2r/pp2pp1p/1n2bnpb/1B1p4/8/2N1NQB1/PPP2PPP/1K1R3R b kq -,e8f8
3r2k1/p1p3pp/2prn1q1/4Rp2/1B1P1P2/P3P2P/4Q1P1/3R2K1 b - -,d6d5
r4rk1/2q2pp1/p1Np1b1p/1p1P1b2/5P2/8/PPP1Q1BP/2KR3R w - -,h1e1
8/5N2/2p5/1pP5/1P5p/5PkP/2n5/5K2 w - -,f7e5
5Q2/1R6/P5p1/5pkp/4p3/P3q2P/r7/5B1K w - -,f8d8
q1rr2k1/1b1nbppp/pp2p3/2p1P3/2P5/1PNRQ1PP/P2N1P2/3R1BK1 b - -,a8b8
r2q1rk1/p1pb1pb1/3n2p1/1p1Pp2p/4P3/1PNBP1N1/P2Q1RPP/R5K1 b - -,g7h6
6k1/2qnp1bp/pr4p1/2ppP3/6B1/1P1P4/PB4PP/R3Q2K w - -,e1a5
r1bqk2r/pp1pppbp/5np1/8/2Pn4/6P1/PP2PPBP/RNBQ1RK1 w kq -,d1d4
rn1q1rk1/p4ppp/Bpp5/4P3/8/2P4P/P4PP1/R1BQ1RK1 b - -,d8d1
2r1k2r/5p2/R3p1p1/1p2P1Np/5P1n/8/PPP1N1b1/1K1R4 b k -,h4f5
5rk1/pp2b1pp/8/2pP3q/4pP2/6P1/PP3KBP/R4Q2 b - -,h5d5
3r1rk1/1p2bppp/pq2pn2/4B3/4BP2/6Q1/PPP3PP/R4R1K b - -,g7g6
3k1b1r/3b2pp/r7/p1Q5/5P2/8/1PP3PP/4R1K1 w - -,c5g5
3r2k1/R4ppp/5n2/4p3/P2p4/3Q2P1/4PPBP/2q3K1 w - -,g2f1
r2qr1k1/1ppb1pb1/3p1np1/2n5/2PNPB1p/1PN3PP/3Q1PBK/1R2R3 w - -,g3h4
8/6b1/1k2rp2/2p1n1pp/P3P3/8/2RB1NPP/6K1 b - -,c5c4
r1b1k2r/pp3pp1/2pbpn1p/q7/3P4/3B1N1P/PPPB1PP1/R2Q1RK1 b kq -,a5b6
8/1p6/p2p1kp1/3Pp2p/P7/1PPB3P/6K1/2b5 b - -,c1d2
r1bq1rk1/ppp2ppp/2np1n2/4P3/1bP5/2N2NP1/PPQ1PPBP/R1B1K2R b KQ -,d6e5
5k2/4bpp1/1p2p2p/4P3/pP5P/P1r3P1/5PK1/1R2N3 w - -,b1a1
4b3/6pp/2pk4/3p4/Pb1P4/5BKP/2R5/8 w - -,c2c1
8/6pp/8/1p6/8/K5P1/4N2P/3k4 b - -,d1e2
r2q1rk1/pb1nppbp/1p3np1/2pp2B1/3P4/2PBPN2/PP1NQPPP/R4RK1 w - -,f1d1
8/pp1r1p2/2p2kp1/2n5/4P3/2P5/1PB1R1PP/6K1 w - -,g1f2
1r4k1/pB3p1p/4bQp1/8/8/1qP1P3/5PPP/3R2K1 w - -,b7f3
2rr4/4bbkp/pqn2pp1/1p1p4/1P1Pp3/PQ2P1P1/2RNNPP1/2R2BK1 b - -,h7h5
7q/2p2r2/2P3k1/4Qp2/4pP2/P7/KP6/8 w - -,e5h8
r4rk1/4bppp/p2p1n2/q2np1B1/2B5/5N2/PP3PPP/2RQR1K1 w - -,c4d5
rnbq1rk1/3nbppp/p3p3/4P3/1p1NN3/1B2B3/PPP3PP/R2Q1RK1 b - -,d7e5
