8/p2r2k1/1bR2p2/8/2B1PPK1/1P6/8/8 w - -,g4f5
r2q1rk1/1bp1bppp/p2p1n2/1p2p3/1P2P3/3P1N1P/1PPB1PP1/RN1QR1K1 b - -,f6d7
2qrr1k1/pp3ppp/2p2b2/3n4/3P4/5N1P/PPQB1PP1/3RR1K1 w - -,c2a4
6rk/1p3rqp/p1b1pb2/3p1p2/1B1P1P2/5NP1/PP1Q2K1/2R4R w - -,h1h3
5bk1/3b1pp1/7p/1p1Pp3/r3N3/1QPq1P1P/1P3BP1/4R2K b - -,a4b4
r3rbk1/1b1n1p1p/ppqp2p1/4p3/P1BP4/2P1P2P/1P1N2PB/R3RQK1 b - -,e8e7
4r1k1/5p1p/1pP1p1p1/r1n1N3/5P2/1B2P1P1/P6P/2R3K1 w - -,b3c4
8/8/8/p2k3p/3r4/1P2RK1P/8/8 w - -,f3e2
8/1p1n1k2/2p1b1p1/2P3B1/3K3P/3B4/8/8 b - -,e6d5
2kr3r/p1p2p2/8/2p1P1p1/P2P1pb1/6n1/1PN3P1/R1B1R1K1 w - -,d4d5
r2qk1nr/pppnbppp/3p4/3Pp2b/2P1P3/2N2P2/PP4PP/R1BQKBNR w KQkq -,c1e3
2kr3r/pp1qbppp/2n1b3/2pp3n/5B2/P1NP1N2/BPP2PPP/R2QR1K1 w - -,f3e5
r5k1/3n1pbp/1qnpp1p1/2p5/4PP2/1pPP1N1P/1P1B2PK/1B1Q1R2 w - -,d2e3
r1n4k/5nb1/1p6/2pPp3/2P1PpP1/2B4q/1Q5P/1RN2BK1 b - -,h3g4
3r4/p2r2p1/1p1k1p1p/nRpNpP1P/P1P3P1/3PP3/4K3/1R6 w - -,e2f3
3Rr1k1/1p2qppp/p1n5/6P1/4P3/1N2Q2P/PPP5/1K1R4 b - -,c6d8
r2r3k/pp1bq1bp/1nn1ppp1/2N5/P2P1P2/3N2P1/1P3BBP/2RQ1RK1 b - -,d7e8
7R/1B2kr2/1P6/6p1/5nP1/8/7K/8 b - -,f4e6
3r2k1/1pr2pbp/p1n3p1/P2pP3/3p1Pq1/3P1N2/1PPB1R1P/R3Q2K w - -,e1e2
8/1k4p1/p3p2p/2PnN2P/6P1/P5K1/8/8 b - -,d5f6
r3k1nr/1bq1bpp1/p1npp2p/1p4P1/3NPP2/P1N5/1PP3BP/R1BQR1K1 w kq -,g5g6
5r2/6k1/7p/NP6/4pp2/1RP5/3r1bPP/2R4K b - -,f8d8
5rk1/p2b2pp/1p1Pp3/5p2/3P4/3N4/Pr3PPP/1R3RK1 b - -,b2b1
2k5/1P3pbp/6Bn/8/3N4/4P2R/rB3PP1/4K3 b - -,c8b7
r1b1r1k1/pp1nqppp/2pbpn2/8/2BP4/2N1PN1P/PPQB1PP1/R4RK1 b - -,e6e5
r1r3k1/3n1pp1/bR5p/4q3/4P3/5N1P/1Q3PP1/1B2R1K1 b - -,e5b2
r2qk2r/1b2bppp/2n1pn2/p2p4/1ppP4/2P2NP1/PPQNPPBP/R1B1R1K1 w kq -,e2e4
3r4/2k1bp2/KNn3pp/P7/N1R5/6P1/5P1P/8 b - -,d8b8
8/1R3p2/3r1k1p/6pP/6P1/6K1/8/8 w - -,b7a7
5k2/p4p2/6p1/8/P1KN4/2N2PP1/r5b1/8 b - -,a2a1
1B5k/1pP3p1/7p/2P5/5b2/1Q5q/P4P2/4N1K1 b - -,f4h2
2r4r/pp2kpp1/2p1b1n1/2N1P3/7p/5N1P/PPPR1PP1/4R1K1 b - -,e6d5
r1b1k2r/ppp1qppp/2n2n2/2bpp3/8/2PP1NP1/PP2PPBP/RNBQ1RK1 w kq -,e2e3
1r4k1/Q2nq1bp/6p1/1P1pp3/2p2P2/5N2/2PB2PP/1R4K1 w - -,f4e5
2b1rqk1/3n2bn/p2p2p1/P1pP1p2/2N1PN1p/4BP2/3QB1PP/2R3K1 b - -,f5e4
2brrbk1/p2q1pp1/2p2n1p/2ppP3/2P2P2/1PNP1Q1P/PB4K1/3R1RN1 b - -,f6h7
rn1qk2r/p1p2ppp/bp6/3p4/3P4/1PQ2NP1/P3PP1P/R3KB1R b KQkq -,e8g8
r3k2r/pppbq1pp/1nn1pp2/3pP3/3P1P2/2N2N2/PPPQB1PP/R3K2R w KQkq -,c3b5
r4rk1/1q1b1pbp/pp1p2p1/1P1Pp3/P3P3/3BB2P/4QPP1/R3R1K1 b - -,a6a5
1r6/4b1k1/2p5/3p1p2/p1pP2p1/PrN1P1P1/1PR2PK1/7R w - -,h1h5
8/4rk2/2n1p1p1/Npb4p/4R3/PP4P1/3B1PK1/8 b - -,c6a5
8/5kpp/4p3/5p2/3P4/4K1P1/1P2R2P/1r6 b - -,f7e7
r2qr1k1/2n1Npp1/p6p/1pb5/5PQP/PB4P1/5P2/3RR1K1 b - -,d8e7
r1b1r1k1/5p1p/pp1p2p1/2pP3q/P3PP2/2N4P/1P1Q2P1/1R2R1K1 b - f3,h5h4
r7/p5bk/n2q2pp/5p2/P1p2P2/2NnB1P1/1P5P/R2Q1RK1 w - -,d1f3
4kn2/1p1r4/p6P/5Q1K/P7/1P6/8/8 w - -,b3b4
5R2/4r3/p1rk2p1/1p1p3p/7P/6P1/5PK1/R7 b - -,e7e6
7R/8/p7/5r1n/5k1P/5P1K/8/8 w - -,h3g2
r3k2r/pbqn1ppp/2p1pn2/8/1b1PP3/2NB1N2/1P3PPP/R1BQ1RK1 b kq -,e6e5
5B2/1b6/3R4/5p1k/1P1P2pp/5P1P/1r4P1/6K1 w - -,h3g4
2rr2k1/pp3pp1/1np1n1p1/8/4P3/4BPP1/PP5P/2RR1BK1 b - -,d8d1
1r2k2r/2q1bpp1/1n1p1n2/3Pp2p/1p2B1P1/pP1NBP1P/P1P2Q2/1K1R3R w k -,e3b6
8/4k1p1/7p/5Q2/P7/1P4P1/K1Pr1p1P/4qR2 w - -,f5c5
1r4k1/3r2p1/4pnQ1/1Pp2p2/8/3P1NPP/q3PPK1/1R2R3 b - -,d7b7
r2qk2r/pb1nbppp/2pp1n2/1p2p3/3PP3/P1N3PP/1PP1NPB1/R1BQK2R w KQkq -,c1e3
8/q6k/5pp1/p2Q3p/K4P1P/1P6/P7/8 b - -,h7g7
2q2rk1/r3bppp/2n2n2/p3p3/PpBpPB2/1P3Q2/N4PPP/1R1R2K1 w - -,f4g3
r4rk1/1b3p1p/p3p3/1p3p1Q/P2q4/R7/1PB2PPP/5RK1 b - -,g8h8
r3nrk1/pb2qp1p/1pnp2pP/2p1p1P1/2P5/1PQ2N2/PB1PPPB1/2KR3R w - -,h1g1
2r2k2/1R4p1/3p1p1p/3KpP2/p3P3/P1P3P1/1P5P/8 b - -,h6h5
6r1/2k2NP1/3qpQ2/3p4/1p1n2n1/1P1B4/p1P3K1/5R2 w - -,f6d4
r1q2rk1/1p1nbpp1/p2p2n1/3P2Np/PR4bP/1QN1B1P1/4PPB1/5RK1 b - -,g6e5
r1q2rk1/p1pbn1b1/1p1p2p1/3Pp3/2P1P1n1/2N1B3/PPQNBP2/2KR2R1 w - -,e2g4
r3kb1r/pbq2pp1/1pn1p2p/2ppP3/Q6N/N1PP4/PP2BPPP/R4RK1 b kq -,c7e5
5bk1/5p2/p5p1/1p5p/1P5q/P7/2Q1NPP1/6K1 w - -,c2c6
rnbr2k1/4qppp/pp1p4/2p4Q/Pn2P3/2N2N2/1PP1BPPP/3RR1K1 w - -,c3d5
r3r1k1/p2q1p1n/bp1p1b1p/2pP2p1/PnN1P3/1PN1B1P1/5PBP/R2QR1K1 w - -,a1c1
8/6k1/3p2p1/n1pBp1b1/P3P2p/2P5/1B3PK1/5N2 b - -,g7h6
r1k4r/pppbbppp/2p5/4Pn2/6P1/2N2N1P/PPP2P2/R1BR2K1 b - g3,f5h4
6k1/1p1b1ppp/p6q/5P2/2N5/4Q2n/PP5P/3R2K1 w - -,g1f1
r5k1/pp3ppp/1qn5/5RB1/2n5/1NP2PQ1/PP2r1PP/5R1K b - -,c4e3
rnbq1rk1/ppppppbp/5np1/8/3P4/3BPN2/PPP2PPP/RNBQK2R w KQ -,e1g1:b1d2:b2b3
3r2k1/5p1p/p4qn1/1p2R3/P1p1QP2/7P/1P2BPP1/6K1 w - -,e5e8
5r1k/pp4pp/8/3N4/r2p1P2/3R2Pb/P3PK1P/3R4 w - -,d1d2
2r4k/1p4p1/1p5p/3B4/8/B7/P3K2P/n7 w - -,e2d3
rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 w kq -,f3e5:b1c3:d1c2:b2b3:b1d2:c1f4
q3r1k1/5ppp/p4b2/3ppP2/2p1b3/P7/1PP1Q1PP/2BR1R1K w - -,f1f2
5rk1/1q2bp1p/6pB/p1p1p3/P1Q1b3/8/1PP3PP/2R2R1K w - -,h6f8
r1bqkb1r/p2ppppp/2p5/2pnP3/8/5N2/PPPP1PPP/RNBQ1RK1 b kq -,g7g6
rnr3k1/pp3qpp/3b2b1/5p2/R1p2P2/2N1B3/1PB1Q1NP/5RK1 b - -,g6h5
4r1k1/7p/2pr2p1/2n2p2/pRP5/5N1P/P1P3P1/2R2K2 b - -,h7h6
8/6kp/2p3nb/p1p5/2PpP2P/PP4K1/5P2/3R4 b - -,g7f6
r2qk2r/pp1n1ppp/2pbpnb1/3p4/3P3N/2P3P1/PP1NPPBP/R1B1QRK1 b kq -,d8c7
r3kb1r/4qppp/bnpp4/p7/2P1Q3/1P6/P2N1PPP/R1B1KB1R w KQkq -,c1b2
8/4k1pp/8/pR6/2P5/1P5P/r5P1/6K1 w - -,g1h2
1rbq1r2/6k1/4np1p/p1pN2pQ/2Pp3P/1P3NP1/P4P2/3RR1K1 w - -,g1g2
2r2rk1/pp3ppp/2q1pn2/n7/3P4/1PN2bPB/P1QR1P1P/R1B3K1 w - -,b3b4
