8/8/p5p1/6P1/1B2n3/P4k2/2K1p3/8 w - -,c2b3
3Qq1k1/5pbp/8/6Pp/1r5P/1Pp5/2R5/1K1R4 b - -,b4b3
1r1qnrk1/2p2pbp/3pp1p1/n7/bp1P4/1P1N2P1/PBQ1PPBP/2RR2K1 w - -,b3a4
5r1k/pp3nb1/2qp4/4n2p/1Q4p1/4N1B1/PP2BPPP/3R2K1 w - h6,e3f5
8/8/8/R3pp2/3k4/3r1PK1/8/8 w - -,a5a4
4r1r1/1p3k2/3p1p1N/6p1/2P5/1P5P/1P3PP1/3R2K1 b - -,f7e7
r1bqkb1r/pp3ppp/2n1p1n1/2ppP3/3P4/2PB1N2/PP3PPP/RNBQK2R w KQkq -,e1g1
4r2k/1p3r1p/p4R1R/5p2/4p3/5P2/PPP2P1P/2K5 b - -,f7d7
2rrq1k1/p4ppp/1b2p3/1N1n4/Np2n1Q1/1P2P3/PB3PPP/2RR2K1 b - -,d5f6
8/4n2p/1p1k1pp1/p2p4/P2N1PP1/1P2K3/5P1P/8 b - -,e7c6
r1q2rk1/2pbbpp1/p1pp1n1p/8/4PP2/1PN4P/P1P1B1P1/R1BQ1RK1 w - -,c1b2
3rr1k1/p4n1p/1p2pp2/2p2p2/2Nq1P2/1P1P2P1/2P1RQ1P/5RK1 b - -,f7d6
1qr3r1/4kp2/pn2bb2/1p2p2p/1N2Bp2/1P3N1P/P2RQPP1/6RK b - -,g8d8
2r2rk1/1p2qppp/p3b1n1/P3p2n/2NpP3/3P1P2/1P1N2PP/R1R1QBK1 b - -,c8c5
r1bqr1k1/ppp2p1p/3p2pb/4n3/2P2N2/1PN1P1P1/P2Q1PBP/R3K2R w KQ -,e1g1
3r4/4ppkp/6p1/p5P1/P1qP3P/4Q3/5P2/R5K1 w - -,e3e5
5nk1/p3b1pp/1p2Pp2/2p3q1/P3b1N1/1PQ3P1/1B3P1P/3B2K1 w - -,g4e3
5rk1/1q2b1p1/1p2Qn1p/rN2n3/P6B/4P3/5PPP/R2R2K1 b - -,e5f7
7k/4q2p/1pp2pp1/p2p1n2/2nP1N2/2P2N1P/PP2QPP1/6K1 w - -,e2e7
1q2r3/3Rr1kp/pp4p1/3Qbp2/P7/1P4P1/4PPBP/2R3K1 w - -,e2e3
6k1/q4pp1/4p3/3pP2p/7P/6P1/5PK1/1Q6 b - -,a7d4
r3r1k1/pb1n1ppp/1p1B1nq1/8/2B4N/1Q6/PP3PPP/2R1R1K1 b - -,g6h5
1nr2rk1/p2b2bp/3Rp3/5p2/2Pp1P2/6PP/1PPBN1BK/5R2 b - -,c8c4
r2qkb1r/pp1n1ppp/2p1pnb1/8/2BP1B2/5NN1/PPP2PPP/R2QK2R w KQkq -,e1g1
rnbq1rk1/3pppbp/p5p1/1NpP4/2P1n3/5N2/PP2PPPP/R1BQKB1R w KQ -,b5a3
r2q1rk1/pb3ppp/1pp2b2/2P5/5B2/5nP1/PPQ2PBP/R4RK1 w - -,g2f3
2r2rk1/ppn2ppp/2n1p3/3pP3/Nq1P4/5N2/PP2QPPP/2RR2K1 w - -,a4c5
6k1/pp3ppp/2b1p3/4PP2/2P3P1/2N4r/PPK1R2P/8 w - -,f5e6
5nk1/5ppp/P7/3p1q2/3Pp1r1/2B1P3/R4P1K/3Q4 w - -,d1g4
r1bqr1k1/pp3pp1/2pb1n1p/3p4/3P4/P1NBPNP1/1PQ2PP1/2R2RK1 b - -,c8d7
rn1qkb1r/pp2ppp1/2p2n1p/3P4/3P2b1/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,g4f3
4r1k1/7p/pp2qpp1/1b1p2P1/1Q1Pp2P/2P2PB1/P4RK1/8 w - -,f3e4
6k1/2b1B1p1/4n3/p7/2P1K3/1P6/8/R7 w - -,a1f1
r1b1rnk1/ppq1bpp1/4pn1p/2p1N3/3P4/2PB1N2/PP2QPPP/R1B1R1K1 w - -,c1f4
8/8/5kb1/1R6/6P1/n3P3/5K2/8 w - -,b5c5
2bqnrk1/3nppbp/p2p2p1/P1pP4/1rN1P3/2N5/1P2BPPP/R1BQK2R w KQ -,d1c2
4r3/1pR4P/4p1k1/p3K3/P7/8/1P6/8 w - -,c7b7
r3r1k1/ppqb1pp1/3b1pnp/5P2/2pP4/2P1B2P/PPBQN1P1/4RRK1 b - -,g6e7
8/p4kpp/1p2p3/2bb4/8/P5B1/1PP3PP/5B1K w - -,g3e5
6k1/5p2/NR4p1/7p/1p3P2/2b2KP1/1r6/8 w - -,f4f5
4k3/5p2/P2Q4/2p4p/4K1p1/8/7P/2q5 w - -,d6e5
r5k1/pppb1p2/2nbq2p/6pQ/8/2BP1B2/P1P3PP/4RR1K b - -,c6e5
8/1k1KR2r/8/3P4/8/8/8/8 b - -,h7h8
r1b2rk1/1pp1qpp1/p1np3p/2N1p3/2P5/P2P1NP1/1P2PPBP/R2QK2R b KQ -,d6c5
1r3rk1/p2B1ppp/b1P2n2/2p5/2P1p3/1P4P1/PB5P/2RR2K1 w - -,b2e5
8/3N1k1p/3p3Q/p1pP2p1/P3P3/8/1P4PK/2q5 b - -,c1f4
rk5r/1p5p/p2NNnp1/2B5/1b6/3K4/P5PP/1n5R w - -,h1b1
r1b1r1k1/2q5/pp1p1p2/2pPn1p1/PPP1PpPp/5P1P/2N1B1K1/R1Q2R2 w - -,a1a2
8/1R6/P3pp2/1K3k2/8/8/8/r7 w - -,a6a7
r2q1rk1/2p1bppp/p1n2n2/P3p1B1/1p1pP1b1/1B1P1N2/1PPN1PPP/R2QR1K1 b - -,g4e6
2r1k1r1/1p2bp2/p2pbn1p/4p2P/3qP2B/2N2P2/PPPNQ3/2KR3R b - -,c8c3
8/p5p1/1r1k3p/2ppRp2/8/1P3K1P/P1P3P1/8 w - -,e5f5
2rnkn1r/1p1bb1pp/1q2p3/p2pPp1P/3P1P2/PPNBBN2/6P1/R2QK2R w KQk -,c3a4
1r1q1rk1/3bppbp/p1pp1np1/8/2P1P3/2N3PP/PP3PB1/R1BQR1K1 b - -,d7e6
r4rk1/pp1n1ppp/2p1p3/3p4/2PP4/qP2P3/P2NQPPP/R4RK1 w - -,d2f3
1Q6/1pq2kpp/p1r1pp2/8/1P6/P5P1/4PP1P/3R2K1 w - -,b8c7
1r2r1k1/5pbp/1q1p2p1/1NpPn2n/4P3/6PP/1P3PB1/R1BQ1RK1 w - -,b5c3:b5a3
3B4/3B4/1p4k1/1PpPb2p/2n3pP/6P1/5K2/8 w - -,d7e8
1rb1r1k1/2qn1nbp/pp1p1pp1/2pP4/P1N1PP2/1RNB3P/1P4P1/2BQ1R1K b - -,d7f8
r2q1rk1/p2bbpp1/2p2n1p/2Np4/4p3/4B1P1/PPP1PPBP/R2Q1RK1 b - -,d7f5
8/7p/4b2P/1pB5/1P3pp1/5k2/7K/8 w - -,h2g1
rn1qr1k1/pn1p1ppp/1p2p3/1N6/2P5/B1P1Q1P1/P3PP1P/R4RK1 b - -,b8a6
8/1p1k1rp1/p1p1p2p/P6P/1PPPRbP1/8/4K3/4B3 b - -,f4g5
r2q1rk1/1p1nppbp/p2p2p1/P1pP4/2NnP3/8/1PP1BPPP/R1BQ1RK1 b - -,b7b5
r3k2r/3bbppp/1qn1p3/1p1pP3/p1nP4/P4N2/1PBB1PPP/1R1QRNK1 w kq -,d2c3
8/2nnkrb1/p1p2rpp/NpP1p3/1P1pP3/6P1/1P1BNPKP/R4R2 w - -,g3g4
4r1k1/ppp3Bp/2n4P/6R1/2P1q3/P3P3/1P6/K4Q2 b - -,c6e7
r1bq1rk1/pp2npp1/3bp2p/8/3P4/1Q3N2/PPBB1PPP/2R2RK1 b - -,b7b6
1rb2rk1/3nqpbp/p1p1p1p1/2p2P2/4P3/2NBB3/PP3QPP/3R1R1K w - -,c3a4
5k2/5p2/7R/7N/7P/3b1PK1/r5P1/8 w - -,h6h8
3b4/3n1k2/p2p1n2/2pP1p1p/2P2P2/1P3KPP/2BB4/8 w - -,c2f5
2r2rk1/pbqnbppp/1pn1p3/2ppP3/3P4/2P1NNP1/PP1B1PBP/R2QR1K1 b - -,b7a6
r1b2rk1/pp2bp1p/2n1p1pB/q3P2P/3pN3/P4N2/1P1Q1PP1/R3K2R b KQ -,a5d2
r2qk2r/pp1nbppp/2p1pnb1/8/3P4/3B1NN1/PPP1QPPP/R1B1R1K1 b kq -,g6d3
r5k1/p6p/bp2q1p1/2p2p2/2P1pB2/2Q5/P4PPP/4RBK1 w - -,e1d1
6r1/4pk1r/4p3/3bB1Rp/6PP/4RP1K/8/8 w - -,g5g8
r6k/pp1b2p1/4pnQp/4R3/8/1B5P/Pp1q1PP1/1R4K1 b - -,a8c8
6k1/1p6/pPbp4/2P5/2P1q1pP/8/P6Q/5RK1 b - -,g8h7
8/5k2/5P2/5K1p/p7/P6P/8/8 w - -,h3h4
2r2rk1/4bppp/p2pp3/2q3P1/1pbNP2P/5Q2/PPP2P2/1KN3RR w - -,f3e3
r1b3rk/2q2pbp/p1pp1n2/4p3/1PP1PP1p/PNN1B2P/2Q3P1/2RR3K w - -,f4e5
r1q2rk1/p4ppp/np3n2/2pp4/3P4/P1PQP3/1B2NPPP/R4RK1 b - -,f8e8
rn1qk2r/pp2ppbp/2p2np1/3p4/2PP4/2NBPb1P/PP3PP1/R1BQK2R w KQkq -,d1f3
