8/8/6kp/1R6/6P1/1P4PK/1r6/8 b - -,b2d2
r3rkb1/1p1q2b1/p2p2p1/P2P1p2/1PPNpP1B/8/3Q2PP/1RR3K1 w - -,d2e3
3rrnk1/bppqnpp1/p3b3/4p2Q/3pP2N/3P2NP/PPBB1PPK/R3R3 b - -,f8g6
7r/2q2pk1/5p2/1P1P1P2/1pn4p/4Q2P/2PR2P1/5RK1 w - -,d5d6
3q2k1/pp3p1p/2p2np1/4n3/1PP5/1N4PP/P3QPB1/6K1 b - -,e5d7
8/2bbr3/1p6/p1pB1pk1/P1P3p1/2NP2P1/R4P2/5K2 b - -,c7e5
6k1/1b2Rr1p/p5p1/2P1qpP1/2QN4/4p3/PK6/3R4 b - -,e5e7
1kr5/1q1r1p2/p1p1p1p1/4Pn1p/1PRP1P1P/PQ2B1P1/4NK2/8 b - -,c8d8
r4rk1/p3bpp1/1p2p3/2B5/2q5/P1N2Q2/1P3PPP/R4RK1 b - -,e7c5
8/5k2/2R5/8/3BK3/8/8/1r6 w - -,c6f6
r7/5p1k/1n2p3/1p3q1p/3PpP2/1PP1P3/3B1K1R/1Q6 w - -,b1h1
7k/8/n5R1/p2p1p2/3b4/P7/3NK3/8 w - -,g6a6
rn2kb1r/1N3p1p/pq4p1/4p3/Pp1pP3/5P2/1PPQ2PP/R2NKB1R w KQkq -,f1c4
rr6/1q1b2k1/3p2pp/2pPpp1n/p3P2P/2PBQ1B1/RP3PPK/R7 w - f6,e4f5
2RQ4/1kn5/1p2p1bp/p1q5/P6P/6P1/1P3P2/6K1 b - -,g6e4
r5k1/p3q1pp/1p2p3/4Pp2/4pP2/2PnQ3/PP2N1PP/5RK1 w - -,f1b1
8/8/p1p3k1/8/8/8/P5K1/4N3 w - -,g2f3
8/pb1k4/1p3Br1/3p1pP1/2P2P2/1P6/P4K1P/4R3 w - -,e1e7
rnbqk1nr/ppp2pbp/3pp1p1/8/3PP3/2PBB3/PP3PPP/RN1QK1NR b KQkq -,g8e7
2r1r1k1/5ppp/p2p1b2/q3n3/Pp2P3/1B5P/1P1NQPP1/R3R1K1 b - -,a5b6
r2qkb1r/1b1n1ppp/p4n2/1pppN3/3P1P2/2NBPQ2/PP4PP/R1B2RK1 b kq -,f8e7
r1bqkb1r/pp2pppp/2p2n2/4N3/2B1Q3/8/PPPP1PPP/R1B1K2R b KQkq -,e7e6
1r2qrk1/p4pp1/5n1p/8/2QB4/bP4PB/P3PP1P/1b1RN1K1 w - -,d4f6
3r4/r2nbk1p/1pB1b3/1Np2pp1/5B2/6P1/P2RPP1P/3R2K1 b - -,a7a5
r4rk1/P3np1p/4p1p1/4Q3/2P1P3/2Nq4/1P3PPP/R4RK1 w - -,e5c7
3r2k1/pp4bp/3B2p1/1P2n3/4PN2/6P1/b5BP/5RK1 w - -,d6c7
r4rk1/3n1pbp/p4np1/3Pp3/1p6/1B2B2P/1PqNQPP1/R3R1K1 b - -,c2c8
rnbqkbnr/pp3ppp/3pp3/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq -,f1g2
1q4k1/1b3pp1/3Rp2p/1pB1P3/1P2p3/4P3/4BPPP/6K1 b - -,b7d5
r1bq1rk1/1p3pp1/p1nppn1p/2b5/4P3/P1NB1N2/1PP1QPPP/R1B2RK1 w - -,h2h3
6k1/6p1/4p2p/3pPp2/2pPn2P/p3q1P1/P3RPK1/1r2N3 w - -,e2e3
1rb1kb1r/2qp2pp/p3pp2/2p5/8/1N1Q2P1/PPP2PBP/1K1R3R w k -,c2c4
3r1rk1/ppq2pp1/1bppbnnp/4p3/4P3/1BPPBNNP/PP3PP1/2QRR1K1 b - -,d6d5
8/pp1r2k1/2r1p1pp/2Pb1P2/1R1P1P2/P3R2P/5B1K/8 b - -,e6f5
5r2/6pp/pb1k1p2/1p1n1p2/3P1P2/PB3NP1/1PR2P1P/2K5 b - -,f8e8
1qr2rk1/1b1nbppp/p1pp1n2/1p2p3/2PPP3/P1N1BN1P/1PQ1BPP1/2RR2K1 w - -,b2b4
1r1q1rk1/1n2b1pp/pN1p2b1/Pp1Ppp2/1P6/4B3/2P1BPPP/R2Q1RK1 w - f6,c2c4
8/4kp2/5p2/8/5bPp/1B3K1P/8/8 b - -,f4g5
R7/8/4n3/3kp3/8/1r1P4/3K4/8 w - -,a8e8
8/8/7r/P2pk1P1/8/3B1K2/2P5/8 b - -,h6h4
r2r4/pb3ppk/1p3n2/2pq4/P7/2P1P3/1B2QPPP/R4RK1 w - -,f2f3
8/1p6/2b1k1n1/p1p1b1p1/P1P1P1P1/1P3K1P/2B5/5R2 w - -,f3e3
r2qr1k1/3n1bb1/p2p1np1/1p1p1pB1/2P1pN2/2N1P1P1/PP2BPK1/R2Q3R w - -,c4b5
5k2/8/7R/1p3K2/1P6/2P2Pp1/2r5/8 w - -,h6f6
r1bqk2r/p3bppp/2p1pn2/3p4/2P1P3/3B4/PP2QPPP/RNB2RK1 b kq c3,e8g8
r1b2rk1/pp2bppp/2p2n2/4q3/2B2P2/2N1P3/PP2Q1PP/R1B1R1K1 b - f3,e5c7
5rk1/pr1nqp1p/2R3p1/8/1p1N1P2/4P2P/P5P1/3Q2KR w - -,d1f3
8/8/3k3K/6p1/6B1/7P/8/8 b - -,d6e7
4rk2/p2Q1p2/1p4p1/7p/3p3B/2P2P1P/PP2q1P1/6K1 w - -,c3d4
8/7r/8/1R6/p7/1k6/8/1K6 b - -,b3a3
rnq2rk1/pp2ppbp/3p1np1/2pP4/2P3b1/2N3P1/PP1NPPBP/R1BQK2R w KQ -,h2h3
2kr4/ppp1b3/4p3/4P3/2P3rp/1P3R2/K4BP1/6R1 w - -,f2e3
r1n1kb1r/ppqb1ppp/4p3/n2pP3/2pP4/P1P2NP1/1P1N1PBP/1RBQ1RK1 w kq -,f3e1
4r3/2p4k/1p1b1r2/p2P4/6BP/P2QBP2/1P4K1/8 b - -,h7g7
8/6k1/4p1p1/R7/5P2/6P1/4r1rP/K1R5 b - -,g7h6
r4rk1/pppqb1pp/2n1pn2/3pp3/4P3/1N1P2PP/PPP2PB1/R1BQ1RK1 b - -,a8d8
r2q1rk1/1p1bb1pp/n1n1p3/pB1pPp2/P2P4/1PN2N2/5PPP/R1BQ1RK1 w - -,c1a3
2r4k/6p1/8/3Q2pq/P2R4/1P5r/N7/K7 w - -,a4a5
2k5/2p2pp1/p3r3/8/P3qPKP/6P1/5B2/3Q4 b - -,e6d6
r3k2r/pbq1bppp/1pn1pn2/2pp4/1P2P3/P1PP1NP1/3N1PBP/R1BQ1RK1 b kq b3,e8g8
3rnrk1/pp1b2pp/1qpp2n1/8/2P2P2/PP1N2PP/1Q3NB1/3R1RK1 w - -,b3b4
8/3b2pk/p2q1p1p/3p4/1PpB4/P1P2P1P/5QPK/8 w - -,h2g1
8/8/1R6/k7/7r/3KB3/8/8 w - -,b6b8
7k/5p1p/4pprQ/p3n3/b3P3/q5NP/5PP1/1B2R1K1 w - -,h6d2
r1bqk2r/pp2b1pp/4np2/2p1p3/3nN3/3PBNP1/PP2PPBP/2RQ1RK1 w kq -,d1d2
r4rk1/p4pp1/1pn1b2p/3n4/7B/P4B2/1P3PPN/R2R2K1 b - -,g7g5
8/5p2/4nkp1/p2r4/Pp4QP/1P3P2/2B2P2/5K2 w - -,g4c4
rnbqkb2/pp2pp2/6p1/3p3r/3P1B2/1B3P2/PPP1N2P/R2QK2R b KQq -,b8c6
2r1kb1r/pp1b1p1p/1qn1p2p/3pP3/1P1P4/P4N2/2R2PPP/1N1QKB1R b Kk -,b6d8:f8g7:a7a5
2kr3r/ppp2pp1/1bp1qn1p/4p3/P3P3/1N1P3P/1PP1QPP1/R1B2RK1 b - a3,a7a5
8/pp2n1pk/7p/4B3/4pP2/PP3q2/5P1P/4Q1K1 b - -,e7f5
2k5/pp3pp1/2p5/2b2P1K/P1B1P3/5qB1/6rP/1Q5R w - -,h5h4
rnb1qr1k/ppp1b1pp/3p1n2/2P1pp2/8/2NP1NP1/PP2PPBP/R1BQ1RK1 w - -,c5d6
1r3rk1/ppqb1pbp/n2p1np1/2pP4/5B2/1QN1PN1P/PP2BPP1/R3K2R w KQ -,e1g1
5k2/5p1p/r5p1/1p6/1p4P1/1Pn4P/P1R2PK1/5B2 b - -,f8e7
2kr3r/pp3p2/2n1b2p/2P3p1/8/q1NB1NP1/5PP1/2RQ1RK1 b - -,c6b4
