8/1pB5/2b1kp2/5rpp/1R5P/3PK1P1/8/8 w - -,b4d4
8/1b3p2/2r2k2/1p3B2/1P2p1P1/p1R1P3/P4K2/8 w - -,c3a3
8/2p2pkp/1p1p2p1/8/P4q2/2P2RKP/2r2PP1/8 w - -,g3f4
5rk1/pp3ppp/4b3/4P3/2r5/2P1nNP1/P3P1BP/R3K2R w KQ -,e1f2
5r1k/1p1Rb3/8/1P2P2p/4Q3/5P2/4K1qP/8 w - -,e2e3
3r3k/6p1/pRb3q1/P4p2/2PbpB1p/3r2PP/QP3PB1/5RK1 w - -,b6c6
r3k2r/4p1bp/1p4p1/2N2bN1/1pp4P/8/PP3nP1/2KR1B1R w - -,f1c4
3qkb2/R2n1p1r/4p1pp/NQ1p4/8/2P1B3/1P3PPP/6K1 w - -,e3f4
r3r1k1/pbpn1ppp/1p6/1N1p4/3P4/P2Nq3/1P2BRPP/2RQ2K1 w - -,b5c7
5k2/1R6/4p3/1p1p4/3P1B2/3K1P2/1r6/8 b - -,b2b3
r1b2rk1/pp4pp/1qp5/3pnP2/2PN4/4P3/PPQN1P1P/R3K2R w KQ -,c4d5
2r1r3/1p1bpqbk/3p2pp/pNnP1p1n/5B1P/2N3P1/PP1QPPB1/2RR2K1 b - -,h5f4
3Q3k/pp3prp/4b3/2q1p3/4P3/2N5/PPP1B1PP/7K b - -,g7g8
1r3rk1/4bpp1/1q1p1n2/1B1Pp2p/1Q6/1N3P2/PP1R2PP/1K5R w - -,a2a4
3r2k1/p6p/4q1p1/3p1pQ1/1Pp2P2/2P5/P3P3/3R1K2 b - -,d8d7
r1b5/pp2k1b1/n1pp1n2/8/2Pp1Bp1/3N4/PP1NPPP1/R3KB2 b Q -,c8f5
r1bnk2r/ppp3q1/3b2pp/4pp2/2B5/2PP2Q1/PBPN1PPP/R3K2R w KQkq -,g3f3
r2q1rk1/2n1ppbp/b2p2p1/1NpPn1B1/P3P3/1PN5/2B2PPP/R2Q1RK1 b - a3,d8d7
8/6bp/2Pp1kp1/3Bpp2/8/3P2PP/1pbNPP2/5K2 b - -,f6e7
r5k1/pp1rnpp1/2p1p2p/P3P3/2PPKP2/8/2B2P1P/R2R4 b - -,a8d8
r7/1r1k4/1qb1p1p1/pp1pPpPp/1bPP1P1P/1P1B4/2R1QB2/1R4K1 w - -,c4c5
8/1K3k2/1P6/8/8/1r6/8/4R3 w - -,e1c1
r1b1r1k1/pp1nqppp/2p2n2/3p4/3P2P1/2NBPN2/PPQ2P1P/R3K2R w KQ -,h2h3
rnb1kb1r/1pqp1ppp/p3p3/4P3/2Pp4/P1NB4/1P1PQPPP/R1B1K2R w KQkq -,c3a2
q1k4r/3R3p/4Qp2/pp2pP2/8/8/PPP2PPP/6K1 w - -,d7a7
8/p7/1p1p4/5pk1/2P4p/3Qp2P/P5q1/3K4 b - -,g2d2
8/7p/1Q6/3p4/2r1b3/k3K1P1/8/8 b - -,c4c3
r4rk1/1b2bppp/1q2p3/p1p1P3/PpB1n3/1P1NP3/1B2QPPP/R2R2K1 b - -,h7h6
8/7p/r7/P3k3/R4pKP/4b3/8/8 w - -,g4f3
2k4r/p2q1p2/2p5/2Rpp1b1/1P1pP1p1/P2P2Nr/5PKP/3Q3R b - -,g5e7
3k4/2p5/1n6/2KP4/8/1p5R/8/8 b - -,b3b2
8/1q3k2/3P3Q/1p1b2p1/pP6/P1rP4/6PP/4R2K w - -,h6h5
8/pp1n2p1/2p3kp/4p3/1P2P2P/P4PP1/4B1K1/8 w - -,f3f4
8/P5k1/5p2/4q2p/6p1/3K2P1/Q6P/8 b - -,e5b5
r4r1k/1ppqp1bp/3n2p1/p7/P7/1QN1B3/1PP2PPP/3RK2R b K a3,d7g4
4r2k/6b1/2p3p1/1p1p3p/3P2P1/2r1P1P1/6B1/R4N1K b - -,h5g4
1r6/3k1ppp/4p3/4P3/P4P2/2K5/6PP/R7 b - -,d7c6
r1bk3r/pp3ppp/2p1pn2/4P3/1bP5/2N5/PP3PPP/R1B1KB1R b KQ -,f6e4
r7/pQ3ppp/4k3/4p1q1/1P1b2n1/8/1P3PPP/R4RK1 w - -,a1a6
r1bq1rk1/pp2ppbp/1n4p1/3P4/5B2/2N2NP1/Pn2QPBP/2R2RK1 b - -,b2c4
1r1q1rk1/2p1np1p/p2p2p1/2n1p3/Q1P5/4NP1B/PP2PP1P/R3K2R w KQ -,a4c2
2Q5/4k3/8/1P1P4/6NP/PK3P2/6r1/6q1 w - -,c8c7:c8c3
r1bqk2r/1p2ppbp/p1np1np1/8/P2NP3/2N1B3/1PP1BPPP/R2Q1RK1 b kq -,e8g8
b3r1k1/3q1pbp/3p1np1/1pnP4/2pNP3/2B3NP/1PBQ1PP1/4R1K1 b - -,h7h5
5rk1/2q1n3/6p1/1p2P1Pp/4P1b1/1pP3Q1/1P1B3K/R6R b - -,f8f3
4r1k1/5n1p/p2p2p1/q1pP4/3r1P2/4pBPP/4R2K/1Q3R2 b - -,d4d2
r5k1/p2b1ppp/1r1N1n2/3n4/P1P1p3/R5B1/4BPPP/3R2K1 b - -,b6b2
r1bqr1k1/1p3p1n/p2p2p1/2pP4/P3n2p/2P2N1P/2Q1BPP1/R1B2R1K w - -,e2d3
1k1r3r/1b2bp2/1p5p/p2pPB2/Pn1R4/1N4B1/5PPP/1R4K1 w - -,e5e6
3r1rk1/p2q1pbp/1p4p1/1b1NP3/5P2/4R1P1/PPQ3BP/3R2K1 b - -,g8h8
1k5r/pp5p/1q1n2p1/1P1Pp3/1P4Q1/7P/4NPP1/2R3K1 w - -,g4d7
2R3k1/1p3pb1/p3p1pp/4P3/1r3B1P/1P4P1/P4P2/6K1 b - -,g8h7
r1b2rk1/4bpp1/p3p2p/2qp4/6P1/2NB2n1/PPPQ1P1P/2KR3R w - -,h2g3
8/1p2n1k1/p1nb2p1/2p3Bp/N3B3/P1P3P1/1P3K1P/8 b - -,b7b5
r2r2k1/ppp2p1p/1n4p1/2QPn1q1/1P2PR1N/2N3Pb/P3B2P/R5K1 b - -,b6d7
r4r2/1pp1qpbk/p2pbnpp/8/2PBPP2/2N5/PP1QB1PP/4RRK1 b - -,c7c5
6k1/2p3pp/p3n3/5r2/8/2N2P2/1P4PP/3R2K1 b - -,g8f7
r2qkb1r/pp3ppp/2n1p3/3n4/3P2b1/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,f8e7
6k1/5pp1/1R1n4/6rp/P3p3/4K2P/2P2P2/B7 b - -,g5d5
8/7k/4p1pp/p3Np2/Pp2P3/1P2R2P/6q1/4KN2 w - f6,e4f5
r2qr1k1/pp3pbp/1np3p1/5p2/3P4/1BN1PQ1P/PP3PP1/2RR2K1 b - -,d8f6
r1q2k2/4ppb1/3p1n2/P1pP3p/4PNnP/8/1PQBP3/R3K1R1 b Q -,g7h6
8/p3k3/7p/2NK3b/3P4/4r3/8/R7 b - -,h5f3
r1b2rk1/1p2ppb1/pq1p3p/3P2p1/3N4/1P4B1/1PP2PPP/R2QR1K1 w - -,c2c3
6k1/pp1q2pp/1b2pr1B/3p4/1P4Q1/8/P4PPP/2R3K1 w - -,c1c8
r1b2rk1/5p1p/p1pppp2/5P2/2Q1Pb2/q1N5/P1P1B1PP/1R2K2R w K -,h1f1
r1q1rbk1/pbpn1ppp/1p3n2/4p3/1PP1P3/P1N2N2/1BQ1BPPP/R2R2K1 w - -,c3d5
2r5/R1b2pp1/P1Pk4/3P4/8/5P2/8/4BK2 w - -,e1g3
8/8/Q7/7k/3K3p/1P3bp1/1P2r2P/8 w - -,a6b5
r1bqkb1r/pp3ppp/2np1n2/4p3/4PP2/2N2N2/PPP3PP/R1BQKB1R b KQkq -,f8e7
r2q1rk1/pppn1ppp/2bp1b2/3N4/3QPB2/6P1/PPP2PBP/3R1RK1 w - -,d5f6
2kR4/pp3p2/2p1pn1p/6pP/6P1/4KP2/PPP5/5B2 b - -,c8d8
2br2k1/5pb1/p4p2/1P1B1Pp1/P1PN3p/4r3/6PP/R4R1K b - -,h4h3
3rr1k1/p2nqpp1/4pn1p/bPpp4/2P5/3P1PP1/PB1NQ1BP/R2R2K1 b - -,a5d2
1rb2rk1/p1qnp2p/2p2bp1/3p4/5P2/2N1B3/PPPQB1PP/1R3R1K b - -,a7a5
r1r5/qp1k1bp1/2pp1p1p/2b1pP2/p1PnP1PP/2NPBBK1/PP3Q2/2R1R3 w - -,f3g2
8/5p1k/PQ4pp/8/4K3/4PP1P/r2b4/8 w - -,b6b7
rn1qk2r/p1pp1ppp/1p2pn2/8/1bPPb3/1Q3NP1/PP1NPPBP/R1B1K2R b KQkq -,b4d2:b8c6
r2q1rk1/pp3pbp/n1p2np1/4p3/P1pPP1b1/2N1BNP1/1P3PBP/R2Q1RK1 w - e6,d4e5
5R2/8/8/4kp2/4p1p1/1P1nBr2/3K4/8 b - -,g4g3
rnbq1rk1/ppp2p1p/3b4/3PN3/2BP1PpP/8/PPP5/RN1QK2R b KQ -,h7h5
2k2rr1/ppq4p/2p1pn2/2PpNb2/3P4/8/PP1QBPPP/R3R1K1 b - -,c7g7
8/1p2b3/7p/R3pk2/8/1r6/4N1K1/8 b - -,b7b5
1r2r1k1/qp3pp1/3Q2p1/2p1n3/P7/4P1P1/1R2BP1P/1R4K1 b - -,b8d8
2k1rbnr/1ppb2pp/p1p2p2/8/3NP3/2N1B3/PPP2PPP/3R1RK1 b - -,c6c5
1r1q4/n3b1k1/1p1p1p2/p2RpPp1/2P1P1P1/1PN1Q3/P3N1K1/8 w - -,d5d1
