8/4k3/5R2/4Pp2/5P2/3pK3/2r5/8 b - -,d3d2
rn3rk1/1pp1nppp/p2q4/3p1b2/3P1B2/P1PB4/1P2NPPP/R2Q1RK1 b - -,d6d7
k1br4/pp1n1p2/2p3p1/8/3PRPP1/8/PP1qN3/1KR3Q1 b - -,d2d3
2r4k/2Q4p/p6R/4pq2/2P5/2N2pPP/5P1K/8 w - -,h6h7
1k4r1/2qnbp1r/1p2p1pp/pPp1P3/2PpNP2/3P2P1/1P1BQ2P/4RRK1 w - -,e2f3
4q1k1/5pp1/7p/1p6/3P4/1Q5P/2P2PPK/8 w - -,b3e3
2b5/6pp/p2k1p2/1p1p4/3P4/3N4/PP3PPP/4K3 w - -,e1d2
2rq1rk1/4bppp/b1n1pn2/3p4/1p2P3/pP1P1NP1/P2NQPBP/B1RR2K1 b - -,f8e8
8/8/4KP1k/8/3R2p1/5r2/8/8 b - -,h6g5
4rr1k/1p3qpp/n7/4pb2/2PpN3/3P3P/3bQPBK/1R3R2 w - -,e2d2
3r2k1/2n3pp/8/3qp3/Q7/8/1PP3PP/4R2K w - -,h2h3
2k2rr1/pp1q4/2pbpn1p/3p1pp1/3P4/2P1PP1P/PP1BQ1P1/2KR1N1R w - -,d2e1
8/3br2k/R7/1p2p3/3bNP2/P2p4/5P2/2B3K1 w - -,e4f6
3kr3/1p3pp1/1r1P1n1p/p1p5/2P5/1P1R2P1/P5BP/3R2K1 w - -,g2f3
5rk1/2pq2pp/p1nppb2/Pr6/4P3/3R1N2/1PQ2PPP/2B1R1K1 w - -,c2d1
4r1k1/1p1r1pbp/p1p1bnp1/3Np3/2P1P3/BP4P1/P4PBP/R2R2K1 w - -,d5f6
8/1p2r1p1/p1pN2p1/1PPnkp2/P1KR2PP/8/5P2/8 b - -,a6b5
4R3/8/8/1p1p1kpP/1P5r/2PK4/6P1/8 w - -,e8f8
4rr1k/1p1Qb1pp/3q1p2/pR6/2P5/1P2P3/PB3PPP/5RK1 w - -,b5b7
6k1/2rqbpp1/pp2p2p/3nP2P/P1rP4/3Q1N2/3B1PPK/RR6 w - -,d3b3
1rb2rk1/1p1p1ppp/2P1pn2/q7/3NP3/bP2B1P1/P1R2PBP/3Q1RK1 b - -,b7c6
4rrkn/p3qpp1/1p1p1n1p/2pPpP2/b1P1P1P1/P1PB3P/4Q2K/2B1RRN1 b - -,f6h7
r1bq1rk1/pp1n1pp1/5n1p/3p4/3Pp3/2P2PPN/P3P1BP/R1BQ1RK1 b - -,d7b6
2r3k1/1pr1pp1p/2np2p1/8/npP1PP2/P4NPP/2RN1K2/1R6 w - -,a3b4
8/R6p/3p2bk/3P4/2P5/2P1R2P/P3B1rr/4K3 b - -,h2h1
r1bqr1k1/pp1nppbp/5np1/2pp2B1/3P3P/2P1PN2/PP1NBPP1/R2QK2R w KQ -,f3e5
8/3Bn3/8/pNp1k3/2P4b/1P6/P1K5/8 b - -,h4e1
r4rk1/ppp1ppbp/1n4p1/4P3/5Pb1/1B6/PPP3PP/RNB1R1K1 w - -,b1c3
8/1R1b1krR/8/1p3p2/p4K2/P4P2/1P1r4/8 w - -,h7h6
1q4k1/1rr1pp2/p2p2p1/3P4/2P4R/8/P2Q1PP1/4R1K1 b - -,b7b1
b3r1k1/6b1/p2pp2p/6p1/1qp1P3/2P1QNP1/P5P1/3RR1K1 b - -,g7c3
rn1qkb1r/ppp2ppp/4pn2/3b4/2NP4/3BPN2/PP3PPP/R1BQK2R b KQkq -,c7c5
2r3k1/ppq2pb1/3p2p1/7p/3P4/1P1QPNPP/P3RPK1/8 b - -,c7c3
1r6/6R1/2p2r1p/p3kp1N/p3p3/1BP1P3/1P6/7K w - -,b3a4
r1b1kb1r/1p1q1ppp/1pp1p3/3nB3/2BP4/2N2Q2/PPP2PPP/2KR3R b kq -,f7f6
r4rk1/1pq2pp1/p2bpnp1/n2p4/3P2PP/1QN1PP2/PP1B4/1K1R1B1R w - -,b3c2
8/8/4k3/5R1K/6P1/7q/8/8 w - -,h5g5
r2qk2r/pp2bppp/1np1p3/3nPb2/3P4/1BN2N1P/PP3PP1/R1BQ1RK1 w kq -,d1e2
r3q2r/ppp2p1k/2npbPp1/6Pp/2P1PN1P/8/PP2B3/2KQ2RR w - -,g1g3
6R1/1p5p/p4k1P/5pp1/1P2p3/P2r2P1/4KP2/8 b - b3,d3a3
r1bqkb1r/pp1n1ppp/2p1pn2/8/2BP4/2N1PN2/PPQ2PPP/R1B1K2R b KQkq -,b7b5:f8d6
8/1kn5/1P6/P3p2p/2K2pp1/8/5BPP/8 b - -,c7a6
5krr/2pn1q2/3b3p/pp2p2Q/4P2B/2P2R2/PP3PPP/6K1 b - -,f7f3
r5k1/5pbp/5np1/p1R5/4r3/BN2P3/P4PPP/5RK1 w - -,f1c1
8/2r2ppk/p2N4/1p2P3/5PP1/2B1K2n/PP6/8 b - f3,g7g5
r2qr1k1/pppb1pbp/2np1np1/4p3/3PP3/2N1B1PP/PPP1NPB1/R2Q1RK1 w - -,d4d5
2R5/3rp1bk/n3N1pp/3Pp3/8/1p5P/5PP1/r1BRK3 w - -,f2f4
5r2/1ppn1pkp/3p1qp1/3P4/1PP2P2/4Q2P/6P1/4RBK1 b - -,f6b2
r2qk1nr/pp2ppbp/3p2p1/2p1n3/2P1P3/3P1N2/PP3PPP/RNBQ1RK1 w kq -,b1c3
6r1/R7/4k2P/8/6p1/6K1/8/8 b - -,e6f5
2R5/5p2/2b4P/2Pk4/8/4B3/3K3r/8 w - -,d2e1
2bQ4/3n3p/p3N2k/2p5/2P4p/3p4/3q2BK/8 b - -,h6g6
rnb1k2r/p1pq1ppp/1p2p3/3pPn2/3P1PP1/2b2N2/PPPB3P/R2QKB1R w KQkq -,b2c3
r1r5/2q1p1kp/p1npbnp1/1p6/4P3/1NN2P2/PPPQ2P1/2KR1B1R w - -,c1b1
2r2bk1/5p2/3p2pp/8/1p1qn1P1/3QN2P/PPP4R/3KB3 b - -,d4e5
3r4/5p2/1b3p1k/p1q1pP1p/1p6/4NQP1/PPP4P/1K1R4 w - -,e3d5
r1bqr1k1/5p1p/p2p1bp1/npnP4/2pNPP2/P3B1N1/1PB3PP/1R1QR1K1 b - f3,h7h5
5n2/ppk2P2/1b1r4/5p2/3p1B2/PN6/1P6/1K5R b - -,c7d7
8/8/R3k1p1/4p3/6PP/3r1pK1/5P2/8 b - -,e6f7
8/7r/Pk6/4Kp2/1N4p1/3N2P1/8/8 b - -,h7f7
2rr2k1/p2q1p1p/4pB2/2n5/PpP1P2P/1P1p1QP1/3b1P2/1R3BK1 b - -,e6e5
3r4/2k2p2/5R2/8/2Npp3/P7/1P4PP/6K1 w - -,g1f2
R7/1P3rk1/2K5/6pp/8/8/8/8 b - -,f7b7
5rk1/1q3ppp/4pn2/2r5/1p1N4/4Q1P1/1P2PP1P/3R1RK1 b - -,c5d5
2r2rk1/2q2ppp/Q1p2b2/8/1P6/P3BP1P/5P2/2R2RK1 b - -,c7d7
r7/p1p1q1bk/1p4p1/P3p3/1PN1pp2/2Pr3P/4QP2/R1B2BK1 b - -,e7g5
2r3kr/p1q2bpp/4pb2/n2p4/3P2PP/2pBBR2/4QP2/RN3K2 w - -,b1c3
6k1/R4p2/1p2n3/1NP2rpp/2P5/6P1/4KP2/8 b - -,b6c5
rn3rk1/pq2ppbp/1p1p2p1/2p5/3Pb3/2PBPN1P/PP2QPPB/R2R2K1 b - -,e4d3
r3r1k1/1p3p1p/1q4p1/p1p5/2Pb4/1P4BP/P1Q2PP1/3RR1K1 b - -,b6c6
2r5/8/1kn2pp1/7p/2RBP2P/2N2P2/1PP1K1P1/r7 b - -,c6d4
br3rk1/4qpb1/4p1pp/pp1pPP2/2pN2P1/P1P1PQ2/1PBK2P1/1R5R b - -,e6f5
2qb2k1/3p2pp/p3p3/2p1Pn2/2P2N2/2B3P1/P1PQ1K1P/8 b - -,d8g5
4rr2/pp3pbk/3q1np1/2p1p1Bp/2PnPP2/1PN3P1/P2Q2BP/3R1RK1 b - f3,f6g8
4r1k1/1N3pp1/4p2p/3pPb2/r2P4/P1R5/5PPP/2R3K1 w - -,b7d6
r4b1r/pppk1ppp/8/3NPb2/4n3/P3P3/1P3PPP/R1B1KB1R w KQ -,f2f3
3r1bk1/5ppp/4p3/p3Pn1N/2r3N1/P6P/5PP1/R3R1K1 w - -,g4e3
3r2n1/1pq1ppk1/p1b3p1/4P2p/3R4/1P2Q1NP/1PP1N1P1/6K1 w - -,d4d8
8/5p2/p2k2p1/1b3PP1/3KP3/8/8/7R w - -,f5g6
8/2p3b1/pp2k1np/8/1PPp1p2/P2N3P/3B2P1/6K1 w - -,d3f4
r1r5/3n1ppp/p1b2k2/4p3/PnB5/1P2N3/3N1PPP/2R1K2R b K -,d7b6
8/p1p1n3/1p1k1p2/3p2p1/3P2Pn/2PN4/PP1NK2P/8 w - -,b2b4
6k1/p3qp1p/2p3p1/4rb2/1rPp4/1P1B2QP/P4PP1/R3RK2 b - -,f5d3
r1b2rk1/1ppnq1pp/3pp3/p7/1PP5/2R2NP1/P3PPBP/3Q1RK1 w - a6,a2a3
3r4/8/2p1pkp1/1rP4p/1B1P1P2/P5KP/3R2P1/8 w - -,g3f3
